 INPUT STRING:	براحة
   UNSPLITVOC:	(Alfaton)
          POS:	DET+NOUN
          VOC:	Al+faton
        GLOSS:	the+sedition/dissension/discord

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P6W11
      OFFSETS:	51-53
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	ظهر
     IS_TRANS:	Zhr
        INDEX:	P6W12
      OFFSETS:	54-57
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(Zahar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Zahar+(null)
        GLOSS:	appear/emerge+he/it

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P6W13
      OFFSETS:	58-62
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+she/it

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P6W14
      OFFSETS:	63-66
       TOKENS:	P6W23-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wimA)
          POS:	CONJ+REL_PRON
          VOC:	wi+mA
        GLOSS:	and+what/which

 INPUT STRING:	بطن
     IS_TRANS:	bTn
        INDEX:	P6W15
      OFFSETS:	67-70
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~an_1]
   UNSPLITVOC:	(baT~an)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baT~an+(null)
        GLOSS:	hide/conceal+he/it [verb]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	رسالة
     IS_TRANS:	rsAlp
        INDEX:	P7W2
      OFFSETS:	3-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	risAl+ap
        GLOSS:	letter/communication/dissertation/letters/messages+[fem.sg.]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P7W3
      OFFSETS:	9-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P7W4
      OFFSETS:	13-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W5
      OFFSETS:	16-18
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يدعو
     IS_TRANS:	ydEw
        INDEX:	P7W6
      OFFSETS:	19-23
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEaY_1]
   UNSPLITVOC:	(yadEuw)
          POS:	IV3MS+IV
          VOC:	ya+dEuw
        GLOSS:	he/it+call

 INPUT STRING:	غلى
     IS_TRANS:	glY
        INDEX:	P7W7
      OFFSETS:	24-27
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gal~aY_1]
   UNSPLITVOC:	(gal~aY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	gal~aY+(null)
        GLOSS:	boil/be boiled+he/it

 INPUT STRING:	الفوضى
     IS_TRANS:	AlfwDY
        INDEX:	P7W8
      OFFSETS:	28-34
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawDaY_1]
   UNSPLITVOC:	(AlfawDaY)
          POS:	DET+NOUN
          VOC:	Al+fawDaY
        GLOSS:	the+chaos/anarchy

 INPUT STRING:	والتخريب
     IS_TRANS:	wAltxryb
        INDEX:	P7W9
      OFFSETS:	35-43
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxoriyb_1]
   UNSPLITVOC:	(wiAltaxoriyb)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+taxoriyb
        GLOSS:	and+the+destruction/sabotage/terrorism

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P7W10
      OFFSETS:	44-47
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	25
     IS_TRANS:	25
        INDEX:	P7W11
      OFFSETS:	48-50
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(25)
          POS:	NOUN_NUM
          VOC:	25
        GLOSS:	25

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P7W12
      OFFSETS:	51-56
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	حكموا
     IS_TRANS:	HkmwA
        INDEX:	P7W13
      OFFSETS:	57-62
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hak~am_1]
   UNSPLITVOC:	(Hak~imuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Hak~im+uwA
        GLOSS:	use+you

 INPUT STRING:	ضمايركم
     IS_TRANS:	DmAyrkm
        INDEX:	P7W14
      OFFSETS:	63-70
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Damyir_1]
   UNSPLITVOC:	(DamAyirkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	DamAyir+kum
        GLOSS:	soul+your

 INPUT STRING:	ويمكرون
     IS_TRANS:	wymkrwn
        INDEX:	P8W1
      OFFSETS:	0-7
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[makar-u_1]
   UNSPLITVOC:	(wayamokuruwna)
          POS:	CONJ+IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	wa+ya+mokur+uwna
        GLOSS:	and+they (people)+deceive/double-cross+[masc.pl.]

 INPUT STRING:	ويمكر
     IS_TRANS:	wymkr
        INDEX:	P8W2
      OFFSETS:	8-13
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makar_1]
   UNSPLITVOC:	(wiyimokur)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+mokur
        GLOSS:	and+he/it+be wicked

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W3
      OFFSETS:	14-18
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P8W4
      OFFSETS:	19-24
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wiAll~ah)
          POS:	CONJ+NOUN
          VOC:	wi+All~ah
        GLOSS:	and+God

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P8W5
      OFFSETS:	25-28
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	الماكرين
     IS_TRANS:	AlmAkryn
        INDEX:	P8W6
      OFFSETS:	29-37
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAkir_1]
   UNSPLITVOC:	(AlmAkiriyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+mAkir+iyn
        GLOSS:	the+wicked+[masc.pl.]

 INPUT STRING:	وحسبنا
     IS_TRANS:	wHsbnA
        INDEX:	P8W7
      OFFSETS:	38-44
       TOKENS:	P8W10-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasb_1]
   UNSPLITVOC:	(waHasbnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wa+Hasb+nA
        GLOSS:	and+according+our

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W8
      OFFSETS:	45-49
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P8W9
      OFFSETS:	50-54
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P8W10
      OFFSETS:	55-61
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+attorney

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W11
      OFFSETS:	61-62
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+God

 INPUT STRING:	غلبت
     IS_TRANS:	glbt
        INDEX:	P9W2
      OFFSETS:	6-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gilib_1]
   UNSPLITVOC:	(gilibt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	gilib+t
        GLOSS:	win+you

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P9W3
      OFFSETS:	11-13
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P9W4
      OFFSETS:	14-16
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P9W5
      OFFSETS:	17-19
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الموقع
     IS_TRANS:	AlmwqE
        INDEX:	P9W6
      OFFSETS:	20-26
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(AlmawqiE)
          POS:	DET+NOUN
          VOC:	Al+mawqiE
        GLOSS:	the+position/location/site

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P9W7
      OFFSETS:	27-30
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P9W8
      OFFSETS:	31-34
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	عمالة
     IS_TRANS:	EmAlp
        INDEX:	P9W9
      OFFSETS:	35-40
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~Al_1]
   UNSPLITVOC:	(Eam~Alap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	Eam~Al+ap
        GLOSS:	doing+[fem.sg.]

 INPUT STRING:	تولع
     IS_TRANS:	twlE
        INDEX:	P9W10
      OFFSETS:	41-45
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~aE_1]
   UNSPLITVOC:	(tiwal~aE)
          POS:	IV3FS+IV
          VOC:	ti+wal~aE
        GLOSS:	it/they/she+kindle/light/set fire to

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P9W11
      OFFSETS:	46-50
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	نار
     IS_TRANS:	nAr
        INDEX:	P9W12
      OFFSETS:	51-54
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAr_1]
   UNSPLITVOC:	(nAr)
          POS:	NOUN
          VOC:	nAr
        GLOSS:	fire/burning

 INPUT STRING:	وفرحانة
     IS_TRANS:	wfrHAnp
        INDEX:	P9W13
      OFFSETS:	55-62
       TOKENS:	P9W16-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHAn_1]
   UNSPLITVOC:	(wifaroHAnap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+faroHAn+ap
        GLOSS:	and+cheerful/delighted+[fem.sg.]

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P9W14
      OFFSETS:	63-66
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strong/powerful

 INPUT STRING:	بالهيصة
     IS_TRANS:	bAlhySp
        INDEX:	P9W15
      OFFSETS:	67-74
       TOKENS:	P9W19-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haySap_1]
   UNSPLITVOC:	(biAlhaySap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+hayS+ap
        GLOSS:	with/by+the+turmoil+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W16
      OFFSETS:	75-79
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيعملها
     IS_TRANS:	byEmlhA
        INDEX:	P9W17
      OFFSETS:	80-87
       TOKENS:	P9W22-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biyiEomilhA)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	bi+yi+Eomil+hA
        GLOSS:	[present-tense]+he/it+do+it/them/her

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P9W18
      OFFSETS:	88-93
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P9W19
      OFFSETS:	94-97
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN
          VOC:	>abuw
        GLOSS:	father

 INPUT STRING:	فلان
     IS_TRANS:	flAn
        INDEX:	P9W20
      OFFSETS:	98-102
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fulAn_1]
   UNSPLITVOC:	(fulAn)
          POS:	NOUN
          VOC:	fulAn
        GLOSS:	so-and-so/such-and-such

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P9W21
      OFFSETS:	103-106
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P9W22
      OFFSETS:	107-114
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(Ald~ukotawr)
          POS:	DET+NOUN
          VOC:	Al+dukotawr
        GLOSS:	the+doctor/Doctor/Dr.

 INPUT STRING:	علان
     IS_TRANS:	ElAn
        INDEX:	P9W23
      OFFSETS:	115-119
       TOKENS:	P9W30-P9W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eil~An_1]
   UNSPLITVOC:	(Eil~An)
          POS:	NOUN
          VOC:	Eil~An
        GLOSS:	so and so

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W24
      OFFSETS:	120-124
       TOKENS:	P9W31-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	انسحب
     IS_TRANS:	AnsHb
        INDEX:	P9W25
      OFFSETS:	125-130
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinosaHab_1]
   UNSPLITVOC:	(AinosaHab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AinosaHab+(null)
        GLOSS:	withdraw+he/it

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W26
      OFFSETS:	130-131
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ولما
     IS_TRANS:	wlmA
        INDEX:	P9W27
      OFFSETS:	132-136
       TOKENS:	P9W34-P9W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(wilam~A)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+lam~A
        GLOSS:	and+as, when

 INPUT STRING:	اتكلمت
     IS_TRANS:	Atklmt
        INDEX:	P9W28
      OFFSETS:	137-143
       TOKENS:	P9W36-P9W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(Aitokal~imt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Aitokal~im+t
        GLOSS:	speak+I

 INPUT STRING:	قالوا
     IS_TRANS:	qAlwA
        INDEX:	P9W29
      OFFSETS:	144-149
       TOKENS:	P9W37-P9W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAl+uwA
        GLOSS:	said/say/be said/say/(for example)+they

 INPUT STRING:	روحي
     IS_TRANS:	rwHy
        INDEX:	P9W30
      OFFSETS:	150-154
       TOKENS:	P9W38-P9W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruwHiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	ruwH+iy
        GLOSS:	go+you

 INPUT STRING:	اتثقفي
     IS_TRANS:	Atvqfy
        INDEX:	P9W31
      OFFSETS:	155-161
       TOKENS:	P9W39-P9W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitovaq~af_1]
   UNSPLITVOC:	(Aitovaq~afiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aitovaq~af+iy
        GLOSS:	cultivate+you

 INPUT STRING:	واقري
     IS_TRANS:	wAqry
        INDEX:	P9W32
      OFFSETS:	162-167
       TOKENS:	P9W40-P9W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qara>_1]
   UNSPLITVOC:	(wiAiqoriy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+Aiqor+iy
        GLOSS:	and+read+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W33
      OFFSETS:	167-168
       TOKENS:	P9W42-P9W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هقرى
     IS_TRANS:	hqrY
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qara>_1]
   UNSPLITVOC:	(HaAaqraY)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+qraY
        GLOSS:	will+I+read

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P10W2
      OFFSETS:	5-7
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
