 INPUT STRING:	هذا

 INPUT STRING:	يقوم
     IS_TRANS:	yqwm
        INDEX:	P9W16
      OFFSETS:	69-73
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAm-u_1]
   UNSPLITVOC:	(yaquwma)
          POS:	IV3MS+IV+IVSUFF_MOOD:S
          VOC:	ya+quwm+a
        GLOSS:	he/it+stand up+[sub.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W17
      OFFSETS:	74-77
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أقدامه
     IS_TRANS:	>qdAmh
        INDEX:	P9W18
      OFFSETS:	78-84
       TOKENS:	P9W22-P9W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qadam_1]
   UNSPLITVOC:	(>aqodAmihi)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_3MS
          VOC:	>aqodAm+i+hi
        GLOSS:	feet+[def.gen.]+its/his

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W19
      OFFSETS:	84-85
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولقد
     IS_TRANS:	wlqd
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(walaqado)
          POS:	CONJ+VERB_PART
          VOC:	wa+laqado
        GLOSS:	and+already

 INPUT STRING:	اكتشفت
     IS_TRANS:	Akt$ft
        INDEX:	P10W2
      OFFSETS:	5-11
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ikota$af_1]
   UNSPLITVOC:	(Aikota$afat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	{ikota$af+at
        GLOSS:	discover/detect+it/they/she [verb]

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P10W3
      OFFSETS:	12-18
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P10W4
      OFFSETS:	19-21
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	الأسلوب
     IS_TRANS:	Al>slwb
        INDEX:	P10W5
      OFFSETS:	22-29
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usoluwb_1]
   UNSPLITVOC:	(Al>usoluwb)
          POS:	DET+NOUN
          VOC:	Al+>usoluwb
        GLOSS:	the+style/method/manner

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P10W6
      OFFSETS:	30-37
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Easokariy~_1]
   UNSPLITVOC:	(AlEasokariy~)
          POS:	DET+ADJ
          VOC:	Al+Easokariy~
        GLOSS:	the+military/army

 INPUT STRING:	مكلف
     IS_TRANS:	mklf
        INDEX:	P10W7
      OFFSETS:	38-42
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukal~if_1]
   UNSPLITVOC:	(mukal~if)
          POS:	ADJ
          VOC:	mukal~if
        GLOSS:	costly/expensive

 INPUT STRING:	للغاية
     IS_TRANS:	llgAyp
        INDEX:	P10W8
      OFFSETS:	43-49
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[gAyap_2]
   UNSPLITVOC:	(lilgAyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+gAy+ap
        GLOSS:	to/for+the+utmost/extreme+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P10W9
      OFFSETS:	49-50
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	سواءٌ
     IS_TRANS:	swA'N
        INDEX:	P10W10
      OFFSETS:	51-56
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawA'_1]
   UNSPLITVOC:	(sawA'N)
          POS:	NOUN+CASE_INDEF_NOM
          VOC:	sawA'+N
        GLOSS:	except/whether/regardless+[indef.nom.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P10W11
      OFFSETS:	57-60
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn-u_1]
   UNSPLITVOC:	(kAna)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+a
        GLOSS:	be/was/were+he/it [verb]

 INPUT STRING:	بشريًّا
     IS_TRANS:	b$ry~FA
        INDEX:	P10W12
      OFFSETS:	61-68
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ba$ariy~_1]
   UNSPLITVOC:	(ba$ariy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	ba$ariy~+AF
        GLOSS:	human+[acc.indef.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P10W13
      OFFSETS:	69-71
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	ماديًّا
     IS_TRANS:	mAdy~FA
        INDEX:	P10W14
      OFFSETS:	72-79
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAdiy~_1]
   UNSPLITVOC:	(mAdiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	mAdiy~+AF
        GLOSS:	material/physical+[acc.indef.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P10W15
      OFFSETS:	79-80
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وأن
     IS_TRANS:	w>n
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(wa>an~a)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+>an~a
        GLOSS:	and+that

 INPUT STRING:	حادث
     IS_TRANS:	HAdv
        INDEX:	P11W2
      OFFSETS:	4-8
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdiv_1]
   UNSPLITVOC:	(HAdiv)
          POS:	NOUN
          VOC:	HAdiv
        GLOSS:	incident/event

 INPUT STRING:	ضرب
     IS_TRANS:	Drb
        INDEX:	P11W3
      OFFSETS:	9-12
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(Daraba)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Darab+a
        GLOSS:	strike/hit+he/it [verb]

 INPUT STRING:	مصنع
     IS_TRANS:	mSnE
        INDEX:	P11W4
      OFFSETS:	13-17
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSonaE_1]
   UNSPLITVOC:	(maSonaE)
          POS:	NOUN
          VOC:	maSonaE
        GLOSS:	factory/industrial plant

 INPUT STRING:	الشفاء
     IS_TRANS:	Al$fA'
        INDEX:	P11W5
      OFFSETS:	18-24
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ifA'_1]
   UNSPLITVOC:	(Al$ifA')
          POS:	DET+NOUN
          VOC:	Al+$ifA'
        GLOSS:	the+cure/remedy/medication

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W6
      OFFSETS:	25-27
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P11W7
      OFFSETS:	28-35
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P11W8
      OFFSETS:	36-39
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year+[fem.sg.]

 INPUT STRING:	1998
     IS_TRANS:	1998
        INDEX:	P11W9
      OFFSETS:	40-44
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[1998_1]
   UNSPLITVOC:	(1998)
          POS:	NOUN_NUM
          VOC:	1998
        GLOSS:	1998

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P11W10
      OFFSETS:	45-47
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P11W11
      OFFSETS:	48-52
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yumokinu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	yu+mokin+u
        GLOSS:	he/it+be possible/make possible for+[ind.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P11W12
      OFFSETS:	53-55
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P11W13
      OFFSETS:	56-60
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn-u_1]
   UNSPLITVOC:	(yakuwna)
          POS:	IV3MS+IV+IVSUFF_MOOD:S
          VOC:	ya+kuwn+a
        GLOSS:	he/it+be+[sub.]

 INPUT STRING:	وسيلة
     IS_TRANS:	wsylp
        INDEX:	P11W14
      OFFSETS:	61-66
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wasiylap_1]
   UNSPLITVOC:	(wasiylap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wasiyl+ap
        GLOSS:	means/device/instrument+[fem.sg.]

 INPUT STRING:	فعّالة
     IS_TRANS:	fE~Alp
        INDEX:	P11W15
      OFFSETS:	67-73
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faE~Al_1]
   UNSPLITVOC:	(faE~Alap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	faE~Al+ap
        GLOSS:	effective/efficient+[fem.sg.]

 INPUT STRING:	لتحقيق
     IS_TRANS:	ltHqyq
        INDEX:	P11W16
      OFFSETS:	74-80
       TOKENS:	P11W17-P11W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(litaHoqiyq)
          POS:	PREP+NOUN
          VOC:	li+taHoqiyq
        GLOSS:	for/to+achievement/realization

 INPUT STRING:	المراد
     IS_TRANS:	AlmrAd
        INDEX:	P11W17
      OFFSETS:	81-87
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murAd_1]
   UNSPLITVOC:	(AlmurAd)
          POS:	DET+NOUN
          VOC:	Al+murAd
        GLOSS:	the+object/intention/desiratum

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P11W18
      OFFSETS:	87-88
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وخاصةً
     IS_TRANS:	wxASpF
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(wixAS~apF)
          POS:	CONJ+ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC
          VOC:	wi+xAS~+ap+F
        GLOSS:	and+specific/special+[fem.sg.]+[indef.acc.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P12W2
      OFFSETS:	7-9
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P12W3
      OFFSETS:	10-17
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	بلد
     IS_TRANS:	bld
        INDEX:	P12W4
      OFFSETS:	18-21
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(balad)
          POS:	NOUN
          VOC:	balad
        GLOSS:	country

 INPUT STRING:	ضخم
     IS_TRANS:	Dxm
        INDEX:	P12W5
      OFFSETS:	22-25
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daxom_1]
   UNSPLITVOC:	(Daxom)
          POS:	ADJ
          VOC:	Daxom
        GLOSS:	large/voluminous

 INPUT STRING:	جدًّا
     IS_TRANS:	jd~FA
        INDEX:	P12W6
      OFFSETS:	26-31
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very much/seriousness+[acc.indef.]

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P12W7
      OFFSETS:	32-34
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li-_1]
   UNSPLITVOC:	(lahu)
          POS:	PREP+PRON_3MS
          VOC:	la+hu
        GLOSS:	to/for+it/him (it/he has)

 INPUT STRING:	حدود
     IS_TRANS:	Hdwd
        INDEX:	P12W8
      OFFSETS:	35-39
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Had~_2]
   UNSPLITVOC:	(Huduwd)
          POS:	NOUN
          VOC:	Huduwd
        GLOSS:	border/frontier/limits

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P12W9
      OFFSETS:	40-42
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	تسع
     IS_TRANS:	tsE
        INDEX:	P12W10
      OFFSETS:	43-46
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tusuE_1]
   UNSPLITVOC:	(tusuE)
          POS:	NOUN_QUANT
          VOC:	tusuE
        GLOSS:	(one) ninth

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P12W11
      OFFSETS:	47-50
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(duwal)
          POS:	NOUN
          VOC:	duwal
        GLOSS:	states/countries

 INPUT STRING:	مما
     IS_TRANS:	mmA
        INDEX:	P12W12
      OFFSETS:	51-54
       TOKENS:	P12W14-P12W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mim~A_1]
   UNSPLITVOC:	(mim~A)
          POS:	PREP+REL_PRON
          VOC:	min+mA
        GLOSS:	from+what/which

 INPUT STRING:	يجعل
     IS_TRANS:	yjEl
        INDEX:	P12W13
      OFFSETS:	55-59
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaEal-a_1]
   UNSPLITVOC:	(yajoEala)
          POS:	IV3MS+IV+IVSUFF_MOOD:S
          VOC:	ya+joEal+a
        GLOSS:	he/it+make/bring about/appoint+[sub.]

 INPUT STRING:	مسألة
     IS_TRANS:	ms>lp
        INDEX:	P12W14
      OFFSETS:	60-65
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso>alap_1]
   UNSPLITVOC:	(maso>alap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maso>al+ap
        GLOSS:	issue/affair/matter/question+[fem.sg.]

 INPUT STRING:	حصاره
     IS_TRANS:	HSArh
        INDEX:	P12W15
      OFFSETS:	66-71
       TOKENS:	P12W18-P12W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HiSAr_1]
   UNSPLITVOC:	(HiSArihi)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_3MS
          VOC:	HiSAr+i+hi
        GLOSS:	siege/blockade+[def.gen.]+its/his

 INPUT STRING:	صعبة
     IS_TRANS:	SEbp
        INDEX:	P12W16
      OFFSETS:	72-76
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEob_1]
   UNSPLITVOC:	(SaEobap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	SaEob+ap
        GLOSS:	difficult/hard/arduous+[fem.sg.]

 INPUT STRING:	للغاية
     IS_TRANS:	llgAyp
        INDEX:	P12W17
      OFFSETS:	77-83
       TOKENS:	P12W21-P12W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[gAyap_2]
   UNSPLITVOC:	(lilgAyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+gAy+ap
        GLOSS:	to/for+the+utmost/extreme+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P12W18
      OFFSETS:	83-84
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وخاصةً
     IS_TRANS:	wxASpF
        INDEX:	P13W1
      OFFSETS:	0-6
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(wixAS~apF)
          POS:	CONJ+ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC
          VOC:	wi+xAS~+ap+F
        GLOSS:	and+specific/special+[fem.sg.]+[indef.acc.]

 INPUT STRING:	أيضًا
     IS_TRANS:	>yDFA
        INDEX:	P13W2
      OFFSETS:	7-12
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayDAF_1]
   UNSPLITVOC:	(>ayDAF)
          POS:	ADV
          VOC:	>ayDAF
        GLOSS:	also/too

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P13W3
      OFFSETS:	13-15
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P13W4
      OFFSETS:	16-23
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	يُنَمِّي
     IS_TRANS:	yunam~iy
        INDEX:	P13W5
      OFFSETS:	24-32
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nam~ay_1]
   UNSPLITVOC:	(yinam~iy)
          POS:	IV3MS+IV
          VOC:	yi+nam~iy
        GLOSS:	he/it+make grow/advance

 INPUT STRING:	عَلاقته
     IS_TRANS:	EalAqth
        INDEX:	P13W6
      OFFSETS:	33-40
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAqap_1]
   UNSPLITVOC:	(EilAqtuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	EilAq+ap+uh
        GLOSS:	relation/connection/link+[fem.sg.]+its/his

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P13W7
      OFFSETS:	41-43
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	الصين
     IS_TRANS:	AlSyn
        INDEX:	P13W8
      OFFSETS:	44-49
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Siyn_1]
   UNSPLITVOC:	(AlSiyn)
          POS:	DET+NOUN_PROP
          VOC:	Al+Siyn
        GLOSS:	the+China

 INPUT STRING:	وروسيا
     IS_TRANS:	wrwsyA
        INDEX:	P13W9
      OFFSETS:	50-56
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ruwsiyA_1]
   UNSPLITVOC:	(waruwsiyA)
          POS:	CONJ+NOUN_PROP
          VOC:	wa+ruwsiyA
        GLOSS:	and+Russia

 INPUT STRING:	بشكل
     IS_TRANS:	b$kl
