 INPUT STRING:	قرر
        GLOSS:	Barakaat/Barakat+[fem.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W14
      OFFSETS:	83-85
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الظرف
     IS_TRANS:	AlZrf
        INDEX:	P4W15
      OFFSETS:	86-91
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zarof_1]
   UNSPLITVOC:	(AlZ~arof)
          POS:	DET+NOUN
          VOC:	Al+Zarof
        GLOSS:	the+circumstance/condition/situation/circumstances/condition/situation

 INPUT STRING:	الصعب
     IS_TRANS:	AlSEb
        INDEX:	P4W16
      OFFSETS:	92-97
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEob_1]
   UNSPLITVOC:	(AlS~aEob)
          POS:	DET+ADJ
          VOC:	Al+SaEob
        GLOSS:	the+difficult/hard/arduous

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P4W17
      OFFSETS:	98-102
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	that

 INPUT STRING:	يمر
     IS_TRANS:	ymr
        INDEX:	P4W18
      OFFSETS:	103-106
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~_1]
   UNSPLITVOC:	(yimur~)
          POS:	IV3MS+IV
          VOC:	yi+mur~
        GLOSS:	he/it+pass/go through

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P4W19
      OFFSETS:	107-109
       TOKENS:	P4W23-P4W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with+it/him

 INPUT STRING:	اللاعب
     IS_TRANS:	AllAEb
        INDEX:	P4W20
      OFFSETS:	110-116
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAEib_1]
   UNSPLITVOC:	(AllAEib)
          POS:	DET+NOUN
          VOC:	Al+lAEib
        GLOSS:	the+player/athlete

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P4W21
      OFFSETS:	117-121
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	that

 INPUT STRING:	يلقب
     IS_TRANS:	ylqb
        INDEX:	P4W22
      OFFSETS:	122-126
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laq~ab_1]
   UNSPLITVOC:	(yilqb)
          POS:	IV3MS+IV_PASS
          VOC:	yi+laq~ab
        GLOSS:	he/it+be nicknamed

 INPUT STRING:	بـ
     IS_TRANS:	b_
        INDEX:	P4W23
      OFFSETS:	127-129
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[b_1]
   UNSPLITVOC:	(bi)
          POS:	PREP
          VOC:	bi
        GLOSS:	with

 INPUT STRING:	الزئبقى
     IS_TRANS:	Alz}bqY
        INDEX:	P4W24
      OFFSETS:	132-139
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zi}obaqiy_1]
   UNSPLITVOC:	(Alz~i}obaqiy)
          POS:	DET+ADJ
          VOC:	Al+zi}obaqiy
        GLOSS:	the+mercury

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W25
      OFFSETS:	141-142
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	VERB
          VOC:	yal~A
        GLOSS:	let's go

 INPUT STRING:	كورة
     IS_TRANS:	kwrp
        INDEX:	P5W2
      OFFSETS:	4-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawrap_1]
   UNSPLITVOC:	(kawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kawr+ap
        GLOSS:	ball/football+[fem.sg.]

 INPUT STRING:	لاعيبة
     IS_TRANS:	lAEybp
        INDEX:	P6W1
      OFFSETS:	0-6
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAEiyb_1]
   UNSPLITVOC:	(lAEybap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lAEyb+ap
        GLOSS:	player/players+[fem.sg.]

 INPUT STRING:	الاهلى
     IS_TRANS:	AlAhlY
        INDEX:	P6W2
      OFFSETS:	7-13
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aholiy~_1]
   UNSPLITVOC:	(Al>aholiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+>aholiy~
        GLOSS:	the+Ahly/Ahli

 INPUT STRING:	دايما
     IS_TRANS:	dAymA
        INDEX:	P6W3
      OFFSETS:	14-19
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAyom_1]
   UNSPLITVOC:	(dAyomAF)
          POS:	ADJ
          VOC:	dAyom
        GLOSS:	permanent/always

 INPUT STRING:	رجاله
     IS_TRANS:	rjAlh
        INDEX:	P6W4
      OFFSETS:	20-25
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(rij~Alap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	rij~Al+ap
        GLOSS:	man+[fem.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	God/Allah

 INPUT STRING:	يرحم
     IS_TRANS:	yrHm
        INDEX:	P7W2
      OFFSETS:	5-9
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(yiroHam)
          POS:	IV3MS+IV
          VOC:	yi+roHam
        GLOSS:	he/it+have mercy

 INPUT STRING:	موتى
     IS_TRANS:	mwtY
        INDEX:	P7W3
      OFFSETS:	10-14
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~it_1]
   UNSPLITVOC:	(mawtaY)
          POS:	NOUN
          VOC:	mawtaY
        GLOSS:	dead/lifeless

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P7W4
      OFFSETS:	15-23
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+musolim+iyn
        GLOSS:	the+Muslim/Muslims+two

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P7W5
      OFFSETS:	24-26
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P7W6
      OFFSETS:	27-29
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W1
      OFFSETS:	0-1
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	يصلح
     IS_TRANS:	ySlH
        INDEX:	P8W2
      OFFSETS:	2-6
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSolaH_1]
   UNSPLITVOC:	(yiSoliH)
          POS:	IV3MS+IV
          VOC:	yi+SoliH
        GLOSS:	he/it+put in order/repair/be put in order/be repaired

 INPUT STRING:	حالك
     IS_TRANS:	HAlk
        INDEX:	P8W3
      OFFSETS:	7-11
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAlik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	HAl+ik
        GLOSS:	situation/condition/case/situations/conditions/cases+your

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P8W4
      OFFSETS:	12-14
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	بلادنا
     IS_TRANS:	blAdnA
        INDEX:	P8W5
      OFFSETS:	15-21
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[blAd_1]
   UNSPLITVOC:	(blAdnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	blAd+nA
        GLOSS:	country+our

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P8W6
      OFFSETS:	22-24
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	غالية
     IS_TRANS:	gAlyp
        INDEX:	P8W7
      OFFSETS:	25-30
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAliy_1]
   UNSPLITVOC:	(gAloyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	gAloy+ap
        GLOSS:	expensive/costly/dear/precious/beloved/dearly+[fem.sg.]

 INPUT STRING:	برااااااااااااااااافو
     IS_TRANS:	brAAAAAAAAAAAAAAAAAfw
        INDEX:	P9W1
      OFFSETS:	0-21
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brAAAAAAAAAAAAAAAAAfw)
          POS:	FOREIGN
          VOC:	brAAAAAAAAAAAAAAAAAfw
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P9W2
      OFFSETS:	22-24
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	بركات
     IS_TRANS:	brkAt
        INDEX:	P9W3
      OFFSETS:	25-30
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barakap_1]
   UNSPLITVOC:	(barakAt)
          POS:	NOUN_PROP+NSUFF_FEM_PL
          VOC:	barak+At
        GLOSS:	Barakaat/Barakat+[fem.pl.]

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P9W4
      OFFSETS:	31-34
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(bijid~)
          POS:	PREP+NOUN
          VOC:	bi+jid~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	فرحنالك
     IS_TRANS:	frHnAlk
        INDEX:	P9W5
      OFFSETS:	35-42
       TOKENS:	P9W6-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[firiH_1]
   UNSPLITVOC:	(firiHnA_lak)
          POS:	PV+PVSUFF_SUBJ:1P+PREP+PRON_2MS
          VOC:	firiH+nA+li+ak
        GLOSS:	be glad/happy+we+to/for+you

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P9W6
      OFFSETS:	43-46
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(wi<in)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in
        GLOSS:	and+Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P10W2
      OFFSETS:	4-7
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P10W3
      OFFSETS:	8-12
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	God/Allah

 INPUT STRING:	هيكون
     IS_TRANS:	hykwn
        INDEX:	P10W4
      OFFSETS:	13-18
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hayikuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+kuwn
        GLOSS:	will+he/it+be

 INPUT STRING:	ليك
     IS_TRANS:	lyk
        INDEX:	P10W5
      OFFSETS:	19-22
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyk)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	to/for+you

 INPUT STRING:	مستقبل
     IS_TRANS:	mstqbl
        INDEX:	P10W6
      OFFSETS:	23-29
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqobal_1]
   UNSPLITVOC:	(musotaqobal)
          POS:	NOUN
          VOC:	musotaqobal
        GLOSS:	future

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W7
      OFFSETS:	30-32
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P10W8
      OFFSETS:	33-37
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	تانيه
     IS_TRANS:	tAnyh
        INDEX:	P10W9
      OFFSETS:	38-43
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	second/other/another+[fem.sg.]

 INPUT STRING:	ميصحش
     IS_TRANS:	mySH$
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(mA_yiSaH~$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+SaH~+$
        GLOSS:	not+he/it+be correct/be true+not

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P11W2
      OFFSETS:	6-8
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اللاعبين
     IS_TRANS:	AllAEbyn
        INDEX:	P11W3
      OFFSETS:	9-17
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAEib_1]
   UNSPLITVOC:	(AllAEibiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+lAEib+iyn
        GLOSS:	the+player/players+two

 INPUT STRING:	المحترمين
     IS_TRANS:	AlmHtrmyn
        INDEX:	P11W4
      OFFSETS:	18-27
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(AlmuHotaramiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+muHotaram+iyn
        GLOSS:	the+esteemed/respected+two

 INPUT STRING:	يستمروا
     IS_TRANS:	ystmrwA
        INDEX:	P11W5
      OFFSETS:	28-35
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aistamar~_1]
   UNSPLITVOC:	(yistamir~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+stamir~+uwA
        GLOSS:	they+continue+we

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W6
      OFFSETS:	36-38
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	النادي
     IS_TRANS:	AlnAdy
        INDEX:	P11W7
      OFFSETS:	39-45
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(Aln~Adiy)
          POS:	DET+NOUN
          VOC:	Al+nAdiy
        GLOSS:	the+club/association/clubs/associations

 INPUT STRING:	الاهلي
     IS_TRANS:	AlAhly
        INDEX:	P11W8
      OFFSETS:	46-52
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aholiy~_1]
   UNSPLITVOC:	(Al>aholiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+>aholiy~
        GLOSS:	the+Ahly/Ahli

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P11W9
      OFFSETS:	53-56
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P11W10
      OFFSETS:	57-59
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	النادي
     IS_TRANS:	AlnAdy
        INDEX:	P11W11
      OFFSETS:	60-66
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(Aln~Adiy)
          POS:	DET+NOUN
          VOC:	Al+nAdiy
        GLOSS:	the+club/association/clubs/associations

 INPUT STRING:	ادان
     IS_TRANS:	AdAn
        INDEX:	P11W12
      OFFSETS:	67-71
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adAn_1]
   UNSPLITVOC:	(>adAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>adAn+(null)
        GLOSS:	condemn/censure/be condemned/be censured+he/it

 INPUT STRING:	بور
     IS_TRANS:	bwr
        INDEX:	P11W13
      OFFSETS:	72-75
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwr_1]
   UNSPLITVOC:	(buwr)
          POS:	NOUN
          VOC:	buwr
        GLOSS:	port

 INPUT STRING:	سعيد
     IS_TRANS:	sEyd
        INDEX:	P11W14
      OFFSETS:	76-80
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEiyd_1]
   UNSPLITVOC:	(saEiyd)
          POS:	NOUN_PROP
          VOC:	saEiyd
        GLOSS:	Said/Saeed

 INPUT STRING:	بالشكل
     IS_TRANS:	bAl$kl
        INDEX:	P11W15
      OFFSETS:	81-87
       TOKENS:	P11W17-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(biAl$~akol)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+$akol
        GLOSS:	with/by+the+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P11W16
      OFFSETS:	88-90
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مشكوووووورة
     IS_TRANS:	m$kwwwwwwrp
        INDEX:	P12W1
      OFFSETS:	0-11
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ma$kuwr_1]
   UNSPLITVOC:	(ma$kuwrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	ma$kuwr+ap
        GLOSS:	thanked+[fem.sg.]

 INPUT STRING:	ازيك
     IS_TRANS:	Azyk
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~ak)
          POS:	INTERROG_ADV+PRON_2MS
          VOC:	Aiz~ay~+ak
        GLOSS:	how+you

 INPUT STRING:	ياميوش
     IS_TRANS:	yAmyw$
