 INPUT STRING:	الرسالة
        INDEX:	P11W3
      OFFSETS:	9-13
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(DaHiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	DaHiy~+ap
        GLOSS:	victim/victims+[fem.sg.]

 INPUT STRING:	نمط
     IS_TRANS:	nmT
        INDEX:	P11W4
      OFFSETS:	14-17
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[namaT_1]
   UNSPLITVOC:	(namaT)
          POS:	NOUN
          VOC:	namaT
        GLOSS:	type/kind/manner/form/types/kinds/manners/forms

 INPUT STRING:	إجتماعي
     IS_TRANS:	<jtmAEy
        INDEX:	P11W5
      OFFSETS:	18-25
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAEiy_1]
   UNSPLITVOC:	(AijotimAEiy)
          POS:	ADJ
          VOC:	AijotimAEiy
        GLOSS:	social

 INPUT STRING:	خاطئ
     IS_TRANS:	xAT}
        INDEX:	P11W6
      OFFSETS:	26-30
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xATi}_1]
   UNSPLITVOC:	(xATi})
          POS:	ADJ
          VOC:	xATi}
        GLOSS:	mistaken/at fault

 INPUT STRING:	بيخليهم
     IS_TRANS:	byxlyhm
        INDEX:	P11W7
      OFFSETS:	31-38
       TOKENS:	P11W7-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(biyixal~iyhum)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:3P
          VOC:	bi+yi+xal~iy+hum
        GLOSS:	[present-tense]+he/it+release/evacuate/allow/be released/be evacuated/be allowed+them

 INPUT STRING:	يبصوا
     IS_TRANS:	ybSwA
        INDEX:	P11W8
      OFFSETS:	39-44
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(yibuS~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+buS~+uwA
        GLOSS:	they+look/glow/sparkle+[pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W9
      OFFSETS:	45-48
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الشهادة
     IS_TRANS:	Al$hAdp
        INDEX:	P11W10
      OFFSETS:	49-56
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahAdap_1]
   UNSPLITVOC:	(Al$~ahAdap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ahAd+ap
        GLOSS:	the+certificate/witness/testimony/martyrdom+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W11
      OFFSETS:	57-59
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W12
      OFFSETS:	60-63
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المعلومة
     IS_TRANS:	AlmElwmp
        INDEX:	P11W13
      OFFSETS:	64-72
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoluwmap_1]
   UNSPLITVOC:	(AlmaEoluwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEoluwm+ap
        GLOSS:	the+piece of data/known fact/item of information+[fem.sg.]

 INPUT STRING:	ذات
     IS_TRANS:	*At
        INDEX:	P11W14
      OFFSETS:	73-76
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*At_1]
   UNSPLITVOC:	(*At)
          POS:	NOUN
          VOC:	*At
        GLOSS:	same/self/essence/selves/beings/exactly/precisely/having

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P11W15
      OFFSETS:	77-82
       TOKENS:	P11W17-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nafos+hA
        GLOSS:	same/self/selves+its/their/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W16
      OFFSETS:	82-83
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W17
      OFFSETS:	83-84
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	خلينا
     IS_TRANS:	xlynA
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iynA)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:1P
          VOC:	xal~iy+(null)+nA
        GLOSS:	make/let+you+us

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P12W2
      OFFSETS:	6-10
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more/most/majority

 INPUT STRING:	صراحة
     IS_TRANS:	SrAHp
        INDEX:	P12W3
      OFFSETS:	11-16
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(SarAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SarAH+ap
        GLOSS:	sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P12W4
      OFFSETS:	17-21
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uwayap_1]
   UNSPLITVOC:	($uwayap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$uway+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	ونقول
     IS_TRANS:	wnqwl
        INDEX:	P12W5
      OFFSETS:	22-27
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(winquwl)
          POS:	CONJ+IV1P+IV
          VOC:	wi+n+quwl
        GLOSS:	and+we+said/say/be said/(for example)

 INPUT STRING:	إننا
     IS_TRANS:	<nnA
        INDEX:	P12W6
      OFFSETS:	28-32
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	جزء
     IS_TRANS:	jz'
        INDEX:	P12W7
      OFFSETS:	33-36
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juz'_1]
   UNSPLITVOC:	(juz')
          POS:	NOUN
          VOC:	juz'
        GLOSS:	section/piece/portion/part/fraction/sections/pieces/portions

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P12W8
      OFFSETS:	37-41
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyr)
          POS:	ADJ
          VOC:	kibiyr
        GLOSS:	large/great/important/major/senior

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W9
      OFFSETS:	42-44
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المشكلة
     IS_TRANS:	Alm$klp
        INDEX:	P12W10
      OFFSETS:	45-52
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W11
      OFFSETS:	52-53
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W12
      OFFSETS:	53-54
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	إحنا
     IS_TRANS:	<HnA
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we/I

 INPUT STRING:	إتربينا
     IS_TRANS:	<trbynA
        INDEX:	P13W2
      OFFSETS:	5-12
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitorab~ay_1]
   UNSPLITVOC:	(Aitorab~aynA)
          POS:	PV_PASS+PVSUFF_SUBJ:1P
          VOC:	Aitorab~+aynA
        GLOSS:	be educated/be raised+we

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P13W3
      OFFSETS:	13-14
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	ومازلنا
     IS_TRANS:	wmAzlnA
        INDEX:	P13W4
      OFFSETS:	15-22
       TOKENS:	P13W4-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*Al_1]
   UNSPLITVOC:	(wimA_zilnA)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:1P
          VOC:	wi+mA+zil+nA
        GLOSS:	and+not+stop doing/stop being/still/cease+we

 INPUT STRING:	بنربي
     IS_TRANS:	bnrby
        INDEX:	P13W5
      OFFSETS:	23-28
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~aY_1]
   UNSPLITVOC:	(binirab~iy)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+rab~iy
        GLOSS:	[present-tense]+we+raise/grow/be raised/be grown

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P13W6
      OFFSETS:	29-30
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P13W7
      OFFSETS:	31-34
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P13W8
      OFFSETS:	35-37
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that/to

 INPUT STRING:	تعمل
     IS_TRANS:	tEml
        INDEX:	P13W9
      OFFSETS:	38-42
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(tiEomil)
          POS:	IV2MS+IV
          VOC:	ti+Eomil
        GLOSS:	you [masc.sg.]+make/do

 INPUT STRING:	كذا
     IS_TRANS:	k*A
        INDEX:	P13W10
      OFFSETS:	43-46
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*A_1]
   UNSPLITVOC:	(ka*A)
          POS:	NOUN
          VOC:	ka*A
        GLOSS:	such/thus/so

 INPUT STRING:	كذا
     IS_TRANS:	k*A
        INDEX:	P13W11
      OFFSETS:	47-50
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*A_1]
   UNSPLITVOC:	(ka*A)
          POS:	NOUN
          VOC:	ka*A
        GLOSS:	such/thus/so

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P13W12
      OFFSETS:	51-56
       TOKENS:	P13W15-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	تنجح
     IS_TRANS:	tnjH
        INDEX:	P13W13
      OFFSETS:	58-62
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nijiH_1]
   UNSPLITVOC:	(tinojaH)
          POS:	IV2MS+IV
          VOC:	ti+nojaH
        GLOSS:	you+succeed/make successful/become expert/successful/pass

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P13W14
      OFFSETS:	64-65
       TOKENS:	P13W18-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	تعدي
     IS_TRANS:	tEdy
        INDEX:	P13W15
      OFFSETS:	66-70
       TOKENS:	P13W19-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~aY_1]
   UNSPLITVOC:	(tiEad~iy)
          POS:	IV2MS+IV
          VOC:	ti+Ead~iy
        GLOSS:	you+traverse/cross/be traversed/be crossed

 INPUT STRING:	السنة
     IS_TRANS:	Alsnp
        INDEX:	P13W16
      OFFSETS:	71-76
       TOKENS:	P13W20-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Als~anap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+san+ap
        GLOSS:	the+year/years+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W17
      OFFSETS:	78-80
       TOKENS:	P13W21-P13W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P13W18
      OFFSETS:	81-86
       TOKENS:	P13W22-P13W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	تفهم
     IS_TRANS:	tfhm
        INDEX:	P13W19
      OFFSETS:	87-91
       TOKENS:	P13W24-P13W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(tifoham)
          POS:	IV2MS+IV
          VOC:	ti+foham
        GLOSS:	you+uderstand/understand

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P13W20
      OFFSETS:	92-96
       TOKENS:	P13W25-P13W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W21
      OFFSETS:	96-97
       TOKENS:	P13W26-P13W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W22
      OFFSETS:	97-98
       TOKENS:	P13W27-P13W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	أسرة
     IS_TRANS:	>srp
        INDEX:	P14W2
      OFFSETS:	3-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usorap_1]
   UNSPLITVOC:	(>usorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>usor+ap
        GLOSS:	family/community/families/communities+[fem.sg.]

 INPUT STRING:	بيهمها
     IS_TRANS:	byhmhA
        INDEX:	P14W3
      OFFSETS:	8-14
       TOKENS:	P14W3-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(biyohim~ahA)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	bi+yi+him~+hA
        GLOSS:	[present-tense]+he/it+be ready/intend+it/them/her

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P14W4
      OFFSETS:	15-17
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that/to

 INPUT STRING:	عيالها
     IS_TRANS:	EyAlhA
        INDEX:	P14W5
      OFFSETS:	18-24
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(EiyAlhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	EiyAl+hA
        GLOSS:	family/household/kids+its/their/her

 INPUT STRING:	تاخد
     IS_TRANS:	tAxd
        INDEX:	P14W6
      OFFSETS:	25-29
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(tAxud)
          POS:	IV3FS+IV
          VOC:	t+Axud
        GLOSS:	it/they/she+begin/I/receive/take

 INPUT STRING:	الشهادة
     IS_TRANS:	Al$hAdp
        INDEX:	P14W7
      OFFSETS:	30-37
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahAdap_1]
   UNSPLITVOC:	(Al$~ahAdap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ahAd+ap
        GLOSS:	the+certificate/witness/testimony/martyrdom+[fem.sg.]

 INPUT STRING:	بأكثر
     IS_TRANS:	b>kvr
        INDEX:	P14W8
      OFFSETS:	38-43
       TOKENS:	P14W11-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(bi>akovar)
          POS:	PREP+ADJ_COMP
          VOC:	bi+>akovar
        GLOSS:	with/by+more, most, majority

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P14W9
      OFFSETS:	44-46
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	يهمها
     IS_TRANS:	yhmhA
        INDEX:	P14W10
      OFFSETS:	47-52
       TOKENS:	P14W14-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(yihim~ahA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+him~+hA
        GLOSS:	he/it+be ready/intend/concern/care for+it/them/her

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P14W11
      OFFSETS:	53-55
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that/to

 INPUT STRING:	عيالها
     IS_TRANS:	EyAlhA
        INDEX:	P14W12
      OFFSETS:	56-62
       TOKENS:	P14W17-P14W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(EiyAlhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	EiyAl+hA
        GLOSS:	family/household/kids+its/their/her

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P14W13
      OFFSETS:	63-67
       TOKENS:	P14W19-P14W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	متأسسة
     IS_TRANS:	mt>ssp
        INDEX:	P14W14
      OFFSETS:	68-74
       TOKENS:	P14W20-P14W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mit>as~is_1]
   UNSPLITVOC:	(mit>as~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mit>as~is+ap
        GLOSS:	well established+[fem.sg.]

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P14W15
      OFFSETS:	75-77
       TOKENS:	P14W21-P14W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	right/correct

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P14W16
