 INPUT STRING:	ألحقو
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	وجه
     IS_TRANS:	wjh
        INDEX:	P5W2
      OFFSETS:	3-6
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waj~ih_1]
   UNSPLITVOC:	(waj~ih)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	waj~ih+(null)
        GLOSS:	direct+he/it

 INPUT STRING:	كلامه
     IS_TRANS:	klAmh
        INDEX:	P5W3
      OFFSETS:	7-12
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	kalAm+uh
        GLOSS:	speech/statement/remark/talk/saying+his/its

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W4
      OFFSETS:	13-15
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	رسالة
     IS_TRANS:	rsAlp
        INDEX:	P5W5
      OFFSETS:	16-21
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	risAl+ap
        GLOSS:	letter/communication/dissertation/letters/messages+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W6
      OFFSETS:	22-25
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حسابه
     IS_TRANS:	HsAbh
        INDEX:	P5W7
      OFFSETS:	26-31
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(HisAbuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	HisAb+uh
        GLOSS:	calculation/appraisal+his/its

 INPUT STRING:	الشخصى
     IS_TRANS:	Al$xSY
        INDEX:	P5W8
      OFFSETS:	32-38
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy_1]
   UNSPLITVOC:	(Al$~axoSiy)
          POS:	DET+ADJ
          VOC:	Al+$axoSiy
        GLOSS:	the+private/personal

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W9
      OFFSETS:	39-42
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	موقع
     IS_TRANS:	mwqE
        INDEX:	P5W10
      OFFSETS:	43-47
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(mawqiE)
          POS:	NOUN
          VOC:	mawqiE
        GLOSS:	position/location/site

 INPUT STRING:	المدونات
     IS_TRANS:	AlmdwnAt
        INDEX:	P5W11
      OFFSETS:	48-56
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudaw~an_1]
   UNSPLITVOC:	(Almudaw~anAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+mudaw~an+At
        GLOSS:	the+record/entry/document+[fem.pl.]

 INPUT STRING:	الاجتماعية
     IS_TRANS:	AlAjtmAEyp
        INDEX:	P5W12
      OFFSETS:	57-67
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ijotimAEiy~_1]
   UNSPLITVOC:	(AlAijotimAEiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+{ijotimAEiy~+ap
        GLOSS:	the+social+[fem.sg.]

 INPUT STRING:	للنظام
     IS_TRANS:	llnZAm
        INDEX:	P5W13
      OFFSETS:	68-74
       TOKENS:	P5W15-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(liln~iZAm)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+niZAm
        GLOSS:	for/to+the+methodology/system/order/methodologies/systems

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P5W14
      OFFSETS:	75-81
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	قائلا
     IS_TRANS:	qA}lA
        INDEX:	P5W15
      OFFSETS:	82-87
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qA}il_1]
   UNSPLITVOC:	(qA}ilAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	qA}il+AF
        GLOSS:	saying+[acc.indef.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P5W16
      OFFSETS:	88-89
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	سلب
     IS_TRANS:	slb
        INDEX:	P5W17
      OFFSETS:	91-94
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salob_1]
   UNSPLITVOC:	(salob)
          POS:	NOUN
          VOC:	salob
        GLOSS:	robbing/dispossession/negatively/zero/nil/null

 INPUT STRING:	حريات
     IS_TRANS:	HryAt
        INDEX:	P5W18
      OFFSETS:	95-100
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(Hur~iy~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Hur~iy~+At
        GLOSS:	freedom+[fem.pl.]

 INPUT STRING:	الشعوب
     IS_TRANS:	Al$Ewb
        INDEX:	P5W19
      OFFSETS:	101-107
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~uEuwb)
          POS:	DET+NOUN
          VOC:	Al+$uEuwb
        GLOSS:	the+peoples/nations

 INPUT STRING:	وغياب
     IS_TRANS:	wgyAb
        INDEX:	P5W20
      OFFSETS:	108-113
       TOKENS:	P5W23-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giyAb_1]
   UNSPLITVOC:	(wigiyAb)
          POS:	CONJ+NOUN
          VOC:	wi+giyAb
        GLOSS:	and+absence/disappearance

 INPUT STRING:	العدالة
     IS_TRANS:	AlEdAlp
        INDEX:	P5W21
      OFFSETS:	114-121
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EadAlap_1]
   UNSPLITVOC:	(AlEadAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EadAl+ap
        GLOSS:	the+justice/fairness+[fem.sg.]

 INPUT STRING:	الاجتماعية
     IS_TRANS:	AlAjtmAEyp
        INDEX:	P5W22
      OFFSETS:	122-132
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ijotimAEiy~_1]
   UNSPLITVOC:	(AlAijotimAEiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+{ijotimAEiy~+ap
        GLOSS:	the+social+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W23
      OFFSETS:	133-134
       TOKENS:	P5W27-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	انعدام
     IS_TRANS:	AnEdAm
        INDEX:	P5W24
      OFFSETS:	135-141
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoEidAm_1]
   UNSPLITVOC:	(AinoEidAm)
          POS:	NOUN
          VOC:	AinoEidAm
        GLOSS:	absence of/lack of

 INPUT STRING:	سبل
     IS_TRANS:	sbl
        INDEX:	P5W25
      OFFSETS:	142-145
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabol_1]
   UNSPLITVOC:	(sabol)
          POS:	NOUN
          VOC:	sabol
        GLOSS:	ways/roads

 INPUT STRING:	التغيير
     IS_TRANS:	Altgyyr
        INDEX:	P5W26
      OFFSETS:	146-153
       TOKENS:	P5W30-P5W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(Alt~agoyiyr)
          POS:	DET+NOUN
          VOC:	Al+tagoyiyr
        GLOSS:	the+change/modification/replacement

 INPUT STRING:	السلمى
     IS_TRANS:	AlslmY
        INDEX:	P5W27
      OFFSETS:	154-160
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silomiy_1]
   UNSPLITVOC:	(Als~ilomiy)
          POS:	DET+ADJ
          VOC:	Al+silomiy
        GLOSS:	the+peaceful/pacifist

 INPUT STRING:	يؤدى
     IS_TRANS:	y&dY
        INDEX:	P5W28
      OFFSETS:	161-165
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ad~aY_1]
   UNSPLITVOC:	(yu&ad~iy)
          POS:	IV3MS+IV
          VOC:	yu+&ad~iy
        GLOSS:	he/it+lead

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P5W29
      OFFSETS:	166-169
       TOKENS:	P5W33-P5W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W30
      OFFSETS:	170-172
       TOKENS:	P5W34-P5W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	نراه
     IS_TRANS:	nrAh
        INDEX:	P5W31
      OFFSETS:	173-177
       TOKENS:	P5W35-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY_1]
   UNSPLITVOC:	(narAh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	na+rA+h
        GLOSS:	we+see+him/it

 INPUT STRING:	الآن
     IS_TRANS:	Al|n
        INDEX:	P5W32
      OFFSETS:	178-182
       TOKENS:	P5W37-P5W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|n_1]
   UNSPLITVOC:	(Al|n)
          POS:	DET+NOUN
          VOC:	Al+|n
        GLOSS:	the+time/moment

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W33
      OFFSETS:	182-183
       TOKENS:	P5W38-P5W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P5W34
      OFFSETS:	184-188
       TOKENS:	P5W39-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(AlHaq~)
          POS:	DET+NOUN
          VOC:	Al+Haq~
        GLOSS:	the+right, prerogative, truth

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P5W35
      OFFSETS:	189-192
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawoq_1]
   UNSPLITVOC:	(fawoq)
          POS:	NOUN
          VOC:	fawoq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	القوة
     IS_TRANS:	Alqwp
        INDEX:	P5W36
      OFFSETS:	193-198
       TOKENS:	P5W41-P5W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(Alquw~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+quw~+ap
        GLOSS:	the+power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W37
      OFFSETS:	199-200
       TOKENS:	P5W42-P5W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وتأتى
     IS_TRANS:	wt>tY
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ataY_1]
   UNSPLITVOC:	(wita>tiy)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ta+>tiy
        GLOSS:	and+it/they/she+come

 INPUT STRING:	رسالة
     IS_TRANS:	rsAlp
        INDEX:	P6W2
      OFFSETS:	6-11
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	risAl+ap
        GLOSS:	letter/communication/dissertation/letters/messages+[fem.sg.]

 INPUT STRING:	المدير
     IS_TRANS:	Almdyr
        INDEX:	P6W3
      OFFSETS:	12-18
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(Almudiyr)
          POS:	DET+NOUN
          VOC:	Al+mudiyr
        GLOSS:	the+director/manager/chief/directors/managers

 INPUT STRING:	السابق
     IS_TRANS:	AlsAbq
        INDEX:	P6W4
      OFFSETS:	19-25
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(Als~Abiq)
          POS:	DET+ADJ
          VOC:	Al+sAbiq
        GLOSS:	the+former/previous/preceding

 INPUT STRING:	للوكالة
     IS_TRANS:	llwkAlp
        INDEX:	P6W5
      OFFSETS:	26-33
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wikAlap_1]
   UNSPLITVOC:	(lilwikAlap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+wikAl+ap
        GLOSS:	for/to+the+agency+[fem.sg.]

 INPUT STRING:	الدولية
     IS_TRANS:	Aldwlyp
        INDEX:	P6W6
      OFFSETS:	34-41
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawliy_1]
   UNSPLITVOC:	(Ald~awliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+dawliy~+ap
        GLOSS:	the+state/national+[fem.sg.]

 INPUT STRING:	للطاقة
     IS_TRANS:	llTAqp
        INDEX:	P6W7
      OFFSETS:	42-48
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAqap_1]
   UNSPLITVOC:	(lilT~Aqap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+TAq+ap
        GLOSS:	for/to+the+energy/power/potential+[fem.sg.]

 INPUT STRING:	الذرية
     IS_TRANS:	Al*ryp
        INDEX:	P6W8
      OFFSETS:	49-55
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ar~iy_1]
   UNSPLITVOC:	(Al*~ar~iy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+*ar~iy~+ap
        GLOSS:	the+atomic+[fem.sg.]

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P6W9
      OFFSETS:	56-59
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	دعوتة
     IS_TRANS:	dEwtp
        INDEX:	P6W10
      OFFSETS:	60-65
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(daEowatuh)
          POS:	NOUN.VN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	daEow+ap+uh
        GLOSS:	invitation/call+[fem.sg.]+his/its

 INPUT STRING:	أمس
     IS_TRANS:	>ms
        INDEX:	P6W11
      OFFSETS:	66-69
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amos_1]
   UNSPLITVOC:	(>amos)
          POS:	NOUN
          VOC:	>amos
        GLOSS:	yesterday

 INPUT STRING:	لمقاطعة
     IS_TRANS:	lmqATEp
        INDEX:	P6W12
      OFFSETS:	70-77
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqAToEap_1]
   UNSPLITVOC:	(limuqAToEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+muqAToE+ap
        GLOSS:	for/to+boycotting+[fem.sg.]

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P6W13
      OFFSETS:	78-88
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+{inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	القادمة
     IS_TRANS:	AlqAdmp
        INDEX:	P6W14
      OFFSETS:	89-96
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdim_1]
   UNSPLITVOC:	(AlqAdimap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qAdim+ap
        GLOSS:	the+coming+[fem.sg.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P6W15
      OFFSETS:	96-97
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وتفضيله
     IS_TRANS:	wtfDylh
        INDEX:	P7W1
      OFFSETS:	0-7
       TOKENS:	P7W1-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tafDiyl_1]
   UNSPLITVOC:	(watafDiyluh)
          POS:	CONJ+NOUN.VN+POSS_PRON_3MS
          VOC:	wa+tafDiyl+uh
        GLOSS:	and+favouring+his/its

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P7W2
      OFFSETS:	8-10
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an_1]
   UNSPLITVOC:	(>an)
          POS:	SUB_CONJ
          VOC:	>an
        GLOSS:	that

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P7W3
      OFFSETS:	11-15
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	بالتعيين
     IS_TRANS:	bAltEyyn
        INDEX:	P7W4
      OFFSETS:	16-24
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoyiyn_1]
   UNSPLITVOC:	(biAlt~aEoyiyn)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+taEoyiyn
        GLOSS:	with/by+the+appointing/assignment

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P7W5
      OFFSETS:	24-25
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamA_1]
   UNSPLITVOC:	(kamA)
          POS:	CONJ
          VOC:	kamA
        GLOSS:	and/as/also

 INPUT STRING:	دعى
     IS_TRANS:	dEY
        INDEX:	P8W2
      OFFSETS:	4-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[daEaY_1]
   UNSPLITVOC:	(daEaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	daEaY+(null)
        GLOSS:	call+he/it

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P8W3
      OFFSETS:	8-11
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	المسيرات
     IS_TRANS:	AlmsyrAt
        INDEX:	P8W4
      OFFSETS:	12-20
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masiyrap_1]
   UNSPLITVOC:	(AlmasiyrAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+masiyr+At
        GLOSS:	the+marches/parades+[fem.pl.]

 INPUT STRING:	الحاشدة
     IS_TRANS:	AlHA$dp
        INDEX:	P8W5
      OFFSETS:	21-28
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HA$id_1]
   UNSPLITVOC:	(AlHA$idap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+HA$id+ap
        GLOSS:	the+crowded+[fem.sg.]

 INPUT STRING:	والنزول
     IS_TRANS:	wAlnzwl
        INDEX:	P8W6
      OFFSETS:	29-36
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuzuwl_1]
   UNSPLITVOC:	(wiAlnuzuwl)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nuzuwl
        GLOSS:	and+the+descent/resignation

 INPUT STRING:	للشارع
     IS_TRANS:	ll$ArE
        INDEX:	P8W7
      OFFSETS:	37-43
       TOKENS:	P8W8-P8W9
