 INPUT STRING:	أعلن
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	انتخابات
     IS_TRANS:	AntxAbAt
        INDEX:	P5W26
      OFFSETS:	156-164
       TOKENS:	P5W30-P5W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AinotixAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	{inotixAb+At
        GLOSS:	elections/selections+[fem.pl.]

 INPUT STRING:	الرئاسة
     IS_TRANS:	Alr}Asp
        INDEX:	P5W27
      OFFSETS:	165-172
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(Alr~i}Asap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ri}As+ap
        GLOSS:	the+presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P5W28
      OFFSETS:	172-173
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ووضع
     IS_TRANS:	wwDE
        INDEX:	P5W29
      OFFSETS:	173-177
       TOKENS:	P5W33-P5W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(wiwaDoE)
          POS:	CONJ+NOUN
          VOC:	wi+waDoE
        GLOSS:	and+laying down/putting/placing

 INPUT STRING:	دستور
     IS_TRANS:	dstwr
        INDEX:	P5W30
      OFFSETS:	178-183
       TOKENS:	P5W35-P5W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(dusotuwr)
          POS:	NOUN
          VOC:	dusotuwr
        GLOSS:	constitution/statute/constitutions/statutes

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P5W31
      OFFSETS:	184-188
       TOKENS:	P5W36-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadiyd_1]
   UNSPLITVOC:	(jadiyd)
          POS:	ADJ
          VOC:	jadiyd
        GLOSS:	new/modern

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P5W32
      OFFSETS:	189-192
       TOKENS:	P5W37-P5W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	تولى
     IS_TRANS:	twlY
        INDEX:	P5W33
      OFFSETS:	193-197
       TOKENS:	P5W38-P5W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawal~iy_1]
   UNSPLITVOC:	(tawal~iy)
          POS:	NOUN.VN
          VOC:	tawal~iy
        GLOSS:	taking charge of/assuming responsibility

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P5W34
      OFFSETS:	198-202
       TOKENS:	P5W39-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P5W35
      OFFSETS:	203-207
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadiyd_1]
   UNSPLITVOC:	(jadiyd)
          POS:	ADJ
          VOC:	jadiyd
        GLOSS:	new/modern

 INPUT STRING:	رئاسه
     IS_TRANS:	r}Ash
        INDEX:	P5W36
      OFFSETS:	208-213
       TOKENS:	P5W41-P5W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(ri}Asap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ri}As+ap
        GLOSS:	presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	الجمهورية
     IS_TRANS:	Aljmhwryp
        INDEX:	P5W37
      OFFSETS:	214-223
       TOKENS:	P5W42-P5W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jumohuwriy~_1]
   UNSPLITVOC:	(Aljumohuwriy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumohuwriy~+ap
        GLOSS:	the+republican+[fem.sg.]

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	CONJ+PREP
          VOC:	wi+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	صعيد
     IS_TRANS:	SEyd
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SaEiyd_1]
   UNSPLITVOC:	(SaEiyd)
          POS:	NOUN
          VOC:	SaEiyd
        GLOSS:	level/plane

 INPUT STRING:	أخر
     IS_TRANS:	>xr
        INDEX:	P6W3
      OFFSETS:	10-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axar_1]
   UNSPLITVOC:	(>axar)
          POS:	ADJ
          VOC:	>axar
        GLOSS:	another

 INPUT STRING:	صرح
     IS_TRANS:	SrH
        INDEX:	P6W4
      OFFSETS:	14-17
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sar~aH_1]
   UNSPLITVOC:	(Sar~aH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Sar~aH+(null)
        GLOSS:	declare/announce+he/it

 INPUT STRING:	د
     IS_TRANS:	d
        INDEX:	P6W5
      OFFSETS:	18-19
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[d_1]
   UNSPLITVOC:	(d)
          POS:	ABBREV
          VOC:	d
        GLOSS:	Dr

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P6W6
      OFFSETS:	19-20
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P6W7
      OFFSETS:	20-24
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	بديع
     IS_TRANS:	bdyE
        INDEX:	P6W8
      OFFSETS:	25-29
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badiyE_1]
   UNSPLITVOC:	(badiyE)
          POS:	NOUN_PROP
          VOC:	badiyE
        GLOSS:	Badie

 INPUT STRING:	مرشد
     IS_TRANS:	mr$d
        INDEX:	P6W9
      OFFSETS:	30-34
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muro$id_1]
   UNSPLITVOC:	(muro$id)
          POS:	NOUN
          VOC:	muro$id
        GLOSS:	guide/instructor/adviser

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P6W10
      OFFSETS:	35-40
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	للإخوان
     IS_TRANS:	ll<xwAn
        INDEX:	P6W11
      OFFSETS:	41-48
       TOKENS:	P6W12-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(lil<ixowAn)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+<ixowAn
        GLOSS:	to/for+the+brothers

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P6W12
      OFFSETS:	49-57
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+musolim+iyn
        GLOSS:	the+moslem+[masc.pl.]

 INPUT STRING:	عقب
     IS_TRANS:	Eqb
        INDEX:	P6W13
      OFFSETS:	58-61
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euqob_1]
   UNSPLITVOC:	(Euqob)
          POS:	NOUN
          VOC:	Euqob
        GLOSS:	consequence/aftermath/heels

 INPUT STRING:	ادلائه
     IS_TRANS:	AdlA}h
        INDEX:	P6W14
      OFFSETS:	62-68
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AidlA}_1]
   UNSPLITVOC:	(AidlA}uh)
          POS:	NOUN.VN+POSS_PRON_3MS
          VOC:	AidlA}+uh
        GLOSS:	delivery/presentation+his/its

 INPUT STRING:	بصوته
     IS_TRANS:	bSwth
        INDEX:	P6W15
      OFFSETS:	69-74
       TOKENS:	P6W18-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(biSawtuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+Sawt+uh
        GLOSS:	with/by+voice/sound/voices/sounds+his/its

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W16
      OFFSETS:	75-77
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	انتخابات
     IS_TRANS:	AntxAbAt
        INDEX:	P6W17
      OFFSETS:	78-86
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AinotixAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	{inotixAb+At
        GLOSS:	elections/selections+[fem.pl.]

 INPUT STRING:	الشورى
     IS_TRANS:	Al$wrY
        INDEX:	P6W18
      OFFSETS:	87-93
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uwraY_1]
   UNSPLITVOC:	(Al$~uwraY)
          POS:	DET+NOUN
          VOC:	Al+$uwraY
        GLOSS:	the+consultation/deliberation

 INPUT STRING:	أمس
     IS_TRANS:	>ms
        INDEX:	P6W19
      OFFSETS:	94-97
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amos_1]
   UNSPLITVOC:	(>amos)
          POS:	NOUN
          VOC:	>amos
        GLOSS:	yesterday

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W20
      OFFSETS:	98-100
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بنى
     IS_TRANS:	bnY
        INDEX:	P6W21
      OFFSETS:	101-104
       TOKENS:	P6W26-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baniy_1]
   UNSPLITVOC:	(baniy)
          POS:	NOUN_PROP
          VOC:	baniy
        GLOSS:	Bani/Beni/Benny

 INPUT STRING:	سويف
     IS_TRANS:	swyf
        INDEX:	P6W22
      OFFSETS:	105-109
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwayf_1]
   UNSPLITVOC:	(suwayf)
          POS:	NOUN_PROP
          VOC:	suwayf
        GLOSS:	Suwayf

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P6W23
      OFFSETS:	110-111
       TOKENS:	P6W28-P6W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	يأن
     IS_TRANS:	y>n
        INDEX:	P6W24
      OFFSETS:	112-115
       TOKENS:	P6W29-P6W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>an_1]
   UNSPLITVOC:	(y>an)
          POS:	TYPO+SUB_CONJ
          VOC:	y+>an
        GLOSS:	TYPO+that

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P6W25
      OFFSETS:	116-119
       TOKENS:	P6W31-P6W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+must

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P6W26
      OFFSETS:	120-123
       TOKENS:	P6W32-P6W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(AnlA)
          POS:	SUB_CONJ+NEG_PART
          VOC:	An+lA
        GLOSS:	that+not

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P6W27
      OFFSETS:	124-128
       TOKENS:	P6W34-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yakuwn)
          POS:	IV3MS+IV
          VOC:	ya+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	الاخوان
     IS_TRANS:	AlAxwAn
        INDEX:	P6W28
      OFFSETS:	129-136
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Al<ixowAn)
          POS:	DET+NOUN
          VOC:	Al+<ixowAn
        GLOSS:	the+brothers

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P6W29
      OFFSETS:	137-145
       TOKENS:	P6W36-P6W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+musolim+iyn
        GLOSS:	the+muslem+[masc.pl.]

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P6W30
      OFFSETS:	146-148
       TOKENS:	P6W37-P6W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	درع
     IS_TRANS:	drE
        INDEX:	P6W31
      OFFSETS:	149-152
       TOKENS:	P6W38-P6W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diroE_1]
   UNSPLITVOC:	(diroE)
          POS:	NOUN
          VOC:	diroE
        GLOSS:	armor/plate armor

 INPUT STRING:	السياسه
     IS_TRANS:	AlsyAsh
        INDEX:	P6W32
      OFFSETS:	153-160
       TOKENS:	P6W39-P6W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(Als~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAs+ap
        GLOSS:	the+politics+[fem.sg.]

 INPUT STRING:	السائد
     IS_TRANS:	AlsA}d
        INDEX:	P6W33
      OFFSETS:	161-167
       TOKENS:	P6W40-P6W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sA}id_1]
   UNSPLITVOC:	(Als~A}id)
          POS:	DET+ADJ
          VOC:	Al+sA}id
        GLOSS:	the+prevailing/dominant/ruling

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P6W34
      OFFSETS:	168-171
       TOKENS:	P6W41-P6W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(wa>an~a)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+>an~a
        GLOSS:	and+that

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W35
      OFFSETS:	172-175
       TOKENS:	P6W43-P6W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P6W36
      OFFSETS:	176-182
       TOKENS:	P6W44-P6W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	القادم
     IS_TRANS:	AlqAdm
        INDEX:	P6W37
      OFFSETS:	183-189
       TOKENS:	P6W45-P6W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdim_1]
   UNSPLITVOC:	(AlqAdim)
          POS:	DET+ADJ
          VOC:	Al+qAdim
        GLOSS:	the+arriving/coming/proceeding

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W38
      OFFSETS:	190-192
       TOKENS:	P6W46-P6W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P6W39
      OFFSETS:	193-197
       TOKENS:	P6W47-P6W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yakuwn)
          POS:	IV3MS+IV
          VOC:	ya+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	محايد
     IS_TRANS:	mHAyd
        INDEX:	P6W40
      OFFSETS:	198-203
       TOKENS:	P6W48-P6W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAyid_1]
   UNSPLITVOC:	(muHAyid)
          POS:	ADJ
          VOC:	muHAyid
        GLOSS:	neutral

 INPUT STRING:	ويجب
     IS_TRANS:	wyjb
        INDEX:	P6W41
      OFFSETS:	204-208
       TOKENS:	P6W49-P6W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(wiyajib)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+ya+jib
        GLOSS:	and+he/it+must

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W42
      OFFSETS:	209-211
       TOKENS:	P6W51-P6W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P6W43
      OFFSETS:	212-216
       TOKENS:	P6W52-P6W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yakuwn)
          POS:	IV3MS+IV
          VOC:	ya+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	توافقيا
     IS_TRANS:	twAfqyA
        INDEX:	P6W44
      OFFSETS:	217-224
       TOKENS:	P6W53-P6W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawAfuqiy_1]
   UNSPLITVOC:	(tawAfuqiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	tawAfuqiy~+AF
        GLOSS:	compatible+[acc.indef.]

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P6W45
      OFFSETS:	225-228
       TOKENS:	P6W54-P6W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(bayon)
          POS:	NOUN
          VOC:	bayon
        GLOSS:	between/among

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W46
      OFFSETS:	229-231
       TOKENS:	P6W55-P6W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الجهات
     IS_TRANS:	AljhAt
        INDEX:	P6W47
      OFFSETS:	232-238
       TOKENS:	P6W56-P6W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihap_1]
   UNSPLITVOC:	(AljihAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+jih+At
        GLOSS:	the+side/part/direction+[fem.pl.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P6W48
      OFFSETS:	238-239
       TOKENS:	P6W57-P6W57
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وأضاف
     IS_TRANS:	w>DAf
        INDEX:	P6W49
      OFFSETS:	239-244
       TOKENS:	P6W58-P6W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aDAf_1]
   UNSPLITVOC:	(wi>aDAf)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aDAf+(null)
        GLOSS:	and+add/be added+he/it

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W50
      OFFSETS:	245-247
       TOKENS:	P6W60-P6W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P6W51
      OFFSETS:	248-251
       TOKENS:	P6W61-P6W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P6W52
      OFFSETS:	252-255
       TOKENS:	P6W62-P6W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hA_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	الكثير
     IS_TRANS:	Alkvyr
        INDEX:	P6W53
      OFFSETS:	256-262
       TOKENS:	P6W64-P6W64
