 INPUT STRING:	سميرة
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wAEdwA)
          POS:	TYPO
          VOC:	wAEdwA
        GLOSS:	nogloss

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P3W13
      OFFSETS:	68-73
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W14
      OFFSETS:	74-76
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المعتقل
     IS_TRANS:	AlmEtql
        INDEX:	P3W15
      OFFSETS:	77-84
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotaqal_1]
   UNSPLITVOC:	(AlmuEotaqal)
          POS:	DET+NOUN
          VOC:	Al+muEotaqal
        GLOSS:	the+prison camp/prisoner/detainee

 INPUT STRING:	وعلشان
     IS_TRANS:	wEl$An
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(wiEala$a>on)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+EalaY+$An
        GLOSS:	and+for+that

 INPUT STRING:	يثبتوا
     IS_TRANS:	yvbtwA
        INDEX:	P4W2
      OFFSETS:	7-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vabat_1]
   UNSPLITVOC:	(yivobituwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+vobit+uwA
        GLOSS:	they+confirm/reinforce/be confirmed/be reinforced+[masc.pl.]

 INPUT STRING:	برائة
     IS_TRANS:	brA}p
        INDEX:	P4W3
      OFFSETS:	14-19
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(brA}p)
          POS:	TYPO
          VOC:	brA}p
        GLOSS:	nogloss

 INPUT STRING:	افراد
     IS_TRANS:	AfrAd
        INDEX:	P4W4
      OFFSETS:	20-25
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[farod_1]
   UNSPLITVOC:	(>aforAd)
          POS:	NOUN
          VOC:	>aforAd
        GLOSS:	individuals

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P4W5
      OFFSETS:	26-31
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	كشفوا
     IS_TRANS:	k$fwA
        INDEX:	P4W6
      OFFSETS:	32-37
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka$af_1]
   UNSPLITVOC:	(ka$afuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	ka$af+uwA
        GLOSS:	discover/reveal/disclose/examine/be discovered/be revealed/be disclosed/examine+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W7
      OFFSETS:	38-41
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/ above

 INPUT STRING:	البنات
     IS_TRANS:	AlbnAt
        INDEX:	P4W8
      OFFSETS:	42-48
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(AlbanAt)
          POS:	DET+NOUN
          VOC:	Al+banAt
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	والى
     IS_TRANS:	wAlY
        INDEX:	P4W9
      OFFSETS:	49-53
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(waAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Aill~iy
        GLOSS:	and+who/whose/which

 INPUT STRING:	كشف
     IS_TRANS:	k$f
        INDEX:	P4W10
      OFFSETS:	54-57
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka$af_1]
   UNSPLITVOC:	(ka$af)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	ka$af+(null)
        GLOSS:	discover/reveal/disclose/examine/be discovered/be revealed/be disclosed/examine+he/it

 INPUT STRING:	عاليم
     IS_TRANS:	EAlym
        INDEX:	P4W11
      OFFSETS:	58-63
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(EAlym)
          POS:	TYPO
          VOC:	EAlym
        GLOSS:	nogloss

 INPUT STRING:	افراد
     IS_TRANS:	AfrAd
        INDEX:	P4W12
      OFFSETS:	64-69
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[farod_1]
   UNSPLITVOC:	(>aforAd)
          POS:	NOUN
          VOC:	>aforAd
        GLOSS:	individuals

 INPUT STRING:	ودكترا
     IS_TRANS:	wdktrA
        INDEX:	P4W13
      OFFSETS:	70-76
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dakatrA_1]
   UNSPLITVOC:	(widakatrA)
          POS:	CONJ+NOUN
          VOC:	wi+dakatrA
        GLOSS:	and+doctor

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W14
      OFFSETS:	77-79
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P4W15
      OFFSETS:	80-85
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	ودلوقتى
     IS_TRANS:	wdlwqtY
        INDEX:	P5W1
      OFFSETS:	0-7
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(widilowaqotiy)
          POS:	CONJ+ADV
          VOC:	wi+dilowaqotiy
        GLOSS:	and+now

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W2
      OFFSETS:	8-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P5W3
      OFFSETS:	11-16
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	بيقوا
     IS_TRANS:	byqwA
        INDEX:	P5W4
      OFFSETS:	17-22
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(byqwA)
          POS:	TYPO
          VOC:	byqwA
        GLOSS:	nogloss

 INPUT STRING:	اثبات
     IS_TRANS:	AvbAt
        INDEX:	P5W5
      OFFSETS:	23-28
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ivobAt_1]
   UNSPLITVOC:	(<ivobAt)
          POS:	NOUN
          VOC:	<ivobAt
        GLOSS:	confirmation/verification/proof

 INPUT STRING:	هتك
     IS_TRANS:	htk
        INDEX:	P5W6
      OFFSETS:	29-32
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hatok_1]
   UNSPLITVOC:	(hatok)
          POS:	NOUN
          VOC:	hatok
        GLOSS:	tearing apart/disclosure/degradation

 INPUT STRING:	العرض
     IS_TRANS:	AlErD
        INDEX:	P5W7
      OFFSETS:	33-38
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(AlEaroD)
          POS:	DET+NOUN
          VOC:	Al+EaroD
        GLOSS:	the+honor

 INPUT STRING:	بسجن
     IS_TRANS:	bsjn
        INDEX:	P5W8
      OFFSETS:	39-43
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijon_1]
   UNSPLITVOC:	(bisijon)
          POS:	PREP+NOUN
          VOC:	bi+sijon
        GLOSS:	with/by+prison

 INPUT STRING:	الحربى
     IS_TRANS:	AlHrbY
        INDEX:	P5W9
      OFFSETS:	44-50
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harobiy_1]
   UNSPLITVOC:	(AlHarobiy)
          POS:	DET+ADJ
          VOC:	Al+Harobiy
        GLOSS:	the+military/war-related

 INPUT STRING:	&
     IS_TRANS:	&
        INDEX:	P5W10
      OFFSETS:	51-52
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(&)
          POS:	PUNC
          VOC:	&
        GLOSS:	nogloss

 INPUT STRING:	;
     IS_TRANS:	;
        INDEX:	P5W11
      OFFSETS:	55-56
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(;)
          POS:	PUNC
          VOC:	;
        GLOSS:	nogloss

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P5W12
      OFFSETS:	60-64
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P5W13
      OFFSETS:	65-70
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P5W14
      OFFSETS:	71-74
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_2]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	occur/happen/take place+he/it

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P5W15
      OFFSETS:	75-79
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P5W16
      OFFSETS:	80-84
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing+[fem.sg.]

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P5W17
      OFFSETS:	85-89
       TOKENS:	P5W20-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	بصراحة
     IS_TRANS:	bSrAHp
        INDEX:	P6W1
      OFFSETS:	0-6
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W2
      OFFSETS:	7-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W3
      OFFSETS:	11-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فهمة
     IS_TRANS:	fhmp
        INDEX:	P6W4
      OFFSETS:	14-18
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fahim_1]
   UNSPLITVOC:	(fahmap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fahm+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P6W5
      OFFSETS:	19-23
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing+[fem.sg.]

 INPUT STRING:	وانهى
     IS_TRANS:	wAnhY
        INDEX:	P6W6
      OFFSETS:	24-29
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anohiy_1]
   UNSPLITVOC:	(wi>anohiy)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+>anohiy
        GLOSS:	and+which

 INPUT STRING:	الحقيقة
     IS_TRANS:	AlHqyqp
        INDEX:	P6W7
      OFFSETS:	30-37
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqiyqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Haqiyq+ap
        GLOSS:	the+truth/reality/truth/facts+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W8
      OFFSETS:	38-40
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مستوعبة
     IS_TRANS:	mstwEbp
        INDEX:	P6W9
      OFFSETS:	41-48
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotawEib_1]
   UNSPLITVOC:	(misotawEibap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	misotawEib+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W10
      OFFSETS:	49-51
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	جشنا
     IS_TRANS:	j$nA
        INDEX:	P6W11
      OFFSETS:	52-56
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(j$nA)
          POS:	TYPO
          VOC:	j$nA
        GLOSS:	nogloss

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P6W12
      OFFSETS:	57-61
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomil)
          POS:	IV3MS+IV
          VOC:	yi+Eomil
        GLOSS:	he/it+do

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P6W13
      OFFSETS:	62-65
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P7W2
      OFFSETS:	4-9
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	تقذف
     IS_TRANS:	tq*f
        INDEX:	P7W3
      OFFSETS:	10-14
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qo*af_1]
   UNSPLITVOC:	(taqo*if)
          POS:	IV3FS+IV
          VOC:	ta+qo*if
        GLOSS:	it/she/they+throw/pelt/slander

 INPUT STRING:	بالباطل
     IS_TRANS:	bAlbATl
        INDEX:	P7W4
      OFFSETS:	15-22
       TOKENS:	P7W5-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bATil_1]
   UNSPLITVOC:	(biAlbATil)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+bATil
        GLOSS:	with/by+the+falsehood

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P7W5
      OFFSETS:	23-27
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfy$)
          POS:	NO_FUNC
          VOC:	mfy$
        GLOSS:	nogloss

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P7W6
      OFFSETS:	28-31
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	حسبنا
     IS_TRANS:	HsbnA
        INDEX:	P7W7
      OFFSETS:	32-37
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(HasabnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Hasab+nA
        GLOSS:	Enough/ sufficiency/ sufficient+our

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P7W8
      OFFSETS:	38-42
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P7W9
      OFFSETS:	43-47
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P7W10
      OFFSETS:	48-54
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+attorney

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P8W2
      OFFSETS:	4-6
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	انتمائكم
     IS_TRANS:	AntmA}km
        INDEX:	P8W3
      OFFSETS:	7-15
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotimA'_1]
   UNSPLITVOC:	(AinotimA}kum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	<inotimA}+kum
        GLOSS:	membership/affiliation/commitment+your

 INPUT STRING:	وولائكم
     IS_TRANS:	wwlA}km
        INDEX:	P8W4
      OFFSETS:	16-23
       TOKENS:	P8W5-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walA'_1]
   UNSPLITVOC:	(wiwalA}kum)
          POS:	CONJ+NOUN+POSS_PRON_2P
          VOC:	wi+walA}+kum
        GLOSS:	and+loyalty/allegiance+your

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P8W5
      OFFSETS:	24-27
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	ظالم
     IS_TRANS:	ZAlm
        INDEX:	P8W6
      OFFSETS:	28-32
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAlim_1]
   UNSPLITVOC:	(ZAlim)
          POS:	ADJ
          VOC:	ZAlim
        GLOSS:	oppressive/tyrannical

 INPUT STRING:	وهاتك
     IS_TRANS:	whAtk
        INDEX:	P8W7
      OFFSETS:	33-38
       TOKENS:	P8W11-P8W12
