 INPUT STRING:	نحن
          VOC:	ya+Hoduv+u
        GLOSS:	he/it+happen/take place+[ind.]

 INPUT STRING:	وادركت
     IS_TRANS:	wAdrkt
        INDEX:	P5W9
      OFFSETS:	40-46
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>adorak_1]
   UNSPLITVOC:	(wa>adorakotu)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wa+>adorak+tu
        GLOSS:	and+comprehend/realize+I [verb]

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P5W10
      OFFSETS:	47-51
       TOKENS:	P5W13-P5W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~anA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	>an~a+nA
        GLOSS:	that+we

 INPUT STRING:	نستحق
     IS_TRANS:	nstHq
        INDEX:	P5W11
      OFFSETS:	52-57
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotaHaq~_1]
   UNSPLITVOC:	(nasotaHiq~u)
          POS:	IV1P+IV+IVSUFF_MOOD:I
          VOC:	na+sotaHiq~+u
        GLOSS:	we+deserve/merit+[ind.]

 INPUT STRING:	اكثر
     IS_TRANS:	Akvr
        INDEX:	P5W12
      OFFSETS:	58-62
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W13
      OFFSETS:	63-65
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mn)
          POS:	NO_FUNC
          VOC:	mn
        GLOSS:	nogloss

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P5W14
      OFFSETS:	66-69
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*lk)
          POS:	NO_FUNC
          VOC:	*lk
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W15
      OFFSETS:	70-71
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الم
     IS_TRANS:	Alm
        INDEX:	P6W1
      OFFSETS:	1-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(>alamo)
          POS:	INTERROG_PART+NEG_PART
          VOC:	>a+lamo
        GLOSS:	did+not

 INPUT STRING:	يدرك
     IS_TRANS:	ydrk
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>adorak_1]
   UNSPLITVOC:	(yudoriko)
          POS:	IV3MS+IV+IVSUFF_MOOD:J
          VOC:	yu+dorik+o
        GLOSS:	he/it+comprehend/realize+[jus.]

 INPUT STRING:	هؤلاء
     IS_TRANS:	h&lA'
        INDEX:	P6W3
      OFFSETS:	10-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`&ulA'i)
          POS:	DEM_PRON_P
          VOC:	h`&ulA'i
        GLOSS:	these

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P6W4
      OFFSETS:	16-21
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	تفتت
     IS_TRANS:	tftt
        INDEX:	P6W5
      OFFSETS:	22-26
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tftt)
          POS:	TYPO
          VOC:	tftt
        GLOSS:	nogloss

 INPUT STRING:	اكبادهم
     IS_TRANS:	AkbAdhm
        INDEX:	P6W6
      OFFSETS:	27-34
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kabid_1]
   UNSPLITVOC:	(>akobAduhum)
          POS:	NOUN+CASE_DEF_NOM+POSS_PRON_3MP
          VOC:	>akobAd+u+hum
        GLOSS:	livers+[def.nom]+their

 INPUT STRING:	لفقد
     IS_TRANS:	lfqd
        INDEX:	P6W7
      OFFSETS:	35-39
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqod_1]
   UNSPLITVOC:	(lifaqod)
          POS:	PREP+NOUN.VN
          VOC:	li+faqod
        GLOSS:	for/to+loss/bereavement

 INPUT STRING:	ابن
     IS_TRANS:	Abn
        INDEX:	P6W8
      OFFSETS:	40-43
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ibon_1]
   UNSPLITVOC:	(Aibon)
          POS:	NOUN
          VOC:	{ibon
        GLOSS:	son/junior (Jr.)

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P6W9
      OFFSETS:	44-46
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	زوج
     IS_TRANS:	zwj
        INDEX:	P6W10
      OFFSETS:	47-50
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zawoj_1]
   UNSPLITVOC:	(zawoj)
          POS:	NOUN
          VOC:	zawoj
        GLOSS:	spouse/husband

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P6W11
      OFFSETS:	51-53
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	اب
     IS_TRANS:	Ab
        INDEX:	P6W12
      OFFSETS:	54-56
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ab_1]
   UNSPLITVOC:	(>ab)
          POS:	NOUN
          VOC:	>ab
        GLOSS:	father

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P6W13
      OFFSETS:	57-59
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	اخ
     IS_TRANS:	Ax
        INDEX:	P6W14
      OFFSETS:	60-62
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax_1]
   UNSPLITVOC:	(>ax)
          POS:	NOUN
          VOC:	>ax
        GLOSS:	brother

 INPUT STRING:	كم
     IS_TRANS:	km
        INDEX:	P6W15
      OFFSETS:	63-65
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kamo_2]
   UNSPLITVOC:	(kamo)
          POS:	REL_PRON
          VOC:	kamo
        GLOSS:	how many/much

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P6W16
      OFFSETS:	66-68
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwa_1]
   UNSPLITVOC:	(huwa)
          POS:	PRON_3MS
          VOC:	huwa
        GLOSS:	it/he

 INPUT STRING:	هزيل
     IS_TRANS:	hzyl
        INDEX:	P6W17
      OFFSETS:	69-73
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haziyl_1]
   UNSPLITVOC:	(haziyl)
          POS:	ADJ
          VOC:	haziyl
        GLOSS:	emaciated/gaunt

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P6W18
      OFFSETS:	74-77
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*A)
          POS:	DEM_PRON_MS
          VOC:	h`*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P6W19
      OFFSETS:	78-83
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+judgment/decision/verdict

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W20
      OFFSETS:	84-85
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الم
     IS_TRANS:	Alm
        INDEX:	P7W1
      OFFSETS:	1-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(>alamo)
          POS:	INTERROG_PART+NEG_PART
          VOC:	>a+lamo
        GLOSS:	did+not

 INPUT STRING:	يدركوا
     IS_TRANS:	ydrkwA
        INDEX:	P7W2
      OFFSETS:	5-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>adorak_1]
   UNSPLITVOC:	(yudorikuwA)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ
          VOC:	yu+dorik+uwA
        GLOSS:	they (people)+comprehend/realize+[masc.pl.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W3
      OFFSETS:	12-14
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W4
      OFFSETS:	15-17
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يسرق
     IS_TRANS:	ysrq
        INDEX:	P7W5
      OFFSETS:	18-22
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saraq-i_1]
   UNSPLITVOC:	(yasoriqu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+soriq+u
        GLOSS:	he/it+steal/rob+[ind.]

 INPUT STRING:	حلة
     IS_TRANS:	Hlp
        INDEX:	P7W6
      OFFSETS:	23-26
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hul~ap_1]
   UNSPLITVOC:	(Hul~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hul~+ap
        GLOSS:	suit of clothes+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P7W7
      OFFSETS:	27-29
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	حبل
     IS_TRANS:	Hbl
        INDEX:	P7W8
      OFFSETS:	30-33
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habol_1]
   UNSPLITVOC:	(Habol)
          POS:	NOUN
          VOC:	Habol
        GLOSS:	cord/cable

 INPUT STRING:	غسيل
     IS_TRANS:	gsyl
        INDEX:	P7W9
      OFFSETS:	34-38
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gasiyl_1]
   UNSPLITVOC:	(gasiyl)
          POS:	NOUN
          VOC:	gasiyl
        GLOSS:	clothes/wash/dirty linen

 INPUT STRING:	يعاقب
     IS_TRANS:	yEAqb
        INDEX:	P7W10
      OFFSETS:	39-44
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAqab_1]
   UNSPLITVOC:	(yuEAqabu)
          POS:	IV3MS+IV_PASS+IVSUFF_MOOD:I
          VOC:	yu+EAqab+u
        GLOSS:	he/it+be punished+[ind.]

 INPUT STRING:	بعقوبة
     IS_TRANS:	bEqwbp
        INDEX:	P7W11
      OFFSETS:	45-51
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euquwbap_1]
   UNSPLITVOC:	(biEuquwbap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+Euquwb+ap
        GLOSS:	with/by+punishment/sanction/punitive measure+[fem.sg.]

 INPUT STRING:	اشد
     IS_TRANS:	A$d
        INDEX:	P7W12
      OFFSETS:	52-55
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$ad~_1]
   UNSPLITVOC:	(>a$ad~)
          POS:	ADJ_COMP
          VOC:	>a$ad~
        GLOSS:	stronger/strongest/more/most intense

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W13
      OFFSETS:	56-58
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P7W14
      OFFSETS:	59-62
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(*`lika)
          POS:	DEM_PRON_MS
          VOC:	*`lika
        GLOSS:	that

 INPUT STRING:	وتنفذ
     IS_TRANS:	wtnf*
        INDEX:	P7W15
      OFFSETS:	63-68
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naf~a*_1]
   UNSPLITVOC:	(watunaf~a*u)
          POS:	CONJ+IV3FS+IV_PASS+IVSUFF_MOOD:I
          VOC:	wa+tu+naf~a*+u
        GLOSS:	and+it/they/she+be implemented/be carried out/be accomplished+[ind.]

 INPUT STRING:	فية
     IS_TRANS:	fyp
        INDEX:	P7W16
      OFFSETS:	69-72
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhi)
          POS:	PREP+PRON_3MS
          VOC:	fiy+hi
        GLOSS:	in+it/him

 INPUT STRING:	العقوبة
     IS_TRANS:	AlEqwbp
        INDEX:	P7W17
      OFFSETS:	73-80
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euquwbap_1]
   UNSPLITVOC:	(AlEuquwbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Euquwb+ap
        GLOSS:	the+punishment/sanction/punitive measure+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W18
      OFFSETS:	81-82
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ألم
     IS_TRANS:	>lm
        INDEX:	P8W1
      OFFSETS:	1-4
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(>alamo)
          POS:	INTERROG_PART+NEG_PART
          VOC:	>a+lamo
        GLOSS:	did+not

 INPUT STRING:	يدركوا
     IS_TRANS:	ydrkwA
        INDEX:	P8W2
      OFFSETS:	5-11
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>adorak_1]
   UNSPLITVOC:	(yudorikuwA)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ
          VOC:	yu+dorik+uwA
        GLOSS:	they (people)+comprehend/realize+[masc.pl.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W3
      OFFSETS:	12-14
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	الخطأ
     IS_TRANS:	AlxT>
        INDEX:	P8W4
      OFFSETS:	15-20
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTa>_1]
   UNSPLITVOC:	(AlxaTa>)
          POS:	DET+NOUN
          VOC:	Al+xaTa>
        GLOSS:	the+mistake/error/fault

 INPUT STRING:	الجسيم
     IS_TRANS:	Aljsym
        INDEX:	P8W5
      OFFSETS:	21-27
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jasiym_1]
   UNSPLITVOC:	(Aljasiym)
          POS:	DET+ADJ
          VOC:	Al+jasiym
        GLOSS:	the+great/huge

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W6
      OFFSETS:	28-30
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نظر
     IS_TRANS:	nZr
        INDEX:	P8W7
      OFFSETS:	31-34
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZar)
          POS:	NOUN
          VOC:	naZar
        GLOSS:	view/look/seeing/eye-sight

 INPUT STRING:	القانون
     IS_TRANS:	AlqAnwn
        INDEX:	P8W8
      OFFSETS:	35-42
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAnuwn)
          POS:	DET+NOUN
          VOC:	Al+qAnuwn
        GLOSS:	the+law/statutes/regulations

 INPUT STRING:	يساوى
     IS_TRANS:	ysAwY
        INDEX:	P8W9
      OFFSETS:	43-48
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAwaY_1]
   UNSPLITVOC:	(yusAwiy)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	yu+sAwiy+(null)
        GLOSS:	he/it+settle/be equivalent/equalize+[ind.]

 INPUT STRING:	التعمد
     IS_TRANS:	AltEmd
        INDEX:	P8W10
      OFFSETS:	49-55
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[taEam~ud_1]
   UNSPLITVOC:	(AltaEam~ud)
          POS:	DET+NOUN
          VOC:	Al+taEam~ud
        GLOSS:	the+intention/premeditation

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W11
      OFFSETS:	56-57
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	يالة
     IS_TRANS:	yAlp
        INDEX:	P9W1
      OFFSETS:	1-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAlp)
          POS:	NO_FUNC
          VOC:	yAlp
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W2
      OFFSETS:	6-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_2]
   UNSPLITVOC:	(min)
          POS:	PART
          VOC:	min
        GLOSS:	[no_gloss]

 INPUT STRING:	حكم
     IS_TRANS:	Hkm
        INDEX:	P9W3
      OFFSETS:	9-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Hukom)
          POS:	NOUN
          VOC:	Hukom
        GLOSS:	judgment/decision/verdict

 INPUT STRING:	هزيل
     IS_TRANS:	hzyl
        INDEX:	P9W4
      OFFSETS:	13-17
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haziyl_1]
   UNSPLITVOC:	(haziyl)
          POS:	ADJ
          VOC:	haziyl
        GLOSS:	emaciated/gaunt

 INPUT STRING:	وفرحة
     IS_TRANS:	wfrHp
        INDEX:	P9W5
      OFFSETS:	18-23
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faroHap_1]
   UNSPLITVOC:	(wafaroHap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wa+faroH+ap
        GLOSS:	and+joy+[fem.sg.]

 INPUT STRING:	ببرائة
     IS_TRANS:	bbrA}p
        INDEX:	P9W6
      OFFSETS:	24-30
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bibrA}p)
          POS:	PREP+TYPO
          VOC:	bi+brA}p
        GLOSS:	with/by+nogloss

 INPUT STRING:	قاتل
     IS_TRANS:	qAtl
        INDEX:	P9W7
      OFFSETS:	31-35
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAtil_1]
   UNSPLITVOC:	(qAtil)
          POS:	ADJ
          VOC:	qAtil
        GLOSS:	deadly/fatal

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W8
      OFFSETS:	36-38
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اهل
     IS_TRANS:	Ahl
        INDEX:	P9W9
      OFFSETS:	39-42
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people

 INPUT STRING:	القتيل
     IS_TRANS:	Alqtyl
        INDEX:	P9W10
      OFFSETS:	43-49
       TOKENS:	P9W12-P9W12
