 INPUT STRING:	المصريين
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(Harob)
          POS:	NOUN
          VOC:	Harob
        GLOSS:	war/warfare/wars

 INPUT STRING:	73
     IS_TRANS:	73
        INDEX:	P16W5
      OFFSETS:	17-19
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(73)
          POS:	NOUN_NUM
          VOC:	73
        GLOSS:	73

 INPUT STRING:	وبكل
     IS_TRANS:	wbkl
        INDEX:	P16W6
      OFFSETS:	20-24
       TOKENS:	P16W7-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wibikul~)
          POS:	CONJ+PREP+NOUN_QUANT
          VOC:	wi+bi+kul~
        GLOSS:	and+with/by+all, entire, every, whole

 INPUT STRING:	فخر
     IS_TRANS:	fxr
        INDEX:	P16W7
      OFFSETS:	25-28
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faxor_1]
   UNSPLITVOC:	(faxor)
          POS:	NOUN
          VOC:	faxor
        GLOSS:	pride/boasting/glory

 INPUT STRING:	ايضا
     IS_TRANS:	AyDA
        INDEX:	P16W8
      OFFSETS:	29-33
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoDAF_1]
   UNSPLITVOC:	(>ayoDAF)
          POS:	ADV
          VOC:	>ayoDAF
        GLOSS:	also, too, as well (as), along with, in addition (to)

 INPUT STRING:	وقد
     IS_TRANS:	wqd
        INDEX:	P17W1
      OFFSETS:	1-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wqd)
          POS:	NO_FUNC
          VOC:	wqd
        GLOSS:	nogloss

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P17W2
      OFFSETS:	5-8
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W3
      OFFSETS:	9-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اوائل
     IS_TRANS:	AwA}l
        INDEX:	P17W4
      OFFSETS:	12-17
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_2]
   UNSPLITVOC:	(>awA}il)
          POS:	ADJ_NUM
          VOC:	>awA}il
        GLOSS:	first-place/best/top

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W5
      OFFSETS:	18-20
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	عبروا
     IS_TRANS:	EbrwA
        INDEX:	P17W6
      OFFSETS:	21-26
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eab~ar_1]
   UNSPLITVOC:	(Eab~aruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Eab~ar+uwA
        GLOSS:	express+they [verb]

 INPUT STRING:	ودون
     IS_TRANS:	wdwn
        INDEX:	P17W7
      OFFSETS:	27-31
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(widuwn)
          POS:	CONJ+NOUN
          VOC:	wi+duwn
        GLOSS:	and+without/beneath/underneath/inferior/poor

 INPUT STRING:	الخوض
     IS_TRANS:	AlxwD
        INDEX:	P17W8
      OFFSETS:	32-37
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xawoD_1]
   UNSPLITVOC:	(AlxawoD)
          POS:	DET+NOUN
          VOC:	Al+xawoD
        GLOSS:	the+waging/embarking on/carrying out

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W9
      OFFSETS:	38-40
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تفاصيل
     IS_TRANS:	tfASyl
        INDEX:	P17W10
      OFFSETS:	41-47
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafoSiyl_1]
   UNSPLITVOC:	(tafASiyl)
          POS:	NOUN
          VOC:	tafASiyl
        GLOSS:	detailing/elaboration/giving details

 INPUT STRING:	عسكرية
     IS_TRANS:	Eskryp
        INDEX:	P17W11
      OFFSETS:	48-54
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(Easokariy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Easokariy~+ap
        GLOSS:	military/army+[fem.sg.]

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P17W12
      OFFSETS:	55-58
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	القوات
     IS_TRANS:	AlqwAt
        INDEX:	P17W13
      OFFSETS:	59-65
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(Alquw~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+quw~+At
        GLOSS:	the+power/strength/force/violence/armed forces/power/forces+[fem.pl.]

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P17W14
      OFFSETS:	66-73
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	الرمزية
     IS_TRANS:	Alrmzyp
        INDEX:	P17W15
      OFFSETS:	74-81
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramoziy_1]
   UNSPLITVOC:	(Alr~amoziy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ramoziy~+ap
        GLOSS:	the+symbolic+[fem.sg.]

 INPUT STRING:	والتي
     IS_TRANS:	wAlty
        INDEX:	P17W16
      OFFSETS:	82-87
       TOKENS:	P17W17-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(waAl~atiy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Al~atiy
        GLOSS:	and+which/who/whom [fem.sg.]

 INPUT STRING:	شاركت
     IS_TRANS:	$Arkt
        INDEX:	P17W17
      OFFSETS:	88-93
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Arik_1]
   UNSPLITVOC:	($Arokit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	$Arok+it
        GLOSS:	participate with/share with+it/they/she [verb]

 INPUT STRING:	معنا
     IS_TRANS:	mEnA
        INDEX:	P17W18
      OFFSETS:	94-98
       TOKENS:	P17W20-P17W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maEanA)
          POS:	NOUN+CASE_DEF_ACC+POSS_PRON_1P
          VOC:	maE+a+nA
        GLOSS:	something with+[def.acc.]+our

 INPUT STRING:	كيف
     IS_TRANS:	kyf
        INDEX:	P17W19
      OFFSETS:	99-102
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(kayof)
          POS:	INTERROG_ADV
          VOC:	kayof
        GLOSS:	how

 INPUT STRING:	انسحبت
     IS_TRANS:	AnsHbt
        INDEX:	P17W20
      OFFSETS:	103-109
       TOKENS:	P17W23-P17W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inosaHab_1]
   UNSPLITVOC:	(AinosaHabat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	{inosaHab+at
        GLOSS:	withdraw/pull out+it/they/she [verb]

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P17W21
      OFFSETS:	110-113
       TOKENS:	P17W24-P17W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<im~A_1]
   UNSPLITVOC:	(<im~A)
          POS:	CONJ
          VOC:	<im~A
        GLOSS:	Either, whether, if

 INPUT STRING:	رعبا
     IS_TRANS:	rEbA
        INDEX:	P17W22
      OFFSETS:	114-118
       TOKENS:	P17W25-P17W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ruEob_1]
   UNSPLITVOC:	(ruEob)
          POS:	NOUN
          VOC:	ruEob
        GLOSS:	fright/terror

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P17W23
      OFFSETS:	119-121
       TOKENS:	P17W26-P17W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	بقرار
     IS_TRANS:	bqrAr
        INDEX:	P17W24
      OFFSETS:	122-127
       TOKENS:	P17W27-P17W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(biqarAr)
          POS:	PREP+NOUN
          VOC:	bi+qarAr
        GLOSS:	with/by+decision/resolution

 INPUT STRING:	سياسي
     IS_TRANS:	syAsy
        INDEX:	P17W25
      OFFSETS:	128-133
       TOKENS:	P17W29-P17W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(siyAsiy)
          POS:	ADJ
          VOC:	siyAsiy
        GLOSS:	political

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W26
      OFFSETS:	134-136
       TOKENS:	P17W30-P17W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قيادات
     IS_TRANS:	qyAdAt
        INDEX:	P17W27
      OFFSETS:	137-143
       TOKENS:	P17W31-P17W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_2]
   UNSPLITVOC:	(qiyAdAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	qiyAd+At
        GLOSS:	leaders/commanders+[fem.pl.]

 INPUT STRING:	دولهم
     IS_TRANS:	dwlhm
        INDEX:	P17W28
      OFFSETS:	144-149
       TOKENS:	P17W32-P17W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(diwalhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	diwal+hum
        GLOSS:	countries/governments+their

 INPUT STRING:	وارجع
     IS_TRANS:	wArjE
        INDEX:	P17W29
      OFFSETS:	150-155
       TOKENS:	P17W34-P17W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragaE_1]
   UNSPLITVOC:	(wiAirojaE)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+AirojaE+(null)
        GLOSS:	and+go back+you

 INPUT STRING:	للتاريخ
     IS_TRANS:	lltAryx
        INDEX:	P17W30
      OFFSETS:	156-163
       TOKENS:	P17W36-P17W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(lilt~Ariyx)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tAriyx
        GLOSS:	for/to+the+date/history

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W31
      OFFSETS:	164-166
       TOKENS:	P17W38-P17W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	فضلك
     IS_TRANS:	fDlk
        INDEX:	P17W32
      OFFSETS:	167-171
       TOKENS:	P17W39-P17W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[faDl_0]
   UNSPLITVOC:	(faDolak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	faDol+ak
        GLOSS:	favour+your

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P18W1
      OFFSETS:	1-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	الحديث
     IS_TRANS:	AlHdyv
        INDEX:	P18W2
      OFFSETS:	4-10
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyv_1]
   UNSPLITVOC:	(AlHadiyv)
          POS:	DET+NOUN
          VOC:	Al+Hadiyv
        GLOSS:	the+discussion/talk/interview/discussions/talks

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P18W3
      OFFSETS:	11-13
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	عروبة
     IS_TRANS:	Erwbp
        INDEX:	P18W4
      OFFSETS:	14-19
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euruwbap_1]
   UNSPLITVOC:	(Euruwbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Euruwb+ap
        GLOSS:	Arabism+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P18W5
      OFFSETS:	20-23
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	تاريخيا
     IS_TRANS:	tAryxyA
        INDEX:	P18W6
      OFFSETS:	24-31
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAriyxiy~_1]
   UNSPLITVOC:	(tAriyxiy~)
          POS:	ADJ
          VOC:	tAriyxiy~
        GLOSS:	historical

 INPUT STRING:	ومستعد
     IS_TRANS:	wmstEd
        INDEX:	P18W7
      OFFSETS:	32-38
       TOKENS:	P18W7-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaEid~_1]
   UNSPLITVOC:	(wimusotaEid~)
          POS:	CONJ+ADJ
          VOC:	wi+musotaEid~
        GLOSS:	and+ready/prepared

 INPUT STRING:	لافراد
     IS_TRANS:	lAfrAd
        INDEX:	P18W8
      OFFSETS:	39-45
       TOKENS:	P18W9-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iforAd_1]
   UNSPLITVOC:	(li<iforAd)
          POS:	PREP+NOUN
          VOC:	li+<iforAd
        GLOSS:	for/to+singular usage/individuation

 INPUT STRING:	بحث
     IS_TRANS:	bHv
        INDEX:	P18W9
      OFFSETS:	46-49
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHov_1]
   UNSPLITVOC:	(baHov)
          POS:	NOUN
          VOC:	baHov
        GLOSS:	search/examination/research

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P18W10
      OFFSETS:	50-52
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P18W11
      OFFSETS:	53-56
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الشأن
     IS_TRANS:	Al$>n
        INDEX:	P18W12
      OFFSETS:	57-62
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Al$~a>on)
          POS:	DET+NOUN
          VOC:	Al+$a>on
        GLOSS:	the+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P18W13
      OFFSETS:	63-65
       TOKENS:	P18W15-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	ارساله
     IS_TRANS:	ArsAlh
        INDEX:	P18W14
      OFFSETS:	66-72
       TOKENS:	P18W16-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AirsAl_1]
   UNSPLITVOC:	(ArsAlh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	ArsAl+uh
        GLOSS:	sending+him

 INPUT STRING:	لمن
     IS_TRANS:	lmn
        INDEX:	P18W15
      OFFSETS:	73-76
       TOKENS:	P18W18-P18W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(limano)
          POS:	PREP+REL_PRON
          VOC:	li+mano
        GLOSS:	for/to+who/whom

 INPUT STRING:	يطلبه
     IS_TRANS:	yTlbh
        INDEX:	P18W16
      OFFSETS:	77-82
       TOKENS:	P18W20-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(yaTolubuh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	ya+Tolub+uh
        GLOSS:	he/it+demand+them

 INPUT STRING:	فأنا
     IS_TRANS:	f>nA
        INDEX:	P19W1
      OFFSETS:	2-6
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(faAnA)
          POS:	CONJ+PRON_1S
          VOC:	fa+AnA
        GLOSS:	so/and+I

 INPUT STRING:	مستعد
     IS_TRANS:	mstEd
        INDEX:	P19W2
      OFFSETS:	7-12
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaEid~_1]
   UNSPLITVOC:	(musotaEid~)
          POS:	ADJ
          VOC:	musotaEid~
        GLOSS:	ready/prepared

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P19W3
      OFFSETS:	13-16
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W4
      OFFSETS:	17-19
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الناحية
     IS_TRANS:	AlnAHyp
        INDEX:	P19W5
      OFFSETS:	20-27
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAHoyap_1]
   UNSPLITVOC:	(Aln~AHoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nAHoy+ap
        GLOSS:	the+side/perspective+[fem.sg.]

 INPUT STRING:	التاريخية
     IS_TRANS:	AltAryxyp
        INDEX:	P19W6
      OFFSETS:	28-37
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyxiy_1]
   UNSPLITVOC:	(Alt~Ariyxiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+tAriyxiy~+ap
        GLOSS:	the+historical+[fem.sg.]

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P19W7
      OFFSETS:	38-41
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as he (she, it, ..etc) is concerned, but, however, yet, on the other hand

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W8
      OFFSETS:	42-44
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كافة
     IS_TRANS:	kAfp
        INDEX:	P19W9
      OFFSETS:	45-49
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAf~ap_1]
   UNSPLITVOC:	(kAf~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	kAf~+ap
        GLOSS:	all+[fem.sg.]

 INPUT STRING:	المناحي
     IS_TRANS:	AlmnAHy
        INDEX:	P19W10
      OFFSETS:	50-57
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoHay_1]
   UNSPLITVOC:	(AlmanAHiy)
          POS:	DET+NOUN
          VOC:	Al+manAHiy
        GLOSS:	the+fields/domains

 INPUT STRING:	فلمصر
     IS_TRANS:	flmSr
        INDEX:	P19W11
      OFFSETS:	58-63
       TOKENS:	P19W12-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(falimiSor)
          POS:	CONJ+PREP+NOUN_PROP
          VOC:	fa+li+miSor
        GLOSS:	so/and+for/to+Egypt

 INPUT STRING:	اليد
     IS_TRANS:	Alyd
        INDEX:	P19W12
      OFFSETS:	64-68
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
