 INPUT STRING:	حبيب
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ik)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	<in~+ik
        GLOSS:	that+you

 INPUT STRING:	بتحاولى
     IS_TRANS:	btHAwlY
        INDEX:	P5W6
      OFFSETS:	30-37
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(bitiHAwoliy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+HAwol+iy
        GLOSS:	[present-tense]+you+try+you

 INPUT STRING:	تظهرى
     IS_TRANS:	tZhrY
        INDEX:	P5W7
      OFFSETS:	38-43
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aZahar_1]
   UNSPLITVOC:	(tuZohiriy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	tu+Zohir+iy
        GLOSS:	you [fem.sg.]+show/manifest/demonstrate+[fem.sg.]

 INPUT STRING:	نفسك
     IS_TRANS:	nfsk
        INDEX:	P5W8
      OFFSETS:	44-48
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	nafos+ik
        GLOSS:	soul+your

 INPUT STRING:	وقوتك
     IS_TRANS:	wqwtk
        INDEX:	P5W9
      OFFSETS:	49-54
       TOKENS:	P5W12-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(waquw~itk)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	wa+quw~+it+k
        GLOSS:	and+force/violence+[fem.sg.]+your [fem.sg.]

 INPUT STRING:	وحتقولى
     IS_TRANS:	wHtqwlY
        INDEX:	P5W10
      OFFSETS:	55-62
       TOKENS:	P5W15-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiHatiquwliy)
          POS:	CONJ+FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	wi+Ha+ti+quwl+iy
        GLOSS:	and+will+you+said/say/be said/say/(for example)+you

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P5W11
      OFFSETS:	63-65
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	ماكان
     IS_TRANS:	mAkAn
        INDEX:	P5W12
      OFFSETS:	66-71
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kAn)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS
          VOC:	mA+kAn+(null)
        GLOSS:	not+be+he/it

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P5W13
      OFFSETS:	72-77
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P5W14
      OFFSETS:	78-83
       TOKENS:	P5W22-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/say/(for example)

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P5W15
      OFFSETS:	84-86
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P5W16
      OFFSETS:	87-89
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	مرشح
     IS_TRANS:	mr$H
        INDEX:	P5W17
      OFFSETS:	90-94
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(mura$~aH)
          POS:	NOUN
          VOC:	mura$~aH
        GLOSS:	candidate/nominee

 INPUT STRING:	حيعمل
     IS_TRANS:	HyEml
        INDEX:	P5W18
      OFFSETS:	95-100
       TOKENS:	P5W27-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HayiEomil)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+Eomil
        GLOSS:	will+he/it+do

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P5W19
      OFFSETS:	101-105
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P5W20
      OFFSETS:	106-109
       TOKENS:	P5W30-P5W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	عاوز
     IS_TRANS:	EAwz
        INDEX:	P5W21
      OFFSETS:	110-114
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwiz)
          POS:	ADJ.VN
          VOC:	EAwiz
        GLOSS:	wanting/needing

 INPUT STRING:	اعمله
     IS_TRANS:	AEmlh
        INDEX:	P5W22
      OFFSETS:	115-120
       TOKENS:	P5W32-P5W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomiluh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+Eomil+uh
        GLOSS:	I+Gloss:TBA+them

 INPUT STRING:	ماكنتش
     IS_TRANS:	mAknt$
        INDEX:	P5W23
      OFFSETS:	121-127
       TOKENS:	P5W34-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kunti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+kun+t+$
        GLOSS:	not+be+I+not

 INPUT STRING:	اترشحت
     IS_TRANS:	Atr$Ht
        INDEX:	P5W24
      OFFSETS:	128-134
       TOKENS:	P5W37-P5W37
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Atr$Ht)
          POS:	NO_FUNC
          VOC:	Atr$Ht
        GLOSS:	nogloss

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P6W2
      OFFSETS:	6-8
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for+him

 INPUT STRING:	شعبيه
     IS_TRANS:	$Ebyh
        INDEX:	P6W3
      OFFSETS:	9-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEobiy~ap_1]
   UNSPLITVOC:	($aEobiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$aEobiy~+ap
        GLOSS:	popularity+[fem.sg.]

 INPUT STRING:	جامده
     IS_TRANS:	jAmdh
        INDEX:	P6W4
      OFFSETS:	15-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmid_1]
   UNSPLITVOC:	(jAmodap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jAmod+ap
        GLOSS:	frozen/rigid/inorganic+[fem.sg.]

 INPUT STRING:	ماشاء
     IS_TRANS:	mA$A'
        INDEX:	P6W5
      OFFSETS:	21-26
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mA$A')
          POS:	NO_FUNC
          VOC:	mA$A'
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P6W6
      OFFSETS:	27-31
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`h)
          POS:	NOUN_PROP
          VOC:	All~`h
        GLOSS:	Allah/God

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P7W2
      OFFSETS:	3-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P7W3
      OFFSETS:	7-12
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P7W4
      OFFSETS:	13-15
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	زعلانه
     IS_TRANS:	zElAnh
        INDEX:	P7W5
      OFFSETS:	16-22
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	zaEolAn+ap
        GLOSS:	angry/annoyed+[fem.sg.]

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P7W6
      OFFSETS:	23-28
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P7W7
      OFFSETS:	29-34
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/say/(for example)

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P7W8
      OFFSETS:	35-38
       TOKENS:	P7W11-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he

 INPUT STRING:	انسب
     IS_TRANS:	Ansb
        INDEX:	P7W9
      OFFSETS:	39-43
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anosab_1]
   UNSPLITVOC:	(>anosab)
          POS:	ADJ_COMP
          VOC:	>anosab
        GLOSS:	more adequate

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P7W10
      OFFSETS:	44-48
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P7W11
      OFFSETS:	49-51
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفتره
     IS_TRANS:	Alftrh
        INDEX:	P7W12
      OFFSETS:	52-58
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(Alfatorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fator+ap
        GLOSS:	the+phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P7W13
      OFFSETS:	59-61
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W2
      OFFSETS:	3-5
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P8W3
      OFFSETS:	6-8
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	راي
     IS_TRANS:	rAy
        INDEX:	P8W4
      OFFSETS:	9-12
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra<iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	ra>+iy
        GLOSS:	opinion+my

 INPUT STRING:	وراي
     IS_TRANS:	wrAy
        INDEX:	P8W5
      OFFSETS:	13-17
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(wira>oy)
          POS:	CONJ+NOUN
          VOC:	wi+ra>oy
        GLOSS:	and+opinion/view/idea

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P8W6
      OFFSETS:	18-22
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN_QUANT
          VOC:	Al+kul~
        GLOSS:	the+all

 INPUT STRING:	بصى
     IS_TRANS:	bSY
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look+you

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W2
      OFFSETS:	4-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W3
      OFFSETS:	8-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بحب
     IS_TRANS:	bHb
        INDEX:	P9W4
      OFFSETS:	11-14
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(biAaHib~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Hib~
        GLOSS:	[present-tense]+I+love

 INPUT STRING:	التعميم
     IS_TRANS:	AltEmym
        INDEX:	P9W5
      OFFSETS:	15-22
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEomiym_1]
   UNSPLITVOC:	(Alt~aEomiym)
          POS:	DET+NOUN
          VOC:	Al+taEomiym
        GLOSS:	the+generalization/diffusion/spreading

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W6
      OFFSETS:	23-25
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P9W7
      OFFSETS:	26-32
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+talk/remark/speech/saying

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P9W8
      OFFSETS:	33-39
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+so then

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P9W9
      OFFSETS:	40-44
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	قولتى
     IS_TRANS:	qwltY
        INDEX:	P9W10
      OFFSETS:	45-50
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwltiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	quwl+tiy
        GLOSS:	said+you

 INPUT STRING:	بنفسك
     IS_TRANS:	bnfsk
        INDEX:	P9W11
      OFFSETS:	51-56
       TOKENS:	P9W13-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(binafosik)
          POS:	PREP+NOUN+POSS_PRON_2FS
          VOC:	bi+nafos+ik
        GLOSS:	with/by+soul+your

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P9W12
      OFFSETS:	57-62
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P9W13
      OFFSETS:	63-65
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P9W14
      OFFSETS:	66-70
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P9W15
      OFFSETS:	71-74
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh

 INPUT STRING:	ولعلمك
     IS_TRANS:	wlElmk
        INDEX:	P9W16
      OFFSETS:	75-81
       TOKENS:	P9W20-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eilom_1]
   UNSPLITVOC:	(waliEilomik)
          POS:	CONJ+PREP+NOUN+POSS_PRON_2MS
          VOC:	wa+li+Eilom+ik
        GLOSS:	and+for/to+knowledge/knowing+your [masc.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W17
      OFFSETS:	82-85
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P9W18
      OFFSETS:	86-91
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P9W19
      OFFSETS:	92-95
       TOKENS:	P9W26-P9W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	to/for+Allah/God

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W20
      OFFSETS:	96-98
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
