 INPUT STRING:	موضوع
 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P8W12
      OFFSETS:	57-60
       TOKENS:	P8W13-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all, entire, every, whole+its/his

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+he

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P9W2
      OFFSETS:	4-8
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	عمل
     IS_TRANS:	Eml
        INDEX:	P9W3
      OFFSETS:	9-12
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eamal+(null)
        GLOSS:	made/did+he/it

 INPUT STRING:	مشروع
     IS_TRANS:	m$rwE
        INDEX:	P9W4
      OFFSETS:	13-18
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oruwE_1]
   UNSPLITVOC:	(ma$oruwE)
          POS:	NOUN
          VOC:	ma$oruwE
        GLOSS:	project/enterprise

 INPUT STRING:	توشكى
     IS_TRANS:	tw$kY
        INDEX:	P9W5
      OFFSETS:	19-24
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuw$okay_1]
   UNSPLITVOC:	(tuw$okaY)
          POS:	NOUN_PROP
          VOC:	tuw$okaY
        GLOSS:	Tushka

 INPUT STRING:	الفاشل
     IS_TRANS:	AlfA$l
        INDEX:	P9W6
      OFFSETS:	25-31
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fA$il_1]
   UNSPLITVOC:	(AlfA$il)
          POS:	DET+ADJ
          VOC:	Al+fA$il
        GLOSS:	the+failing/unsuccessful

 INPUT STRING:	انما
     IS_TRANS:	AnmA
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~amA_1]
   UNSPLITVOC:	(<in~amA)
          POS:	RESTRIC_PART
          VOC:	<in~amA
        GLOSS:	but rather/indeed

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P10W2
      OFFSETS:	5-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P10W3
      OFFSETS:	9-11
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	انجازاته
     IS_TRANS:	AnjAzAth
        INDEX:	P10W4
      OFFSETS:	12-20
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inojAz_1]
   UNSPLITVOC:	(<inojAzAtuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	<inojAz+At+uh
        GLOSS:	accomplishments/achievements/successes+[fem.pl.]+its/his

 INPUT STRING:	نفسى
     IS_TRANS:	nfsY
        INDEX:	P10W5
      OFFSETS:	21-25
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	wish+my

 INPUT STRING:	اعرف
     IS_TRANS:	AErf
        INDEX:	P10W6
      OFFSETS:	26-30
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know/be known

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W7
      OFFSETS:	30-31
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P11W2
      OFFSETS:	4-8
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	true/correct/really/truly/yes/right/really/truly

 INPUT STRING:	بياخدوا
     IS_TRANS:	byAxdwA
        INDEX:	P11W3
      OFFSETS:	9-16
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(biyAxoduwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+y+Axod+uwA
        GLOSS:	[present-tense]+they+take+they

 INPUT STRING:	فلوس
     IS_TRANS:	flws
        INDEX:	P11W4
      OFFSETS:	17-21
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(filuws)
          POS:	NOUN
          VOC:	filuws
        GLOSS:	money

 INPUT STRING:	الغلابه
     IS_TRANS:	AlglAbh
        INDEX:	P11W5
      OFFSETS:	22-29
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galobAn_1]
   UNSPLITVOC:	(AlgalAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+galAb+ap
        GLOSS:	the+poor+[fem.sg.]

 INPUT STRING:	والبلد
     IS_TRANS:	wAlbld
        INDEX:	P11W6
      OFFSETS:	30-36
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(wiAlbalad)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+balad
        GLOSS:	and+the+country/country/countries

 INPUT STRING:	منهوبه
     IS_TRANS:	mnhwbh
        INDEX:	P11W7
      OFFSETS:	37-43
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manohuwb_1]
   UNSPLITVOC:	(manohuwbap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	manohuwb+ap
        GLOSS:	plundered+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W8
      OFFSETS:	44-46
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اغنياءها
     IS_TRANS:	AgnyA'hA
        INDEX:	P11W9
      OFFSETS:	47-55
       TOKENS:	P11W11-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gany_1]
   UNSPLITVOC:	(AgoniyA'hA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	AgoniyA'+hA
        GLOSS:	rich+her

 INPUT STRING:	الحراميه
     IS_TRANS:	AlHrAmyh
        INDEX:	P11W10
      OFFSETS:	56-64
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[HarAmiy~_1]
   UNSPLITVOC:	(AlHarAmiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HarAmiy~+ap
        GLOSS:	the+thieves+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P11W11
      OFFSETS:	65-66
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	ّ
     IS_TRANS:	~
        INDEX:	P11W12
      OFFSETS:	66-67
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(~)
          POS:	PUNC
          VOC:	~
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P11W13
      OFFSETS:	67-68
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P11W14
      OFFSETS:	68-69
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P11W15
      OFFSETS:	69-70
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P12W2
      OFFSETS:	3-5
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P12W3
      OFFSETS:	6-8
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P12W4
      OFFSETS:	9-11
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P12W5
      OFFSETS:	12-14
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	للفتنه
     IS_TRANS:	llftnh
        INDEX:	P12W6
      OFFSETS:	15-21
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fitonap_1]
   UNSPLITVOC:	(lilfitonap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+fiton+ap
        GLOSS:	for/to+the+seduction/disorder+[fem.sg.]

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P13W2
      OFFSETS:	4-6
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P13W3
      OFFSETS:	7-11
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	يقولوا
     IS_TRANS:	yqwlwA
        INDEX:	P13W4
      OFFSETS:	12-18
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+quwl+uwA
        GLOSS:	they+said/say/be said/say/(for example)+they

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P13W5
      OFFSETS:	19-23
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P13W6
      OFFSETS:	24-27
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	حلال
     IS_TRANS:	HlAl
        INDEX:	P13W7
      OFFSETS:	28-32
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HalAl_1]
   UNSPLITVOC:	(HalAl)
          POS:	NOUN
          VOC:	HalAl
        GLOSS:	permissible/legitimate

 INPUT STRING:	ياااااااااارب
     IS_TRANS:	yAAAAAAAAAArb
        INDEX:	P14W1
      OFFSETS:	0-13
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab_1]
   UNSPLITVOC:	(yArab)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab
        GLOSS:	oh+lord/master

 INPUT STRING:	احفظ
     IS_TRANS:	AHfZ
        INDEX:	P14W2
      OFFSETS:	14-18
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(>aHofaZ)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	>aHofaZ+(null)
        GLOSS:	protect/keep+you [masc.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P14W3
      OFFSETS:	19-22
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W4
      OFFSETS:	23-25
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عيالها
     IS_TRANS:	EyAlhA
        INDEX:	P14W5
      OFFSETS:	26-32
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(EiyAlhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	EiyAl+hA
        GLOSS:	family/household+its/their/her

 INPUT STRING:	يااااااااارب
     IS_TRANS:	yAAAAAAAAArb
        INDEX:	P14W6
      OFFSETS:	33-45
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab_1]
   UNSPLITVOC:	(yArab)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab
        GLOSS:	oh+loard/master

 INPUT STRING:	المشاركة
     IS_TRANS:	Alm$Arkp
        INDEX:	P15W1
      OFFSETS:	0-8
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(Almu$Arokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$Arok+ap
        GLOSS:	the+participation/association+[fem.sg.]

 INPUT STRING:	الأصلية
     IS_TRANS:	Al>Slyp
        INDEX:	P15W2
      OFFSETS:	9-16
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaSoliy_1]
   UNSPLITVOC:	(AlASoliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ASoliy~+ap
        GLOSS:	the+original/authentic+[fem.sg.]

 INPUT STRING:	كتبت
     IS_TRANS:	ktbt
        INDEX:	P15W3
      OFFSETS:	17-21
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(kutibat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	kutib+at
        GLOSS:	be written/be fated/be destined+it/they/she [verb]

 INPUT STRING:	بواسطة
     IS_TRANS:	bwAsTp
        INDEX:	P15W4
      OFFSETS:	22-28
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsoTap_1]
   UNSPLITVOC:	(biwAsoTap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wAsoT+ap
        GLOSS:	with/by+means/device+[fem.sg.]

 INPUT STRING:	نادين
     IS_TRANS:	nAdyn
        INDEX:	P15W5
      OFFSETS:	29-34
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiyn_1]
   UNSPLITVOC:	(nAdiyn)
          POS:	NOUN_PROP
          VOC:	nAdiyn
        GLOSS:	Nadine

 INPUT STRING:	2009
     IS_TRANS:	2009
        INDEX:	P15W6
      OFFSETS:	34-38
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2009)
          POS:	NOUN_NUM
          VOC:	2009
        GLOSS:	2009

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P15W7
      OFFSETS:	39-44
       TOKENS:	P15W8-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P15W8
      OFFSETS:	45-48
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	ندمت
     IS_TRANS:	ndmt
        INDEX:	P15W9
      OFFSETS:	49-53
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nidim_1]
   UNSPLITVOC:	(nidimt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	nidim+t
        GLOSS:	repent/regret+I [verb]

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P15W10
      OFFSETS:	54-58
       TOKENS:	P15W12-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	That+they

 INPUT STRING:	يخصموا
     IS_TRANS:	yxSmwA
        INDEX:	P15W11
      OFFSETS:	59-65
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaSam_1]
   UNSPLITVOC:	(yixoSimuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+xoSim+uwA
        GLOSS:	they+defeat/deduct/discount+they

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W12
      OFFSETS:	66-68
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مرتبى
     IS_TRANS:	mrtbY
        INDEX:	P15W13
      OFFSETS:	69-74
       TOKENS:	P15W16-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murat~ab_1]
   UNSPLITVOC:	(murat~abiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	murat~ab+iy
        GLOSS:	salary/pay+my

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P15W14
      OFFSETS:	75-79
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	التبرع
     IS_TRANS:	AltbrE
        INDEX:	P15W15
      OFFSETS:	80-86
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabar~uE_1]
   UNSPLITVOC:	(Alt~abar~uE)
          POS:	DET+NOUN
          VOC:	Al+tabar~uE
        GLOSS:	the+donation/contribution

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P15W16
      OFFSETS:	87-89
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(li>ano)
          POS:	PREP+SUB_CONJ
          VOC:	li+>ano
        GLOSS:	for/in order+to

 INPUT STRING:	فعلا
