 INPUT STRING:	جميعنا

 INPUT STRING:	مصلحة
     IS_TRANS:	mSlHp
        INDEX:	P15W2
      OFFSETS:	7-12
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maSolaH+ap
        GLOSS:	interest/advantage/favor/interests/advantages/department/agency/departments+[fem.sg.]

 INPUT STRING:	شخصية
     IS_TRANS:	$xSyp
        INDEX:	P15W3
      OFFSETS:	13-18
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$axoSiy~_1]
   UNSPLITVOC:	($axoSiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$axoSiy~+ap
        GLOSS:	private/personal/in person/personally+[fem.sg.]

 INPUT STRING:	بطريقة
     IS_TRANS:	bTryqp
        INDEX:	P15W4
      OFFSETS:	19-25
       TOKENS:	P15W5-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(biTariyqap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+Tariyq+ap
        GLOSS:	with/by+method/procedure/methods/manners+[fem.sg.]

 INPUT STRING:	ملتويه
     IS_TRANS:	mltwyh
        INDEX:	P15W5
      OFFSETS:	26-32
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mulotawiy~_1]
   UNSPLITVOC:	(mulotawiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mulotawiy~+ap
        GLOSS:	crooked/warped+[fem.sg.]

 INPUT STRING:	تنبعث
     IS_TRANS:	tnbEv
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inobaEav_1]
   UNSPLITVOC:	(tanobaEiv)
          POS:	IV3FS+IV
          VOC:	ta+nobaEiv
        GLOSS:	she+revive/resurrect

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P16W2
      OFFSETS:	6-10
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ahA)
          POS:	PREP+PRON_3FS
          VOC:	min~+hA
        GLOSS:	from+her/it

 INPUT STRING:	رائحة
     IS_TRANS:	rA}Hp
        INDEX:	P16W3
      OFFSETS:	11-16
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rA}iHap_1]
   UNSPLITVOC:	(rA}iHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	rA}iH+ap
        GLOSS:	odor/perfume/odors+[fem.sg.]

 INPUT STRING:	مواربه
     IS_TRANS:	mwArbh
        INDEX:	P16W4
      OFFSETS:	17-23
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwArab_1]
   UNSPLITVOC:	(muwArabap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muwArab+ap
        GLOSS:	partly open+[fem.sg.]

 INPUT STRING:	وخديعة
     IS_TRANS:	wxdyEp
        INDEX:	P16W5
      OFFSETS:	24-30
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xadiyE_1]
   UNSPLITVOC:	(waxadiyEap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wa+xadiyE+ap
        GLOSS:	and+deception/lie+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P16W6
      OFFSETS:	30-31
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لذا
     IS_TRANS:	l*A
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li*A_1]
   UNSPLITVOC:	(li*A)
          POS:	PREP+DEM_PRON
          VOC:	li+*A
        GLOSS:	for/because of+that

 INPUT STRING:	لنُبقي
     IS_TRANS:	lnubqy
        INDEX:	P17W2
      OFFSETS:	4-10
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lnubqy)
          POS:	NO_FUNC
          VOC:	lnubqy
        GLOSS:	nogloss

 INPUT STRING:	القناع
     IS_TRANS:	AlqnAE
        INDEX:	P17W3
      OFFSETS:	11-17
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qinAE_1]
   UNSPLITVOC:	(AlqinAE)
          POS:	DET+NOUN
          VOC:	Al+qinAE
        GLOSS:	the+weapons/armor/mask/masks/veils

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P17W4
      OFFSETS:	18-22
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P17W5
      OFFSETS:	23-27
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ear~af_1]
   UNSPLITVOC:	(taEar~af)
          POS:	IV3MS+IV
          VOC:	ta+Ear~af
        GLOSS:	he+acquaint/be known/be identified

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P17W6
      OFFSETS:	28-33
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P17W7
      OFFSETS:	34-36
       TOKENS:	P17W9-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+it/him

 INPUT STRING:	الآخرين
     IS_TRANS:	Al|xryn
        INDEX:	P17W8
      OFFSETS:	37-44
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(Al|xariyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+|xar+iyn
        GLOSS:	the+another/other+[masc.pl.]

 INPUT STRING:	جاعلينه
     IS_TRANS:	jAElynh
        INDEX:	P18W1
      OFFSETS:	0-7
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAEil_1]
   UNSPLITVOC:	(jAEliynuh)
          POS:	ADJ.VN+NSUFF_MASC_PL+PRON_3MS
          VOC:	jAEl+iyn+uh
        GLOSS:	making+[masc.pl.]+him

 INPUT STRING:	مرن
     IS_TRANS:	mrn
        INDEX:	P18W2
      OFFSETS:	8-11
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marin_1]
   UNSPLITVOC:	(marin)
          POS:	ADJ
          VOC:	marin
        GLOSS:	flexible/reasonable

 INPUT STRING:	قابل
     IS_TRANS:	qAbl
        INDEX:	P18W3
      OFFSETS:	12-16
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAbil_1]
   UNSPLITVOC:	(qAbil)
          POS:	ADJ
          VOC:	qAbil
        GLOSS:	capable/able

 INPUT STRING:	للتعديل
     IS_TRANS:	lltEdyl
        INDEX:	P18W4
      OFFSETS:	17-24
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEodiyl_1]
   UNSPLITVOC:	(lilt~aEodiyl)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+taEodiyl
        GLOSS:	for/to+the+adjustment/change/modification/amendment

 INPUT STRING:	متى
     IS_TRANS:	mtY
        INDEX:	P18W5
      OFFSETS:	25-28
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mataY_2]
   UNSPLITVOC:	(mataY)
          POS:	REL_ADV
          VOC:	mataY
        GLOSS:	when

 INPUT STRING:	دعت
     IS_TRANS:	dEt
        INDEX:	P18W6
      OFFSETS:	29-32
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(daEat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	daE+at
        GLOSS:	call/invite+it/they/she [verb]

 INPUT STRING:	الحاجة
     IS_TRANS:	AlHAjp
        INDEX:	P18W7
      OFFSETS:	33-39
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HAj+ap
        GLOSS:	the+need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	لذلك
     IS_TRANS:	l*lk
        INDEX:	P18W8
      OFFSETS:	40-44
       TOKENS:	P18W10-P18W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(li*`lika)
          POS:	PREP+DEM_PRON_MS
          VOC:	li+*`lika
        GLOSS:	for/to+that

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W9
      OFFSETS:	45-47
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مشاركة
     IS_TRANS:	m$Arkp
        INDEX:	P18W10
      OFFSETS:	48-54
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(mu$Arokap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$Arok+ap
        GLOSS:	participation/association+[fem.sg.]

 INPUT STRING:	شعور
     IS_TRANS:	$Ewr
        INDEX:	P18W11
      OFFSETS:	55-59
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uEuwr_1]
   UNSPLITVOC:	($uEuwr)
          POS:	NOUN
          VOC:	$uEuwr
        GLOSS:	feeling/sentiment/awareness

 INPUT STRING:	فرح
     IS_TRANS:	frH
        INDEX:	P18W12
      OFFSETS:	60-63
       TOKENS:	P18W15-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(faraH)
          POS:	NOUN
          VOC:	faraH
        GLOSS:	joy/happiness/festivity/with joy/joyfully/joys/festivities

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P18W13
      OFFSETS:	64-66
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	حزن
     IS_TRANS:	Hzn
        INDEX:	P18W14
      OFFSETS:	67-70
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huzon_1]
   UNSPLITVOC:	(Huzon)
          POS:	NOUN
          VOC:	Huzon
        GLOSS:	sadness

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P18W15
      OFFSETS:	70-71
       TOKENS:	P18W18-P18W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وحذاري
     IS_TRANS:	wH*Ary
        INDEX:	P18W16
      OFFSETS:	72-78
       TOKENS:	P18W19-P18W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ha*Ari_1]
   UNSPLITVOC:	(wiHa*Ariy)
          POS:	CONJ+VERB
          VOC:	wi+Ha*Ari
        GLOSS:	and+beware/watch out

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W17
      OFFSETS:	79-81
       TOKENS:	P18W21-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تعدد
     IS_TRANS:	tEdd
        INDEX:	P18W18
      OFFSETS:	82-86
       TOKENS:	P18W22-P18W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEad~ud_1]
   UNSPLITVOC:	(taEad~ud)
          POS:	NOUN
          VOC:	taEad~ud
        GLOSS:	multiplicity/plurality

 INPUT STRING:	الأقنعه
     IS_TRANS:	Al>qnEh
        INDEX:	P18W19
      OFFSETS:	87-94
       TOKENS:	P18W23-P18W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qinAE_1]
   UNSPLITVOC:	(Al>aqoniEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>aqoniE+ap
        GLOSS:	the+weapons/armor/mask/masks/veils+[fem.sg.]

 INPUT STRING:	لتحقيق
     IS_TRANS:	ltHqyq
        INDEX:	P18W20
      OFFSETS:	95-101
       TOKENS:	P18W24-P18W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(litaHoqiyq)
          POS:	PREP+NOUN
          VOC:	li+taHoqiyq
        GLOSS:	for/to+achievement/realization/achievements/realizations/investigation/verification/interrogation/investigations

 INPUT STRING:	مصلحة
     IS_TRANS:	mSlHp
        INDEX:	P18W21
      OFFSETS:	102-107
       TOKENS:	P18W26-P18W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maSolaH+ap
        GLOSS:	interest/advantage/favor/interests/advantages/department/agency/departments+[fem.sg.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P18W22
      OFFSETS:	107-108
       TOKENS:	P18W27-P18W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	لأنه
     IS_TRANS:	l>nh
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	for+that+it/he

 INPUT STRING:	طال
     IS_TRANS:	TAl
        INDEX:	P19W2
      OFFSETS:	5-8
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAl_1]
   UNSPLITVOC:	(TAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	TAl+(null)
        GLOSS:	reach/be long+he/it

 INPUT STRING:	الزمان
     IS_TRANS:	AlzmAn
        INDEX:	P19W3
      OFFSETS:	9-15
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(Alz~amAn)
          POS:	DET+NOUN
          VOC:	Al+zamAn
        GLOSS:	the+time/duration/times/durations

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P19W4
      OFFSETS:	16-18
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	قصر
     IS_TRANS:	qSr
        INDEX:	P19W5
      OFFSETS:	19-22
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiSir_1]
   UNSPLITVOC:	(qiSir)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qiSir+(null)
        GLOSS:	shorten/curtail/fall short/be inferior/shorten much/became shorter/surround/line+he/it

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P19W6
      OFFSETS:	23-25
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	بد
     IS_TRANS:	bd
        INDEX:	P19W7
      OFFSETS:	26-28
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bud~_1]
   UNSPLITVOC:	(bud~)
          POS:	NOUN
          VOC:	bud~
        GLOSS:	escape/avoiding

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P19W8
      OFFSETS:	29-31
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يكشف
     IS_TRANS:	yk$f
        INDEX:	P19W9
      OFFSETS:	32-36
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka$af_1]
   UNSPLITVOC:	(yiko$if)
          POS:	IV3MS+IV
          VOC:	yi+ko$if
        GLOSS:	he/it+discover/reveal/disclose/examine/be discovered/be revealed/be disclosed

 INPUT STRING:	نور
     IS_TRANS:	nwr
        INDEX:	P19W10
      OFFSETS:	37-40
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(nuwr)
          POS:	NOUN
          VOC:	nuwr
        GLOSS:	light/lights

 INPUT STRING:	الحقيقة
     IS_TRANS:	AlHqyqp
        INDEX:	P19W11
      OFFSETS:	41-48
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqiyqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Haqiyq+ap
        GLOSS:	the+truth/reality/facts+[fem.sg.]

 INPUT STRING:	زيف
     IS_TRANS:	zyf
        INDEX:	P19W12
      OFFSETS:	49-52
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~if_1]
   UNSPLITVOC:	(zay~if)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	zay~if+(null)
        GLOSS:	counterfeit/consider spurious/be forged+you

 INPUT STRING:	قناعك
     IS_TRANS:	qnAEk
        INDEX:	P19W13
      OFFSETS:	53-58
       TOKENS:	P19W15-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qinAE_1]
   UNSPLITVOC:	(qinAEak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	qinAE+ak
        GLOSS:	weapons/armor/mask+your [masc.sg.]

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P19W14
      OFFSETS:	59-62
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*A)
          POS:	DEM_PRON_MS
          VOC:	h`*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	وتُنعت
     IS_TRANS:	wtunEt
        INDEX:	P19W15
      OFFSETS:	63-69
       TOKENS:	P19W18-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitnaEat_1]
   UNSPLITVOC:	(witunEat)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+tu+nEat
        GLOSS:	nand+you+be described

 INPUT STRING:	بعدها
     IS_TRANS:	bEdhA
        INDEX:	P19W16
      OFFSETS:	70-75
       TOKENS:	P19W20-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	baEod+hA
        GLOSS:	after/if/unless/whether/as long as/as soon as/which+its/their/her

 INPUT STRING:	بمتعدد
     IS_TRANS:	bmtEdd
        INDEX:	P19W17
      OFFSETS:	76-82
       TOKENS:	P19W22-P19W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaEad~id_1]
   UNSPLITVOC:	(bimutaEad~id)
          POS:	PREP+ADJ
          VOC:	bi+mutaEad~id
        GLOSS:	with/by+multi-/poly-/manifold/numerous

 INPUT STRING:	الأقنعه
     IS_TRANS:	Al>qnEh
        INDEX:	P19W18
      OFFSETS:	83-90
       TOKENS:	P19W24-P19W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qinAE_1]
   UNSPLITVOC:	(Al>aqoniEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>aqoniE+ap
        GLOSS:	the+weapons/armor/mask/masks/veils+[fem.sg.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P19W19
      OFFSETS:	90-91
       TOKENS:	P19W25-P19W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P19W20
      OFFSETS:	92-94
       TOKENS:	P19W26-P19W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P19W21
      OFFSETS:	95-97
       TOKENS:	P19W27-P19W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+gloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W22
      OFFSETS:	98-100
       TOKENS:	P19W29-P19W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خلقاً
     IS_TRANS:	xlqAF
        INDEX:	P19W23
      OFFSETS:	101-106
       TOKENS:	P19W30-P19W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xuloq_1]
   UNSPLITVOC:	(xuloqAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xuloq+AF
        GLOSS:	character/morality+[acc.indef.]

 INPUT STRING:	ذميم
     IS_TRANS:	*mym
