 INPUT STRING:	دة
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	طريق
     IS_TRANS:	Tryq
        INDEX:	P8W21
      OFFSETS:	105-109
       TOKENS:	P8W27-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/roads/ways/means/methods

 INPUT STRING:	لمدة
     IS_TRANS:	lmdp
        INDEX:	P8W22
      OFFSETS:	110-114
       TOKENS:	P8W28-P8W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mud~ap_1]
   UNSPLITVOC:	(limud~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+mud~+ap
        GLOSS:	for/to+period of time/interval+[fem.sg.]

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P8W23
      OFFSETS:	115-118
       TOKENS:	P8W30-P8W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	NOUN_QUANT
          VOC:	kAm
        GLOSS:	some

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P8W24
      OFFSETS:	119-122
       TOKENS:	P8W31-P8W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	يلاقوا
     IS_TRANS:	ylAqwA
        INDEX:	P8W25
      OFFSETS:	123-129
       TOKENS:	P8W32-P8W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(yilAquwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+lAq+uwA
        GLOSS:	they+find/meet/encounter+we

 INPUT STRING:	نفسهم
     IS_TRANS:	nfshm
        INDEX:	P8W26
      OFFSETS:	130-135
       TOKENS:	P8W33-P8W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	nafos+hum
        GLOSS:	same/self/selves/soul/souls+their

 INPUT STRING:	رجعوا
     IS_TRANS:	rjEwA
        INDEX:	P8W27
      OFFSETS:	136-141
       TOKENS:	P8W35-P8W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(rijoEuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	rijoE+uwA
        GLOSS:	go back/return/came back+they

 INPUT STRING:	لنقطة
     IS_TRANS:	lnqTp
        INDEX:	P8W28
      OFFSETS:	142-147
       TOKENS:	P8W36-P8W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuqoTap_1]
   UNSPLITVOC:	(linuqoTap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+nuqoT+ap
        GLOSS:	for/to+point/location/position/points/locations/positions+[fem.sg.]

 INPUT STRING:	الصفر
     IS_TRANS:	AlSfr
        INDEX:	P8W29
      OFFSETS:	148-153
       TOKENS:	P8W38-P8W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sifor_1]
   UNSPLITVOC:	(AlS~ifor)
          POS:	DET+NOUN
          VOC:	Al+Sifor
        GLOSS:	the+zero/zeros

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P8W30
      OFFSETS:	154-158
       TOKENS:	P8W39-P8W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	يقوموا
     IS_TRANS:	yqwmwA
        INDEX:	P8W31
      OFFSETS:	159-165
       TOKENS:	P8W40-P8W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(yiquwmuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+quwm+uwA
        GLOSS:	they+undertake/carry out/rise/stand/get up/do/be based (on)+we

 INPUT STRING:	يجربوا
     IS_TRANS:	yjrbwA
        INDEX:	P8W32
      OFFSETS:	166-172
       TOKENS:	P8W41-P8W41
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jar~ab_1]
   UNSPLITVOC:	(yujar~ibuwA)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ
          VOC:	yu+jar~ib+uwA
        GLOSS:	they (people)+test/try/attempt+[masc.pl.]

 INPUT STRING:	طريق
     IS_TRANS:	Tryq
        INDEX:	P8W33
      OFFSETS:	173-177
       TOKENS:	P8W42-P8W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/roads/ways/means/methods

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P8W34
      OFFSETS:	178-182
       TOKENS:	P8W43-P8W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	وهكذا
     IS_TRANS:	whk*A
        INDEX:	P8W35
      OFFSETS:	183-188
       TOKENS:	P8W44-P8W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haka*A_1]
   UNSPLITVOC:	(wihaka*A)
          POS:	CONJ+ADV
          VOC:	wi+haka*A
        GLOSS:	and+this/in this way like that/thus/this way

 INPUT STRING:	دواليك
     IS_TRANS:	dwAlyk
        INDEX:	P8W36
      OFFSETS:	189-195
       TOKENS:	P8W46-P8W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawAliy_1]
   UNSPLITVOC:	(dawAliyk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	dawAliy+ak
        GLOSS:	successively/one by one+your

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W37
      OFFSETS:	196-199
       TOKENS:	P8W48-P8W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مدار
     IS_TRANS:	mdAr
        INDEX:	P8W38
      OFFSETS:	200-204
       TOKENS:	P8W49-P8W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madAr_1]
   UNSPLITVOC:	(madAr)
          POS:	NOUN
          VOC:	madAr
        GLOSS:	orbit/sphere/axis/pivot/orbits/spheres/axes/pivots

 INPUT STRING:	عشر
     IS_TRANS:	E$r
        INDEX:	P8W39
      OFFSETS:	205-208
       TOKENS:	P8W50-P8W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$ar_1]
   UNSPLITVOC:	(Ea$ar)
          POS:	NOUN_NUM
          VOC:	Ea$ar
        GLOSS:	ten (in numbers 11-19)

 INPUT STRING:	سنوات
     IS_TRANS:	snwAt
        INDEX:	P8W40
      OFFSETS:	209-214
       TOKENS:	P8W51-P8W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	sanaw+At
        GLOSS:	year/years+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W41
      OFFSETS:	214-215
       TOKENS:	P8W52-P8W52
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وهنا
     IS_TRANS:	whnA
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(wihinA)
          POS:	CONJ+ADV
          VOC:	wi+hinA
        GLOSS:	and+here/from now on/somewhere

 INPUT STRING:	بدأت
     IS_TRANS:	bd>t
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(bada>it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	bada>+it
        GLOSS:	start/begin+it/they/she

 INPUT STRING:	نصائح
     IS_TRANS:	nSA}H
        INDEX:	P9W3
      OFFSETS:	10-15
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naSiHap_1]
   UNSPLITVOC:	(naSA}iH)
          POS:	NOUN
          VOC:	naSA}iH
        GLOSS:	advice/word of advice

 INPUT STRING:	الاقارب
     IS_TRANS:	AlAqArb
        INDEX:	P9W4
      OFFSETS:	16-23
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qariyb_1]
   UNSPLITVOC:	(AlAqArib)
          POS:	DET+NOUN
          VOC:	Al+AqArib
        GLOSS:	the+relatives

 INPUT STRING:	والاصدقاء
     IS_TRANS:	wAlASdqA'
        INDEX:	P9W5
      OFFSETS:	24-33
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadiyq_1]
   UNSPLITVOC:	(wiAlASodiqA')
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+ASodiqA'
        GLOSS:	and+the+friend/friends

 INPUT STRING:	لمساعدتهم
     IS_TRANS:	lmsAEdthm
        INDEX:	P9W6
      OFFSETS:	34-43
       TOKENS:	P9W8-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musAEodap_1]
   UNSPLITVOC:	(limusAEodithum)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	li+musAEod+ap+hum
        GLOSS:	for/to+help/support/aid/assistance+[fem.sg.]+their

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W7
      OFFSETS:	44-46
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الخروج
     IS_TRANS:	Alxrwj
        INDEX:	P9W8
      OFFSETS:	47-53
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuruwj_1]
   UNSPLITVOC:	(Alxuruwj)
          POS:	DET+NOUN
          VOC:	Al+xuruwj
        GLOSS:	the+exit/getting out/departure/deviation/trimming/piping

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W9
      OFFSETS:	54-56
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P9W10
      OFFSETS:	57-60
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	these/this

 INPUT STRING:	المأزق
     IS_TRANS:	Alm>zq
        INDEX:	P9W11
      OFFSETS:	61-67
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma>ozaq_1]
   UNSPLITVOC:	(Alma>ozaq)
          POS:	DET+NOUN
          VOC:	Al+ma>ozaq
        GLOSS:	the+dilemma/impasse

 INPUT STRING:	الدينى
     IS_TRANS:	AldynY
        INDEX:	P9W12
      OFFSETS:	68-74
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(Ald~iyniy)
          POS:	DET+ADJ
          VOC:	Al+diyniy
        GLOSS:	the+religious

 INPUT STRING:	فمن
     IS_TRANS:	fmn
        INDEX:	P9W13
      OFFSETS:	75-78
       TOKENS:	P9W17-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(famin)
          POS:	CONJ+PREP
          VOC:	fa+min
        GLOSS:	so/and+from

 INPUT STRING:	اقتراح
     IS_TRANS:	AqtrAH
        INDEX:	P9W14
      OFFSETS:	79-85
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqotirAH_1]
   UNSPLITVOC:	(AiqotirAH)
          POS:	NOUN
          VOC:	AiqotirAH
        GLOSS:	suggestion/proposal

 INPUT STRING:	بتغيير
     IS_TRANS:	btgyyr
        INDEX:	P9W15
      OFFSETS:	86-92
       TOKENS:	P9W20-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(bitagoyiyr)
          POS:	PREP+NOUN
          VOC:	bi+tagoyiyr
        GLOSS:	with/by+change/modification/replacement

 INPUT STRING:	الملة
     IS_TRANS:	Almlp
        INDEX:	P9W16
      OFFSETS:	93-98
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mil~ap_1]
   UNSPLITVOC:	(Almil~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mil~+ap
        GLOSS:	the+religion/creed/religions/creeds+[fem.sg.]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P9W17
      OFFSETS:	99-102
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	دفع
     IS_TRANS:	dfE
        INDEX:	P9W18
      OFFSETS:	103-106
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafoE_1]
   UNSPLITVOC:	(dafoE)
          POS:	NOUN
          VOC:	dafoE
        GLOSS:	pushing/propelling/payment

 INPUT STRING:	تبرع
     IS_TRANS:	tbrE
        INDEX:	P9W19
      OFFSETS:	107-111
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabar~uE_1]
   UNSPLITVOC:	(tabar~uE)
          POS:	NOUN
          VOC:	tabar~uE
        GLOSS:	donation/contribution/donations/contributions

 INPUT STRING:	سخى
     IS_TRANS:	sxY
        INDEX:	P9W20
      OFFSETS:	112-115
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saxiy_1]
   UNSPLITVOC:	(saxiy)
          POS:	ADJ
          VOC:	saxiy
        GLOSS:	generous/openhanded

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P9W21
      OFFSETS:	116-119
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	الكنيسة
     IS_TRANS:	Alknysp
        INDEX:	P9W22
      OFFSETS:	120-127
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiniysap_1]
   UNSPLITVOC:	(Alkiniysap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kiniys+ap
        GLOSS:	the+churches+[fem.sg.]

 INPUT STRING:	يجعل
     IS_TRANS:	yjEl
        INDEX:	P9W23
      OFFSETS:	128-132
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaEal_1]
   UNSPLITVOC:	(yijoEal)
          POS:	IV3MS+IV
          VOC:	yi+joEal
        GLOSS:	he/it+make/bring about/appoint

 INPUT STRING:	الكنيسة
     IS_TRANS:	Alknysp
        INDEX:	P9W24
      OFFSETS:	133-140
       TOKENS:	P9W30-P9W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiniysap_1]
   UNSPLITVOC:	(Alkiniysap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kiniys+ap
        GLOSS:	the+churches+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P9W25
      OFFSETS:	141-143
       TOKENS:	P9W31-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	تتدخل
     IS_TRANS:	ttdxl
        INDEX:	P9W26
      OFFSETS:	144-149
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitodax~al_1]
   UNSPLITVOC:	(titodax~al)
          POS:	IV3FS+IV
          VOC:	ti+todax~al
        GLOSS:	it/they/she+interfere/intrude/intervene

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W27
      OFFSETS:	150-152
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قضيتهم
     IS_TRANS:	qDythm
        INDEX:	P9W28
      OFFSETS:	153-159
       TOKENS:	P9W34-P9W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_2]
   UNSPLITVOC:	(qaDiy~athum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	qaDiy~+at+hum
        GLOSS:	lawsuit/legal case+[fem.sg.]+their

 INPUT STRING:	وصولا
     IS_TRANS:	wSwlA
        INDEX:	P9W29
      OFFSETS:	160-165
       TOKENS:	P9W36-P9W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wuSuwl_1]
   UNSPLITVOC:	(wuSuwlAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	wuSuwl+AF
        GLOSS:	arrival/achievement/arriving/achieving/receipt/voucher+[acc.indef.]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P9W30
      OFFSETS:	166-169
       TOKENS:	P9W37-P9W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	الحل
     IS_TRANS:	AlHl
        INDEX:	P9W31
      OFFSETS:	170-174
       TOKENS:	P9W38-P9W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(AlHal~)
          POS:	DET+NOUN
          VOC:	Al+Hal~
        GLOSS:	the+solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	الشيطانى
     IS_TRANS:	Al$yTAnY
        INDEX:	P9W32
      OFFSETS:	175-183
       TOKENS:	P9W39-P9W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al$ayTAniy_1]
   UNSPLITVOC:	(Al$ayTAniy)
          POS:	DET+ADJ
          VOC:	Al+$ayTAniy
        GLOSS:	the+satanic/devilish/evil

 INPUT STRING:	بتغيير
     IS_TRANS:	btgyyr
        INDEX:	P9W33
      OFFSETS:	184-190
       TOKENS:	P9W40-P9W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(bitagoyiyr)
          POS:	PREP+NOUN
          VOC:	bi+tagoyiyr
        GLOSS:	with/by+change/modification/replacement

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P9W34
      OFFSETS:	191-196
       TOKENS:	P9W42-P9W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion/religions

 INPUT STRING:	كلة
     IS_TRANS:	klp
        INDEX:	P9W35
      OFFSETS:	197-200
       TOKENS:	P9W43-P9W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kul~_2]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P9W36
      OFFSETS:	201-205
       TOKENS:	P9W45-P9W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	الطلاق
     IS_TRANS:	AlTlAq
        INDEX:	P9W37
      OFFSETS:	206-212
       TOKENS:	P9W47-P9W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TalAq_1]
   UNSPLITVOC:	(AlT~alAq)
          POS:	DET+NOUN
          VOC:	Al+TalAq
        GLOSS:	the+divorce

 INPUT STRING:	يرجعوا
     IS_TRANS:	yrjEwA
        INDEX:	P9W38
      OFFSETS:	213-219
       TOKENS:	P9W48-P9W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(yirojaEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+rojaE+uwA
        GLOSS:	they+go back/return/came back+we

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P9W39
      OFFSETS:	220-224
       TOKENS:	P9W49-P9W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	للمسيحية
     IS_TRANS:	llmsyHyp
        INDEX:	P9W40
      OFFSETS:	225-233
       TOKENS:	P9W50-P9W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[masiyHiy~ap_1]
   UNSPLITVOC:	(lilmasiyHiy~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+masiyHiy~+ap
        GLOSS:	to/for+the+Christianity+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W41
      OFFSETS:	233-234
       TOKENS:	P9W52-P9W52
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وبدراسة
     IS_TRANS:	wbdrAsp
        INDEX:	P10W1
      OFFSETS:	0-7
       TOKENS:	P10W1-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dirAsap_1]
