 INPUT STRING:	يرحم
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جوا
     IS_TRANS:	jwA
        INDEX:	P3W17
      OFFSETS:	87-90
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juw~A_1]
   UNSPLITVOC:	(juw~A)
          POS:	NOUN
          VOC:	juw~A
        GLOSS:	inside

 INPUT STRING:	بينتزعوا
     IS_TRANS:	byntzEwA
        INDEX:	P4W1
      OFFSETS:	0-8
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotazaE_1]
   UNSPLITVOC:	(biyinotiziEuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+notiziE+uwA
        GLOSS:	[present-tense]+they+extract+[P.]

 INPUT STRING:	مننا
     IS_TRANS:	mnnA
        INDEX:	P4W2
      OFFSETS:	9-13
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~inA)
          POS:	PREP+PRON_1P
          VOC:	min~+nA
        GLOSS:	from+us

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W3
      OFFSETS:	14-16
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اصاله
     IS_TRANS:	ASAlh
        INDEX:	P4W4
      OFFSETS:	17-22
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSAlap_1]
   UNSPLITVOC:	(>aSAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>aSAl+ap
        GLOSS:	authenticity/originality/directly/personally+[fem.sg.]

 INPUT STRING:	وصفات
     IS_TRANS:	wSfAt
        INDEX:	P4W5
      OFFSETS:	23-28
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sifap_1]
   UNSPLITVOC:	(wiSifAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+Sif+At
        GLOSS:	and+attributes/characteristics/features+[fem.pl.]

 INPUT STRING:	طيبه
     IS_TRANS:	Tybh
        INDEX:	P4W6
      OFFSETS:	29-33
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ibap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Tay~ib+ap
        GLOSS:	good/pleasant+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W7
      OFFSETS:	34-36
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جوانا
     IS_TRANS:	jwAnA
        INDEX:	P4W8
      OFFSETS:	37-42
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ah_1]
   UNSPLITVOC:	(juw~AnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	juw~A+nA
        GLOSS:	inside+our

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	كشعب
     IS_TRANS:	k$Eb
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(ka$aEob)
          POS:	PREP+NOUN
          VOC:	ka+$aEob
        GLOSS:	like/such+people/nation/peoples/nations

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P5W3
      OFFSETS:	10-13
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/day

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W4
      OFFSETS:	14-16
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P5W5
      OFFSETS:	17-20
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/day

 INPUT STRING:	بنفقد
     IS_TRANS:	bnfqd
        INDEX:	P5W6
      OFFSETS:	21-26
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqad_1]
   UNSPLITVOC:	(binifoqid)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+foqid
        GLOSS:	[present-tense]+we+lose

 INPUT STRING:	صفه
     IS_TRANS:	Sfh
        INDEX:	P5W7
      OFFSETS:	27-30
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sifap_1]
   UNSPLITVOC:	(Sifap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Sif+ap
        GLOSS:	attribute/characteristic/feature/attributes/characteristics/features+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W8
      OFFSETS:	31-33
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	صفاتنا
     IS_TRANS:	SfAtnA
        INDEX:	P5W9
      OFFSETS:	34-40
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sifap_1]
   UNSPLITVOC:	(SifAtnA)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	Sif+At+nA
        GLOSS:	attributes/characteristics/features+[fem.pl.]+our

 INPUT STRING:	الطيبه
     IS_TRANS:	AlTybh
        INDEX:	P5W10
      OFFSETS:	41-47
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(AlT~ay~ibap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Tay~ib+ap
        GLOSS:	the+good/pleasant+[fem.sg.]

 INPUT STRING:	وقارن
     IS_TRANS:	wqArn
        INDEX:	P5W11
      OFFSETS:	48-53
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qArin_1]
   UNSPLITVOC:	(wiqArin)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+qArin+(null)
        GLOSS:	and+compare+you

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P5W12
      OFFSETS:	54-57
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(bayn)
          POS:	NOUN
          VOC:	bayn
        GLOSS:	between

 INPUT STRING:	اجدادنا
     IS_TRANS:	AjdAdnA
        INDEX:	P5W13
      OFFSETS:	58-65
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(>ajodAdnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>ajodAd+nA
        GLOSS:	ancestors/grandparents+our

 INPUT STRING:	وابائنا
     IS_TRANS:	wAbA}nA
        INDEX:	P5W14
      OFFSETS:	66-73
       TOKENS:	P5W19-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ab_1]
   UNSPLITVOC:	(wa>abA}nA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wa+>abA}+nA
        GLOSS:	and+fathers/ancestors+our

 INPUT STRING:	وبين
     IS_TRANS:	wbyn
        INDEX:	P5W15
      OFFSETS:	74-78
       TOKENS:	P5W22-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(wibayn)
          POS:	CONJ+NOUN
          VOC:	wi+bayn
        GLOSS:	and+between

 INPUT STRING:	الشيوخ
     IS_TRANS:	Al$ywx
        INDEX:	P5W16
      OFFSETS:	79-85
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(A$~ayuwx)
          POS:	DET+NOUN
          VOC:	Al+$ayuwx
        GLOSS:	the+Sheikhs/chieftains

 INPUT STRING:	والشبابا
     IS_TRANS:	wAl$bAbA
        INDEX:	P5W17
      OFFSETS:	86-94
       TOKENS:	P5W25-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ab_1]
   UNSPLITVOC:	(wa$~abab)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+$abab
        GLOSS:	and+the+youth

 INPUT STRING:	والاطفال
     IS_TRANS:	wAlATfAl
        INDEX:	P5W18
      OFFSETS:	95-103
       TOKENS:	P5W27-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(wiAlATofAl)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+ATofAl
        GLOSS:	and+the+child/boy/child/girl/children/infants

 INPUT STRING:	ارسم
     IS_TRANS:	Arsm
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasam_1]
   UNSPLITVOC:	(>arosam)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	>arosam+(null)
        GLOSS:	draw+you

 INPUT STRING:	منحنى
     IS_TRANS:	mnHnY
        INDEX:	P6W2
      OFFSETS:	5-10
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munoHanaY_1]
   UNSPLITVOC:	(munoHanY)
          POS:	NOUN
          VOC:	munoHanY
        GLOSS:	curvature/bend/slope

 INPUT STRING:	بيانى
     IS_TRANS:	byAnY
        INDEX:	P6W3
      OFFSETS:	11-16
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayAniy_1]
   UNSPLITVOC:	(bayAniy)
          POS:	ADJ
          VOC:	bayAniy
        GLOSS:	communiqu/statement/declaration

 INPUT STRING:	للصفات
     IS_TRANS:	llSfAt
        INDEX:	P6W4
      OFFSETS:	17-23
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sifap_1]
   UNSPLITVOC:	(lilS~ifAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	li+Al+Sif+At
        GLOSS:	to/for+the+attributes/characteristics/features+[fem.pl.]

 INPUT STRING:	الطيبه
     IS_TRANS:	AlTybh
        INDEX:	P6W5
      OFFSETS:	24-30
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(AlT~ay~ibap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Tay~ib+ap
        GLOSS:	the+good/pleasant+[fem.sg.]

 INPUT STRING:	فينا
     IS_TRANS:	fynA
        INDEX:	P6W6
      OFFSETS:	31-35
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiynA)
          POS:	PREP+PRON_1P
          VOC:	fiy+nA
        GLOSS:	in+us

 INPUT STRING:	بالترتيب
     IS_TRANS:	bAltrtyb
        INDEX:	P6W7
      OFFSETS:	36-44
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarotiyb_1]
   UNSPLITVOC:	(biAlt~arotiyb)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+tarotiyb
        GLOSS:	with/by+the+arrangement/organization/preparation/arrangements/preparations/organization

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W8
      OFFSETS:	45-49
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	بقولك
     IS_TRANS:	bqwlk
        INDEX:	P6W9
      OFFSETS:	50-55
       TOKENS:	P6W12-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(ba>aquwl~ak)
          POS:	PROG_PART+IV1S+IV+PREP+PRON_2MS
          VOC:	ba+>a+quwl+la+k
        GLOSS:	[present-tense]+I+say+for+you

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P6W10
      OFFSETS:	56-60
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P6W11
      OFFSETS:	61-63
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	that

 INPUT STRING:	اجدادنا
     IS_TRANS:	AjdAdnA
        INDEX:	P6W12
      OFFSETS:	64-71
       TOKENS:	P6W19-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(>ajodAdnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>ajodAd+nA
        GLOSS:	ancestors/grandparents+our

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P6W13
      OFFSETS:	72-74
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	ابائنا
     IS_TRANS:	AbA}nA
        INDEX:	P6W14
      OFFSETS:	75-81
       TOKENS:	P6W22-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab_1]
   UNSPLITVOC:	(|bA}nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	|bA}+nA
        GLOSS:	fathers/ancestors+our

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P6W15
      OFFSETS:	82-84
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	شيوخنا
     IS_TRANS:	$ywxnA
        INDEX:	P6W16
      OFFSETS:	85-91
       TOKENS:	P6W25-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ayox_1]
   UNSPLITVOC:	($uyuwxnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	$uyuwx+nA
        GLOSS:	Sheikhs/chieftains+our

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P6W17
      OFFSETS:	92-94
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	شبابنا
     IS_TRANS:	$bAbnA
        INDEX:	P6W18
      OFFSETS:	95-101
       TOKENS:	P6W28-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ab~_1]
   UNSPLITVOC:	($abAbnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	$abAb+nA
        GLOSS:	youth/youths+our

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P6W19
      OFFSETS:	102-104
       TOKENS:	P6W30-P6W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	اطفالنا
     IS_TRANS:	ATfAlnA
        INDEX:	P6W20
      OFFSETS:	105-112
       TOKENS:	P6W31-P6W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(>aTofAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>aTofAl+nA
        GLOSS:	children/infants+our

 INPUT STRING:	هتلاقى
     IS_TRANS:	htlAqY
        INDEX:	P6W21
      OFFSETS:	113-119
       TOKENS:	P6W33-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(HatilAqiy)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+lAqiy
        GLOSS:	will+you+meet/encounter/be met/be encountered

 INPUT STRING:	المنحنى
     IS_TRANS:	AlmnHnY
        INDEX:	P6W22
      OFFSETS:	120-127
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[munoHanaY_1]
   UNSPLITVOC:	(AlmunoHanaY)
          POS:	DET+NOUN
          VOC:	Al+munoHanaY
        GLOSS:	the+curvature/bend/slope

 INPUT STRING:	تنازلى
     IS_TRANS:	tnAzlY
        INDEX:	P6W23
      OFFSETS:	128-134
       TOKENS:	P6W36-P6W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanAzuliy_1]
   UNSPLITVOC:	(tanAzuliy)
          POS:	ADJ
          VOC:	tanAzuliy
        GLOSS:	descending

 INPUT STRING:	وتنازلى
     IS_TRANS:	wtnAzlY
        INDEX:	P6W24
      OFFSETS:	135-142
       TOKENS:	P6W37-P6W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanAzuliy_1]
   UNSPLITVOC:	(witanAzuliy)
          POS:	CONJ+ADJ
          VOC:	wi+tanAzuliy
        GLOSS:	and+descending

 INPUT STRING:	بقوه
     IS_TRANS:	bqwh
        INDEX:	P6W25
      OFFSETS:	143-147
       TOKENS:	P6W39-P6W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(biquw~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+quw~+ap
        GLOSS:	with/by+power/strength+[fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P6W26
      OFFSETS:	148-151
       TOKENS:	P6W41-P6W41
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jid~_2]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	بمرور
     IS_TRANS:	bmrwr
        INDEX:	P6W27
      OFFSETS:	152-157
       TOKENS:	P6W42-P6W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muruwr_1]
   UNSPLITVOC:	(bimuruwr)
          POS:	PREP+NOUN
          VOC:	bi+muruwr
        GLOSS:	with/by+passing/crossing/traffic

 INPUT STRING:	الزمن
     IS_TRANS:	Alzmn
        INDEX:	P6W28
      OFFSETS:	158-163
       TOKENS:	P6W44-P6W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaman_1]
   UNSPLITVOC:	(Alz~aman)
          POS:	DET+NOUN
          VOC:	Al+zaman
        GLOSS:	the+time/period/duration

 INPUT STRING:	بنفقد
     IS_TRANS:	bnfqd
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqad_1]
   UNSPLITVOC:	(binifoqid)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+foqid
        GLOSS:	[present-tense]+we+lose

 INPUT STRING:	طبيعتنا
     IS_TRANS:	TbyEtnA
        INDEX:	P7W2
      OFFSETS:	6-13
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEap_1]
   UNSPLITVOC:	(TabiyEitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	TabiyE+ap+nA
        GLOSS:	nature/natural+[fem.sg.]+our

 INPUT STRING:	وثقافاتنا
     IS_TRANS:	wvqAfAtnA
        INDEX:	P7W3
      OFFSETS:	14-23
       TOKENS:	P7W5-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(wivaqAfAtnA)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	wi+vaqAf+At+nA
        GLOSS:	and+culture/civilization+[fem.pl.]+our

 INPUT STRING:	وعاداتنا
     IS_TRANS:	wEAdAtnA
        INDEX:	P7W4
      OFFSETS:	24-32
       TOKENS:	P7W8-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(wiEAdAtnA)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	wi+EAd+At+nA
        GLOSS:	and+customs/practices/habits+[fem.pl.]+our

 INPUT STRING:	بنفقد
     IS_TRANS:	bnfqd
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqad_1]
   UNSPLITVOC:	(binifoqid)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+foqid
        GLOSS:	[present-tense]+we+lose

 INPUT STRING:	صفات
     IS_TRANS:	SfAt
        INDEX:	P8W2
      OFFSETS:	6-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sifap_1]
   UNSPLITVOC:	(SifAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Sif+At
        GLOSS:	attributes/characteristics/features+[fem.pl.]

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P8W3
      OFFSETS:	11-19
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlmSryyn)
          POS:	NO_FUNC
          VOC:	AlmSryyn
        GLOSS:	nogloss

