 INPUT STRING:	مارأيك
   UNSPLITVOC:	(Alma$Akil)
          POS:	DET+NOUN
          VOC:	Al+ma$Akil
        GLOSS:	the+problem/issue

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P4W30
      OFFSETS:	142-146
       TOKENS:	P4W35-P4W35
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P4W31
      OFFSETS:	147-149
       TOKENS:	P4W36-P4W36
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	يتم
     IS_TRANS:	ytm
        INDEX:	P4W32
      OFFSETS:	150-153
       TOKENS:	P4W37-P4W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(yatim~)
          POS:	IV3MS+IV
          VOC:	ya+tim~
        GLOSS:	he/it+conclude/take place

 INPUT STRING:	حلها
     IS_TRANS:	HlhA
        INDEX:	P4W33
      OFFSETS:	154-158
       TOKENS:	P4W38-P4W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(Hal~hA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Hal~+hA
        GLOSS:	solution/dissolution/cancellation/solutions/dissolutions/cancellations+its/their/her

 INPUT STRING:	بدونه
     IS_TRANS:	bdwnh
        INDEX:	P4W34
      OFFSETS:	159-164
       TOKENS:	P4W40-P4W42
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwnihi)
          POS:	PREP+NOUN+CASE_DEF_GEN+POSS_PRON_3MS
          VOC:	bi+duwn+i+hi
        GLOSS:	with/by+without/beneath/underneath/inferior/poor+[def.gen.]+its/his

 INPUT STRING:	مجرد
     IS_TRANS:	mjrd
        INDEX:	P5W1
      OFFSETS:	1-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujar~ad_1]
   UNSPLITVOC:	(mujar~ad)
          POS:	NOUN
          VOC:	mujar~ad
        GLOSS:	nothing but/mere

 INPUT STRING:	إعلانه
     IS_TRANS:	<ElAnh
        INDEX:	P5W2
      OFFSETS:	6-12
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iEolAn_1]
   UNSPLITVOC:	(<iEolAnuhu)
          POS:	NOUN+CASE_DEF_NOM+POSS_PRON_3MS
          VOC:	<iEolAn+u+hu
        GLOSS:	declaration/statement/announcement+[def.nom]+its/his

 INPUT STRING:	للترشح
     IS_TRANS:	lltr$H
        INDEX:	P5W3
      OFFSETS:	13-19
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tara$~uH_1]
   UNSPLITVOC:	(lilt~ara$~uH)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tara$~uH
        GLOSS:	to/for+the+infiltration/candidature

 INPUT STRING:	للرئاسة
     IS_TRANS:	llr}Asp
        INDEX:	P5W4
      OFFSETS:	20-27
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(lilr~i}Asap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+ri}As+ap
        GLOSS:	for/to+the+presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	يثير
     IS_TRANS:	yvyr
        INDEX:	P5W5
      OFFSETS:	28-32
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>avAr_1]
   UNSPLITVOC:	(yuviyra)
          POS:	IV3MS+IV+IVSUFF_MOOD:S
          VOC:	yu+viyr+a
        GLOSS:	he/it+raise/provoke/agitate+[sub.]

 INPUT STRING:	عدة
     IS_TRANS:	Edp
        INDEX:	P5W6
      OFFSETS:	33-36
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eid~ap_1]
   UNSPLITVOC:	(Eid~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eid~+ap
        GLOSS:	several/numerous/many+[fem.sg.]

 INPUT STRING:	تساؤلات
     IS_TRANS:	tsA&lAt
        INDEX:	P5W7
      OFFSETS:	37-44
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasA&ul_1]
   UNSPLITVOC:	(tasA&ulAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tasA&ul+At
        GLOSS:	questions/doubts+[fem.pl.]

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P6W1
      OFFSETS:	1-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	رغبة
     IS_TRANS:	rgbp
        INDEX:	P6W2
      OFFSETS:	6-10
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragobap_1]
   UNSPLITVOC:	(ragobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ragob+ap
        GLOSS:	desire/wish+[fem.sg.]

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P6W3
      OFFSETS:	11-16
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	سببا
     IS_TRANS:	sbbA
        INDEX:	P6W4
      OFFSETS:	17-21
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sababAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	sabab+AF
        GLOSS:	reason/cause+[acc.indef.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W5
      OFFSETS:	22-24
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ترشحه
     IS_TRANS:	tr$Hh
        INDEX:	P6W6
      OFFSETS:	25-30
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tara$~uH_1]
   UNSPLITVOC:	(tara$~uHihi)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_3MS
          VOC:	tara$~uH+i+hi
        GLOSS:	infiltration/candidature+[def.gen.]+its/his

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W7
      OFFSETS:	30-31
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W8
      OFFSETS:	31-32
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W9
      OFFSETS:	32-33
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فهل
     IS_TRANS:	fhl
        INDEX:	P6W10
      OFFSETS:	33-36
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(fahal)
          POS:	CONJ+INTERROG_PART
          VOC:	fa+hal
        GLOSS:	so/and+do?/is?

 INPUT STRING:	سيتراجع
     IS_TRANS:	sytrAjE
        INDEX:	P6W11
      OFFSETS:	37-44
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tarAjaE_1]
   UNSPLITVOC:	(sayatarAjaEa)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_MOOD:S
          VOC:	sa+ya+tarAjaE+a
        GLOSS:	will+he/it+retreat/fall behind+[sub.]

 INPUT STRING:	بهجوم
     IS_TRANS:	bhjwm
        INDEX:	P6W12
      OFFSETS:	45-50
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hujuwm_1]
   UNSPLITVOC:	(bihujuwm)
          POS:	PREP+NOUN.VN
          VOC:	bi+hujuwm
        GLOSS:	with/by+attack/charge/assault

 INPUT STRING:	الجرائد
     IS_TRANS:	AljrA}d
        INDEX:	P6W13
      OFFSETS:	51-58
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariydap_1]
   UNSPLITVOC:	(AljarA}id)
          POS:	DET+NOUN
          VOC:	Al+jarA}id
        GLOSS:	the+newspapers/journals

 INPUT STRING:	القومية
     IS_TRANS:	Alqwmyp
        INDEX:	P6W14
      OFFSETS:	60-67
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawomiy~_1]
   UNSPLITVOC:	(Alqawomiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qawomiy~+ap
        GLOSS:	the+national/state+[fem.sg.]

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P6W15
      OFFSETS:	69-73
       TOKENS:	P6W19-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W16
      OFFSETS:	73-74
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P7W1
      OFFSETS:	1-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P7W2
      OFFSETS:	4-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	if/when/whether/whenever

 INPUT STRING:	استمر
     IS_TRANS:	Astmr
        INDEX:	P7W3
      OFFSETS:	8-13
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotamar~_1]
   UNSPLITVOC:	(Aisotamar~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Aisotamar~+(null)
        GLOSS:	continue/last (time)+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W4
      OFFSETS:	14-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المضى
     IS_TRANS:	AlmDY
        INDEX:	P7W5
      OFFSETS:	17-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muDiy~_1]
   UNSPLITVOC:	(AlmuDiy~)
          POS:	DET+NOUN
          VOC:	Al+muDiy~
        GLOSS:	the+continuation/pursuit

 INPUT STRING:	قدما
     IS_TRANS:	qdmA
        INDEX:	P7W6
      OFFSETS:	23-27
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qudum_1]
   UNSPLITVOC:	(qudumAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	qudum+AF
        GLOSS:	forward+[acc.indef.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W7
      OFFSETS:	28-30
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P7W8
      OFFSETS:	31-34
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	الصدد
     IS_TRANS:	AlSdd
        INDEX:	P7W9
      OFFSETS:	35-40
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadad_1]
   UNSPLITVOC:	(AlS~adad)
          POS:	DET+NOUN
          VOC:	Al+Sadad
        GLOSS:	the+respect/regard/purpose

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W10
      OFFSETS:	40-41
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W11
      OFFSETS:	41-42
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W12
      OFFSETS:	42-43
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P7W13
      OFFSETS:	43-45
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	ستلجأ
     IS_TRANS:	stlj>
        INDEX:	P7W14
      OFFSETS:	46-51
       TOKENS:	P7W14-P7W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laja>-a_1]
   UNSPLITVOC:	(sataloja>a)
          POS:	FUT_PART+IV3FS+IV+IVSUFF_MOOD:S
          VOC:	sa+ta+loja>+a
        GLOSS:	will+it/they/she+resort/have recourse/take refuge+[sub.]

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P7W15
      OFFSETS:	52-55
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	الجهات
     IS_TRANS:	AljhAt
        INDEX:	P7W16
      OFFSETS:	56-62
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihap_1]
   UNSPLITVOC:	(AljihAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+jih+At
        GLOSS:	the+sectors/offices/institutions+[fem.pl.]

 INPUT STRING:	الحكومية
     IS_TRANS:	AlHkwmyp
        INDEX:	P7W17
      OFFSETS:	63-71
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Hukuwmiy~_1]
   UNSPLITVOC:	(AlHukuwmiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Hukuwmiy~+ap
        GLOSS:	the+governmental/state/official+[fem.sg.]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P7W18
      OFFSETS:	72-75
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	البلطجة
     IS_TRANS:	AlblTjp
        INDEX:	P7W19
      OFFSETS:	76-83
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajap_1]
   UNSPLITVOC:	(AlbaloTajap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+baloTaj+ap
        GLOSS:	the+gangsterism+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W20
      OFFSETS:	83-84
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P8W1
      OFFSETS:	1-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	ستسخر
     IS_TRANS:	stsxr
        INDEX:	P8W2
      OFFSETS:	4-9
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sax~ar_1]
   UNSPLITVOC:	(satusax~iru)
          POS:	FUT_PART+IV3FS+IV+IVSUFF_MOOD:I
          VOC:	sa+tu+sax~ir+u
        GLOSS:	will+it/they/she+exploit/subjugate+[ind.]

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P8W3
      OFFSETS:	10-17
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P8W4
      OFFSETS:	18-20
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	إمكاناتها
     IS_TRANS:	<mkAnAthA
        INDEX:	P8W5
      OFFSETS:	21-30
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<imokAn_1]
   UNSPLITVOC:	(<imokAnAtihA)
          POS:	NOUN+NSUFF_FEM_PL+CASE_DEF_ACC+POSS_PRON_3FS
          VOC:	<imokAn+At+i+hA
        GLOSS:	capabilities+[fem.pl.]+[def.acc.]+its/their/her

 INPUT STRING:	للبحث
     IS_TRANS:	llbHv
        INDEX:	P8W6
      OFFSETS:	31-36
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHov_1]
   UNSPLITVOC:	(lilbaHov)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+baHov
        GLOSS:	for/to+the+search/examination/research

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P8W7
      OFFSETS:	37-39
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	القطط
     IS_TRANS:	AlqTT
        INDEX:	P8W8
      OFFSETS:	41-46
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiT~_1]
   UNSPLITVOC:	(AlqiTaT)
          POS:	DET+NOUN
          VOC:	Al+qiTaT
        GLOSS:	the+cats

 INPUT STRING:	الفطسانة
     IS_TRANS:	AlfTsAnp
        INDEX:	P8W9
      OFFSETS:	47-55
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faTsAn_1]
   UNSPLITVOC:	(AlfTsAnap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+faTsAn+ap
        GLOSS:	the+spoiled/dead+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W10
      OFFSETS:	57-59
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تاريخه
     IS_TRANS:	tAryxh
        INDEX:	P8W11
      OFFSETS:	60-66
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAryx_1]
   UNSPLITVOC:	(tAryxuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	tAryx+uh
        GLOSS:	history+his/its

 INPUT STRING:	لتشويه
     IS_TRANS:	lt$wyh
        INDEX:	P8W12
      OFFSETS:	67-73
       TOKENS:	P8W16-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$owiyh_1]
   UNSPLITVOC:	(lita$owiyh)
          POS:	PREP+NOUN
          VOC:	li+ta$owiyh
        GLOSS:	for/to+distortion

 INPUT STRING:	صورته
     IS_TRANS:	Swrth
        INDEX:	P8W13
      OFFSETS:	74-79
       TOKENS:	P8W18-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrapuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	Suwr+ap+uh
        GLOSS:	picture/image/illustration/photo+[fem.sg.]+his/its

 INPUT STRING:	قدر
     IS_TRANS:	qdr
        INDEX:	P8W14
      OFFSETS:	80-83
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qadr_1]
   UNSPLITVOC:	(qadr)
          POS:	NOUN
          VOC:	qadr
        GLOSS:	extent/degree/amount/value/level

 INPUT STRING:	الإمكان
     IS_TRANS:	Al<mkAn
        INDEX:	P8W15
      OFFSETS:	84-91
       TOKENS:	P8W21-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
