 INPUT STRING:	تحـــذيـــر
      OFFSETS:	121-126
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wahomiy_1]
   UNSPLITVOC:	(wahomiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wahomiy~+ap
        GLOSS:	imagined/imaginary/fake/bogus+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W22
      OFFSETS:	126-127
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	واستخدام
     IS_TRANS:	wAstxdAm
        INDEX:	P6W1
      OFFSETS:	0-8
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotixodAm_1]
   UNSPLITVOC:	(wi<isotixodAm)
          POS:	CONJ+NOUN
          VOC:	wi+<isotixodAm
        GLOSS:	and+usage/using/utilization

 INPUT STRING:	مذيع
     IS_TRANS:	m*yE
        INDEX:	P6W2
      OFFSETS:	9-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*iyE_1]
   UNSPLITVOC:	(mu*iyE)
          POS:	NOUN
          VOC:	mu*iyE
        GLOSS:	broadcaster/transmitter/announcer

 INPUT STRING:	حسن
     IS_TRANS:	Hsn
        INDEX:	P6W3
      OFFSETS:	14-17
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasan_1]
   UNSPLITVOC:	(Hasan)
          POS:	ADJ
          VOC:	Hasan
        GLOSS:	good/well/very well/very good/okay

 INPUT STRING:	الشكل
     IS_TRANS:	Al$kl
        INDEX:	P6W4
      OFFSETS:	18-23
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(Al$~akol)
          POS:	DET+NOUN
          VOC:	Al+$akol
        GLOSS:	the+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	يحمل
     IS_TRANS:	yHml
        INDEX:	P6W5
      OFFSETS:	24-28
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamal_1]
   UNSPLITVOC:	(yiHomil)
          POS:	IV3MS+IV
          VOC:	yi+Homil
        GLOSS:	he/it+carry

 INPUT STRING:	بيده
     IS_TRANS:	bydh
        INDEX:	P6W6
      OFFSETS:	29-33
       TOKENS:	P6W7-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(biyaduh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+yad+uh
        GLOSS:	with/by+hand+its/his

 INPUT STRING:	200
     IS_TRANS:	200
        INDEX:	P6W7
      OFFSETS:	34-37
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[200_1]
   UNSPLITVOC:	(200)
          POS:	NOUN_NUM
          VOC:	200
        GLOSS:	200

 INPUT STRING:	دولار
     IS_TRANS:	dwlAr
        INDEX:	P6W8
      OFFSETS:	38-43
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwlAr_1]
   UNSPLITVOC:	(duwlAr)
          POS:	NOUN
          VOC:	duwlAr
        GLOSS:	dollar/dollars

 INPUT STRING:	قيمة
     IS_TRANS:	qymp
        INDEX:	P6W9
      OFFSETS:	44-48
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiymap_1]
   UNSPLITVOC:	(qiymap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qiym+ap
        GLOSS:	value/worth+[fem.sg.]

 INPUT STRING:	الجائزة
     IS_TRANS:	AljA}zp
        INDEX:	P6W10
      OFFSETS:	49-56
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA}izap_1]
   UNSPLITVOC:	(AljA}izap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jA}iz+ap
        GLOSS:	the+prize/reward+[fem.sg.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P6W11
      OFFSETS:	57-61
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	يفوز
     IS_TRANS:	yfwz
        INDEX:	P6W12
      OFFSETS:	62-66
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAz_1]
   UNSPLITVOC:	(yifuwz)
          POS:	IV3MS+IV
          VOC:	yi+fuwz
        GLOSS:	he/it+win

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P6W13
      OFFSETS:	67-70
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	الشاب
     IS_TRANS:	Al$Ab
        INDEX:	P6W14
      OFFSETS:	71-76
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(Al$~Ab~)
          POS:	DET+NOUN
          VOC:	Al+$Ab~
        GLOSS:	the+young man/young men

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P6W15
      OFFSETS:	77-79
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	الفتاة
     IS_TRANS:	AlftAp
        INDEX:	P6W16
      OFFSETS:	80-86
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatAp_1]
   UNSPLITVOC:	(AlfatAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fatA+ap
        GLOSS:	the+young girl+[fem.sg.]

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P6W17
      OFFSETS:	87-90
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الاجابة
     IS_TRANS:	AlAjAbp
        INDEX:	P6W18
      OFFSETS:	91-98
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijAbap_1]
   UNSPLITVOC:	(AlAijAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AijAb+ap
        GLOSS:	the+answer+[fem.sg.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P6W19
      OFFSETS:	99-101
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P6W20
      OFFSETS:	102-105
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	الاسئلة
     IS_TRANS:	AlAs}lp
        INDEX:	P6W21
      OFFSETS:	106-113
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(Al>aso}ilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>aso}il+ap
        GLOSS:	the+question/inquiry+[fem.sg.]

 INPUT STRING:	السهلة
     IS_TRANS:	Alshlp
        INDEX:	P6W22
      OFFSETS:	114-120
       TOKENS:	P6W26-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(Als~aholap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+sahol+ap
        GLOSS:	the+easy/simple+[fem.sg.]

 INPUT STRING:	وبعدها
     IS_TRANS:	wbEdhA
        INDEX:	P7W1
      OFFSETS:	0-6
       TOKENS:	P7W1-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEodahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+baEod+hA
        GLOSS:	and+after+its/their/her

 INPUT STRING:	يقوم
     IS_TRANS:	yqwm
        INDEX:	P7W2
      OFFSETS:	7-11
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(yaquwm)
          POS:	IV3MS+IV
          VOC:	ya+quwm
        GLOSS:	he/it+undertake

 INPUT STRING:	فريق
     IS_TRANS:	fryq
        INDEX:	P7W3
      OFFSETS:	12-16
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fariyq_1]
   UNSPLITVOC:	(fariyq)
          POS:	NOUN
          VOC:	fariyq
        GLOSS:	team/band/group/faction/party

 INPUT STRING:	التليفزيون
     IS_TRANS:	Altlyfzywn
        INDEX:	P7W4
      OFFSETS:	17-27
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilofizyuwn_1]
   UNSPLITVOC:	(Altiliyfizyuwn)
          POS:	DET+NOUN
          VOC:	Al+tiliyfizyuwn
        GLOSS:	the+television

 INPUT STRING:	الوهمي
     IS_TRANS:	Alwhmy
        INDEX:	P7W5
      OFFSETS:	28-34
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alwahmiy~_1]
   UNSPLITVOC:	(Alwahmiy)
          POS:	DET+ADJ
          VOC:	Al+wahmiy
        GLOSS:	the+imagined/imaginary/fake

 INPUT STRING:	باستدراج
     IS_TRANS:	bAstdrAj
        INDEX:	P7W6
      OFFSETS:	35-43
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotidorAj_1]
   UNSPLITVOC:	(bi<isotidorAj)
          POS:	PREP+NOUN
          VOC:	bi+<isotidorAj
        GLOSS:	with/by+persuasion/appeal

 INPUT STRING:	الفريسة
     IS_TRANS:	Alfrysp
        INDEX:	P7W7
      OFFSETS:	44-51
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fariysap_1]
   UNSPLITVOC:	(Alfariysap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fariys+ap
        GLOSS:	the+victim/prey/victims/preys+[fem.sg.]

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P7W8
      OFFSETS:	52-55
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الحصول
     IS_TRANS:	AlHSwl
        INDEX:	P7W9
      OFFSETS:	56-62
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HuSuwl_1]
   UNSPLITVOC:	(AlHuSuwl)
          POS:	DET+NOUN
          VOC:	Al+HuSuwl
        GLOSS:	the+acquisition/obtaining/occurrence/happening

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P7W10
      OFFSETS:	63-66
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الجائزة
     IS_TRANS:	AljA}zp
        INDEX:	P7W11
      OFFSETS:	67-74
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA}izap_1]
   UNSPLITVOC:	(AljA}izap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jA}iz+ap
        GLOSS:	the+prize/reward+[fem.sg.]

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P7W12
      OFFSETS:	75-78
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	into

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P7W13
      OFFSETS:	79-83
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	NOUN
          VOC:	dAxil
        GLOSS:	inside of/interior/inside

 INPUT STRING:	السيارة
     IS_TRANS:	AlsyArp
        INDEX:	P7W14
      OFFSETS:	84-91
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~Arap_1]
   UNSPLITVOC:	(Als~ay~Arap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+say~Ar+ap
        GLOSS:	the+car/automobile/vehicle/cars/automobiles/vehicles+[fem.sg.]

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P7W15
      OFFSETS:	92-94
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	تخديره
     IS_TRANS:	txdyrh
        INDEX:	P7W16
      OFFSETS:	95-101
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxodiyr_1]
   UNSPLITVOC:	(taxodiyruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	taxodiyr+uh
        GLOSS:	the act of giving anesthesia+him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W17
      OFFSETS:	102-104
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أجل
     IS_TRANS:	>jl
        INDEX:	P7W18
      OFFSETS:	105-108
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajal_1]
   UNSPLITVOC:	(>ajal)
          POS:	NOUN
          VOC:	>ajal
        GLOSS:	for sake of/because of

 INPUT STRING:	سرقة
     IS_TRANS:	srqp
        INDEX:	P7W19
      OFFSETS:	109-113
       TOKENS:	P7W23-P7W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siroqap_1]
   UNSPLITVOC:	(siroqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siroq+ap
        GLOSS:	stealing/theft/heist+[fem.sg.]

 INPUT STRING:	الاعضاء
     IS_TRANS:	AlAEDA'
        INDEX:	P7W20
      OFFSETS:	114-121
       TOKENS:	P7W24-P7W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(AlAEoDA')
          POS:	DET+NOUN
          VOC:	Al+AEoDA'
        GLOSS:	the+organ/organs

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P7W21
      OFFSETS:	122-125
       TOKENS:	P7W25-P7W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as/like/such as/the likes of

 INPUT STRING:	القرنية
     IS_TRANS:	Alqrnyp
        INDEX:	P7W22
      OFFSETS:	126-133
       TOKENS:	P7W26-P7W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaroniy~ap_1]
   UNSPLITVOC:	(Alqaroniy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaroniy~+ap
        GLOSS:	the+cornea+[fem.sg.]

 INPUT STRING:	والكلي
     IS_TRANS:	wAlkly
        INDEX:	P7W23
      OFFSETS:	134-140
       TOKENS:	P7W27-P7W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kulowap_1]
   UNSPLITVOC:	(waAlkalaY)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+kulaY
        GLOSS:	and+the+kidneys

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P7W24
      OFFSETS:	141-145
       TOKENS:	P7W29-P7W30
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(wah`*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+h`*A
        GLOSS:	and+this [masc.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P7W25
      OFFSETS:	146-148
       TOKENS:	P7W31-P7W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	آثار
     IS_TRANS:	|vAr
        INDEX:	P7W26
      OFFSETS:	149-153
       TOKENS:	P7W32-P7W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avAr_1]
   UNSPLITVOC:	(>avAr)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>avAr+(null)
        GLOSS:	provoke+he

 INPUT STRING:	الفزع
     IS_TRANS:	AlfzE
        INDEX:	P7W27
      OFFSETS:	154-159
       TOKENS:	P7W33-P7W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fazaE_1]
   UNSPLITVOC:	(AlfazaE)
          POS:	DET+NOUN
          VOC:	Al+fazaE
        GLOSS:	the+fear/fright

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P7W28
      OFFSETS:	160-163
       TOKENS:	P7W34-P7W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(bayn)
          POS:	NOUN
          VOC:	bayn
        GLOSS:	between/among

 INPUT STRING:	شباب
     IS_TRANS:	$bAb
        INDEX:	P7W29
      OFFSETS:	164-168
       TOKENS:	P7W35-P7W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ab~_1]
   UNSPLITVOC:	($abAb)
          POS:	NOUN
          VOC:	$abAb
        GLOSS:	youth/youths

 INPUT STRING:	مدينة
     IS_TRANS:	mdynp
        INDEX:	P7W30
      OFFSETS:	169-174
       TOKENS:	P7W36-P7W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(madiynap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	madiyn+ap
        GLOSS:	city+[fem.sg.]

 INPUT STRING:	نصر
     IS_TRANS:	nSr
        INDEX:	P7W31
      OFFSETS:	175-178
       TOKENS:	P7W37-P7W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSor_1]
   UNSPLITVOC:	(naSor)
          POS:	NOUN_PROP
          VOC:	naSor
        GLOSS:	Nasr

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W32
      OFFSETS:	179-180
       TOKENS:	P7W38-P7W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P7W33
      OFFSETS:	180-181
       TOKENS:	P7W39-P7W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[6_1]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	أكتوبر
     IS_TRANS:	>ktwbr
        INDEX:	P7W34
      OFFSETS:	182-188
       TOKENS:	P7W40-P7W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ukotuwbar_1]
   UNSPLITVOC:	(>ukotuwbar)
          POS:	NOUN_PROP
          VOC:	>ukotuwbar
        GLOSS:	October

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P8W2
      OFFSETS:	5-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	more/most knowledgeable

 INPUT STRING:	اذا
     IS_TRANS:	A*A
        INDEX:	P8W3
      OFFSETS:	10-13
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	If, whether, when, whenever

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P8W4
      OFFSETS:	14-18
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P8W5
      OFFSETS:	19-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	right

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P8W6
      OFFSETS:	22-24
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amo_1]
   UNSPLITVOC:	(>amo)
          POS:	CONJ
          VOC:	>amo
        GLOSS:	or

 INPUT STRING:	خطأ
     IS_TRANS:	xT>
        INDEX:	P8W7
      OFFSETS:	25-28
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaTa>_1]
