 INPUT STRING:	ياجماعة
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P3W3
      OFFSETS:	10-14
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P3W4
      OFFSETS:	15-21
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+representative/agent

 INPUT STRING:	فيك
     IS_TRANS:	fyk
        INDEX:	P3W5
      OFFSETS:	22-25
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyk)
          POS:	PREP+PRON_2MS
          VOC:	fiy+ak
        GLOSS:	in+you

 INPUT STRING:	يامبارك
     IS_TRANS:	yAmbArk
        INDEX:	P3W6
      OFFSETS:	26-33
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(yAmubArak)
          POS:	VOC_PART+NOUN
          VOC:	yA+mubArak
        GLOSS:	oh+Mubarak

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P3W7
      OFFSETS:	34-36
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as

 INPUT STRING:	ماضيعت
     IS_TRANS:	mADyEt
        INDEX:	P3W8
      OFFSETS:	37-43
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mADyEt)
          POS:	NO_FUNC
          VOC:	mADyEt
        GLOSS:	nogloss

 INPUT STRING:	القرى
     IS_TRANS:	AlqrY
        INDEX:	P3W9
      OFFSETS:	44-49
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaroyap_1]
   UNSPLITVOC:	(AlquraY)
          POS:	DET+NOUN
          VOC:	Al+quraY
        GLOSS:	the+villages

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P3W10
      OFFSETS:	50-52
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ياااااااااااااااااااارب
     IS_TRANS:	yAAAAAAAAAAAAAAAAAAAArb
        INDEX:	P4W1
      OFFSETS:	0-23
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	oh+god

 INPUT STRING:	ساعدهم
     IS_TRANS:	sAEdhm
        INDEX:	P4W2
      OFFSETS:	24-30
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAEad_1]
   UNSPLITVOC:	(sAEidohum)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3MP
          VOC:	sAEid+o+hum
        GLOSS:	help/assist+you [verb]+them

 INPUT STRING:	وعمرو
     IS_TRANS:	wEmrw
        INDEX:	P4W3
      OFFSETS:	31-36
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(waEamorw)
          POS:	PART+NOUN_PROP
          VOC:	wa+Eamorw
        GLOSS:	[part.]+Amr

 INPUT STRING:	أديب
     IS_TRANS:	>dyb
        INDEX:	P4W4
      OFFSETS:	37-41
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adiyb_1]
   UNSPLITVOC:	(>adiyb)
          POS:	NOUN
          VOC:	>adiyb
        GLOSS:	ADIYB

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P4W5
      OFFSETS:	42-46
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	حملة
     IS_TRANS:	Hmlp
        INDEX:	P4W6
      OFFSETS:	47-51
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamolap_1]
   UNSPLITVOC:	(Hamolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hamol+ap
        GLOSS:	campaign/expedition/attack+[fem.sg.]

 INPUT STRING:	للنجع
     IS_TRANS:	llnjE
        INDEX:	P4W7
      OFFSETS:	52-57
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[najE_1]
   UNSPLITVOC:	(liAlnajE)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+najE
        GLOSS:	for/to+the+village

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P4W8
      OFFSETS:	58-60
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بالمشاركة
     IS_TRANS:	bAlm$Arkp
        INDEX:	P4W9
      OFFSETS:	61-70
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$Arakap_1]
   UNSPLITVOC:	(biAlmu$Arakap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+mu$Arak+ap
        GLOSS:	with/by+the+participation/association+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P4W10
      OFFSETS:	71-73
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	بنك
     IS_TRANS:	bnk
        INDEX:	P4W11
      OFFSETS:	74-77
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banok_1]
   UNSPLITVOC:	(banok)
          POS:	NOUN
          VOC:	banok
        GLOSS:	bank

 INPUT STRING:	الطعام
     IS_TRANS:	AlTEAm
        INDEX:	P4W12
      OFFSETS:	78-84
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[TaEAm_1]
   UNSPLITVOC:	(AlTaEAm)
          POS:	DET+NOUN
          VOC:	Al+TaEAm
        GLOSS:	the+food

 INPUT STRING:	والأورمان
     IS_TRANS:	wAl>wrmAn
        INDEX:	P4W13
      OFFSETS:	85-94
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwrmAn_1]
   UNSPLITVOC:	(waAl>uwrmAn)
          POS:	CONJ+DET+NOUN_PROP
          VOC:	wa+Al+>uwrmAn
        GLOSS:	and+the+AURMAN

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P5W2
      OFFSETS:	4-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	want/need+[masc.pl.]

 INPUT STRING:	رقم
     IS_TRANS:	rqm
        INDEX:	P5W3
      OFFSETS:	11-14
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqom_1]
   UNSPLITVOC:	(raqom)
          POS:	NOUN
          VOC:	raqom
        GLOSS:	number/numeral

 INPUT STRING:	الحساب
     IS_TRANS:	AlHsAb
        INDEX:	P5W4
      OFFSETS:	15-21
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(AlHisAb)
          POS:	DET+NOUN
          VOC:	Al+HisAb
        GLOSS:	the+invoice/expense/account

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P5W5
      OFFSETS:	22-26
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W6
      OFFSETS:	27-29
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(<ino)
          POS:	SUB_CONJ
          VOC:	<ino
        GLOSS:	Although, (even) though, even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P5W7
      OFFSETS:	30-33
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P5W8
      OFFSETS:	34-38
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	حيبقى
     IS_TRANS:	HybqY
        INDEX:	P5W9
      OFFSETS:	39-44
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(HayiboqaY)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+boqaY
        GLOSS:	will+he/it+become

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P5W10
      OFFSETS:	45-48
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+his/its

 INPUT STRING:	رقم
     IS_TRANS:	rqm
        INDEX:	P5W11
      OFFSETS:	49-52
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqom_1]
   UNSPLITVOC:	(raqom)
          POS:	NOUN
          VOC:	raqom
        GLOSS:	number/numeral

 INPUT STRING:	حساب
     IS_TRANS:	HsAb
        INDEX:	P5W12
      OFFSETS:	53-57
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(HisAb)
          POS:	NOUN
          VOC:	HisAb
        GLOSS:	invoice/expense/account

 INPUT STRING:	فرعى
     IS_TRANS:	frEY
        INDEX:	P5W13
      OFFSETS:	58-62
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faroEiy~_1]
   UNSPLITVOC:	(faroEiy~)
          POS:	ADJ
          VOC:	faroEiy~
        GLOSS:	sub-branch/subdivisional/sub-sectional

 INPUT STRING:	للنجع
     IS_TRANS:	llnjE
        INDEX:	P5W14
      OFFSETS:	63-68
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[najE_1]
   UNSPLITVOC:	(liAlnajE)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+najE
        GLOSS:	for/to+the+village

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P5W15
      OFFSETS:	69-71
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	للى
     IS_TRANS:	llY
        INDEX:	P5W16
      OFFSETS:	72-75
       TOKENS:	P5W20-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(lil~iy)
          POS:	PREP+REL_PRON
          VOC:	li+Alliy
        GLOSS:	for/to+which

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P5W17
      OFFSETS:	76-81
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAyizap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyiz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	تتبرع
     IS_TRANS:	ttbrE
        INDEX:	P5W18
      OFFSETS:	82-87
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tabar~aE_1]
   UNSPLITVOC:	(titbar~aE)
          POS:	IV3FS+IV
          VOC:	ti+tbar~aE
        GLOSS:	she+donate

 INPUT STRING:	ياجماعة
     IS_TRANS:	yAjmAEp
        INDEX:	P6W1
      OFFSETS:	0-7
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(yAjamAEap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yA+jamAE+ap
        GLOSS:	oh+party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W2
      OFFSETS:	8-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(<ino)
          POS:	SUB_CONJ
          VOC:	<ino
        GLOSS:	Although, (even) though, even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P6W3
      OFFSETS:	11-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P6W4
      OFFSETS:	15-19
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P6W5
      OFFSETS:	20-24
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	حيجبلكم
     IS_TRANS:	Hyjblkm
        INDEX:	P6W6
      OFFSETS:	25-32
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Hyjblkm)
          POS:	NO_FUNC
          VOC:	Hyjblkm
        GLOSS:	nogloss

 INPUT STRING:	رقم
     IS_TRANS:	rqm
        INDEX:	P6W7
      OFFSETS:	33-36
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqom_1]
   UNSPLITVOC:	(raqom)
          POS:	NOUN
          VOC:	raqom
        GLOSS:	number/numeral

 INPUT STRING:	الحساب
     IS_TRANS:	AlHsAb
        INDEX:	P6W8
      OFFSETS:	37-43
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(AlHisAb)
          POS:	DET+NOUN
          VOC:	Al+HisAb
        GLOSS:	the+invoice/expense/account

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W9
      OFFSETS:	44-48
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	حيقوله
     IS_TRANS:	Hyqwlh
        INDEX:	P6W10
      OFFSETS:	49-55
       TOKENS:	P6W11-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Hayiquwluh)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	Ha+yi+quwl+uh
        GLOSS:	will+he/it+said/say/be said/say/(for example)+them

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P6W11
      OFFSETS:	56-60
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	أديب
     IS_TRANS:	>dyb
        INDEX:	P6W12
      OFFSETS:	61-65
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>adiyb_2]
   UNSPLITVOC:	(>adiyb)
          POS:	NOUN_PROP
          VOC:	>adiyb
        GLOSS:	Adeeb/Adib

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W13
      OFFSETS:	66-70
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	تبع
     IS_TRANS:	tbE
        INDEX:	P6W14
      OFFSETS:	71-74
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tabaE_1]
   UNSPLITVOC:	(tabaE)
          POS:	ADJ
          VOC:	tabaE
        GLOSS:	follower/subordinate

 INPUT STRING:	بنك
     IS_TRANS:	bnk
        INDEX:	P6W15
      OFFSETS:	75-78
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banok_1]
   UNSPLITVOC:	(banok)
          POS:	NOUN
          VOC:	banok
        GLOSS:	bank

 INPUT STRING:	الطعام
     IS_TRANS:	AlTEAm
        INDEX:	P6W16
      OFFSETS:	79-85
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaEAm_1]
   UNSPLITVOC:	(AlT~aEAm)
          POS:	DET+NOUN
          VOC:	Al+TaEAm
        GLOSS:	the+food

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P6W17
      OFFSETS:	86-88
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	حيبقى
     IS_TRANS:	HybqY
        INDEX:	P6W18
      OFFSETS:	89-94
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(HayiboqaY)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+boqaY
        GLOSS:	will+he/it+become

 INPUT STRING:	حساب
     IS_TRANS:	HsAb
        INDEX:	P6W19
      OFFSETS:	95-99
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(HisAb)
          POS:	NOUN
          VOC:	HisAb
        GLOSS:	invoice/expense/account

 INPUT STRING:	فرعى
     IS_TRANS:	frEY
        INDEX:	P6W20
      OFFSETS:	100-104
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faroEiy~_1]
   UNSPLITVOC:	(faroEiy~)
          POS:	ADJ
          VOC:	faroEiy~
        GLOSS:	sub-branch/subdivisional/sub-sectional

 INPUT STRING:	للقرية
     IS_TRANS:	llqryp
        INDEX:	P6W21
      OFFSETS:	105-111
       TOKENS:	P6W25-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaroyap_1]
   UNSPLITVOC:	(lilqaroyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+qaroy+ap
        GLOSS:	for+the+village+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P6W22
      OFFSETS:	112-114
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P6W23
      OFFSETS:	115-117
       TOKENS:	P6W28-P6W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	وأكيد
     IS_TRANS:	w>kyd
        INDEX:	P6W24
      OFFSETS:	118-123
       TOKENS:	P6W29-P6W30
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(wa>akiyd)
          POS:	PART+NOUN
          VOC:	wa+>akiyd
        GLOSS:	[part.]+certain/definite

 INPUT STRING:	حجبلكم
     IS_TRANS:	Hjblkm
        INDEX:	P6W25
      OFFSETS:	124-130
       TOKENS:	P6W31-P6W31
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Hjblkm)
          POS:	NO_FUNC
          VOC:	Hjblkm
        GLOSS:	nogloss

 INPUT STRING:	فيديو
     IS_TRANS:	fydyw
        INDEX:	P6W26
      OFFSETS:	131-136
       TOKENS:	P6W32-P6W32
