 INPUT STRING:	ازيكو
     IS_TRANS:	AnzlY
        INDEX:	P15W9
      OFFSETS:	41-46
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(Ainoziliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Ainozil+iy
        GLOSS:	descend/stay+you

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P15W10
      OFFSETS:	47-50
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بطلب
     IS_TRANS:	bTlb
        INDEX:	P15W11
      OFFSETS:	51-55
       TOKENS:	P15W17-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(bAaTolub)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Tolub
        GLOSS:	[present-tense]+I+ask

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P15W12
      OFFSETS:	56-59
       TOKENS:	P15W19-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ik)
          POS:	PREP+PRON_2FS
          VOC:	min~+ik
        GLOSS:	from+you

 INPUT STRING:	ماتدعى
     IS_TRANS:	mAtdEY
        INDEX:	P15W13
      OFFSETS:	60-66
       TOKENS:	P15W21-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(mA_tidoEiy)
          POS:	NEG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	mA+ti+doE+iy
        GLOSS:	not+you+call/invite/be called/be invited+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P15W14
      OFFSETS:	67-70
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P15W15
      OFFSETS:	71-73
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P15W16
      OFFSETS:	74-76
       TOKENS:	P15W25-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	تقولى
     IS_TRANS:	tqwlY
        INDEX:	P15W17
      OFFSETS:	77-82
       TOKENS:	P15W26-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+quwl+iy
        GLOSS:	you+said/say/be said/say/(for example)+you

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P15W18
      OFFSETS:	83-87
       TOKENS:	P15W27-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	وتقتنعى
     IS_TRANS:	wtqtnEY
        INDEX:	P15W19
      OFFSETS:	88-95
       TOKENS:	P15W28-P15W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqotanaE_1]
   UNSPLITVOC:	(witiqotinoEiy)
          POS:	CONJ+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	wi+ti+qotinoE+iy
        GLOSS:	and+you+be convinced+you

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P15W20
      OFFSETS:	96-100
       TOKENS:	P15W30-P15W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with+she/it

 INPUT STRING:	لمجرد
     IS_TRANS:	lmjrd
        INDEX:	P15W21
      OFFSETS:	101-106
       TOKENS:	P15W32-P15W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujar~ad_1]
   UNSPLITVOC:	(limujar~ad)
          POS:	PREP+NOUN
          VOC:	li+mujar~ad
        GLOSS:	for/to+simply

 INPUT STRING:	سمع
     IS_TRANS:	smE
        INDEX:	P15W22
      OFFSETS:	107-110
       TOKENS:	P15W34-P15W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(simiE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	simiE+(null)
        GLOSS:	hear+he/it

 INPUT STRING:	وكلام
     IS_TRANS:	wklAm
        INDEX:	P15W23
      OFFSETS:	111-116
       TOKENS:	P15W35-P15W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(wikalAm)
          POS:	CONJ+NOUN
          VOC:	wi+kalAm
        GLOSS:	and+speech/statement/remark/talk/saying

 INPUT STRING:	يقال
     IS_TRANS:	yqAl
        INDEX:	P15W24
      OFFSETS:	117-121
       TOKENS:	P15W37-P15W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yuqAl)
          POS:	IV3MS+IV_PASS
          VOC:	yu+qAl
        GLOSS:	he/it+be said

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P15W25
      OFFSETS:	122-123
       TOKENS:	P15W38-P15W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اعلام
     IS_TRANS:	AElAm
        INDEX:	P15W26
      OFFSETS:	124-129
       TOKENS:	P15W39-P15W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(<iEolAm)
          POS:	NOUN
          VOC:	<iEolAm
        GLOSS:	information/media

 INPUT STRING:	فاسد
     IS_TRANS:	fAsd
        INDEX:	P15W27
      OFFSETS:	130-134
       TOKENS:	P15W40-P15W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAsid_1]
   UNSPLITVOC:	(fAsid)
          POS:	ADJ
          VOC:	fAsid
        GLOSS:	corrupt/immoral

 INPUT STRING:	وكلام
     IS_TRANS:	wklAm
        INDEX:	P15W28
      OFFSETS:	135-140
       TOKENS:	P15W41-P15W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(wikalAm)
          POS:	CONJ+NOUN
          VOC:	wi+kalAm
        GLOSS:	and+speech/statement/remark/talk/saying

 INPUT STRING:	ينقل
     IS_TRANS:	ynql
        INDEX:	P15W29
      OFFSETS:	141-145
       TOKENS:	P15W43-P15W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naqal_1]
   UNSPLITVOC:	(yunqal)
          POS:	IV3MS+IV_PASS
          VOC:	yu+nqal
        GLOSS:	he/it+be copied

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P15W30
      OFFSETS:	146-148
       TOKENS:	P15W44-P15W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	حوادث
     IS_TRANS:	HwAdv
        INDEX:	P15W31
      OFFSETS:	149-154
       TOKENS:	P15W45-P15W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdiv_1]
   UNSPLITVOC:	(HawAdiv)
          POS:	NOUN
          VOC:	HawAdiv
        GLOSS:	incidents/events

 INPUT STRING:	وبلطجية
     IS_TRANS:	wblTjyp
        INDEX:	P15W32
      OFFSETS:	155-162
       TOKENS:	P15W46-P15W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(wibaloTajiy~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+baloTajiy~+ap
        GLOSS:	and+gangesters+[fem.sg.]

 INPUT STRING:	معروف
     IS_TRANS:	mErwf
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(maEoruwf)
          POS:	ADJ
          VOC:	maEoruwf
        GLOSS:	known/well-known

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P16W2
      OFFSETS:	6-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	بيحركهم
     IS_TRANS:	byHrkhm
        INDEX:	P16W3
      OFFSETS:	10-17
       TOKENS:	P16W3-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Har~ak_1]
   UNSPLITVOC:	(biyiHar~akhum)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:3P
          VOC:	bi+yi+Har~ak+hum
        GLOSS:	[present-tense]+he/it+move+them

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P16W4
      OFFSETS:	17-18
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P16W5
      OFFSETS:	18-19
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	والاخر
     IS_TRANS:	wAlAxr
        INDEX:	P16W6
      OFFSETS:	20-26
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axar_1]
   UNSPLITVOC:	(wiAl|axar)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+|axar
        GLOSS:	and+the+other

 INPUT STRING:	تساووهم
     IS_TRANS:	tsAwwhm
        INDEX:	P16W7
      OFFSETS:	27-34
       TOKENS:	P16W10-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAwaY_1]
   UNSPLITVOC:	(tisAwuwhum)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3P
          VOC:	ti+sAw+uw+hum
        GLOSS:	you+be equal+you+them

 INPUT STRING:	بناس
     IS_TRANS:	bnAs
        INDEX:	P16W8
      OFFSETS:	35-39
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(binAs)
          POS:	PREP+NOUN
          VOC:	bi+nAs
        GLOSS:	with/by+people

 INPUT STRING:	شرفاء
     IS_TRANS:	$rfA'
        INDEX:	P16W9
      OFFSETS:	40-45
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyf_2]
   UNSPLITVOC:	($urafA')
          POS:	ADJ
          VOC:	$urafA'
        GLOSS:	noble/honorable/respectable

 INPUT STRING:	وف
     IS_TRANS:	wf
        INDEX:	P17W1
      OFFSETS:	0-2
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	النهاية
     IS_TRANS:	AlnhAyp
        INDEX:	P17W2
      OFFSETS:	3-10
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nihAyap_1]
   UNSPLITVOC:	(Aln~ihAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nihAy+ap
        GLOSS:	the+end/termination+[fem.sg.]

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P17W3
      OFFSETS:	11-16
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P17W4
      OFFSETS:	17-19
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	بتاعتنا
     IS_TRANS:	btAEtnA
        INDEX:	P17W5
      OFFSETS:	20-27
       TOKENS:	P17W6-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAEap_1]
   UNSPLITVOC:	(bitAEitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	bitAE+ap+nA
        GLOSS:	of+[fem.sg.]+our

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P17W6
      OFFSETS:	28-32
       TOKENS:	P17W8-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~i+nA
        GLOSS:	all+our

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P17W7
      OFFSETS:	33-38
       TOKENS:	P17W10-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	and+we

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P17W8
      OFFSETS:	39-43
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	بأيدنا
     IS_TRANS:	b>ydnA
        INDEX:	P17W9
      OFFSETS:	44-50
       TOKENS:	P17W13-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(bi<iydnA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+<iyd+nA
        GLOSS:	with/by+hand+our

 INPUT STRING:	نقوم
     IS_TRANS:	nqwm
        INDEX:	P17W10
      OFFSETS:	51-55
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(niquwm)
          POS:	IV1P+IV
          VOC:	ni+quwm
        GLOSS:	we+be based (on)

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P17W11
      OFFSETS:	56-60
       TOKENS:	P17W17-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with+she/it

 INPUT STRING:	وندعو
     IS_TRANS:	wndEw
        INDEX:	P17W12
      OFFSETS:	61-66
       TOKENS:	P17W19-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEay_1]
   UNSPLITVOC:	(winidoEuw)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+doEuw
        GLOSS:	and+we+pray

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P17W13
      OFFSETS:	67-71
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P17W14
      OFFSETS:	72-74
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يحفظ
     IS_TRANS:	yHfZ
        INDEX:	P17W15
      OFFSETS:	75-79
       TOKENS:	P17W23-P17W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(yiHofaZ)
          POS:	IV3MS+IV
          VOC:	yi+HofaZ
        GLOSS:	he/it+protect

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P17W16
      OFFSETS:	80-83
       TOKENS:	P17W24-P17W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وشعبها
     IS_TRANS:	w$EbhA
        INDEX:	P17W17
      OFFSETS:	84-90
       TOKENS:	P17W25-P17W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEb_1]
   UNSPLITVOC:	(wi$aEbahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+$aEba+hA
        GLOSS:	and+people+its/their/her

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P18W1
      OFFSETS:	0-6
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P18W2
      OFFSETS:	7-9
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P18W3
      OFFSETS:	10-14
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بالخط
     IS_TRANS:	bAlxT
        INDEX:	P18W4
      OFFSETS:	15-20
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaT~_1]
   UNSPLITVOC:	(biAlxaT~)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+xaT~
        GLOSS:	with/by+the+handwriting/script/calligraphy

 INPUT STRING:	الاسود
     IS_TRANS:	AlAswd
        INDEX:	P18W5
      OFFSETS:	21-27
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisowid_1]
   UNSPLITVOC:	(AlAisowid)
          POS:	DET+ADJ
          VOC:	Al+Aisowid
        GLOSS:	the+black

 INPUT STRING:	كتبة
     IS_TRANS:	ktbp
        INDEX:	P18W6
      OFFSETS:	28-32
       TOKENS:	P18W7-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(katabuh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	katab+(null)+uh
        GLOSS:	write/be written/be fated/be destined+he/it+it/him

 INPUT STRING:	ضابط
     IS_TRANS:	DAbT
        INDEX:	P18W7
      OFFSETS:	33-37
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_1]
   UNSPLITVOC:	(DAbiT)
          POS:	NOUN
          VOC:	DAbiT
        GLOSS:	officer/officers

 INPUT STRING:	شرطة
     IS_TRANS:	$rTp
        INDEX:	P18W8
      OFFSETS:	38-42
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	($uroTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uroT+ap
        GLOSS:	police+[fem.sg.]

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P18W9
      OFFSETS:	43-44
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	احد
     IS_TRANS:	AHd
        INDEX:	P18W10
      OFFSETS:	45-48
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one

 INPUT STRING:	المواقع
     IS_TRANS:	AlmwAqE
        INDEX:	P18W11
      OFFSETS:	49-56
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mawoqiE_1]
   UNSPLITVOC:	(AlmawAqiE)
          POS:	DET+NOUN
          VOC:	Al+mawAqiE
        GLOSS:	the+positions/locations/sites

 INPUT STRING:	وبيؤيدة
     IS_TRANS:	wby&ydp
        INDEX:	P18W12
      OFFSETS:	57-64
       TOKENS:	P18W14-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~id_1]
   UNSPLITVOC:	(wibiyu&ay~iduh)
          POS:	CONJ+PROG_PART+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	wi+bi+yu+&ay~id+uh
        GLOSS:	and+[present-tense]+he/it+support+him/it

 INPUT STRING:	ضابط
     IS_TRANS:	DAbT
        INDEX:	P18W13
      OFFSETS:	65-69
       TOKENS:	P18W18-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_1]
   UNSPLITVOC:	(DAbiT)
          POS:	NOUN
          VOC:	DAbiT
        GLOSS:	officer/officers

 INPUT STRING:	جيش
     IS_TRANS:	jy$
        INDEX:	P18W14
      OFFSETS:	70-73
       TOKENS:	P18W19-P18W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(jay$)
          POS:	NOUN
          VOC:	jay$
        GLOSS:	army/troops

 INPUT STRING:	قريبنا
     IS_TRANS:	qrybnA
        INDEX:	P18W15
      OFFSETS:	74-80
       TOKENS:	P18W20-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
