 INPUT STRING:	هل

 INPUT STRING:	مصادر
     IS_TRANS:	mSAdr
        INDEX:	P10W2
      OFFSETS:	9-14
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSodar_1]
   UNSPLITVOC:	(maSAdir)
          POS:	NOUN
          VOC:	maSAdir
        GLOSS:	source

 INPUT STRING:	أمنية
     IS_TRANS:	>mnyp
        INDEX:	P10W3
      OFFSETS:	15-20
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoniy_1]
   UNSPLITVOC:	(>amoniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>amoniy~+ap
        GLOSS:	security/safety+[fem.sg.]

 INPUT STRING:	مصرية
     IS_TRANS:	mSryp
        INDEX:	P10W4
      OFFSETS:	21-26
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maSoriy~+ap
        GLOSS:	Egyptian+[fem.sg.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P10W5
      OFFSETS:	27-29
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P10W6
      OFFSETS:	30-34
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	الانفجار
     IS_TRANS:	AlAnfjAr
        INDEX:	P10W7
      OFFSETS:	35-43
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofijAr_1]
   UNSPLITVOC:	(AlAinofijAr)
          POS:	DET+NOUN
          VOC:	Al+AinofijAr
        GLOSS:	the+explosion/detonation

 INPUT STRING:	نتيجة
     IS_TRANS:	ntyjp
        INDEX:	P10W8
      OFFSETS:	44-49
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(natiyjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	natiyj+ap
        GLOSS:	result/consequence+[fem.sg.]

 INPUT STRING:	عمل
     IS_TRANS:	Eml
        INDEX:	P10W9
      OFFSETS:	50-53
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamal)
          POS:	NOUN
          VOC:	Eamal
        GLOSS:	work/action

 INPUT STRING:	إرهابي
     IS_TRANS:	<rhAby
        INDEX:	P10W10
      OFFSETS:	54-60
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<irohAbiy_1]
   UNSPLITVOC:	(<irohAbiy)
          POS:	ADJ
          VOC:	<irohAbiy
        GLOSS:	terrorist

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W11
      OFFSETS:	61-62
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وأضاف
     IS_TRANS:	w>DAf
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aDAf_1]
   UNSPLITVOC:	(wi>aDAf)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aDAf+(null)
        GLOSS:	and+add/be added+he/it

 INPUT STRING:	مراسلنا
     IS_TRANS:	mrAslnA
        INDEX:	P11W2
      OFFSETS:	6-13
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[murAsil_1]
   UNSPLITVOC:	(mrAslinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	murAsil+nA
        GLOSS:	correspondant+our

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P11W3
      OFFSETS:	14-16
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	خبراء
     IS_TRANS:	xbrA'
        INDEX:	P11W4
      OFFSETS:	17-22
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabiyr_1]
   UNSPLITVOC:	(xubarA')
          POS:	NOUN
          VOC:	xubarA'
        GLOSS:	experts/specialists

 INPUT STRING:	المفرقعات
     IS_TRANS:	AlmfrqEAt
        INDEX:	P11W5
      OFFSETS:	23-32
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufaroqaE_1]
   UNSPLITVOC:	(AlmufaroqaEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+mufaroqaE+At
        GLOSS:	the+explosives+[fem.pl.]

 INPUT STRING:	وكبار
     IS_TRANS:	wkbAr
        INDEX:	P11W6
      OFFSETS:	33-38
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(wikubAr)
          POS:	CONJ+ADJ
          VOC:	wi+kubAr
        GLOSS:	and+adult

 INPUT STRING:	المسؤولين
     IS_TRANS:	Alms&wlyn
        INDEX:	P11W7
      OFFSETS:	39-48
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso&uwl_1]
   UNSPLITVOC:	(Almaso&uwliyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+maso&uwl+iyn
        GLOSS:	the+responsible/dependable+two

 INPUT STRING:	وقادة
     IS_TRANS:	wqAdp
        INDEX:	P11W8
      OFFSETS:	49-54
       TOKENS:	P11W11-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qA}id_1]
   UNSPLITVOC:	(wiqAdap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+qAd+ap
        GLOSS:	and+leaders/commanders+[fem.sg.]

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P11W9
      OFFSETS:	55-60
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	انتقلوا
     IS_TRANS:	AntqlwA
        INDEX:	P11W10
      OFFSETS:	61-68
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainotaqal_1]
   UNSPLITVOC:	(AntqluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Ainotaqal+uwA
        GLOSS:	move+they

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P11W11
      OFFSETS:	69-72
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	موقع
     IS_TRANS:	mwqE
        INDEX:	P11W12
      OFFSETS:	73-77
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(mawqiE)
          POS:	NOUN
          VOC:	mawqiE
        GLOSS:	position/location/site

 INPUT STRING:	الحادث
     IS_TRANS:	AlHAdv
        INDEX:	P11W13
      OFFSETS:	78-84
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdiv_1]
   UNSPLITVOC:	(AlHAdiv)
          POS:	DET+NOUN
          VOC:	Al+HAdiv
        GLOSS:	the+accident/mishap/accidents/mishaps

 INPUT STRING:	بينما
     IS_TRANS:	bynmA
        INDEX:	P11W14
      OFFSETS:	85-90
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayonamA_1]
   UNSPLITVOC:	(bayonamA)
          POS:	SUB_CONJ
          VOC:	bayonamA
        GLOSS:	whereas/while

 INPUT STRING:	تتعامل
     IS_TRANS:	ttEAml
        INDEX:	P11W15
      OFFSETS:	91-97
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEAmil_1]
   UNSPLITVOC:	(titoEAmil)
          POS:	IV3FS+IV
          VOC:	ti+toEAmil
        GLOSS:	it/they/she+work with/liaise

 INPUT STRING:	فرق
     IS_TRANS:	frq
        INDEX:	P11W16
      OFFSETS:	98-101
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroq_1]
   UNSPLITVOC:	(faroq)
          POS:	NOUN
          VOC:	faroq
        GLOSS:	groups/teams/troupes

 INPUT STRING:	الإطفاء
     IS_TRANS:	Al<TfA'
        INDEX:	P11W17
      OFFSETS:	102-109
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iTofA'_1]
   UNSPLITVOC:	(Al<iTofA')
          POS:	DET+NOUN
          VOC:	Al+<iTofA'
        GLOSS:	the+extinguishing/fire fighting

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W18
      OFFSETS:	110-112
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القوات
     IS_TRANS:	AlqwAt
        INDEX:	P11W19
      OFFSETS:	113-119
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(Alquw~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+quw~+At
        GLOSS:	the+power/strength/force/violence/armed forces/power/forces+[fem.pl.]

 INPUT STRING:	المسلحة
     IS_TRANS:	AlmslHp
        INDEX:	P11W20
      OFFSETS:	120-127
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musal~aH_2]
   UNSPLITVOC:	(Almusal~aHap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+musal~aH+ap
        GLOSS:	the+armed+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P11W21
      OFFSETS:	128-130
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	الحريق
     IS_TRANS:	AlHryq
        INDEX:	P11W22
      OFFSETS:	131-137
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hariyq_1]
   UNSPLITVOC:	(AlHariyq)
          POS:	DET+NOUN
          VOC:	Al+Hariyq
        GLOSS:	the+fire/fires

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P11W23
      OFFSETS:	138-142
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	that

 INPUT STRING:	شب
     IS_TRANS:	$b
        INDEX:	P11W24
      OFFSETS:	143-145
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ab~-i_1]
   UNSPLITVOC:	($ab~a)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$ab~+a
        GLOSS:	grow up/burn+he/it [verb]

 INPUT STRING:	نتيجة
     IS_TRANS:	ntyjp
        INDEX:	P11W25
      OFFSETS:	146-151
       TOKENS:	P11W29-P11W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(natiyjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	natiyj+ap
        GLOSS:	result/consequence+[fem.sg.]

 INPUT STRING:	الانفجارات
     IS_TRANS:	AlAnfjArAt
        INDEX:	P11W26
      OFFSETS:	152-162
       TOKENS:	P11W30-P11W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofijAr_1]
   UNSPLITVOC:	(AlAinofijArAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AinofijAr+At
        GLOSS:	the+explosions/detonations+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W27
      OFFSETS:	162-163
       TOKENS:	P11W31-P11W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P12W2
      OFFSETS:	4-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hunA_1]
   UNSPLITVOC:	(hunA)
          POS:	ADV
          VOC:	hunA
        GLOSS:	here

 INPUT STRING:	وانتهي
     IS_TRANS:	wAnthy
        INDEX:	P12W3
      OFFSETS:	8-14
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotahaY_1]
   UNSPLITVOC:	(wiAinotahaY)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+AinotahaY+(null)
        GLOSS:	and+give up/end/finish+he/it

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P12W4
      OFFSETS:	15-20
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P12W5
      OFFSETS:	21-25
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(walakin)
          POS:	CONJ+CONJ
          VOC:	wa+lakin
        GLOSS:	and+but

 INPUT STRING:	بانتهائه
     IS_TRANS:	bAnthA}h
        INDEX:	P12W6
      OFFSETS:	26-34
       TOKENS:	P12W8-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotihA'_1]
   UNSPLITVOC:	(bi{inotihA}hi)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+{inotihA}+hi
        GLOSS:	with/by+finishing/completion/conclusion+its/his

 INPUT STRING:	يطرح
     IS_TRANS:	yTrH
        INDEX:	P12W7
      OFFSETS:	35-39
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaraH_1]
   UNSPLITVOC:	(yiToraH)
          POS:	IV3MS+IV
          VOC:	yi+ToraH
        GLOSS:	he/it+submit/suggest/propose

 INPUT STRING:	مئات
     IS_TRANS:	m}At
        INDEX:	P12W8
      OFFSETS:	40-44
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(mi}At)
          POS:	NOUN_NUM+NSUFF_FEM_PL
          VOC:	mi}+At
        GLOSS:	hundreds+[fem.pl.]

 INPUT STRING:	الأسئلة
     IS_TRANS:	Al>s}lp
        INDEX:	P12W9
      OFFSETS:	45-52
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(Al>aso}ilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>aso}il+ap
        GLOSS:	the+question/inquiry+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W10
      OFFSETS:	53-54
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فقد
     IS_TRANS:	fqd
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(faqado)
          POS:	CONJ+VERB_PART
          VOC:	fa+qado
        GLOSS:	so/and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	جاء
     IS_TRANS:	jA'
        INDEX:	P13W2
      OFFSETS:	4-7
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA'_1]
   UNSPLITVOC:	(jA')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA'+(null)
        GLOSS:	come+he/it

 INPUT STRING:	الإنفجار
     IS_TRANS:	Al<nfjAr
        INDEX:	P13W3
      OFFSETS:	8-16
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofijAr_1]
   UNSPLITVOC:	(AlAinofijAr)
          POS:	DET+NOUN
          VOC:	Al+AinofijAr
        GLOSS:	the+explosion/detonation

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P13W4
      OFFSETS:	17-20
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	ساعات
     IS_TRANS:	sAEAt
        INDEX:	P13W5
      OFFSETS:	21-26
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	sAE+At
        GLOSS:	hour/time/hours+[fem.pl.]

 INPUT STRING:	قليلة
     IS_TRANS:	qlylp
        INDEX:	P13W6
      OFFSETS:	27-32
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaliyl_1]
   UNSPLITVOC:	(qaliylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qaliyl+ap
        GLOSS:	little/few/small/a little/somewhat/briefly/shortly/few/insufficient+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W7
      OFFSETS:	33-35
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مقابلة
     IS_TRANS:	mqAblp
        INDEX:	P13W8
      OFFSETS:	36-42
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqAbolap_1]
   UNSPLITVOC:	(muqAbolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muqAbol+ap
        GLOSS:	meeting+[fem.sg.]

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P13W9
      OFFSETS:	43-49
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P13W10
      OFFSETS:	50-56
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	لرئيس
     IS_TRANS:	lr}ys
        INDEX:	P13W11
      OFFSETS:	57-62
       TOKENS:	P13W12-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(lira}iys)
          POS:	PREP+NOUN
          VOC:	li+ra}iys
        GLOSS:	for/to+president/head/chairman

 INPUT STRING:	الوزراء
     IS_TRANS:	AlwzrA'
        INDEX:	P13W12
      OFFSETS:	63-70
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(AlwuzarA')
          POS:	DET+NOUN
          VOC:	Al+wuzarA'
        GLOSS:	the+ministers

 INPUT STRING:	الإسرائيلي
     IS_TRANS:	Al<srA}yly
        INDEX:	P13W13
      OFFSETS:	71-81
       TOKENS:	P13W15-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisorA}iyliy_1]
   UNSPLITVOC:	(AlAisorA}iyliy)
          POS:	DET+ADJ
          VOC:	Al+AisorA}iyliy
        GLOSS:	the+Israeli

 INPUT STRING:	بنيامين
     IS_TRANS:	bnyAmyn
        INDEX:	P13W14
      OFFSETS:	82-89
       TOKENS:	P13W16-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binoyAmiyn_1]
   UNSPLITVOC:	(binoyAmiyn)
          POS:	NOUN_PROP
          VOC:	binoyAmiyn
        GLOSS:	Benyamin/Benjamin

 INPUT STRING:	نتانياهو
     IS_TRANS:	ntAnyAhw
        INDEX:	P13W15
      OFFSETS:	90-98
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nitAnoyAhuw_1]
   UNSPLITVOC:	(nitAnoyAhuw)
          POS:	NOUN_PROP
          VOC:	nitAnoyAhuw
        GLOSS:	Netanyahu

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W16
      OFFSETS:	99-100
       TOKENS:	P13W18-P13W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وقبل
     IS_TRANS:	wqbl
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W2
