 INPUT STRING:	صوره
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(hAnd)
          POS:	FOREIGN
          VOC:	hAnd
        GLOSS:	nogloss

 INPUT STRING:	للشرطه
     IS_TRANS:	ll$rTh
        INDEX:	P6W21
      OFFSETS:	113-119
       TOKENS:	P6W28-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(lil$~uroTap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+$aroT+ap
        GLOSS:	for/to+the+police+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W22
      OFFSETS:	120-124
       TOKENS:	P6W30-P6W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	حواليك
     IS_TRANS:	HwAlyk
        INDEX:	P6W23
      OFFSETS:	125-131
       TOKENS:	P6W31-P6W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HawAliy_1]
   UNSPLITVOC:	(HawAliyk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	HawAliy+k
        GLOSS:	around+you

 INPUT STRING:	ومتشكرين
     IS_TRANS:	wmt$kryn
        INDEX:	P6W24
      OFFSETS:	132-140
       TOKENS:	P6W33-P6W33
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmt$kryn)
          POS:	NO_FUNC
          VOC:	wmt$kryn
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P6W25
      OFFSETS:	141-143
       TOKENS:	P6W34-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جماعه
     IS_TRANS:	jmAEh
        INDEX:	P6W26
      OFFSETS:	144-149
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	group+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W27
      OFFSETS:	150-153
       TOKENS:	P6W36-P6W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on

 INPUT STRING:	كرم
     IS_TRANS:	krm
        INDEX:	P6W28
      OFFSETS:	154-157
       TOKENS:	P6W37-P6W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karam_1]
   UNSPLITVOC:	(karam)
          POS:	NOUN
          VOC:	karam
        GLOSS:	generosity

 INPUT STRING:	الضيافه
     IS_TRANS:	AlDyAfh
        INDEX:	P6W29
      OFFSETS:	158-165
       TOKENS:	P6W38-P6W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiyAfap_1]
   UNSPLITVOC:	(AlD~iyAfap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+DiyAf+ap
        GLOSS:	the+hospitality/hosting+[fem.sg.]

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P7W1
      OFFSETS:	1-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	كلامنا
     IS_TRANS:	klAmnA
        INDEX:	P7W2
      OFFSETS:	4-10
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	kalAm+nA
        GLOSS:	speech/statement/remark/talk/saying+our

 INPUT STRING:	وهتافنا
     IS_TRANS:	whtAfnA
        INDEX:	P7W3
      OFFSETS:	11-18
       TOKENS:	P7W4-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hataf_1]
   UNSPLITVOC:	(wihtAfnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+htAf+nA
        GLOSS:	and+call/shout+our

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P7W4
      OFFSETS:	19-22
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all, entire, every, whole+its/his

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W5
      OFFSETS:	23-25
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الهوا
     IS_TRANS:	AlhwA
        INDEX:	P7W6
      OFFSETS:	26-31
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawaY_1]
   UNSPLITVOC:	(AlhawA)
          POS:	DET+NOUN
          VOC:	Al+hawA
        GLOSS:	the+air

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P7W7
      OFFSETS:	32-34
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بردو
     IS_TRANS:	brdw
        INDEX:	P7W8
      OFFSETS:	35-39
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	ادينا
     IS_TRANS:	AdynA
        INDEX:	P7W9
      OFFSETS:	40-45
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AdynA)
          POS:	NO_FUNC
          VOC:	AdynA
        GLOSS:	nogloss

 INPUT STRING:	خرجنا
     IS_TRANS:	xrjnA
        INDEX:	P7W10
      OFFSETS:	46-51
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(xarajnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	xaraj+nA
        GLOSS:	make something go out+we

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P7W11
      OFFSETS:	52-56
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	جوانا
     IS_TRANS:	jwAnA
        INDEX:	P7W12
      OFFSETS:	57-62
       TOKENS:	P7W16-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ah_1]
   UNSPLITVOC:	(juw~AnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	juw~A+nA
        GLOSS:	inside+us

 INPUT STRING:	وترد
     IS_TRANS:	wtrd
        INDEX:	P8W1
      OFFSETS:	1-5
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(witirud~)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+rud~
        GLOSS:	and+it/they/she+reply

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P8W2
      OFFSETS:	6-11
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on+us

 INPUT STRING:	الحكومه
     IS_TRANS:	AlHkwmh
        INDEX:	P8W3
      OFFSETS:	12-19
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P8W4
      OFFSETS:	20-22
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P8W5
      OFFSETS:	23-27
       TOKENS:	P8W7-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mafiyh$)
          POS:	NEG_PART+PREP+PRON_3MS+NEG_PART
          VOC:	ma+fiy+h+$
        GLOSS:	not+in+it/him+not

 INPUT STRING:	مشكله
     IS_TRANS:	m$klh
        INDEX:	P8W6
      OFFSETS:	28-33
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$okil+ap
        GLOSS:	problem/issue+[fem.sg.]

 INPUT STRING:	وقفتونا
     IS_TRANS:	wqftwnA
        INDEX:	P9W1
      OFFSETS:	2-9
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiqif_1]
   UNSPLITVOC:	(wiqiftuwnA)
          POS:	PV+PVSUFF_SUBJ:2P+PVSUFF_DO:1P
          VOC:	wiqif+tuwA+nA
        GLOSS:	stand+you+us

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W2
      OFFSETS:	10-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشمس
     IS_TRANS:	Al$ms
        INDEX:	P9W3
      OFFSETS:	13-18
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amos_1]
   UNSPLITVOC:	(Al$~amos)
          POS:	DET+NOUN
          VOC:	Al+$amos
        GLOSS:	the+Sun

 INPUT STRING:	ونزلتوا
     IS_TRANS:	wnzltwA
        INDEX:	P9W4
      OFFSETS:	19-26
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(winazaltuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:2P
          VOC:	wi+nazal+tuwA
        GLOSS:	and+descend/stay+you

 INPUT STRING:	اللواءات
     IS_TRANS:	AllwA'At
        INDEX:	P9W5
      OFFSETS:	27-35
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liwA'_2]
   UNSPLITVOC:	(AlliwA'At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+liwA'+At
        GLOSS:	the+major general+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W6
      OFFSETS:	36-38
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مكاتبهم
     IS_TRANS:	mkAtbhm
        INDEX:	P9W7
      OFFSETS:	39-46
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maktab_1]
   UNSPLITVOC:	(makAtibhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	makAtib+hum
        GLOSS:	office+their

 INPUT STRING:	وتكيفاتهم
     IS_TRANS:	wtkyfAthm
        INDEX:	P9W8
      OFFSETS:	47-56
       TOKENS:	P9W11-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taky~if_1]
   UNSPLITVOC:	(witaky~ifAthum)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_3P
          VOC:	wi+taky~if+At+hum
        GLOSS:	and+conditioner+[fem.sg]+their

 INPUT STRING:	والعيشه
     IS_TRANS:	wAlEy$h
        INDEX:	P9W9
      OFFSETS:	57-64
       TOKENS:	P9W14-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiy$ap_1]
   UNSPLITVOC:	(wiAlEiy$ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+Eiy$+ap
        GLOSS:	and+the+life/existence+[fem.sg.]

 INPUT STRING:	المرحرحه
     IS_TRANS:	AlmrHrHh
        INDEX:	P9W10
      OFFSETS:	65-73
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miraHoraH_1]
   UNSPLITVOC:	(AlmiraHoraHap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+miraHoraH+ap
        GLOSS:	the+comfortable+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P9W11
      OFFSETS:	74-78
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	عايشنها
     IS_TRANS:	EAy$nhA
        INDEX:	P9W12
      OFFSETS:	79-86
       TOKENS:	P9W18-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAyi$_1]
   UNSPLITVOC:	(EAyi$inhA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3FS
          VOC:	EAyi$+in+hA
        GLOSS:	living/alive+they [verb]+it/them/her

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P9W13
      OFFSETS:	87-89
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P9W14
      OFFSETS:	90-93
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	INTERJ
          VOC:	yal~A
        GLOSS:	any way

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W15
      OFFSETS:	94-96
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مشكله
     IS_TRANS:	m$klh
        INDEX:	P9W16
      OFFSETS:	97-102
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$okil+ap
        GLOSS:	problem/issue+[fem.sg.]

 INPUT STRING:	انتوا
     IS_TRANS:	AntwA
        INDEX:	P9W17
      OFFSETS:	103-108
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	بردو
     IS_TRANS:	brdw
        INDEX:	P9W18
      OFFSETS:	109-113
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	ولاد
     IS_TRANS:	wlAd
        INDEX:	P9W19
      OFFSETS:	114-118
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(wilAd)
          POS:	NOUN
          VOC:	wilAd
        GLOSS:	sons

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W20
      OFFSETS:	119-122
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	وواجب
     IS_TRANS:	wwAjb
        INDEX:	P9W21
      OFFSETS:	123-128
       TOKENS:	P9W28-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAjib_1]
   UNSPLITVOC:	(wiwAjib)
          POS:	CONJ+NOUN
          VOC:	wi+wAjib
        GLOSS:	and+duty/obligation/requirement

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P9W22
      OFFSETS:	129-134
       TOKENS:	P9W30-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on+us

 INPUT STRING:	نساعدكم
     IS_TRANS:	nsAEdkm
        INDEX:	P9W23
      OFFSETS:	135-142
       TOKENS:	P9W32-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEid_1]
   UNSPLITVOC:	(nisAEidkum)
          POS:	IV1P+IV+IVSUFF_DO:2P
          VOC:	ni+sAEid+kum
        GLOSS:	we+help/assist/support/contribute+you

 INPUT STRING:	ومستنينكم
     IS_TRANS:	wmstnynkm
        INDEX:	P9W24
      OFFSETS:	143-152
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmstnynkm)
          POS:	NO_FUNC
          VOC:	wmstnynkm
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P9W25
      OFFSETS:	153-155
       TOKENS:	P9W35-P9W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P9W26
      OFFSETS:	156-159
       TOKENS:	P9W36-P9W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year+[fem.sg.]

 INPUT STRING:	تيجوا
     IS_TRANS:	tyjwA
        INDEX:	P9W27
      OFFSETS:	160-165
       TOKENS:	P9W37-P9W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(tiyojuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+yoj+uwA
        GLOSS:	you+come+

 INPUT STRING:	تصوتوا
     IS_TRANS:	tSwtwA
        INDEX:	P9W28
      OFFSETS:	166-172
       TOKENS:	P9W38-P9W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~at_1]
   UNSPLITVOC:	(tiSaw~atuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+Saw~at+uwA
        GLOSS:	you+vote+[pl.]

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P9W29
      OFFSETS:	173-177
       TOKENS:	P9W39-P9W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	وتروحوا
     IS_TRANS:	wtrwHwA
        INDEX:	P9W30
      OFFSETS:	178-185
       TOKENS:	P9W40-P9W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(witiruwHuwA)
          POS:	CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wi+ti+ruwH+uwA
        GLOSS:	and+you+go+[pl.]

 INPUT STRING:	ويروح
     IS_TRANS:	wyrwH
        INDEX:	P10W1
      OFFSETS:	1-6
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(wiyirawH)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+rawH
        GLOSS:	and+he+go home

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P10W2
      OFFSETS:	7-9
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/ entire

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P10W3
      OFFSETS:	10-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W4
      OFFSETS:	15-18
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on

 INPUT STRING:	بيته
     IS_TRANS:	byth
        INDEX:	P10W5
      OFFSETS:	19-23
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biyt_1]
   UNSPLITVOC:	(biytuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	biyt+uh
        GLOSS:	house+his

 INPUT STRING:	ويفضل
     IS_TRANS:	wyfDl
        INDEX:	P10W6
      OFFSETS:	24-29
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wyfDl)
          POS:	NO_FUNC
          VOC:	wyfDl
        GLOSS:	nogloss

 INPUT STRING:	الحال
     IS_TRANS:	AlHAl
        INDEX:	P10W7
      OFFSETS:	30-35
       TOKENS:	P10W9-P10W9
