 INPUT STRING:	يابنتي
          POS:	PART+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	so/and+it/he

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts+[acc.indef.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P4W3
      OFFSETS:	9-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	بصيتي
     IS_TRANS:	bSyty
        INDEX:	P4W4
      OFFSETS:	12-17
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(baS~aytiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	baS~+aytiy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	لصوره
     IS_TRANS:	lSwrh
        INDEX:	P4W5
      OFFSETS:	18-23
       TOKENS:	P4W6-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(liSuwaruh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	li+Suwar+uh
        GLOSS:	for/to+picture/image/illustration/photo/pictures/photographs/illustrations/photos+his/its

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P4W6
      OFFSETS:	24-26
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	منظر
     IS_TRANS:	mnZr
        INDEX:	P4W7
      OFFSETS:	27-31
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(manoZar)
          POS:	NOUN
          VOC:	manoZar
        GLOSS:	view/scenery/appearance/scene/views

 INPUT STRING:	عين
     IS_TRANS:	Eyn
        INDEX:	P4W8
      OFFSETS:	32-35
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eayn)
          POS:	NOUN
          VOC:	Eayn
        GLOSS:	eye/eyes/water springs/water spring/notables/Aain

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P4W9
      OFFSETS:	36-40
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	one/individual/person

 INPUT STRING:	سليم
     IS_TRANS:	slym
        INDEX:	P4W10
      OFFSETS:	41-45
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saliym_1]
   UNSPLITVOC:	(saliym)
          POS:	ADJ
          VOC:	saliym
        GLOSS:	safe/flawless/correct/sound

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P4W11
      OFFSETS:	46-48
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P4W12
      OFFSETS:	49-54
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P4W13
      OFFSETS:	55-57
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P4W14
      OFFSETS:	58-63
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	wanting+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P4W15
      OFFSETS:	64-67
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	للأسف
     IS_TRANS:	ll>sf
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W2
      OFFSETS:	6-8
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/every/each/whole/the entire

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P5W3
      OFFSETS:	9-11
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P5W4
      OFFSETS:	12-16
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P5W5
      OFFSETS:	17-21
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	one/individual/person

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W6
      OFFSETS:	22-24
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P5W7
      OFFSETS:	25-28
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party/band/parties/bands

 INPUT STRING:	اسلامي
     IS_TRANS:	AslAmy
        INDEX:	P5W8
      OFFSETS:	29-35
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisolAmiy_1]
   UNSPLITVOC:	(AisolAmiy)
          POS:	ADJ
          VOC:	AisolAmiy
        GLOSS:	Islamic/Muslim/Islamist

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P5W9
      OFFSETS:	36-38
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they [masc.pl]/they

 INPUT STRING:	عندهم
     IS_TRANS:	Endhm
        INDEX:	P5W10
      OFFSETS:	39-44
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eanod+hum
        GLOSS:	at/with+their

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P5W11
      OFFSETS:	45-47
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P5W12
      OFFSETS:	48-50
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	somebody/some one/one/someone

 INPUT STRING:	اسلامي
     IS_TRANS:	AslAmy
        INDEX:	P5W13
      OFFSETS:	51-57
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisolAmiy_1]
   UNSPLITVOC:	(AisolAmiy)
          POS:	ADJ
          VOC:	AisolAmiy
        GLOSS:	Islamic/Muslim/Islamist

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P5W14
      OFFSETS:	58-62
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+be/became/become/last/remain

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P5W15
      OFFSETS:	63-67
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	يطلعوا
     IS_TRANS:	yTlEwA
        INDEX:	P5W16
      OFFSETS:	68-74
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tal~aE_1]
   UNSPLITVOC:	(yiTal~aEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Tal~aE+uwA
        GLOSS:	they+oust/extricate/make someone/get away/give off/remove+we

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P5W17
      OFFSETS:	75-77
       TOKENS:	P5W20-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+gloss

 INPUT STRING:	مصيبة
     IS_TRANS:	mSybp
        INDEX:	P5W18
      OFFSETS:	78-83
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSiybap_1]
   UNSPLITVOC:	(muSiybap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muSiyb+ap
        GLOSS:	accident/misfortune/accidents/misfortunes+[fem.sg.]

 INPUT STRING:	وتلفيقة
     IS_TRANS:	wtlfyqp
        INDEX:	P5W19
      OFFSETS:	84-91
       TOKENS:	P5W23-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[talofiyqap_1]
   UNSPLITVOC:	(witalofiyqap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+talofiyq+ap
        GLOSS:	and+concocted story/fabrication+[fem.sg.]

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P6W2
      OFFSETS:	3-5
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P6W3
      OFFSETS:	6-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	one/individual/person

 INPUT STRING:	ممثل
     IS_TRANS:	mmvl
        INDEX:	P6W4
      OFFSETS:	11-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumav~il_1]
   UNSPLITVOC:	(mumav~il)
          POS:	NOUN
          VOC:	mumav~il
        GLOSS:	representative/delegate/actor/actress

 INPUT STRING:	وكان
     IS_TRANS:	wkAn
        INDEX:	P6W5
      OFFSETS:	16-20
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAn)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+kAn+(null)
        GLOSS:	and+be/was/were+he/it

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P6W6
      OFFSETS:	21-25
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	making

 INPUT STRING:	تجميل
     IS_TRANS:	tjmyl
        INDEX:	P6W7
      OFFSETS:	26-31
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajomiyl_1]
   UNSPLITVOC:	(tajomiyl)
          POS:	NOUN
          VOC:	tajomiyl
        GLOSS:	embellishment

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P6W8
      OFFSETS:	32-37
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be/was/were+they

 INPUT STRING:	هيقولوا
     IS_TRANS:	hyqwlwA
        INDEX:	P6W9
      OFFSETS:	38-45
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HayiquwluwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+quwl+uwA
        GLOSS:	will+they+said/say/be said/(for example)+we

 INPUT STRING:	حادثة
     IS_TRANS:	HAdvp
        INDEX:	P6W10
      OFFSETS:	46-51
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdovap_1]
   UNSPLITVOC:	(HAdovap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAdov+ap
        GLOSS:	incident/event/incidents/events/accident/mishap/accidents/mishaps+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W11
      OFFSETS:	52-54
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	تجميل
     IS_TRANS:	tjmyl
        INDEX:	P6W12
      OFFSETS:	55-60
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajomiyl_1]
   UNSPLITVOC:	(tajomiyl)
          POS:	NOUN
          VOC:	tajomiyl
        GLOSS:	embellishment

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P6W13
      OFFSETS:	61-65
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	يدافعوا
     IS_TRANS:	ydAfEwA
        INDEX:	P6W14
      OFFSETS:	66-73
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(yidAfoEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+dAfoE+uwA
        GLOSS:	they+defend+we

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P6W15
      OFFSETS:	74-77
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	PREP+PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	over/on/about/off+gloss

 INPUT STRING:	حسبنا
     IS_TRANS:	HsbnA
        INDEX:	P6W16
      OFFSETS:	78-83
       TOKENS:	P6W20-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasb_1]
   UNSPLITVOC:	(HasbunA)
          POS:	NOUN.VN+POSS_PRON_1P
          VOC:	Hasbu+nA
        GLOSS:	reckoning/calculation/according to/enough+our

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P6W17
      OFFSETS:	84-88
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P6W18
      OFFSETS:	89-93
       TOKENS:	P6W23-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEm_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P6W19
      OFFSETS:	94-100
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+representative/agent/representatives/agents

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	شايفة
     IS_TRANS:	$Ayfp
        INDEX:	P7W2
      OFFSETS:	4-9
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($Ayofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	$Ayof+ap
        GLOSS:	i see/viewer/observer/onlooker/seeing/see/looking+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W3
      OFFSETS:	10-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aino_1]
   UNSPLITVOC:	(Aino)
          POS:	SUB_CONJ
          VOC:	Aino
        GLOSS:	despite/even if/in spite of the fact that/verily/if/Although/(even) though/that

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W4
      OFFSETS:	13-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اخوات
     IS_TRANS:	AxwAt
        INDEX:	P7W5
      OFFSETS:	16-21
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Auxot_1]
   UNSPLITVOC:	(AixwAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Aixw+At
        GLOSS:	sister/counterpart/sisters+[fem.pl.]

 INPUT STRING:	ماصدقوا
     IS_TRANS:	mASdqwA
        INDEX:	P7W6
      OFFSETS:	22-29
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(mA_Sad~aquwA)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3P
          VOC:	mA+Sad~aq+uwA
        GLOSS:	not+believe/give credence to/confirm/be believed/ratify/adopt+they

 INPUT STRING:	وكأنهم
     IS_TRANS:	wk>nhm
        INDEX:	P7W7
      OFFSETS:	30-36
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wk>nhm)
          POS:	NO_FUNC
          VOC:	wk>nhm
        GLOSS:	nogloss

 INPUT STRING:	مستنين
     IS_TRANS:	mstnyn
        INDEX:	P7W8
      OFFSETS:	37-43
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mistaniy]
   UNSPLITVOC:	(mistaniyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mistan+iyn
        GLOSS:	waiting+two

 INPUT STRING:	وواقفين
     IS_TRANS:	wwAqfyn
        INDEX:	P7W9
      OFFSETS:	44-51
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(wiwAqofiyn)
          POS:	CONJ+ADJ+NSUFF_MASC_PL
          VOC:	wi+wAqof+iyn
        GLOSS:	and+standing/stopped+two

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W10
      OFFSETS:	52-55
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الغلطة
     IS_TRANS:	AlglTp
        INDEX:	P7W11
      OFFSETS:	56-62
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galoTap_1]
   UNSPLITVOC:	(AlgaloTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+galoT+ap
        GLOSS:	the+error/blunder/errors/blunders+[fem.sg.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
