 INPUT STRING:	اللي
      COMMENT:	[]
        LEMMA:	[buwrosaEiydiy_1]
   UNSPLITVOC:	(AlbuwrosaEiydiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+buwrosaEiydiy~+ap
        GLOSS:	the+from/of Port Said+[fem.sg.]

 INPUT STRING:	ابدا
     IS_TRANS:	AbdA
        INDEX:	P27W20
      OFFSETS:	99-103
       TOKENS:	P27W24-P27W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aabad_1]
   UNSPLITVOC:	(AbadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Abad+AF
        GLOSS:	never+[acc.indef.]

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	جزء
     IS_TRANS:	jz'
        INDEX:	P28W2
      OFFSETS:	4-7
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juz'_1]
   UNSPLITVOC:	(juz')
          POS:	NOUN
          VOC:	juz'
        GLOSS:	section/piece/portion/part/fraction/sections/pieces/portions/parts/fractions

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W3
      OFFSETS:	8-10
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P28W4
      OFFSETS:	11-14
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P28W5
      OFFSETS:	15-17
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this  [masc.sg.]

 INPUT STRING:	الجزء
     IS_TRANS:	Aljz'
        INDEX:	P28W6
      OFFSETS:	18-23
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juz'_1]
   UNSPLITVOC:	(Aljuz')
          POS:	DET+NOUN
          VOC:	Al+juz'
        GLOSS:	the+section/piece/portion/part/fraction/sections/pieces/portions/parts/fractions

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P28W7
      OFFSETS:	24-27
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P28W8
      OFFSETS:	28-34
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EAyzyn)
          POS:	NO_FUNC
          VOC:	EAyzyn
        GLOSS:	nogloss

 INPUT STRING:	يفصلوه
     IS_TRANS:	yfSlwh
        INDEX:	P28W9
      OFFSETS:	35-41
       TOKENS:	P28W9-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faSal_1]
   UNSPLITVOC:	(yifSiluwAuh)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3MS
          VOC:	yi+fSil+uwA+uh
        GLOSS:	they+seperate+they+it/him

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P28W10
      OFFSETS:	42-44
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P28W11
      OFFSETS:	45-48
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P28W12
      OFFSETS:	49-51
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	ومدن
     IS_TRANS:	wmdn
        INDEX:	P28W13
      OFFSETS:	52-56
       TOKENS:	P28W14-P28W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mid~an_1]
   UNSPLITVOC:	(wimid~an)
          POS:	CONJ+NOUN
          VOC:	wi+mid~an
        GLOSS:	and+cities

 INPUT STRING:	القناة
     IS_TRANS:	AlqnAp
        INDEX:	P28W14
      OFFSETS:	57-63
       TOKENS:	P28W16-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(AlqanAp)
          POS:	DET+NOUN
          VOC:	Al+qanAp
        GLOSS:	the+channel/channels

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P28W15
      OFFSETS:	64-68
       TOKENS:	P28W17-P28W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	يعرفوا
     IS_TRANS:	yErfwA
        INDEX:	P28W16
      OFFSETS:	69-75
       TOKENS:	P28W19-P28W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(yiEorafuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eoraf+uwA
        GLOSS:	they+know/be known+they

 INPUT STRING:	يقسموا
     IS_TRANS:	yqsmwA
        INDEX:	P28W17
      OFFSETS:	76-82
       TOKENS:	P28W20-P28W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qas~im_1]
   UNSPLITVOC:	(yiqas~imuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+qas~im+uwA
        GLOSS:	they+share+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P28W18
      OFFSETS:	83-86
       TOKENS:	P28W21-P28W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مزاجهم
     IS_TRANS:	mzAjhm
        INDEX:	P28W19
      OFFSETS:	87-93
       TOKENS:	P28W22-P28W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAjhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	mazAj+hum
        GLOSS:	taste+their

 INPUT STRING:	والمشكلة
     IS_TRANS:	wAlm$klp
        INDEX:	P28W20
      OFFSETS:	94-102
       TOKENS:	P28W24-P28W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(wiAlmu$okilap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+mu$okil+ap
        GLOSS:	and+the+problem/issue+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P28W21
      OFFSETS:	103-105
       TOKENS:	P28W26-P28W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P28W22
      OFFSETS:	106-110
       TOKENS:	P28W27-P28W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	بنساعدهم
     IS_TRANS:	bnsAEdhm
        INDEX:	P28W23
      OFFSETS:	111-119
       TOKENS:	P28W28-P28W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEid_1]
   UNSPLITVOC:	(binisAEidhum)
          POS:	PROG_PART+IV1P+IV+IVSUFF_DO:3P
          VOC:	bi+ni+sAEid+hum
        GLOSS:	[present-tense]+we+help/assist/support/contribute+them

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P28W24
      OFFSETS:	120-123
       TOKENS:	P28W31-P28W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P28W25
      OFFSETS:	124-127
       TOKENS:	P28W32-P28W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that/like that

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P28W26
      OFFSETS:	128-133
       TOKENS:	P28W33-P28W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+Alla/God

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P28W27
      OFFSETS:	134-138
       TOKENS:	P28W35-P28W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نفوق
     IS_TRANS:	nfwq
        INDEX:	P28W28
      OFFSETS:	139-143
       TOKENS:	P28W36-P28W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAq_1]
   UNSPLITVOC:	(nifuwq)
          POS:	IV1P+IV
          VOC:	ni+fuwq
        GLOSS:	we+surpass/excel/wake up

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P28W29
      OFFSETS:	144-148
       TOKENS:	P28W37-P28W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa<il~A)
          POS:	CONJ+RESTRIC_PART
          VOC:	wa+<il~A
        GLOSS:	and+except for

 INPUT STRING:	ماعدش
     IS_TRANS:	mAEd$
        INDEX:	P28W30
      OFFSETS:	149-154
       TOKENS:	P28W39-P28W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAd_1]
   UNSPLITVOC:	(mAEad$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+Ead+(null)+$
        GLOSS:	not+prepare/make ready/be prepared/be made ready/no longer+he/it+not

 INPUT STRING:	هيبقة
     IS_TRANS:	hybqp
        INDEX:	P28W31
      OFFSETS:	155-160
       TOKENS:	P28W42-P28W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(HaybqaY)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+y+bqaY
        GLOSS:	will+he/it+be/remain

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P28W32
      OFFSETS:	161-163
       TOKENS:	P28W44-P28W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P28W33
      OFFSETS:	164-168
       TOKENS:	P28W46-P28W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	اسمها
     IS_TRANS:	AsmhA
        INDEX:	P28W34
      OFFSETS:	169-174
       TOKENS:	P28W47-P28W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(AisomhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Aisom+hA
        GLOSS:	name+its/their/her

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P28W35
      OFFSETS:	175-178
       TOKENS:	P28W49-P28W49
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P28W36
      OFFSETS:	179-181
       TOKENS:	P28W50-P28W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~)
          POS:	NOUN
          VOC:	>um~
        GLOSS:	mother/maternal/mothers

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P28W37
      OFFSETS:	182-188
       TOKENS:	P28W51-P28W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dinoyA_1]
   UNSPLITVOC:	(Ald~inoyA)
          POS:	DET+NOUN
          VOC:	Al+dinoyA
        GLOSS:	the+world

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P29W1
      OFFSETS:	0-3
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P29W2
      OFFSETS:	4-8
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P29W3
      OFFSETS:	9-11
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	اهل
     IS_TRANS:	Ahl
        INDEX:	P29W4
      OFFSETS:	12-15
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people/people/families/folk/families/indigenous people

 INPUT STRING:	بور
     IS_TRANS:	bwr
        INDEX:	P29W5
      OFFSETS:	16-19
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[buwr_2]
   UNSPLITVOC:	(buwr)
          POS:	NOUN_PROP
          VOC:	buwr
        GLOSS:	Port

 INPUT STRING:	سعيد
     IS_TRANS:	sEyd
        INDEX:	P29W6
      OFFSETS:	20-24
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEiyd_1]
   UNSPLITVOC:	(saEiyd)
          POS:	NOUN_PROP
          VOC:	saEiyd
        GLOSS:	Said/Saeed

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P29W7
      OFFSETS:	25-29
       TOKENS:	P29W7-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	عملوا
     IS_TRANS:	EmlwA
        INDEX:	P29W8
      OFFSETS:	30-35
       TOKENS:	P29W8-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamaluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Eamal+uwA
        GLOSS:	do/make+they

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P29W9
      OFFSETS:	36-39
       TOKENS:	P29W9-P29W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that/like that

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P30W1
      OFFSETS:	0-4
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	عمل
     IS_TRANS:	Eml
        INDEX:	P30W2
      OFFSETS:	5-8
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eamal+(null)
        GLOSS:	do/make+he/it

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P30W3
      OFFSETS:	9-12
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that/like that

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P30W4
      OFFSETS:	13-16
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	بلطجية
     IS_TRANS:	blTjyp
        INDEX:	P30W5
      OFFSETS:	17-23
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	gangster/ruffian+[fem.sg.]

 INPUT STRING:	مجرمين
     IS_TRANS:	mjrmyn
        INDEX:	P30W6
      OFFSETS:	24-30
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mjrmyn)
          POS:	NO_FUNC
          VOC:	mjrmyn
        GLOSS:	nogloss

 INPUT STRING:	مأجورين
     IS_TRANS:	m>jwryn
        INDEX:	P30W7
      OFFSETS:	31-38
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(m>jwryn)
          POS:	NO_FUNC
          VOC:	m>jwryn
        GLOSS:	nogloss

 INPUT STRING:	نزلوا
     IS_TRANS:	nzlwA
        INDEX:	P30W8
      OFFSETS:	39-44
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(nizoluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	nizol+uwA
        GLOSS:	descend+they

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P30W9
      OFFSETS:	45-50
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	انتهازا
     IS_TRANS:	AnthAzA
        INDEX:	P30W10
      OFFSETS:	51-58
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotihAz_1]
   UNSPLITVOC:	(AinotihAzAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	{inotihAz+AF
        GLOSS:	taking advantage of/opportunism+[acc.indef.]

 INPUT STRING:	لفرصة
     IS_TRANS:	lfrSp
        INDEX:	P30W11
      OFFSETS:	59-64
       TOKENS:	P30W11-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(lifuroSap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+furoS+ap
        GLOSS:	for/to+opportunity/chance/opportunities/chances+[fem.sg.]

 INPUT STRING:	المباراة
     IS_TRANS:	AlmbArAp
        INDEX:	P30W12
      OFFSETS:	65-73
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArAp_1]
   UNSPLITVOC:	(AlmubArAp)
          POS:	DET+NOUN
          VOC:	Al+mubArAp
        GLOSS:	the+match/game/competition/matches/games/competitions

 INPUT STRING:	وعملوا
     IS_TRANS:	wEmlwA
        INDEX:	P30W13
      OFFSETS:	74-80
       TOKENS:	P30W14-P30W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(wiEamaluwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+Eamal+uwA
        GLOSS:	and+do+they

 INPUT STRING:	عملتهم
     IS_TRANS:	Emlthm
        INDEX:	P30W14
      OFFSETS:	81-87
       TOKENS:	P30W16-P30W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamlap_1]
   UNSPLITVOC:	(Eamlithum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	Eaml+it+hum
        GLOSS:	action+[fem.sg.]+their

 INPUT STRING:	الدنيئة
     IS_TRANS:	Aldny}p
        INDEX:	P30W15
      OFFSETS:	88-95
       TOKENS:	P30W18-P30W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daniy'_1]
   UNSPLITVOC:	(Ald~aniy}ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+daniy}+ap
        GLOSS:	the+contemptible/inferior+[fem.sg.]

 INPUT STRING:	فيا
     IS_TRANS:	fyA
        INDEX:	P30W16
      OFFSETS:	96-99
       TOKENS:	P30W19-P30W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyyA)
          POS:	PREP+PRON_1S
          VOC:	fiy+yA
        GLOSS:	in, by+me

 INPUT STRING:	أهل
     IS_TRANS:	>hl
        INDEX:	P31W1
      OFFSETS:	0-3
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
