 INPUT STRING:	من
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabaE_1]
   UNSPLITVOC:	(yitobaE)
          POS:	IV3MS+IV
          VOC:	yi+tobaE
        GLOSS:	he/it+follow/pursue

 INPUT STRING:	مجموعة
     IS_TRANS:	mjmwEp
        INDEX:	P3W7
      OFFSETS:	30-36
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majomuwEap_1]
   UNSPLITVOC:	(majomuwEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	majomuwE+ap
        GLOSS:	collection/group/bloc/collections/groups+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W8
      OFFSETS:	37-39
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	العملاء
     IS_TRANS:	AlEmlA'
        INDEX:	P3W9
      OFFSETS:	40-47
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamiyl_1]
   UNSPLITVOC:	(AlEumalA')
          POS:	DET+NOUN
          VOC:	Al+EumalA'
        GLOSS:	the+agent/agents

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W10
      OFFSETS:	48-49
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الخونة
     IS_TRANS:	Alxwnp
        INDEX:	P3W11
      OFFSETS:	50-56
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xA}in_1]
   UNSPLITVOC:	(Alxawanap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xawan+ap
        GLOSS:	the+traitor/treacherous/traitors/disloyal+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W12
      OFFSETS:	57-58
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الشواذ
     IS_TRANS:	Al$wA*
        INDEX:	P3W13
      OFFSETS:	59-65
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A*~_1]
   UNSPLITVOC:	(Al$~awA*)
          POS:	DET+NOUN
          VOC:	Al+$awA*
        GLOSS:	the+deviant

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W14
      OFFSETS:	66-67
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الملحدين
     IS_TRANS:	AlmlHdyn
        INDEX:	P3W15
      OFFSETS:	68-76
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muloHid_1]
   UNSPLITVOC:	(AlmuloHidiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+muloHid+iyn
        GLOSS:	the+atheist/heretic/atheists/heretics+pl

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W16
      OFFSETS:	77-79
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P3W17
      OFFSETS:	80-82
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ارائهم
     IS_TRANS:	ArA}hm
        INDEX:	P3W18
      OFFSETS:	83-89
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(|rA}hum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	|rA}+hum
        GLOSS:	opinion/view/idea/opinions/views/ideas+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W19
      OFFSETS:	89-90
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W20
      OFFSETS:	90-91
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W21
      OFFSETS:	91-92
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W22
      OFFSETS:	92-93
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	يتفق
     IS_TRANS:	ytfq
        INDEX:	P3W23
      OFFSETS:	94-98
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~afaq_1]
   UNSPLITVOC:	(yit~ifiq)
          POS:	IV3MS+IV
          VOC:	yi+t~ifiq
        GLOSS:	he/it+agree

 INPUT STRING:	معهم
     IS_TRANS:	mEhm
        INDEX:	P3W24
      OFFSETS:	99-103
       TOKENS:	P3W25-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEahum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	something with/at/with+them

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W25
      OFFSETS:	104-106
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	INTERROG_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	رائيك
     IS_TRANS:	rA}yk
        INDEX:	P3W26
      OFFSETS:	107-112
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rA}yk)
          POS:	TYPO
          VOC:	rA}yk
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W27
      OFFSETS:	113-115
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	داعية
     IS_TRANS:	dAEyp
        INDEX:	P3W28
      OFFSETS:	116-121
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAEiyap_1]
   UNSPLITVOC:	(dAEiyap)
          POS:	NOUN
          VOC:	dAEiyap
        GLOSS:	missionary

 INPUT STRING:	اسلامي
     IS_TRANS:	AslAmy
        INDEX:	P3W29
      OFFSETS:	122-128
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy)
          POS:	ADJ
          VOC:	<isolAmiy
        GLOSS:	Islamic/Muslim/Islamist

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W30
      OFFSETS:	129-132
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	يدعوا
     IS_TRANS:	ydEwA
        INDEX:	P3W31
      OFFSETS:	133-138
       TOKENS:	P3W33-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEaY_1]
   UNSPLITVOC:	(ydEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	y+dE+uwA
        GLOSS:	they+call someone names/supplicate/pray/be called/call/be invited+we

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P3W32
      OFFSETS:	139-144
       TOKENS:	P3W34-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	للنزول
     IS_TRANS:	llnzwl
        INDEX:	P3W33
      OFFSETS:	145-151
       TOKENS:	P3W35-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizuwl_1]
   UNSPLITVOC:	(liln~izuwl)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+nizuwl
        GLOSS:	for/to+the+descent/resignation

 INPUT STRING:	للجهاد
     IS_TRANS:	lljhAd
        INDEX:	P3W34
      OFFSETS:	152-158
       TOKENS:	P3W37-P3W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihAd_1]
   UNSPLITVOC:	(liljihAd)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+jihAd
        GLOSS:	for/to+the+Jihad/holy war/(spiritual) struggle

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P3W35
      OFFSETS:	159-161
       TOKENS:	P3W39-P3W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	جند
     IS_TRANS:	jnd
        INDEX:	P3W36
      OFFSETS:	162-165
       TOKENS:	P3W40-P3W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[junodiy_1]
   UNSPLITVOC:	(junod)
          POS:	NOUN
          VOC:	junod
        GLOSS:	army

 INPUT STRING:	بلدة
     IS_TRANS:	bldp
        INDEX:	P3W37
      OFFSETS:	166-170
       TOKENS:	P3W41-P3W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balodap_1]
   UNSPLITVOC:	(balodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	balod+ap
        GLOSS:	township+[fem.sg.]

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P3W38
      OFFSETS:	171-179
       TOKENS:	P3W42-P3W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+musolim+iyn
        GLOSS:	the+Muslim+pl

 INPUT STRING:	مارائيك
     IS_TRANS:	mArA}yk
        INDEX:	P4W1
      OFFSETS:	0-7
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mArA}yk)
          POS:	TYPO
          VOC:	mArA}yk
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W2
      OFFSETS:	8-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	داعية
     IS_TRANS:	dAEyp
        INDEX:	P4W3
      OFFSETS:	11-16
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAEiyap_1]
   UNSPLITVOC:	(dAEiyap)
          POS:	NOUN
          VOC:	dAEiyap
        GLOSS:	missionary

 INPUT STRING:	اسلامي
     IS_TRANS:	AslAmy
        INDEX:	P4W4
      OFFSETS:	17-23
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy)
          POS:	ADJ
          VOC:	<isolAmiy
        GLOSS:	Islamic/Muslim/Islamist

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P4W5
      OFFSETS:	24-27
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	يدافع
     IS_TRANS:	ydAfE
        INDEX:	P4W6
      OFFSETS:	28-33
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(yidAfiE)
          POS:	IV3MS+IV
          VOC:	yi+dAfiE
        GLOSS:	he/it+defend

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W7
      OFFSETS:	34-36
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	صاحبة
     IS_TRANS:	SAHbp
        INDEX:	P4W8
      OFFSETS:	37-42
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SAHobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SAHob+ap
        GLOSS:	owner/originator/owners/originators/friend/companion/friends/companions+[fem.sg.]

 INPUT STRING:	العباءة
     IS_TRANS:	AlEbA'p
        INDEX:	P4W9
      OFFSETS:	43-50
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EabAyap_1]
   UNSPLITVOC:	(AlEabA'ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EabA'+ap
        GLOSS:	the+cloak+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W10
      OFFSETS:	51-52
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	وصفها
     IS_TRANS:	wSfhA
        INDEX:	P4W11
      OFFSETS:	53-58
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSaf_1]
   UNSPLITVOC:	(waSafhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	waSaf+(null)+hA
        GLOSS:	describe/characterize/prescribe/give a prescription to/be described/be characterized+he/it+it/them/her

 INPUT STRING:	بانها
     IS_TRANS:	bAnhA
        INDEX:	P4W12
      OFFSETS:	59-64
       TOKENS:	P4W13-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(bi>in~hA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	bi+>in~+hA
        GLOSS:	with+that+it/they/she

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W13
      OFFSETS:	65-67
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	حرائر
     IS_TRANS:	HrA}r
        INDEX:	P4W14
      OFFSETS:	68-73
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarA}ir_1]
   UNSPLITVOC:	(HarA}ir)
          POS:	NOUN
          VOC:	HarA}ir
        GLOSS:	free/noble/silk

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W15
      OFFSETS:	74-77
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W16
      OFFSETS:	78-79
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	دعا
     IS_TRANS:	dEA
        INDEX:	P4W17
      OFFSETS:	80-83
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(daEA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	daEA+(null)
        GLOSS:	call/invite/be called/be invited+he/it

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P4W18
      OFFSETS:	84-87
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	مليوتية
     IS_TRANS:	mlywtyp
        INDEX:	P4W19
      OFFSETS:	88-95
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mlywtyp)
          POS:	TYPO
          VOC:	mlywtyp
        GLOSS:	nogloss

 INPUT STRING:	لتصرتها
     IS_TRANS:	ltSrthA
        INDEX:	P4W20
      OFFSETS:	96-103
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ltSrthA)
          POS:	TYPO
          VOC:	ltSrthA
        GLOSS:	nogloss

 INPUT STRING:	مارائيك
     IS_TRANS:	mArA}yk
        INDEX:	P4W21
      OFFSETS:	104-111
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mArA}yk)
          POS:	TYPO
          VOC:	mArA}yk
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W22
      OFFSETS:	112-114
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	داعية
     IS_TRANS:	dAEyp
        INDEX:	P4W23
      OFFSETS:	115-120
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAEiyap_1]
   UNSPLITVOC:	(dAEiyap)
          POS:	NOUN
          VOC:	dAEiyap
        GLOSS:	missionary

 INPUT STRING:	اسلامي
     IS_TRANS:	AslAmy
        INDEX:	P4W24
      OFFSETS:	121-127
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy)
          POS:	ADJ
          VOC:	<isolAmiy
        GLOSS:	Islamic/Muslim/Islamist

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P4W25
      OFFSETS:	128-133
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EinodamA_1]
   UNSPLITVOC:	(EinodamA)
          POS:	ADV
          VOC:	EinodamA
        GLOSS:	when

 INPUT STRING:	يتحدث
     IS_TRANS:	ytHdv
        INDEX:	P4W26
      OFFSETS:	134-139
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHad~av_1]
   UNSPLITVOC:	(yitoHad~iv)
          POS:	IV3MS+IV
          VOC:	yi+toHad~iv
        GLOSS:	he/it+speak/discuss

 INPUT STRING:	تخرج
     IS_TRANS:	txrj
        INDEX:	P4W27
      OFFSETS:	140-144
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(tuxoruj)
          POS:	IV3FS+IV
          VOC:	tu+xoruj
        GLOSS:	it/they/she+go out/exit/leave

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W28
      OFFSETS:	145-147
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	الكلمات
     IS_TRANS:	AlklmAt
        INDEX:	P4W29
      OFFSETS:	148-155
       TOKENS:	P4W32-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(AlkalimAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+kalim+At
        GLOSS:	the+talk/remark/speech/saying+[fem.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W30
      OFFSETS:	156-158
       TOKENS:	P4W33-P4W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	فمة
     IS_TRANS:	fmp
        INDEX:	P4W31
      OFFSETS:	159-162
       TOKENS:	P4W34-P4W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fam_1]
   UNSPLITVOC:	(famuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	fam+uh
        GLOSS:	mouth/mouths+his/its

 INPUT STRING:	مليئة
     IS_TRANS:	mly}p
        INDEX:	P4W32
      OFFSETS:	163-168
       TOKENS:	P4W36-P4W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maliy'_1]
   UNSPLITVOC:	(maliy}ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	maliy}+ap
        GLOSS:	full/filled/replete+[fem.sg.]

 INPUT STRING:	بالكبر
     IS_TRANS:	bAlkbr
        INDEX:	P4W33
      OFFSETS:	169-175
       TOKENS:	P4W37-P4W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibar_1]
   UNSPLITVOC:	(biAlkibar)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+kibar
