 INPUT STRING:	العلمـــــــانيه
   UNSPLITVOC:	(yuquwluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+quwl+uwA
        GLOSS:	they+said/say/be said/say/(for example)+they

 INPUT STRING:	بص
     IS_TRANS:	bS
        INDEX:	P13W5
      OFFSETS:	19-21
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	buS~+(null)
        GLOSS:	look+you

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P13W6
      OFFSETS:	22-27
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	بيضحك
     IS_TRANS:	byDHk
        INDEX:	P13W7
      OFFSETS:	28-33
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiHik_1]
   UNSPLITVOC:	(biyiDoHak)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+DoHak
        GLOSS:	[present-tense]+he/it+laugh

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P13W8
      OFFSETS:	34-38
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P13W9
      OFFSETS:	39-43
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P13W10
      OFFSETS:	44-46
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P13W11
      OFFSETS:	47-49
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بقا
     IS_TRANS:	bqA
        INDEX:	P13W12
      OFFSETS:	50-53
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY_1)
          POS:	ADV
          VOC:	baqaY_1
        GLOSS:	so/then

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P13W13
      OFFSETS:	54-59
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	بتاعكو
     IS_TRANS:	btAEkw
        INDEX:	P13W14
      OFFSETS:	60-66
       TOKENS:	P13W15-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEkuw)
          POS:	NOUN+POSS_PRON_2P
          VOC:	bitAE+kuw
        GLOSS:	belonging/possession+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W15
      OFFSETS:	67-68
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P14W2
      OFFSETS:	3-8
       TOKENS:	P14W2-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P14W3
      OFFSETS:	9-11
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P14W4
      OFFSETS:	12-14
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P14W5
      OFFSETS:	15-20
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	بتاعنا
     IS_TRANS:	btAEnA
        INDEX:	P14W6
      OFFSETS:	21-27
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bitAE+nA
        GLOSS:	belonging/possession+our

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P14W7
      OFFSETS:	28-31
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	النبي
     IS_TRANS:	Alnby
        INDEX:	P14W8
      OFFSETS:	32-37
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nabiy_1]
   UNSPLITVOC:	(Aln~abiy)
          POS:	DET+NOUN
          VOC:	Al+nabiy
        GLOSS:	the+prophet

 INPUT STRING:	صلي
     IS_TRANS:	Sly
        INDEX:	P14W9
      OFFSETS:	38-41
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~ay_1]
   UNSPLITVOC:	(Sal~aY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Sal~aY+(null)
        GLOSS:	pray/worship+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P14W10
      OFFSETS:	42-46
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P14W11
      OFFSETS:	47-51
       TOKENS:	P14W13-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+he

 INPUT STRING:	وسلم
     IS_TRANS:	wslm
        INDEX:	P14W12
      OFFSETS:	52-56
       TOKENS:	P14W15-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[salim_1]
   UNSPLITVOC:	(wasal~am)
          POS:	CONJ+PV
          VOC:	wa+sal~am
        GLOSS:	and+be safe

 INPUT STRING:	يمزح
     IS_TRANS:	ymzH
        INDEX:	P14W13
      OFFSETS:	57-61
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mazaH_1]
   UNSPLITVOC:	(yimozaH)
          POS:	IV3MS+IV
          VOC:	yi+mozaH
        GLOSS:	he/it+joke with

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P14W14
      OFFSETS:	62-65
       TOKENS:	P14W18-P14W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P14W15
      OFFSETS:	66-70
       TOKENS:	P14W20-P14W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/say/(for example)

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P14W16
      OFFSETS:	71-74
       TOKENS:	P14W21-P14W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	حقا
     IS_TRANS:	HqA
        INDEX:	P14W17
      OFFSETS:	75-78
       TOKENS:	P14W22-P14W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Haq~+AF
        GLOSS:	truth/right+[acc.indef.]

 INPUT STRING:	وكان
     IS_TRANS:	wkAn
        INDEX:	P14W18
      OFFSETS:	79-83
       TOKENS:	P14W23-P14W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAn)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+kAn+(null)
        GLOSS:	and+be+he/it

 INPUT STRING:	يضحك
     IS_TRANS:	yDHk
        INDEX:	P14W19
      OFFSETS:	84-88
       TOKENS:	P14W25-P14W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiHik_1]
   UNSPLITVOC:	(yiDoHak)
          POS:	IV3MS+IV
          VOC:	yi+DoHak
        GLOSS:	he/it+laugh

 INPUT STRING:	بابي
     IS_TRANS:	bAby
        INDEX:	P14W20
      OFFSETS:	89-93
       TOKENS:	P14W26-P14W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ab_1]
   UNSPLITVOC:	(bi>abiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	bi+>ab+iy
        GLOSS:	with/by+father+my

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P14W21
      OFFSETS:	94-96
       TOKENS:	P14W29-P14W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	وامي
     IS_TRANS:	wAmy
        INDEX:	P14W22
      OFFSETS:	97-101
       TOKENS:	P14W30-P14W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(wi>um~iy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+>um~+iy
        GLOSS:	and+mother/maternal/mothers+my

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P14W23
      OFFSETS:	102-105
       TOKENS:	P14W33-P14W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	تبدو
     IS_TRANS:	tbdw
        INDEX:	P14W24
      OFFSETS:	106-110
       TOKENS:	P14W34-P14W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[badA_1]
   UNSPLITVOC:	(taboduw)
          POS:	IV3MS+IV
          VOC:	ta+boduw
        GLOSS:	it/she+appear/seem

 INPUT STRING:	نواجذه
     IS_TRANS:	nwAj*h
        INDEX:	P14W25
      OFFSETS:	111-117
       TOKENS:	P14W35-P14W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAji*_1]
   UNSPLITVOC:	(nawAji*uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nawAji*+uh
        GLOSS:	molars/teeth+its/his

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P15W2
      OFFSETS:	4-7
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P15W3
      OFFSETS:	8-12
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P15W4
      OFFSETS:	13-17
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual/one

 INPUT STRING:	ومراته
     IS_TRANS:	wmrAth
        INDEX:	P15W5
      OFFSETS:	18-24
       TOKENS:	P15W5-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mirAt_1]
   UNSPLITVOC:	(wamirAtuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	wa+mirAt+uh
        GLOSS:	with+wife+his/its

 INPUT STRING:	منتقبه
     IS_TRANS:	mntqbh
        INDEX:	P15W6
      OFFSETS:	25-31
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munotaqib_1]
   UNSPLITVOC:	(munotaqibap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	munotaqib+ap
        GLOSS:	veiled+[fem.sg.]

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P15W7
      OFFSETS:	32-38
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting/needing+[masc.pl.]

 INPUT STRING:	يخرجو
     IS_TRANS:	yxrjw
        INDEX:	P15W8
      OFFSETS:	39-44
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(yuxorujuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+xoruj+uwA
        GLOSS:	they+exit/leave+they[verb]

 INPUT STRING:	يتمنعو
     IS_TRANS:	ytmnEw
        INDEX:	P15W9
      OFFSETS:	45-51
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitmanaE_1]
   UNSPLITVOC:	(yitminiEuwA)
          POS:	IV3P+IV_PASS+IVSUFF_SUBJ:P
          VOC:	yi+tminiE+uwA
        GLOSS:	they+be prevented/be prohibeted+they[verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W10
      OFFSETS:	52-54
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دخول
     IS_TRANS:	dxwl
        INDEX:	P15W11
      OFFSETS:	55-59
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duxuwl_1]
   UNSPLITVOC:	(duxuwl)
          POS:	NOUN
          VOC:	duxuwl
        GLOSS:	entrance/penetration

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P15W12
      OFFSETS:	60-63
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	الاماكن
     IS_TRANS:	AlAmAkn
        INDEX:	P15W13
      OFFSETS:	64-71
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(AlAmAkin)
          POS:	DET+NOUN
          VOC:	Al+AmAkin
        GLOSS:	the+place/location/position

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W14
      OFFSETS:	72-73
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حين
     IS_TRANS:	Hyn
        INDEX:	P16W2
      OFFSETS:	3-6
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(Hiyn)
          POS:	NOUN
          VOC:	Hiyn
        GLOSS:	time/moment/opportunity/times/opportunities/sometimes/occasionally

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P16W3
      OFFSETS:	7-10
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	يسمح
     IS_TRANS:	ysmH
        INDEX:	P16W4
      OFFSETS:	11-15
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(yisomaH)
          POS:	IV3MS+IV
          VOC:	yi+somaH
        GLOSS:	he/it+allow/permit/authorize/be allowed/be permitted/be authorized

 INPUT STRING:	للعاريه
     IS_TRANS:	llEAryh
        INDEX:	P16W5
      OFFSETS:	16-23
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAriy_1]
   UNSPLITVOC:	(lilEAriyap)
          POS:	PREP+DET+ADJ+NSUFF_FEM_SG
          VOC:	li+Al+EAriy+ap
        GLOSS:	to/for+the+naked/bare+[fem.sg.]

 INPUT STRING:	الدخول
     IS_TRANS:	Aldxwl
        INDEX:	P16W6
      OFFSETS:	24-30
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duxuwl_1]
   UNSPLITVOC:	(Ald~uxuwl)
          POS:	DET+NOUN
          VOC:	Al+duxuwl
        GLOSS:	the+entrance/penetration

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W7
      OFFSETS:	31-32
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P17W3
      OFFSETS:	8-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual/one

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P17W4
      OFFSETS:	13-16
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P17W5
      OFFSETS:	17-21
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	راكب
     IS_TRANS:	rAkb
        INDEX:	P17W6
      OFFSETS:	22-26
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAkib_1]
   UNSPLITVOC:	(rAkib)
          POS:	ADJ
          VOC:	rAkib
        GLOSS:	riding

 INPUT STRING:	عربيه
     IS_TRANS:	Erbyh
        INDEX:	P17W7
      OFFSETS:	27-32
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(Earabiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Earabiy~+ap
        GLOSS:	car+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P17W8
      OFFSETS:	33-35
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aw_1]
   UNSPLITVOC:	(Aw)
          POS:	CONJ
