 INPUT STRING:	في
        INDEX:	P5W12
      OFFSETS:	44-47
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	حول
     IS_TRANS:	Hwl
        INDEX:	P5W13
      OFFSETS:	48-51
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hawl_1]
   UNSPLITVOC:	(Hawl)
          POS:	NOUN
          VOC:	Hawl
        GLOSS:	about/around/concerning

 INPUT STRING:	المنظمات
     IS_TRANS:	AlmnZmAt
        INDEX:	P5W14
      OFFSETS:	52-60
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(AlmunaZ~amAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+munaZ~am+At
        GLOSS:	the+organizations+[fem.pl.]

 INPUT STRING:	الأهلية
     IS_TRANS:	Al>hlyp
        INDEX:	P5W15
      OFFSETS:	61-68
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aholiy_1]
   UNSPLITVOC:	(Al>aholiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>aholiy~+ap
        GLOSS:	the+civil/domestic/family+[fem.sg.]

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P6W2
      OFFSETS:	1-2
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	واشنطن
     IS_TRANS:	wA$nTn
        INDEX:	P6W3
      OFFSETS:	3-9
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA$inoTun_1]
   UNSPLITVOC:	(wA$inoTun)
          POS:	NOUN_PROP
          VOC:	wA$inoTun
        GLOSS:	Washington

 INPUT STRING:	تجدد
     IS_TRANS:	tjdd
        INDEX:	P6W4
      OFFSETS:	10-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~id_1]
   UNSPLITVOC:	(tijad~id)
          POS:	IV3FS+IV
          VOC:	ti+jad~id
        GLOSS:	it/they/she+renew

 INPUT STRING:	مطالبتها
     IS_TRANS:	mTAlbthA
        INDEX:	P6W5
      OFFSETS:	15-23
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muTAlbap_1]
   UNSPLITVOC:	(muTAlbithA)
          POS:	NOUN.VN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	muTAlb+it+hA
        GLOSS:	calling for+[fem.sg.]+her/its

 INPUT STRING:	برفع
     IS_TRANS:	brfE
        INDEX:	P6W6
      OFFSETS:	24-28
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoE_1]
   UNSPLITVOC:	(birafoE)
          POS:	PREP+NOUN.VN
          VOC:	bi+rafoE
        GLOSS:	with/by+raising/lifting/elevating

 INPUT STRING:	حظر
     IS_TRANS:	HZr
        INDEX:	P6W7
      OFFSETS:	29-32
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaZor_1]
   UNSPLITVOC:	(HaZor)
          POS:	NOUN
          VOC:	HaZor
        GLOSS:	prohibition/ban

 INPUT STRING:	السفر
     IS_TRANS:	Alsfr
        INDEX:	P6W8
      OFFSETS:	33-38
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(Als~afar)
          POS:	DET+NOUN
          VOC:	Al+safar
        GLOSS:	the+travel/trip/journeys

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P6W9
      OFFSETS:	39-41
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	المتهمين
     IS_TRANS:	Almthmyn
        INDEX:	P6W10
      OFFSETS:	42-50
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mut~aham_1]
   UNSPLITVOC:	(Almut~ahamiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+mut~aham+iyn
        GLOSS:	the+accused+[masc.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W11
      OFFSETS:	51-53
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P6W12
      OFFSETS:	55-62
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
          VOC:	Al+tamowiyl
        GLOSS:	the+financing/funding/backing

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P7W1
      OFFSETS:	0-1
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P7W2
      OFFSETS:	1-2
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	المستشار
     IS_TRANS:	Almst$Ar
        INDEX:	P7W3
      OFFSETS:	3-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$Ar_1]
   UNSPLITVOC:	(Almusota$Ar)
          POS:	DET+NOUN
          VOC:	Al+musota$Ar
        GLOSS:	the+counselor/adviser

 INPUT STRING:	أشرف
     IS_TRANS:	>$rf
        INDEX:	P7W4
      OFFSETS:	12-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$oraf_1]
   UNSPLITVOC:	(>a$oraf)
          POS:	NOUN_PROP
          VOC:	>a$oraf
        GLOSS:	Ashraf

 INPUT STRING:	زهران
     IS_TRANS:	zhrAn
        INDEX:	P7W5
      OFFSETS:	17-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zahorAn_1]
   UNSPLITVOC:	(zahorAn)
          POS:	NOUN_PROP
          VOC:	zahorAn
        GLOSS:	Zahran

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P7W6
      OFFSETS:	22-23
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P7W7
      OFFSETS:	24-31
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	يتدخل
     IS_TRANS:	ytdxl
        INDEX:	P7W8
      OFFSETS:	32-37
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitodax~al_1]
   UNSPLITVOC:	(yatodax~al)
          POS:	IV3MS+IV
          VOC:	ya+todax~al
        GLOSS:	he/it+intrude

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P7W9
      OFFSETS:	38-40
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P7W10
      OFFSETS:	41-47
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary

 INPUT STRING:	ليتم
     IS_TRANS:	lytm
        INDEX:	P7W11
      OFFSETS:	48-52
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lytm)
          POS:	NO_FUNC
          VOC:	lytm
        GLOSS:	nogloss

 INPUT STRING:	صفقة
     IS_TRANS:	Sfqp
        INDEX:	P7W12
      OFFSETS:	53-57
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Safoqap_1]
   UNSPLITVOC:	(Safoqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Safoq+ap
        GLOSS:	deal/transaction/deals/transactions+[fem.sg.]

 INPUT STRING:	بينه
     IS_TRANS:	bynh
        INDEX:	P7W13
      OFFSETS:	58-62
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(biynuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	biyn+uh
        GLOSS:	between+his/its

 INPUT STRING:	وبين
     IS_TRANS:	wbyn
        INDEX:	P7W14
      OFFSETS:	63-67
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(wibayn)
          POS:	CONJ+NOUN
          VOC:	wi+bayn
        GLOSS:	and+between

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P7W15
      OFFSETS:	68-74
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W16
      OFFSETS:	74-75
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P8W1
      OFFSETS:	0-1
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P8W2
      OFFSETS:	1-2
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	تنحى
     IS_TRANS:	tnHY
        INDEX:	P8W3
      OFFSETS:	3-7
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanaH~ay_1]
   UNSPLITVOC:	(tanaH~aY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tanaH~aY+(null)
        GLOSS:	move away+he/it [verb]

 INPUT STRING:	قاضى
     IS_TRANS:	qADY
        INDEX:	P8W4
      OFFSETS:	8-12
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(qADiy)
          POS:	NOUN
          VOC:	qADiy
        GLOSS:	judge/magistrate

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P8W5
      OFFSETS:	14-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
          VOC:	Al+tamowiyl
        GLOSS:	the+financing/funding/backing

 INPUT STRING:	الأجنبى
     IS_TRANS:	Al>jnbY
        INDEX:	P8W6
      OFFSETS:	22-29
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajonabiy~_1]
   UNSPLITVOC:	(Al>ajonabiy~)
          POS:	DET+ADJ
          VOC:	Al+>ajonabiy~
        GLOSS:	the+foreign

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W7
      OFFSETS:	31-32
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P9W1
      OFFSETS:	0-1
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P9W2
      OFFSETS:	1-2
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	رفع
     IS_TRANS:	rfE
        INDEX:	P9W3
      OFFSETS:	3-6
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoE_1]
   UNSPLITVOC:	(rafoE)
          POS:	NOUN
          VOC:	rafoE
        GLOSS:	raising/lifting/elevating

 INPUT STRING:	أسماء
     IS_TRANS:	>smA'
        INDEX:	P9W4
      OFFSETS:	7-12
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[{isom_1]
   UNSPLITVOC:	(>asomA')
          POS:	NOUN
          VOC:	>asomA'
        GLOSS:	names

 INPUT STRING:	16
     IS_TRANS:	16
        INDEX:	P9W5
      OFFSETS:	13-15
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(16)
          POS:	NOUN_NUM
          VOC:	16
        GLOSS:	16

 INPUT STRING:	أمريكياً
     IS_TRANS:	>mrykyAF
        INDEX:	P9W6
      OFFSETS:	16-24
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoriykiy~_1]
   UNSPLITVOC:	(>amoriykiy~)
          POS:	NOUN
          VOC:	>amoriykiy~
        GLOSS:	American

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W7
      OFFSETS:	25-27
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قضية
     IS_TRANS:	qDyp
        INDEX:	P9W8
      OFFSETS:	28-32
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P9W9
      OFFSETS:	34-41
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
          VOC:	Al+tamowiyl
        GLOSS:	the+financing/funding/backing

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W10
      OFFSETS:	43-45
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كشوف
     IS_TRANS:	k$wf
        INDEX:	P9W11
      OFFSETS:	46-50
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka$of_1]
   UNSPLITVOC:	(ku$uwf)
          POS:	NOUN
          VOC:	ku$uwf
        GLOSS:	reports/disclosures

 INPUT STRING:	الممنوعين
     IS_TRANS:	AlmmnwEyn
        INDEX:	P9W12
      OFFSETS:	51-60
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamonuwE_1]
   UNSPLITVOC:	(AlmamonuwEiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+mamonuwE+iyn
        GLOSS:	the+prohibited+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W13
      OFFSETS:	61-63
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السفر
     IS_TRANS:	Alsfr
        INDEX:	P9W14
      OFFSETS:	64-69
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(Als~afar)
          POS:	DET+NOUN
          VOC:	Al+safar
        GLOSS:	the+travel/trip/journeys

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W15
      OFFSETS:	69-70
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P10W1
      OFFSETS:	0-1
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P10W2
      OFFSETS:	1-2
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	طائرة
     IS_TRANS:	TA}rp
        INDEX:	P10W3
      OFFSETS:	3-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TA}irap_1]
   UNSPLITVOC:	(TA}irap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	TA}ir+ap
        GLOSS:	aircraft/airplane+[fem.sg.]

 INPUT STRING:	عسكرية
     IS_TRANS:	Eskryp
        INDEX:	P10W4
      OFFSETS:	9-15
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(Easokariy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Easokariy~+ap
        GLOSS:	military/army+[fem.sg.]

 INPUT STRING:	أمريكية
     IS_TRANS:	>mrykyp
        INDEX:	P10W5
      OFFSETS:	16-23
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AamoriykAniy_1]
   UNSPLITVOC:	(Amoriykiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Amoriykiy~+ap
        GLOSS:	American+[fem.sg.]

 INPUT STRING:	تصل
     IS_TRANS:	tSl
        INDEX:	P10W6
      OFFSETS:	24-27
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waSal_1]
   UNSPLITVOC:	(taSil)
          POS:	IV3FS+IV
          VOC:	ta+Sil
        GLOSS:	it/they/she+come

 INPUT STRING:	مطار
     IS_TRANS:	mTAr
        INDEX:	P10W7
      OFFSETS:	28-32
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTAr_1]
   UNSPLITVOC:	(maTAr)
          POS:	NOUN
          VOC:	maTAr
        GLOSS:	airport/airfield

 INPUT STRING:	القاهرة
     IS_TRANS:	AlqAhrp
        INDEX:	P10W8
      OFFSETS:	33-40
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	لنقل
     IS_TRANS:	lnql
        INDEX:	P10W9
      OFFSETS:	41-45
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqol_1]
   UNSPLITVOC:	(linaqol)
          POS:	PREP+NOUN
          VOC:	li+naqol
        GLOSS:	for/to+transportation/transfer/transmission/relaying/quoting

 INPUT STRING:	متهمى
     IS_TRANS:	mthmY
        INDEX:	P10W10
      OFFSETS:	46-51
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mut~aham_1]
   UNSPLITVOC:	(mut~ahamiy)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	mut~aham+iy
        GLOSS:	accused+[masc.pl.]

 INPUT STRING:	قضية
     IS_TRANS:	qDyp
        INDEX:	P10W11
      OFFSETS:	52-56
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P10W12
      OFFSETS:	57-64
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
