 INPUT STRING:	الاختلاف

 INPUT STRING:	السلطة
     IS_TRANS:	AlslTp
        INDEX:	P17W8
      OFFSETS:	45-51
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uloTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suloT+ap
        GLOSS:	the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W9
      OFFSETS:	52-53
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الحفاظ
     IS_TRANS:	AlHfAZ
        INDEX:	P17W10
      OFFSETS:	54-60
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HifAZ_1]
   UNSPLITVOC:	(AlHifAZ)
          POS:	DET+NOUN
          VOC:	Al+HifAZ
        GLOSS:	the+preservation/guarding

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P17W11
      OFFSETS:	61-64
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حالة
     IS_TRANS:	HAlp
        INDEX:	P17W12
      OFFSETS:	65-69
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(HAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAl+ap
        GLOSS:	condition/case/situation/cases/situations/instances+[fem.sg.]

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P17W13
      OFFSETS:	70-75
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	لحد
     IS_TRANS:	lHd
        INDEX:	P17W14
      OFFSETS:	76-79
       TOKENS:	P17W16-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(liHad~)
          POS:	PREP+NOUN
          VOC:	li+Had~
        GLOSS:	for/to+extent/limit/level/border/frontier/limits

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P17W15
      OFFSETS:	80-82
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	يستلمها
     IS_TRANS:	ystlmhA
        INDEX:	P17W16
      OFFSETS:	83-90
       TOKENS:	P17W19-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotalam_1]
   UNSPLITVOC:	(yisotilimhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+sotilim+hA
        GLOSS:	he/it+receive+it/them/her

 INPUT STRING:	حكومة
     IS_TRANS:	Hkwmp
        INDEX:	P17W17
      OFFSETS:	91-96
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(Hukuwmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hukuwm+ap
        GLOSS:	government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	منتخبة
     IS_TRANS:	mntxbp
        INDEX:	P17W18
      OFFSETS:	97-103
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munotaxab_1]
   UNSPLITVOC:	(munotaxabap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	munotaxab+ap
        GLOSS:	elected+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W19
      OFFSETS:	104-105
       TOKENS:	P17W23-P17W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P17W20
      OFFSETS:	106-108
       TOKENS:	P17W24-P17W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مفروض
     IS_TRANS:	mfrwD
        INDEX:	P17W21
      OFFSETS:	109-114
       TOKENS:	P17W25-P17W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(maforuwD)
          POS:	NOUN
          VOC:	maforuwD
        GLOSS:	obligation/duty

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P17W22
      OFFSETS:	115-120
       TOKENS:	P17W26-P17W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	يجروا
     IS_TRANS:	yjrwA
        INDEX:	P17W23
      OFFSETS:	121-126
       TOKENS:	P17W28-P17W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>ajraY_1]
   UNSPLITVOC:	(yijoruwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+jor+uwA
        GLOSS:	they+occur/happen/take place/flow+they

 INPUT STRING:	المحاكمات
     IS_TRANS:	AlmHAkmAt
        INDEX:	P17W24
      OFFSETS:	127-136
       TOKENS:	P17W29-P17W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[muHAkmap_1]
   UNSPLITVOC:	(AlmuHAkamAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muHAkam+At
        GLOSS:	the+judgement+[fem.pl.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P17W25
      OFFSETS:	137-140
       TOKENS:	P17W30-P17W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	except

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P17W26
      OFFSETS:	141-143
       TOKENS:	P17W31-P17W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P17W27
      OFFSETS:	144-148
       TOKENS:	P17W32-P17W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	محاكمات
     IS_TRANS:	mHAkmAt
        INDEX:	P17W28
      OFFSETS:	149-156
       TOKENS:	P17W33-P17W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[muHAkmap_1]
   UNSPLITVOC:	(muHAkamAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muHAkam+At
        GLOSS:	judgement+[fem.pl.]

 INPUT STRING:	عسكرية
     IS_TRANS:	Eskryp
        INDEX:	P17W29
      OFFSETS:	157-163
       TOKENS:	P17W34-P17W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(Easokariy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Easokariy~+ap
        GLOSS:	military/army+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P18W1
      OFFSETS:	0-1
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	للاسف
     IS_TRANS:	llAsf
        INDEX:	P18W2
      OFFSETS:	2-7
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	بيحاكموه
     IS_TRANS:	byHAkmwh
        INDEX:	P18W3
      OFFSETS:	8-16
       TOKENS:	P18W4-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(biyiHAkimuwh)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3MS
          VOC:	bi+yi+HAkim+uwA+uh
        GLOSS:	[present-tense]+they+prosecute/arraign+they+him

 INPUT STRING:	مدنى
     IS_TRANS:	mdnY
        INDEX:	P18W4
      OFFSETS:	17-21
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaniy_1]
   UNSPLITVOC:	(madaniy)
          POS:	ADJ
          VOC:	madaniy
        GLOSS:	civilian

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P18W5
      OFFSETS:	22-26
       TOKENS:	P18W8-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter

 INPUT STRING:	يرجعوا
     IS_TRANS:	yrjEwA
        INDEX:	P18W6
      OFFSETS:	27-33
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raj~aE_1]
   UNSPLITVOC:	(yiraj~aEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+raj~aE+uwA
        GLOSS:	they+send back+we

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P18W7
      OFFSETS:	34-40
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+money

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P18W8
      OFFSETS:	41-45
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P18W9
      OFFSETS:	46-48
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هترجع
     IS_TRANS:	htrjE
        INDEX:	P18W10
      OFFSETS:	49-54
       TOKENS:	P18W14-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(HatirojaE)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+rojaE
        GLOSS:	will+it/they/she+come back

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P18W11
      OFFSETS:	55-58
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P18W12
      OFFSETS:	59-61
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P18W13
      OFFSETS:	62-67
       TOKENS:	P18W18-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	حطت
     IS_TRANS:	HTt
        INDEX:	P18W14
      OFFSETS:	68-71
       TOKENS:	P18W19-P18W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(HaT~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	HaT~+it
        GLOSS:	put+it/they/she

 INPUT STRING:	عقلها
     IS_TRANS:	EqlhA
        INDEX:	P18W15
      OFFSETS:	72-77
       TOKENS:	P18W20-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqol_1]
   UNSPLITVOC:	(EaqolahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Eaqol+hA
        GLOSS:	mind/intellect/brain/senses/intellects/brains/intellectually/mentally+its/their/her

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P18W16
      OFFSETS:	78-80
       TOKENS:	P18W22-P18W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	راسها
     IS_TRANS:	rAshA
        INDEX:	P18W17
      OFFSETS:	81-86
       TOKENS:	P18W23-P18W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAs_1]
   UNSPLITVOC:	(rAshA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	rAs+hA
        GLOSS:	head+its/their/her

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P18W18
      OFFSETS:	87-88
       TOKENS:	P18W25-P18W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	فكرت
     IS_TRANS:	fkrt
        INDEX:	P18W19
      OFFSETS:	89-93
       TOKENS:	P18W26-P18W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(fak~art)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	fak~ar+t
        GLOSS:	think/consider/ponder+I

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P18W20
      OFFSETS:	94-99
       TOKENS:	P18W27-P18W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	بمعنى
     IS_TRANS:	bmEnY
        INDEX:	P18W21
      OFFSETS:	100-105
       TOKENS:	P18W28-P18W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(bimaEonaY)
          POS:	PREP+NOUN
          VOC:	bi+maEonaY
        GLOSS:	with/by+meaning/sense

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P18W22
      OFFSETS:	106-109
       TOKENS:	P18W30-P18W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation/peoples/nations

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P19W1
      OFFSETS:	0-1
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بتقولى
     IS_TRANS:	btqwlY
        INDEX:	P19W2
      OFFSETS:	2-8
       TOKENS:	P19W2-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwliy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+quwl+iy
        GLOSS:	[present-tense]+you+said/say/be said/say/(for example)+you

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P19W3
      OFFSETS:	9-15
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P19W4
      OFFSETS:	16-23
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P19W5
      OFFSETS:	24-27
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	glow/sparkle+you

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W6
      OFFSETS:	28-30
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P19W7
      OFFSETS:	31-35
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	many/much

 INPUT STRING:	بيقولوا
     IS_TRANS:	byqwlwA
        INDEX:	P19W8
      OFFSETS:	36-43
       TOKENS:	P19W10-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+quwl+uwA
        GLOSS:	[present-tense]+they+said/say/be said/say/(for example)+we

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P19W9
      OFFSETS:	44-50
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W10
      OFFSETS:	51-53
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P19W11
      OFFSETS:	54-56
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P19W12
      OFFSETS:	57-62
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P19W13
      OFFSETS:	63-64
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بعدها
     IS_TRANS:	bEdhA
        INDEX:	P19W14
      OFFSETS:	65-70
       TOKENS:	P19W17-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	baEod+hA
        GLOSS:	after+its/their/her

 INPUT STRING:	يقولوا
     IS_TRANS:	yqwlwA
        INDEX:	P19W15
      OFFSETS:	71-77
       TOKENS:	P19W19-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+quwl+uwA
        GLOSS:	they+said/say/be said/say/(for example)+we

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P19W16
      OFFSETS:	78-84
       TOKENS:	P19W20-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P19W17
      OFFSETS:	85-87
       TOKENS:	P19W21-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P19W18
      OFFSETS:	88-93
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P19W19
      OFFSETS:	94-95
       TOKENS:	P19W23-P19W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	يخلوا
     IS_TRANS:	yxlwA
        INDEX:	P19W20
      OFFSETS:	96-101
       TOKENS:	P19W24-P19W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+xal~+uwA
        GLOSS:	they+release/evacuate/allow/be released/be evacuated/be allowed+we

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P19W21
      OFFSETS:	102-104
       TOKENS:	P19W25-P19W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
