 INPUT STRING:	قالوا
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P15W16
      OFFSETS:	74-77
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P15W17
      OFFSETS:	78-80
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P15W18
      OFFSETS:	81-84
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P15W19
      OFFSETS:	85-91
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W20
      OFFSETS:	91-92
       TOKENS:	P15W25-P15W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	فبعد
     IS_TRANS:	fbEd
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(fabaEod)
          POS:	CONJ+NOUN
          VOC:	fa+baEod
        GLOSS:	so/and+after

 INPUT STRING:	ثلاثة
     IS_TRANS:	vlAvp
        INDEX:	P16W2
      OFFSETS:	5-10
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[valAvap_1]
   UNSPLITVOC:	(valAvap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	valAv+ap
        GLOSS:	three+[fem.sg.]

 INPUT STRING:	اسابيع
     IS_TRANS:	AsAbyE
        INDEX:	P16W3
      OFFSETS:	11-17
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AusobuwE_1]
   UNSPLITVOC:	(AsAbiyE)
          POS:	NOUN
          VOC:	AsAbiyE
        GLOSS:	weeks

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P16W4
      OFFSETS:	18-21
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W5
      OFFSETS:	22-24
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سقوط
     IS_TRANS:	sqwT
        INDEX:	P16W6
      OFFSETS:	25-29
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suquwT_1]
   UNSPLITVOC:	(suquwT)
          POS:	NOUN
          VOC:	suquwT
        GLOSS:	fall/collapse/crash

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P16W7
      OFFSETS:	30-35
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P16W8
      OFFSETS:	35-36
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	حين
     IS_TRANS:	Hyn
        INDEX:	P16W9
      OFFSETS:	37-40
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(Hiyn)
          POS:	NOUN
          VOC:	Hiyn
        GLOSS:	time/moment/opportunity

 INPUT STRING:	ذهبت
     IS_TRANS:	*hbt
        INDEX:	P16W10
      OFFSETS:	41-45
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ahab_1]
   UNSPLITVOC:	(*ahabit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	*ahab+it
        GLOSS:	go/depart+it/they/she [verb]

 INPUT STRING:	مئات
     IS_TRANS:	m}At
        INDEX:	P16W11
      OFFSETS:	46-50
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(mi}At)
          POS:	NOUN_NUM+NSUFF_FEM_PL
          VOC:	mi}+At
        GLOSS:	hundreds+[fem.pl.]

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P16W12
      OFFSETS:	51-57
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P16W13
      OFFSETS:	58-60
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الثامن
     IS_TRANS:	AlvAmn
        INDEX:	P16W14
      OFFSETS:	61-67
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAmin_1]
   UNSPLITVOC:	(AlvAmin)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAmin
        GLOSS:	the+eighth

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W15
      OFFSETS:	68-70
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مارس
     IS_TRANS:	mArs
        INDEX:	P16W16
      OFFSETS:	71-75
       TOKENS:	P16W17-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAris_1]
   UNSPLITVOC:	(mAris)
          POS:	NOUN_PROP
          VOC:	mAris
        GLOSS:	March

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P16W17
      OFFSETS:	75-76
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	nogloss

 INPUT STRING:	اذار
     IS_TRANS:	A*Ar
        INDEX:	P16W18
      OFFSETS:	76-80
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|*Ar_1]
   UNSPLITVOC:	(|*Ar)
          POS:	NOUN_PROP
          VOC:	|*Ar
        GLOSS:	March

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P16W19
      OFFSETS:	81-84
       TOKENS:	P16W20-P16W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	ميدان
     IS_TRANS:	mydAn
        INDEX:	P16W20
      OFFSETS:	85-90
       TOKENS:	P16W21-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(miydAn)
          POS:	NOUN
          VOC:	miydAn
        GLOSS:	square

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P16W21
      OFFSETS:	91-98
       TOKENS:	P16W22-P16W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	للاحتفال
     IS_TRANS:	llAHtfAl
        INDEX:	P16W22
      OFFSETS:	99-107
       TOKENS:	P16W23-P16W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHotifAl_1]
   UNSPLITVOC:	(lil<iHotifAl)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+<iHotifAl
        GLOSS:	for/to+the+celebration

 INPUT STRING:	بيوم
     IS_TRANS:	bywm
        INDEX:	P16W23
      OFFSETS:	108-112
       TOKENS:	P16W25-P16W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(biyawm)
          POS:	PREP+NOUN
          VOC:	bi+yawm
        GLOSS:	with/by+today

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P16W24
      OFFSETS:	113-119
       TOKENS:	P16W27-P16W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	العالمي
     IS_TRANS:	AlEAlmy
        INDEX:	P16W25
      OFFSETS:	120-127
       TOKENS:	P16W28-P16W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlamiy_1]
   UNSPLITVOC:	(AlEAlamiy)
          POS:	DET+ADJ
          VOC:	Al+EAlamiy
        GLOSS:	the+universal

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P16W26
      OFFSETS:	128-130
       TOKENS:	P16W29-P16W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	محاولة
     IS_TRANS:	mHAwlp
        INDEX:	P16W27
      OFFSETS:	131-137
       TOKENS:	P16W30-P16W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAwalap_1]
   UNSPLITVOC:	(muHAwalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muHAwal+ap
        GLOSS:	attempt/effort+[fem.sg.]

 INPUT STRING:	للفت
     IS_TRANS:	llft
        INDEX:	P16W28
      OFFSETS:	138-142
       TOKENS:	P16W31-P16W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lafot_1]
   UNSPLITVOC:	(lilafot)
          POS:	PREP+NOUN
          VOC:	li+lafot
        GLOSS:	for/to+directing

 INPUT STRING:	الانتباه
     IS_TRANS:	AlAntbAh
        INDEX:	P16W29
      OFFSETS:	143-151
       TOKENS:	P16W33-P16W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotibAh_1]
   UNSPLITVOC:	(AlAinotibAh)
          POS:	DET+NOUN
          VOC:	Al+AinotibAh
        GLOSS:	the+attention/caution/vigilance

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P16W30
      OFFSETS:	152-155
       TOKENS:	P16W34-P16W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	قضايا
     IS_TRANS:	qDAyA
        INDEX:	P16W31
      OFFSETS:	156-161
       TOKENS:	P16W35-P16W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDAyA)
          POS:	NOUN
          VOC:	qaDAyA
        GLOSS:	problems/issues

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P16W32
      OFFSETS:	162-168
       TOKENS:	P16W36-P16W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P16W33
      OFFSETS:	169-176
       TOKENS:	P16W37-P16W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+egyptian+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P16W34
      OFFSETS:	176-177
       TOKENS:	P16W38-P16W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فوجئن
     IS_TRANS:	fwj}n
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAja>_1]
   UNSPLITVOC:	(fuwji}ona)
          POS:	PV_PASS+PVSUFF_SUBJ:3FP
          VOC:	fuwji}+na
        GLOSS:	be surprised+they [fem.pl.] [verb]

 INPUT STRING:	بتنظيم
     IS_TRANS:	btnZym
        INDEX:	P17W2
      OFFSETS:	6-12
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanoZiym_1]
   UNSPLITVOC:	(bitanoZiym)
          POS:	PREP+NOUN.VN
          VOC:	bi+tanoZiym
        GLOSS:	with/by+organization/network

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P17W3
      OFFSETS:	13-16
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some

 INPUT STRING:	الرجال
     IS_TRANS:	AlrjAl
        INDEX:	P17W4
      OFFSETS:	17-23
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(Alr~ijAl)
          POS:	DET+NOUN
          VOC:	Al+rijAl
        GLOSS:	the+men/people

 INPUT STRING:	مظاهرة
     IS_TRANS:	mZAhrp
        INDEX:	P17W5
      OFFSETS:	24-30
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAhorap_1]
   UNSPLITVOC:	(muZAhorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muZAhor+ap
        GLOSS:	manifestation+[fem.sg.]

 INPUT STRING:	مضادة
     IS_TRANS:	mDAdp
        INDEX:	P17W6
      OFFSETS:	31-36
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muDAd~_2]
   UNSPLITVOC:	(muDAd~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muDAd~+ap
        GLOSS:	anti-/counter-/contra-+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P17W7
      OFFSETS:	36-37
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	قالوا
     IS_TRANS:	qAlwA
        INDEX:	P17W8
      OFFSETS:	38-43
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAl+uwA
        GLOSS:	said/say/be said/say/(for example)+they

 INPUT STRING:	لهن
     IS_TRANS:	lhn
        INDEX:	P17W9
      OFFSETS:	44-47
       TOKENS:	P17W10-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahun~a)
          POS:	PREP+PRON_3FP
          VOC:	la+hun~a
        GLOSS:	to/for+them [fem.pl.] (they have)

 INPUT STRING:	خلالها
     IS_TRANS:	xlAlhA
        INDEX:	P17W10
      OFFSETS:	48-54
       TOKENS:	P17W12-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAl_1]
   UNSPLITVOC:	(xilAlihA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	xilAli+hA
        GLOSS:	during/through/(by) means (of)/via/through+its/their/her

 INPUT STRING:	بأن
     IS_TRANS:	b>n
        INDEX:	P17W11
      OFFSETS:	55-58
       TOKENS:	P17W14-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(bi>an~a)
          POS:	PREP+SUB_CONJ
          VOC:	bi+>an~a
        GLOSS:	with+that

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P17W12
      OFFSETS:	59-62
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P17W13
      OFFSETS:	63-68
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P17W14
      OFFSETS:	69-72
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P17W15
      OFFSETS:	73-78
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time

 INPUT STRING:	المناسب
     IS_TRANS:	AlmnAsb
        INDEX:	P17W16
      OFFSETS:	79-86
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munAsib_1]
   UNSPLITVOC:	(AlmunAsib)
          POS:	DET+ADJ
          VOC:	Al+munAsib
        GLOSS:	the+suitable/appropriate

 INPUT STRING:	للحديث
     IS_TRANS:	llHdyv
        INDEX:	P17W17
      OFFSETS:	87-93
       TOKENS:	P17W21-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyv_1]
   UNSPLITVOC:	(lilHadiyv)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Hadiyv
        GLOSS:	for/to+the+discussion/talk/interview/discussions/talks

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P17W18
      OFFSETS:	94-96
       TOKENS:	P17W23-P17W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	حقوق
     IS_TRANS:	Hqwq
        INDEX:	P17W19
      OFFSETS:	97-101
       TOKENS:	P17W24-P17W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Huquwq)
          POS:	NOUN
          VOC:	Huquwq
        GLOSS:	right, prerogative, truth

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P17W20
      OFFSETS:	102-108
       TOKENS:	P17W25-P17W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W21
      OFFSETS:	108-109
       TOKENS:	P17W26-P17W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	اللحظة
     IS_TRANS:	AllHZp
        INDEX:	P18W2
      OFFSETS:	5-11
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHoZap_1]
   UNSPLITVOC:	(All~aHoZap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+laHoZ+ap
        GLOSS:	the+moment/instant+[fem.sg.]

 INPUT STRING:	محبطة
     IS_TRANS:	mHbTp
        INDEX:	P18W3
      OFFSETS:	12-17
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHobiT_1]
   UNSPLITVOC:	(muHobiTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muHobiT+ap
        GLOSS:	fruitless/worthless+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P18W4
      OFFSETS:	17-18
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فاللنساء
     IS_TRANS:	fAllnsA'
        INDEX:	P18W5
      OFFSETS:	19-27
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nisA'_1]
