 INPUT STRING:	قناة
          VOC:	falasoTiyn
        GLOSS:	Palestine

 INPUT STRING:	اثناء
     IS_TRANS:	AvnA'
        INDEX:	P6W13
      OFFSETS:	58-63
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AvonA'_1]
   UNSPLITVOC:	(AvonA')
          POS:	NOUN
          VOC:	AvonA'
        GLOSS:	during

 INPUT STRING:	العدوان
     IS_TRANS:	AlEdwAn
        INDEX:	P6W14
      OFFSETS:	64-71
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EudowAn_1]
   UNSPLITVOC:	(AlEudowAn)
          POS:	DET+NOUN
          VOC:	Al+EudowAn
        GLOSS:	the+aggression

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P6W15
      OFFSETS:	72-75
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	غزه
     IS_TRANS:	gzh
        INDEX:	P6W16
      OFFSETS:	76-79
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	وكان
     IS_TRANS:	wkAn
        INDEX:	P7W1
      OFFSETS:	1-5
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAn)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+kAn+(null)
        GLOSS:	and+be+he/it

 INPUT STRING:	صورت
     IS_TRANS:	Swrt
        INDEX:	P7W2
      OFFSETS:	6-10
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(Saw~arit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Saw~ar+it
        GLOSS:	show+it/they/she [verb]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W3
      OFFSETS:	11-13
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	المدنيين
     IS_TRANS:	Almdnyyn
        INDEX:	P7W4
      OFFSETS:	14-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaniy_1]
   UNSPLITVOC:	(Almadaniy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+madaniy~+iyn
        GLOSS:	the+civilian+[masc.pl.]

 INPUT STRING:	اليهود
     IS_TRANS:	Alyhwd
        INDEX:	P7W5
      OFFSETS:	23-29
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yahuwd_1]
   UNSPLITVOC:	(Alyahuwd)
          POS:	DET+NOUN
          VOC:	Al+yahuwd
        GLOSS:	the+Jews

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P7W6
      OFFSETS:	30-33
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P7W7
      OFFSETS:	34-38
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	بيضربوا
     IS_TRANS:	byDrbwA
        INDEX:	P7W8
      OFFSETS:	39-46
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(biyiDorabuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+Dorab+uwA
        GLOSS:	[present-tense]+they+strike/hit/be struck/be hit+they

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W9
      OFFSETS:	47-49
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	القسام
     IS_TRANS:	AlqsAm
        INDEX:	P7W10
      OFFSETS:	50-56
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qisAm_1]
   UNSPLITVOC:	(AlqisAm)
          POS:	DET+NOUN
          VOC:	Al+qisAm
        GLOSS:	the+division

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P7W11
      OFFSETS:	57-62
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also

 INPUT STRING:	تمويل
     IS_TRANS:	tmwyl
        INDEX:	P7W12
      OFFSETS:	63-68
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(tamowiyl)
          POS:	NOUN
          VOC:	tamowiyl
        GLOSS:	financing/funding/backing

 INPUT STRING:	القناه
     IS_TRANS:	AlqnAh
        INDEX:	P7W13
      OFFSETS:	69-75
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAap_1]
   UNSPLITVOC:	(AlqanAap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qanA+ap
        GLOSS:	the+channel+[fem.sg.]

 INPUT STRING:	غربي
     IS_TRANS:	grby
        INDEX:	P7W14
      OFFSETS:	76-80
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garobiy_1]
   UNSPLITVOC:	(garobiy)
          POS:	ADJ
          VOC:	garobiy
        GLOSS:	western

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P8W1
      OFFSETS:	1-4
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(wa<in)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+<in
        GLOSS:	and+Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P8W2
      OFFSETS:	5-8
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	ليك
     IS_TRANS:	lyk
        INDEX:	P8W3
      OFFSETS:	9-12
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyk)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	to+you

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P8W4
      OFFSETS:	13-17
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs+[fem.sg.]

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P8W5
      OFFSETS:	18-21
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	with / at

 INPUT STRING:	الكلب
     IS_TRANS:	Alklb
        INDEX:	P8W6
      OFFSETS:	22-27
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalob_1]
   UNSPLITVOC:	(Alkalob)
          POS:	DET+NOUN
          VOC:	Al+kalob
        GLOSS:	the+dog/dogs

 INPUT STRING:	قله
     IS_TRANS:	qlh
        INDEX:	P8W7
      OFFSETS:	28-31
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(qlh)
          POS:	NO_FUNC
          VOC:	qlh
        GLOSS:	nogloss

 INPUT STRING:	ياسيدي
     IS_TRANS:	yAsydy
        INDEX:	P8W8
      OFFSETS:	32-38
       TOKENS:	P8W10-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyd_1]
   UNSPLITVOC:	(yAsiydiy)
          POS:	VOC_PART+NOUN+POSS_PRON_1S
          VOC:	yA+siyd+iy
        GLOSS:	oh+lord/master+my

 INPUT STRING:	واعتقد
     IS_TRANS:	wAEtqd
        INDEX:	P9W1
      OFFSETS:	1-7
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(wiAaEotaqid)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+Eotaqid
        GLOSS:	and+I+think

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P9W2
      OFFSETS:	8-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P9W3
      OFFSETS:	11-13
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P9W4
      OFFSETS:	14-16
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	المبدا
     IS_TRANS:	AlmbdA
        INDEX:	P9W5
      OFFSETS:	17-23
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboda>_1]
   UNSPLITVOC:	(Almaboda>)
          POS:	DET+NOUN
          VOC:	Al+maboda>
        GLOSS:	the+principle/basis

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W6
      OFFSETS:	24-28
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	ماشيه
     IS_TRANS:	mA$yh
        INDEX:	P9W7
      OFFSETS:	29-34
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$oyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mA$oy+ap
        GLOSS:	going/walking/on foot+[fem.sg.]

 INPUT STRING:	بيه
     IS_TRANS:	byh
        INDEX:	P9W8
      OFFSETS:	35-38
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with+he/it

 INPUT STRING:	قناه
     IS_TRANS:	qnAh
        INDEX:	P9W9
      OFFSETS:	39-43
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAap_1]
   UNSPLITVOC:	(qanAap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qanA+ap
        GLOSS:	channel+[fem.sg.]

 INPUT STRING:	العبريه
     IS_TRANS:	AlEbryh
        INDEX:	P9W10
      OFFSETS:	45-52
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiboriy~ap_1]
   UNSPLITVOC:	(AlEiboriy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Eiboriy~+ap
        GLOSS:	the+Jewish+[fem.sg.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P9W11
      OFFSETS:	54-57
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	راي
     IS_TRANS:	rAy
        INDEX:	P9W12
      OFFSETS:	58-61
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	د
     IS_TRANS:	d
        INDEX:	P9W13
      OFFSETS:	62-63
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[d_1]
   UNSPLITVOC:	(d)
          POS:	ABBREV
          VOC:	d
        GLOSS:	doctor

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W14
      OFFSETS:	63-64
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	حمود
     IS_TRANS:	Hmwd
        INDEX:	P9W15
      OFFSETS:	64-68
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ham~uwd_1]
   UNSPLITVOC:	(Ham~uwd)
          POS:	NOUN_PROP
          VOC:	Ham~uwd
        GLOSS:	Hamoud

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P10W1
      OFFSETS:	1-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action+[acc.indef.]

 INPUT STRING:	القناة
     IS_TRANS:	AlqnAp
        INDEX:	P10W2
      OFFSETS:	6-12
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAap_1]
   UNSPLITVOC:	(AlqanAap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qanA+ap
        GLOSS:	the+channel+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P10W3
      OFFSETS:	13-15
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	تجاوزت
     IS_TRANS:	tjAwzt
        INDEX:	P10W4
      OFFSETS:	16-22
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tjAwz_1]
   UNSPLITVOC:	(tjAwzit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	tjAwzi+t
        GLOSS:	go beyond+it/they/she [verb]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P10W5
      OFFSETS:	23-25
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P10W6
      OFFSETS:	26-30
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	ياراجل
     IS_TRANS:	yArAjl
        INDEX:	P11W1
      OFFSETS:	1-7
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(yArAjil)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rAjil
        GLOSS:	oh+man

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P11W2
      OFFSETS:	8-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Aiy~Am)
          POS:	NOUN
          VOC:	Aiy~Am
        GLOSS:	period

 INPUT STRING:	الاحداث
     IS_TRANS:	AlAHdAv
        INDEX:	P11W3
      OFFSETS:	13-20
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Al>aHodAv)
          POS:	DET+NOUN
          VOC:	Al+>aHodAv
        GLOSS:	the+happenings

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P11W4
      OFFSETS:	21-25
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P11W5
      OFFSETS:	26-29
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P11W6
      OFFSETS:	30-32
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P11W7
      OFFSETS:	33-35
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	كانش
     IS_TRANS:	kAn$
        INDEX:	P11W8
      OFFSETS:	36-40
       TOKENS:	P11W9-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	kAn+(null)+$
        GLOSS:	be+he/it+not

 INPUT STRING:	يقولك
     IS_TRANS:	yqwlk
        INDEX:	P11W9
      OFFSETS:	41-46
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yqwlk)
          POS:	NO_FUNC
          VOC:	yqwlk
        GLOSS:	nogloss

 INPUT STRING:	استشهد
     IS_TRANS:	Ast$hd
        INDEX:	P11W10
      OFFSETS:	47-53
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotu$ohid_1]
   UNSPLITVOC:	(Aisotu$ohid)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	Aisotu$ohid+(null)
        GLOSS:	be killed+he/it [verb]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P11W11
      OFFSETS:	54-57
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	قتل
     IS_TRANS:	qtl
        INDEX:	P11W12
      OFFSETS:	58-61
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qutil_1]
   UNSPLITVOC:	(qutil)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	qutil+(null)
        GLOSS:	be killed+he/it [verb]

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P12W1
      OFFSETS:	1-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	ومين
     IS_TRANS:	wmyn
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimiyn)
          POS:	CONJ+REL_PRON
          VOC:	wi+miyn
        GLOSS:	and+who

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P12W3
      OFFSETS:	9-12
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(biqiy)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	biqiy+(null)
        GLOSS:	stay+he/it

 INPUT STRING:	وسلامي
     IS_TRANS:	wslAmy
        INDEX:	P13W1
      OFFSETS:	1-7
       TOKENS:	P13W1-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(wisalAmiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+salAm+iy
        GLOSS:	and+greeting/salute/salutation+my

 INPUT STRING:	لانكل
     IS_TRANS:	lAnkl
        INDEX:	P13W2
      OFFSETS:	8-13
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uwnkil_1]
   UNSPLITVOC:	(liAunokil)
          POS:	PREP+NOUN
          VOC:	li+Aunokil
        GLOSS:	for/to+uncle

 INPUT STRING:	ساوريس
     IS_TRANS:	sAwrys
        INDEX:	P13W3
      OFFSETS:	14-20
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAwrys_1]
   UNSPLITVOC:	(sAwrys)
          POS:	NOUN_PROP
          VOC:	sAwrys
