 INPUT STRING:	هنتخب
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	واعياد
     IS_TRANS:	wAEyAd
        INDEX:	P12W12
      OFFSETS:	72-78
       TOKENS:	P12W17-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyd_1]
   UNSPLITVOC:	(wiAEoyAd)
          POS:	CONJ+NOUN
          VOC:	wi+AEoyAd
        GLOSS:	and+feast/holiday/festival/holidays/feasts

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P12W13
      OFFSETS:	79-85
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وشباب
     IS_TRANS:	w$bAb
        INDEX:	P12W14
      OFFSETS:	86-91
       TOKENS:	P12W20-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(wi$abAb)
          POS:	CONJ+NOUN
          VOC:	wi+$abAb
        GLOSS:	and+young man/young men

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P12W15
      OFFSETS:	92-98
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	ايوة
     IS_TRANS:	Aywp
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	اتحملنا
     IS_TRANS:	AtHmlnA
        INDEX:	P13W2
      OFFSETS:	5-12
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHam~il_1]
   UNSPLITVOC:	(AitoHam~ilnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	AitoHam~il+nA
        GLOSS:	bear/stand+we

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P13W3
      OFFSETS:	13-17
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	a lot

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P13W4
      OFFSETS:	18-23
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	التغيير
     IS_TRANS:	Altgyyr
        INDEX:	P13W5
      OFFSETS:	24-31
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(Alt~agoyiyr)
          POS:	DET+NOUN
          VOC:	Al+tagoyiyr
        GLOSS:	the+change/modification/replacement

 INPUT STRING:	والتحرير
     IS_TRANS:	wAltHryr
        INDEX:	P13W6
      OFFSETS:	32-40
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(wiAltaHoriyr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+taHoriyr
        GLOSS:	and+the+liberation/liberating/editorship/editing

 INPUT STRING:	ومعاهم
     IS_TRANS:	wmEAhm
        INDEX:	P13W7
      OFFSETS:	41-47
       TOKENS:	P13W9-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(wimaEAhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+maEa+hum
        GLOSS:	and+with+their

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W8
      OFFSETS:	48-50
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هنشوفه
     IS_TRANS:	hn$wfh
        INDEX:	P13W9
      OFFSETS:	51-57
       TOKENS:	P13W13-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Hani$uwfuh)
          POS:	FUT_PART+IV1P+IV+IVSUFF_DO:3MS
          VOC:	Ha+ni+$uwf+uh
        GLOSS:	will+we+look+them

 INPUT STRING:	ابدا
     IS_TRANS:	AbdA
        INDEX:	P13W10
      OFFSETS:	58-62
       TOKENS:	P13W16-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aabad_1]
   UNSPLITVOC:	(AbadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Abad+AF
        GLOSS:	never/definitely/not at all+[acc.indef.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P14W2
      OFFSETS:	3-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yimokin)
          POS:	IV3MS+IV
          VOC:	yi+mokin
        GLOSS:	he/it+be possible/make possible for

 INPUT STRING:	يفهموا
     IS_TRANS:	yfhmwA
        INDEX:	P14W3
      OFFSETS:	8-14
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(yifohamuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+foham+uwA
        GLOSS:	they+understand+we

 INPUT STRING:	المرة
     IS_TRANS:	Almrp
        INDEX:	P14W4
      OFFSETS:	15-20
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(Almar~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mar~+ap
        GLOSS:	the+occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P14W5
      OFFSETS:	21-23
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ويعملوا
     IS_TRANS:	wyEmlwA
        INDEX:	P14W6
      OFFSETS:	24-31
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(wiyiEomiluwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+Eomil+uwA
        GLOSS:	and+they+do/make/act+we

 INPUT STRING:	تغيير
     IS_TRANS:	tgyyr
        INDEX:	P14W7
      OFFSETS:	32-37
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(tagoyiyr)
          POS:	NOUN
          VOC:	tagoyiyr
        GLOSS:	change/modification/replacement

 INPUT STRING:	اوعوا
     IS_TRANS:	AwEwA
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEaY_1]
   UNSPLITVOC:	(>uwEuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	>uwE+uwA
        GLOSS:	beware+they

 INPUT STRING:	تنسوا
     IS_TRANS:	tnswA
        INDEX:	P15W2
      OFFSETS:	6-11
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(tinosuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+nos+uwA
        GLOSS:	you+forget+we

 INPUT STRING:	انجازاتهم
     IS_TRANS:	AnjAzAthm
        INDEX:	P15W3
      OFFSETS:	12-21
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inojAz_2]
   UNSPLITVOC:	(<inojAzAthum)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3P
          VOC:	<inojAz+At+hum
        GLOSS:	accomplishments/achievements/successes+[fem.pl.]+their

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P15W4
      OFFSETS:	22-25
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	السنين
     IS_TRANS:	Alsnyn
        INDEX:	P15W5
      OFFSETS:	26-32
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Als~iniyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+sin+iyn
        GLOSS:	the+year/years+two

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P15W6
      OFFSETS:	33-37
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	what/that

 INPUT STRING:	فاتت
     IS_TRANS:	fAtt
        INDEX:	P15W7
      OFFSETS:	38-42
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAt_1]
   UNSPLITVOC:	(fAtit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	fAt+it
        GLOSS:	expire/go by+it/they/she

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W8
      OFFSETS:	42-43
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W9
      OFFSETS:	43-44
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W10
      OFFSETS:	44-45
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W11
      OFFSETS:	45-46
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اوعوا
     IS_TRANS:	AwEwA
        INDEX:	P15W12
      OFFSETS:	46-51
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEaY_1]
   UNSPLITVOC:	(>uwEuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	>uwE+uwA
        GLOSS:	beware+they

 INPUT STRING:	تنكروا
     IS_TRANS:	tnkrwA
        INDEX:	P15W13
      OFFSETS:	52-58
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anokar_1]
   UNSPLITVOC:	(tinokiruwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+nokir+uwA
        GLOSS:	you+deny+we

 INPUT STRING:	الجميل
     IS_TRANS:	Aljmyl
        INDEX:	P15W14
      OFFSETS:	59-65
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jimiyl_1]
   UNSPLITVOC:	(Aljimiyl)
          POS:	DET+NOUN
          VOC:	Al+jimiyl
        GLOSS:	the+good deeds

 INPUT STRING:	اوعوا
     IS_TRANS:	AwEwA
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEaY_1]
   UNSPLITVOC:	(>uwEuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	>uwE+uwA
        GLOSS:	beware+they

 INPUT STRING:	تنسوا
     IS_TRANS:	tnswA
        INDEX:	P16W2
      OFFSETS:	6-11
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(tinosuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+nos+uwA
        GLOSS:	you+forget+we

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P16W3
      OFFSETS:	12-14
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P16W4
      OFFSETS:	15-19
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P16W5
      OFFSETS:	20-26
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AamoriykA_1]
   UNSPLITVOC:	(AmoriykA)
          POS:	NOUN_PROP
          VOC:	AmoriykA
        GLOSS:	America

 INPUT STRING:	واسرائيل
     IS_TRANS:	wAsrA}yl
        INDEX:	P16W6
      OFFSETS:	27-35
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(wi<isorA}iyl)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+<isorA}iyl
        GLOSS:	and+Israel

 INPUT STRING:	هتكون
     IS_TRANS:	htkwn
        INDEX:	P16W7
      OFFSETS:	36-41
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hatikuwn)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+kuwn
        GLOSS:	will+it/they/she+be

 INPUT STRING:	مرتاح
     IS_TRANS:	mrtAH
        INDEX:	P16W8
      OFFSETS:	42-47
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mirotAH_1]
   UNSPLITVOC:	(mirotAH)
          POS:	ADJ
          VOC:	mirotAH
        GLOSS:	relaxed/resting/satisfied

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P16W9
      OFFSETS:	48-51
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	لأي
     IS_TRANS:	l>y
        INDEX:	P16W10
      OFFSETS:	52-55
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(li>ay~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+>ay~
        GLOSS:	for/to+any

 INPUT STRING:	فل
     IS_TRANS:	fl
        INDEX:	P16W11
      OFFSETS:	56-58
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fil~ap_1]
   UNSPLITVOC:	(fil~)
          POS:	NOUN
          VOC:	fil~
        GLOSS:	dent/notch/nick

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W12
      OFFSETS:	59-61
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الفلول
     IS_TRANS:	Alflwl
        INDEX:	P16W13
      OFFSETS:	62-68
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fal~_1]
   UNSPLITVOC:	(Alfuluwl)
          POS:	DET+NOUN
          VOC:	Al+fuluwl
        GLOSS:	the+dents/notches/nicks

 INPUT STRING:	وهنرجع
     IS_TRANS:	whnrjE
        INDEX:	P17W1
      OFFSETS:	0-6
       TOKENS:	P17W1-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(wiHanirojaE)
          POS:	CONJ+FUT_PART+IV1P+IV
          VOC:	wi+Ha+ni+rojaE
        GLOSS:	and+will+we+return/go back

 INPUT STRING:	لعهد
     IS_TRANS:	lEhd
        INDEX:	P17W2
      OFFSETS:	7-11
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eahod_1]
   UNSPLITVOC:	(liEahod)
          POS:	PREP+NOUN
          VOC:	li+Eahod
        GLOSS:	for/to+age/period/ages/periods

 INPUT STRING:	الاستقرار
     IS_TRANS:	AlAstqrAr
        INDEX:	P17W3
      OFFSETS:	12-21
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqorAr_1]
   UNSPLITVOC:	(AlAisotiqorAr)
          POS:	DET+NOUN
          VOC:	Al+AisotiqorAr
        GLOSS:	the+stability

 INPUT STRING:	ونرتاح
     IS_TRANS:	wnrtAH
        INDEX:	P17W4
      OFFSETS:	22-28
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AirotAH_1]
   UNSPLITVOC:	(winirotAH)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+rotAH
        GLOSS:	and+we+be at rest/relax/be satisfied

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P17W5
      OFFSETS:	29-32
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W6
      OFFSETS:	33-35
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	التهديد
     IS_TRANS:	Althdyd
        INDEX:	P17W7
      OFFSETS:	36-43
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahodiyd_1]
   UNSPLITVOC:	(Alt~ahodiyd)
          POS:	DET+NOUN
          VOC:	Al+tahodiyd
        GLOSS:	the+threat/menace/danger

 INPUT STRING:	بأنها
     IS_TRANS:	b>nhA
        INDEX:	P17W8
      OFFSETS:	44-49
       TOKENS:	P17W12-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(bi>in~hA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	bi+>in~+hA
        GLOSS:	with+that+it/they/she

 INPUT STRING:	هتقطع
     IS_TRANS:	htqTE
        INDEX:	P17W9
      OFFSETS:	50-55
       TOKENS:	P17W15-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTaE_1]
   UNSPLITVOC:	(HatiqoTaE)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+qoTaE
        GLOSS:	will+it/they/she+cut apart

 INPUT STRING:	المعونة
     IS_TRANS:	AlmEwnp
        INDEX:	P17W10
      OFFSETS:	56-63
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(AlmaEuwnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEuwn+ap
        GLOSS:	the+aid/assistance/support+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P17W11
      OFFSETS:	64-66
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	هتبعت
     IS_TRANS:	htbEt
        INDEX:	P17W12
      OFFSETS:	67-72
       TOKENS:	P17W19-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(HatiboEat)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+boEat
        GLOSS:	will+it/they/she+send

 INPUT STRING:	الاسطول
     IS_TRANS:	AlAsTwl
        INDEX:	P17W13
      OFFSETS:	73-80
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AusoTuwl_1]
   UNSPLITVOC:	(AlAusoTuwl)
          POS:	DET+NOUN
          VOC:	Al+AusoTuwl
        GLOSS:	the+fleet/squadron

 INPUT STRING:	واسرائيل
     IS_TRANS:	wAsrA}yl
        INDEX:	P18W1
      OFFSETS:	0-8
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(wi<isorA}iyl)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+<isorA}iyl
        GLOSS:	and+Israel

 INPUT STRING:	هتعيش
     IS_TRANS:	htEy$
        INDEX:	P18W2
      OFFSETS:	9-14
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
