 INPUT STRING:	الأستاذ
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(AlHuduwd)
          POS:	DET+NOUN
          VOC:	Al+Huduwd
        GLOSS:	the+extent/limit/level/border/frontier/limits

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P4W14
      OFFSETS:	73-77
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	for+because

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P4W15
      OFFSETS:	78-82
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P4W16
      OFFSETS:	83-90
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	جاد
     IS_TRANS:	jAd
        INDEX:	P4W17
      OFFSETS:	91-94
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAd~_1]
   UNSPLITVOC:	(jAd~)
          POS:	ADJ
          VOC:	jAd~
        GLOSS:	earnest/serious

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P4W18
      OFFSETS:	95-98
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<im~A_1]
   UNSPLITVOC:	(<im~A)
          POS:	CONJ
          VOC:	<im~A
        GLOSS:	either

 INPUT STRING:	توافق
     IS_TRANS:	twAfq
        INDEX:	P4W19
      OFFSETS:	99-104
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAfiq_1]
   UNSPLITVOC:	(tiwAfiq)
          POS:	IV2MS+IV
          VOC:	ti+wAfiq
        GLOSS:	you+accept

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P4W20
      OFFSETS:	105-107
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	تتحمل
     IS_TRANS:	ttHml
        INDEX:	P4W21
      OFFSETS:	108-113
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHam~al]
   UNSPLITVOC:	(titHamil)
          POS:	IV2MS+IV
          VOC:	ti+tHamil
        GLOSS:	you+bear

 INPUT STRING:	نتيجة
     IS_TRANS:	ntyjp
        INDEX:	P4W22
      OFFSETS:	114-119
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(natiyjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	natiyj+ap
        GLOSS:	result/consequence+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P4W23
      OFFSETS:	120-124
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	what

 INPUT STRING:	انتا
     IS_TRANS:	AntA
        INDEX:	P4W24
      OFFSETS:	125-129
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	بتعمله
     IS_TRANS:	btEmlh
        INDEX:	P4W25
      OFFSETS:	130-136
       TOKENS:	P4W28-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eamall_1]
   UNSPLITVOC:	(bitiEomiluh)
          POS:	PROG_PART+IV2MS+IV+IVSUFF_DO:3MS
          VOC:	bi+ti+Eomil+uh
        GLOSS:	[present-tense]+you+do+him/it

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P5W2
      OFFSETS:	4-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نحطهم
     IS_TRANS:	nHThm
        INDEX:	P5W3
      OFFSETS:	9-14
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(nuHuT~uhum)
          POS:	IV1P+IV+IVSUFF_DO:3P
          VOC:	nu+HuT~+hum
        GLOSS:	we+put+them

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P5W4
      OFFSETS:	15-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	ضغط
     IS_TRANS:	DgT
        INDEX:	P5W5
      OFFSETS:	19-22
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DagoT_1]
   UNSPLITVOC:	(DagoT)
          POS:	NOUN
          VOC:	DagoT
        GLOSS:	pressure/stress/voltage/pressures/stresses

 INPUT STRING:	اهل
     IS_TRANS:	Ahl
        INDEX:	P5W6
      OFFSETS:	23-26
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people/people/families/folk/families/indigenous people

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P5W7
      OFFSETS:	27-30
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	gaza+[fem.sg.]

 INPUT STRING:	وعشان
     IS_TRANS:	wE$An
        INDEX:	P5W8
      OFFSETS:	31-36
       TOKENS:	P5W9-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(wiEa$a>on)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+Ea+$a>on
        GLOSS:	and+on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W9
      OFFSETS:	37-39
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	تيجي
     IS_TRANS:	tyjy
        INDEX:	P5W10
      OFFSETS:	40-44
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jah_1]
   UNSPLITVOC:	(tiyjiy)
          POS:	IV3FS+IV
          VOC:	tiy+jiy
        GLOSS:	it/they/she+come

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P5W11
      OFFSETS:	45-52
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W12
      OFFSETS:	53-55
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P5W13
      OFFSETS:	56-59
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	تضرب
     IS_TRANS:	tDrb
        INDEX:	P5W14
      OFFSETS:	60-64
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(tiDorab)
          POS:	IV3FS+IV
          VOC:	ti+Dorab
        GLOSS:	it/they/she+strike/hit/be struck/be hit

 INPUT STRING:	الحدود
     IS_TRANS:	AlHdwd
        INDEX:	P5W15
      OFFSETS:	65-71
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(AlHiduwd)
          POS:	DET+NOUN
          VOC:	Al+Hiduwd
        GLOSS:	the+extent/limit/level/border/frontier/limits

 INPUT STRING:	بالطيران
     IS_TRANS:	bAlTyrAn
        INDEX:	P5W16
      OFFSETS:	72-80
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TayarAn_1]
   UNSPLITVOC:	(biAlT~ayarAn)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+TayarAn
        GLOSS:	with/by+the+airline/aviation

 INPUT STRING:	بدافع
     IS_TRANS:	bdAfE
        INDEX:	P5W17
      OFFSETS:	81-86
       TOKENS:	P5W21-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(bidAfiE)
          POS:	PREP+NOUN
          VOC:	bi+dAfiE
        GLOSS:	with/by+motive

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P5W18
      OFFSETS:	87-91
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	انفاق
     IS_TRANS:	AnfAq
        INDEX:	P5W19
      OFFSETS:	92-97
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaq_1]
   UNSPLITVOC:	(>anofAq)
          POS:	NOUN
          VOC:	>anofAq
        GLOSS:	subway

 INPUT STRING:	حركة
     IS_TRANS:	Hrkp
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Harak+ap
        GLOSS:	movement/activity/organization+[fem.sg.]

 INPUT STRING:	حماس
     IS_TRANS:	HmAs
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamAs_1]
   UNSPLITVOC:	(HamAs)
          POS:	NOUN_PROP
          VOC:	HamAs
        GLOSS:	Hamas

 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P6W3
      OFFSETS:	10-15
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	تبني
     IS_TRANS:	tbny
        INDEX:	P6W4
      OFFSETS:	16-20
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banaY_1]
   UNSPLITVOC:	(tiboniy)
          POS:	IV3FS+IV
          VOC:	ti+boniy
        GLOSS:	it/they/she+build/erect/be built/be erected

 INPUT STRING:	مجد
     IS_TRANS:	mjd
        INDEX:	P6W5
      OFFSETS:	21-24
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majod_1]
   UNSPLITVOC:	(majod)
          POS:	NOUN
          VOC:	majod
        GLOSS:	glory/grandeur/glories/grandeur

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W6
      OFFSETS:	25-28
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	جثث
     IS_TRANS:	jvv
        INDEX:	P6W7
      OFFSETS:	29-32
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juv~ap_1]
   UNSPLITVOC:	(juvav)
          POS:	NOUN
          VOC:	juvav
        GLOSS:	corpses

 INPUT STRING:	اهل
     IS_TRANS:	Ahl
        INDEX:	P6W8
      OFFSETS:	33-36
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people/people/families/folk/families/indigenous people

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P6W9
      OFFSETS:	37-40
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P6W10
      OFFSETS:	41-46
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHonA_1]
   UNSPLITVOC:	(wa<iHonA)
          POS:	CONJ+PRON_1P
          VOC:	wa+<iHonA
        GLOSS:	and+we

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P6W11
      OFFSETS:	47-50
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P6W12
      OFFSETS:	51-55
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نبني
     IS_TRANS:	nbny
        INDEX:	P6W13
      OFFSETS:	56-60
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banaY_1]
   UNSPLITVOC:	(niboniy)
          POS:	IV1P+IV
          VOC:	ni+boniy
        GLOSS:	we+build/erect/be built/be erected

 INPUT STRING:	جدار
     IS_TRANS:	jdAr
        INDEX:	P6W14
      OFFSETS:	61-65
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidAr_1]
   UNSPLITVOC:	(jidAr)
          POS:	NOUN
          VOC:	jidAr
        GLOSS:	wall/walls

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P6W15
      OFFSETS:	66-70
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	for+because

 INPUT STRING:	يقفوا
     IS_TRANS:	yqfwA
        INDEX:	P6W16
      OFFSETS:	71-76
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waqaf_1]
   UNSPLITVOC:	(yuqafuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+qaf+uwA
        GLOSS:	they+stand+they

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P6W17
      OFFSETS:	77-80
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanod)
          POS:	NOUN
          VOC:	Eanod
        GLOSS:	with/at

 INPUT STRING:	حدهم
     IS_TRANS:	Hdhm
        INDEX:	P6W18
      OFFSETS:	81-85
       TOKENS:	P6W20-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~hum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Had~+hum
        GLOSS:	limit/extent+their

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	سلام
     IS_TRANS:	slAm
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(salAm)
          POS:	NOUN
          VOC:	salAm
        GLOSS:	peace

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P7W3
      OFFSETS:	7-8
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P7W4
      OFFSETS:	9-13
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+afflict/be afflicted

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P7W5
      OFFSETS:	14-19
       TOKENS:	P7W5-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+because

 INPUT STRING:	نفك
     IS_TRANS:	nfk
        INDEX:	P7W6
      OFFSETS:	20-23
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~_1]
   UNSPLITVOC:	(nifuk~)
          POS:	IV1P+IV
          VOC:	ni+fuk~
        GLOSS:	we+dismantle/detach/disengage

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W7
      OFFSETS:	24-27
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أهل
     IS_TRANS:	>hl
        INDEX:	P7W8
      OFFSETS:	28-31
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people/people/families/folk/families/indigenous people

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P7W9
      OFFSETS:	32-35
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	نقوم
     IS_TRANS:	nqwm
        INDEX:	P7W10
      OFFSETS:	36-40
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(niquwm)
          POS:	IV1P+IV
          VOC:	ni+quwm
        GLOSS:	we+be based (on)

 INPUT STRING:	نحاصرهم
     IS_TRANS:	nHASrhm
        INDEX:	P7W11
      OFFSETS:	41-48
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HASir_1]
   UNSPLITVOC:	(niHASirhum)
          POS:	IV1P+IV+IVSUFF_DO:3P
          VOC:	ni+HASir+hum
        GLOSS:	we+besiege/encircle/blockade/surround+them

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W12
      OFFSETS:	48-49
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W13
      OFFSETS:	49-50
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W14
      OFFSETS:	50-51
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	كأنك
     IS_TRANS:	k>nk
        INDEX:	P7W15
      OFFSETS:	52-56
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ka<in~_1]
   UNSPLITVOC:	(Ka<in~ak)
          POS:	PSEUDO_VERB+PRON_2MS
          VOC:	Ka<in~+ak
        GLOSS:	as if+you

 INPUT STRING:	بنقول
     IS_TRANS:	bnqwl
        INDEX:	P7W16
      OFFSETS:	57-62
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(binuquwl)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+nu+quwl
