 INPUT STRING:	ورحـمه
     IS_TRANS:	ywjd
        INDEX:	P13W3
      OFFSETS:	7-11
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(yuwjad)
          POS:	IV3MS+IV
          VOC:	yu+wjad
        GLOSS:	he/it+find/obtain

 INPUT STRING:	أشخاص
     IS_TRANS:	>$xAS
        INDEX:	P13W4
      OFFSETS:	12-17
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	(>a$oxAS)
          POS:	NOUN
          VOC:	>a$oxAS
        GLOSS:	individuals/persons

 INPUT STRING:	اخرين
     IS_TRANS:	Axryn
        INDEX:	P13W5
      OFFSETS:	18-23
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Axryn)
          POS:	NO_FUNC
          VOC:	Axryn
        GLOSS:	nogloss

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yimokin)
          POS:	IV3MS+IV
          VOC:	yi+mokin
        GLOSS:	he/it+be possible/make possible for

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P14W2
      OFFSETS:	5-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	يكونوا
     IS_TRANS:	ykwnwA
        INDEX:	P14W3
      OFFSETS:	8-14
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwnuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+kuwn+uwA
        GLOSS:	they+be+we

 INPUT STRING:	نجوم
     IS_TRANS:	njwm
        INDEX:	P14W4
      OFFSETS:	15-19
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[najom_1]
   UNSPLITVOC:	(nujuwm)
          POS:	NOUN
          VOC:	nujuwm
        GLOSS:	stars/constellations

 INPUT STRING:	الجيل
     IS_TRANS:	Aljyl
        INDEX:	P14W5
      OFFSETS:	20-25
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(Aljiyl)
          POS:	DET+NOUN
          VOC:	Al+jiyl
        GLOSS:	the+generation/epoch/generations/epochs

 INPUT STRING:	بحق
     IS_TRANS:	bHq
        INDEX:	P14W6
      OFFSETS:	26-29
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(biHaq~)
          POS:	PREP+NOUN
          VOC:	bi+Haq~
        GLOSS:	with/by+truth/right/against/towards/rights/law

 INPUT STRING:	عار
     IS_TRANS:	EAr
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAr_1]
   UNSPLITVOC:	(EAr)
          POS:	NOUN
          VOC:	EAr
        GLOSS:	shame/disgrace/infamy

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P15W2
      OFFSETS:	4-5
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(E)
          POS:	TYPO
          VOC:	E
        GLOSS:	nogloss

 INPUT STRING:	جيل
     IS_TRANS:	jyl
        INDEX:	P15W3
      OFFSETS:	6-9
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(jiyl)
          POS:	NOUN
          VOC:	jiyl
        GLOSS:	generation/epoch/generations/epochs

 INPUT STRING:	نجمه
     IS_TRANS:	njmh
        INDEX:	P15W4
      OFFSETS:	10-14
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nijom_1]
   UNSPLITVOC:	(nijomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nijom+uh
        GLOSS:	star+his/its

 INPUT STRING:	مغنى
     IS_TRANS:	mgnY
        INDEX:	P15W5
      OFFSETS:	17-21
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mugan~iy_1]
   UNSPLITVOC:	(mugan~iy)
          POS:	NOUN
          VOC:	mugan~iy
        GLOSS:	singer/vocalist

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	EXCLAM_PRON
          VOC:	mA
        GLOSS:	what/how

 INPUT STRING:	أبشع
     IS_TRANS:	>b$E
        INDEX:	P16W2
      OFFSETS:	3-7
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abo$aE_1]
   UNSPLITVOC:	(>abo$aE)
          POS:	ADJ_COMP
          VOC:	>abo$aE
        GLOSS:	uglier/ugliest

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P16W3
      OFFSETS:	8-11
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الجيل
     IS_TRANS:	Aljyl
        INDEX:	P16W4
      OFFSETS:	12-17
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(Aljiyl)
          POS:	DET+NOUN
          VOC:	Al+jiyl
        GLOSS:	the+generation/epoch/generations/epochs

 INPUT STRING:	وقتها
     IS_TRANS:	wqthA
        INDEX:	P16W5
      OFFSETS:	18-23
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqotahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	waqot+hA
        GLOSS:	moments/times+its/their/her

 INPUT STRING:	مشرف
     IS_TRANS:	m$rf
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$orif_1]
   UNSPLITVOC:	(mu$orif)
          POS:	NOUN
          VOC:	mu$orif
        GLOSS:	supervisor/director

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P17W2
      OFFSETS:	5-6
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	منتدى
     IS_TRANS:	mntdY
        INDEX:	P17W3
      OFFSETS:	7-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munotaday_1]
   UNSPLITVOC:	(munotadaY)
          POS:	NOUN
          VOC:	munotadaY
        GLOSS:	fourm

 INPUT STRING:	حائز
     IS_TRANS:	HA}z
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HA}iz_1]
   UNSPLITVOC:	(HA}iz)
          POS:	ADJ.VN
          VOC:	HA}iz
        GLOSS:	holder/possessor

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P18W2
      OFFSETS:	5-6
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(E)
          POS:	TYPO
          VOC:	E
        GLOSS:	nogloss

 INPUT STRING:	القاب
     IS_TRANS:	AlqAb
        INDEX:	P18W3
      OFFSETS:	7-12
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laqab_1]
   UNSPLITVOC:	(>aloqAb)
          POS:	NOUN
          VOC:	>aloqAb
        GLOSS:	titles/nicknames

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P18W4
      OFFSETS:	13-14
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	أوسمه
     IS_TRANS:	>wsmh
        INDEX:	P18W5
      OFFSETS:	15-20
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wisAm_1]
   UNSPLITVOC:	(>awosimap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>awosim+ap
        GLOSS:	badges/decorations+[fem.sg.]

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+he

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P19W2
      OFFSETS:	4-7
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	apart from/without/other/execpt/except/not

 INPUT STRING:	متواجد
     IS_TRANS:	mtwAjd
        INDEX:	P19W3
      OFFSETS:	8-14
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawAjid_1]
   UNSPLITVOC:	(mutawAjid)
          POS:	ADJ
          VOC:	mutawAjid
        GLOSS:	present/available

 INPUT STRING:	بالمره
     IS_TRANS:	bAlmrh
        INDEX:	P19W4
      OFFSETS:	15-21
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(biAlmar~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+mar~+ap
        GLOSS:	with/by+the+occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	يستحق
     IS_TRANS:	ystHq
        INDEX:	P20W2
      OFFSETS:	4-9
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotaHaq~_1]
   UNSPLITVOC:	(yisotaHaq)
          POS:	IV3MS+IV
          VOC:	yi+sotaHaq
        GLOSS:	he/it+deserve

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P20W3
      OFFSETS:	10-12
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	شيئ
     IS_TRANS:	$y}
        INDEX:	P20W4
      OFFSETS:	13-16
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ayo'_1]
   UNSPLITVOC:	($ayo})
          POS:	NOUN
          VOC:	$ayo}
        GLOSS:	something/thing

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W5
      OFFSETS:	17-19
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P20W6
      OFFSETS:	20-23
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	إطلاقا
     IS_TRANS:	<TlAqA
        INDEX:	P20W7
      OFFSETS:	24-30
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<iTolAq_1]
   UNSPLITVOC:	(AiTolAqAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	AiTolAq+AF
        GLOSS:	releasing/launching/firing/absolutely/(not) at all+[acc.indef.]

 INPUT STRING:	ويوجد
     IS_TRANS:	wywjd
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Awojad_1]
   UNSPLITVOC:	(wiyuwjad)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yu+wjad
        GLOSS:	and+he/it+exist

 INPUT STRING:	مشرف
     IS_TRANS:	m$rf
        INDEX:	P21W2
      OFFSETS:	6-10
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$orif_1]
   UNSPLITVOC:	(mu$orif)
          POS:	NOUN
          VOC:	mu$orif
        GLOSS:	supervisor/director

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P21W3
      OFFSETS:	11-14
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|axar_1]
   UNSPLITVOC:	(|axar)
          POS:	ADJ_COMP
          VOC:	|axar
        GLOSS:	other/another

 INPUT STRING:	زميله
     IS_TRANS:	zmylh
        INDEX:	P21W4
      OFFSETS:	15-20
       TOKENS:	P21W5-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zimiyl_1]
   UNSPLITVOC:	(zimiyluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	zimiyl+uh
        GLOSS:	colleague/associate/companion+his

 INPUT STRING:	متواجد
     IS_TRANS:	mtwAjd
        INDEX:	P21W5
      OFFSETS:	21-27
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawAjid_1]
   UNSPLITVOC:	(mutawAjid)
          POS:	ADJ
          VOC:	mutawAjid
        GLOSS:	present/avialable

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P21W6
      OFFSETS:	28-29
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	نشاطه
     IS_TRANS:	n$ATh
        INDEX:	P21W7
      OFFSETS:	30-35
       TOKENS:	P21W9-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[na$AT_1]
   UNSPLITVOC:	(na$ATuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	na$AT+uh
        GLOSS:	activity+its/his

 INPUT STRING:	ملحوظ
     IS_TRANS:	mlHwZ
        INDEX:	P21W8
      OFFSETS:	36-41
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maloHuwZ_1]
   UNSPLITVOC:	(maloHuwZ)
          POS:	ADJ
          VOC:	maloHuwZ
        GLOSS:	noticeable/observable/remarkable

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P21W9
      OFFSETS:	42-43
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	مذهل
     IS_TRANS:	m*hl
        INDEX:	P21W10
      OFFSETS:	44-48
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu*ohil_1]
   UNSPLITVOC:	(mu*ohil)
          POS:	ADJ
          VOC:	mu*ohil
        GLOSS:	amazing/startling

 INPUT STRING:	ومحروم
     IS_TRANS:	wmHrwm
        INDEX:	P22W1
      OFFSETS:	0-6
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHoruwm_1]
   UNSPLITVOC:	(wimaHoruwm)
          POS:	CONJ+ADJ.VN
          VOC:	wi+maHoruwm
        GLOSS:	and+deprived

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P22W2
      OFFSETS:	7-9
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الالقاب
     IS_TRANS:	AlAlqAb
        INDEX:	P22W3
      OFFSETS:	10-17
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqab_1]
   UNSPLITVOC:	(Al>aloqAb)
          POS:	DET+NOUN
          VOC:	Al+>aloqAb
        GLOSS:	the+titles/nicknames

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P22W4
      OFFSETS:	18-19
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الاوسمه
     IS_TRANS:	AlAwsmh
        INDEX:	P22W5
      OFFSETS:	20-27
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wisAm_1]
   UNSPLITVOC:	(Al>awosimap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>awosim+ap
        GLOSS:	the+badges/decorations+[fem.sg.]

 INPUT STRING:	ترى
     IS_TRANS:	trY
        INDEX:	P23W1
      OFFSETS:	0-3
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tir~iy_1]
   UNSPLITVOC:	(tir~iy)
          POS:	INTERJ
          VOC:	tir~iy
        GLOSS:	wondering

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W2
      OFFSETS:	4-6
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	INTERROG_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P23W3
      OFFSETS:	7-11
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	اعطاه
     IS_TRANS:	AETAh
        INDEX:	P23W4
      OFFSETS:	12-17
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEoTaY_1]
   UNSPLITVOC:	(>aEoTAh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	>aEoTA+(null)+h
        GLOSS:	give/provide+he/it [verb]+it/him

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P23W5
      OFFSETS:	18-21
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*ihi_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	الالقاب
     IS_TRANS:	AlAlqAb
        INDEX:	P23W6
      OFFSETS:	22-29
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqab_1]
   UNSPLITVOC:	(Al>aloqAb)
          POS:	DET+NOUN
          VOC:	Al+>aloqAb
        GLOSS:	the+titles/nicknames

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W7
      OFFSETS:	30-31
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الاوسمه
     IS_TRANS:	AlAwsmh
        INDEX:	P23W8
      OFFSETS:	32-39
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wisAm_1]
   UNSPLITVOC:	(Al>awosimap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>awosim+ap
        GLOSS:	the+badges/decorations+[fem.sg.]

 INPUT STRING:	ولماذا
     IS_TRANS:	wlmA*A
        INDEX:	P23W9
      OFFSETS:	40-46
       TOKENS:	P23W10-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(walimA*A)
          POS:	CONJ+INTERROG_ADV
          VOC:	wa+limA*A
        GLOSS:	and+why

 INPUT STRING:	أعطاها
     IS_TRANS:	>ETAhA
        INDEX:	P23W10
      OFFSETS:	47-53
       TOKENS:	P23W12-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEoTay_1]
   UNSPLITVOC:	(>aEoTAhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	>aEoTA+(null)+hA
        GLOSS:	give/provide+he/it [verb]+it/them/her

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P23W11
      OFFSETS:	54-56
       TOKENS:	P23W14-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+he

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P23W12
      OFFSETS:	57-58
       TOKENS:	P23W16-P23W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P23W13
      OFFSETS:	58-59
       TOKENS:	P23W17-P23W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
