 INPUT STRING:	وصف
     IS_TRANS:	AlmEtrDyn
        INDEX:	P5W6
      OFFSETS:	21-30
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotariD_1]
   UNSPLITVOC:	(AlmuEotariDiyn)
          POS:	DET+ADJ.VN+NSUFF_MASC_PL
          VOC:	Al+muEotariD+iyn
        GLOSS:	the+opposed/resisting+[masc.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W7
      OFFSETS:	31-34
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الخطبة
     IS_TRANS:	AlxTbp
        INDEX:	P5W8
      OFFSETS:	35-41
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuTobap_1]
   UNSPLITVOC:	(AlxuTobap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xuTob+ap
        GLOSS:	the+speech/sermon/speeches/sermons+[fem.sg.]

 INPUT STRING:	بحجزه
     IS_TRANS:	bHjzh
        INDEX:	P5W9
      OFFSETS:	42-47
       TOKENS:	P5W9-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hajoz_1]
   UNSPLITVOC:	(biHajozuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+Hajoz+uh
        GLOSS:	with/by+detention/reservation+its/his

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P5W10
      OFFSETS:	48-52
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	NOUN
          VOC:	dAxil
        GLOSS:	inside of/interior/inside

 INPUT STRING:	المسجد
     IS_TRANS:	Almsjd
        INDEX:	P5W11
      OFFSETS:	53-59
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misaj~id_1]
   UNSPLITVOC:	(Almisaj~id)
          POS:	DET+NOUN
          VOC:	Al+misaj~id
        GLOSS:	the+mosque

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W12
      OFFSETS:	59-60
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ووقعت
     IS_TRANS:	wwqEt
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiqiE_1]
   UNSPLITVOC:	(wiwiqoEit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+wiqoE+it
        GLOSS:	and+fall down/take place/be located+it/they/she [verb]

 INPUT STRING:	مشادات
     IS_TRANS:	m$AdAt
        INDEX:	P6W2
      OFFSETS:	6-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Ad~ap_1]
   UNSPLITVOC:	(mu$Ad~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	mu$Ad~+At
        GLOSS:	quarrel+[fem.pl.]

 INPUT STRING:	كلامية
     IS_TRANS:	klAmyp
        INDEX:	P6W3
      OFFSETS:	13-19
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAmiy_1]
   UNSPLITVOC:	(kalAmiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kalAmiy~+ap
        GLOSS:	verbal/spoken/oral+[fem.sg.]

 INPUT STRING:	بينهم
     IS_TRANS:	bynhm
        INDEX:	P6W4
      OFFSETS:	20-25
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biynhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	biyn+hum
        GLOSS:	between/among+their

 INPUT STRING:	وبين
     IS_TRANS:	wbyn
        INDEX:	P6W5
      OFFSETS:	26-30
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(wibiyn)
          POS:	CONJ+NOUN
          VOC:	wi+biyn
        GLOSS:	and+between/among

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P6W6
      OFFSETS:	31-36
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain/Sheikhs/chieftains

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P6W7
      OFFSETS:	36-37
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimin)
          POS:	CONJ+PREP
          VOC:	wi+min
        GLOSS:	and+from

 INPUT STRING:	جانبه
     IS_TRANS:	jAnbh
        INDEX:	P7W2
      OFFSETS:	4-9
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAnib_1]
   UNSPLITVOC:	(jAnibuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	jAnib+uh
        GLOSS:	side/aspect+its/his

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P7W3
      OFFSETS:	10-13
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	say+he/it [verb]

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P7W4
      OFFSETS:	14-19
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain/Sheikhs/chieftains

 INPUT STRING:	عبد
     IS_TRANS:	Ebd
        INDEX:	P7W5
      OFFSETS:	20-23
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eabod_1]
   UNSPLITVOC:	(Eabod)
          POS:	NOUN_PROP
          VOC:	Eabod
        GLOSS:	Abd

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P7W6
      OFFSETS:	24-30
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHoman_1]
   UNSPLITVOC:	(Alr~aHoman)
          POS:	DET+NOUN_PROP
          VOC:	Al+raHoman
        GLOSS:	the+Rahman (i.e., God, one of the 99 Beautiful Names)

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P7W7
      OFFSETS:	31-32
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P7W8
      OFFSETS:	33-36
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	جاء
     IS_TRANS:	jA'
        INDEX:	P7W9
      OFFSETS:	37-40
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA'_1]
   UNSPLITVOC:	(jA')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA'+(null)
        GLOSS:	arrive/come/occur+he/it [verb]

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P7W10
      OFFSETS:	41-46
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	للمسجد
     IS_TRANS:	llmsjd
        INDEX:	P7W11
      OFFSETS:	47-53
       TOKENS:	P7W14-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misaj~id_1]
   UNSPLITVOC:	(lilmisaj~id)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+misaj~id
        GLOSS:	to/for+the+mosque

 INPUT STRING:	؛
     IS_TRANS:	&#x61b;
        INDEX:	P7W12
      OFFSETS:	53-54
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(;)
          POS:	PUNC
          VOC:	;
        GLOSS:	nogloss

 INPUT STRING:	ليقول
     IS_TRANS:	lyqwl
        INDEX:	P7W13
      OFFSETS:	55-60
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lyqwl)
          POS:	NO_FUNC
          VOC:	lyqwl
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P7W14
      OFFSETS:	61-63
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	يمليه
     IS_TRANS:	ymlyh
        INDEX:	P7W15
      OFFSETS:	64-69
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amolaY_1]
   UNSPLITVOC:	(yimoliyh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+moliy+uh
        GLOSS:	he/it+impose/dictate+it/him

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P7W16
      OFFSETS:	70-74
       TOKENS:	P7W21-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	قلبه
     IS_TRANS:	qlbh
        INDEX:	P7W17
      OFFSETS:	75-79
       TOKENS:	P7W23-P7W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	qalob+uh
        GLOSS:	heart/center/essence+his/its

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P7W18
      OFFSETS:	79-80
       TOKENS:	P7W25-P7W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وليقول
     IS_TRANS:	wlyqwl
        INDEX:	P8W1
      OFFSETS:	0-6
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wlyqwl)
          POS:	NO_FUNC
          VOC:	wlyqwl
        GLOSS:	nogloss

 INPUT STRING:	كلمة
     IS_TRANS:	klmp
        INDEX:	P8W2
      OFFSETS:	7-11
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word/remark/speech+[fem.sg.]

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P8W3
      OFFSETS:	12-16
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(AlHaq~)
          POS:	DET+NOUN
          VOC:	Al+Haq~
        GLOSS:	the+right, prerogative, truth

 INPUT STRING:	تجاه
     IS_TRANS:	tjAh
        INDEX:	P8W4
      OFFSETS:	17-21
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tijAh_1]
   UNSPLITVOC:	(tijAh)
          POS:	NOUN
          VOC:	tijAh
        GLOSS:	towards/facing

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W5
      OFFSETS:	22-25
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	والمصريين
     IS_TRANS:	wAlmSryyn
        INDEX:	P8W6
      OFFSETS:	26-35
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(wiAlmaSoriy~iyn)
          POS:	CONJ+DET+NOUN+NSUFF_MASC_PL
          VOC:	wi+Al+maSoriy~+iyn
        GLOSS:	and+the+Egyptian+[masc.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P8W7
      OFFSETS:	35-36
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	لافتاً
     IS_TRANS:	lAftAF
        INDEX:	P8W8
      OFFSETS:	37-43
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAfit_1]
   UNSPLITVOC:	(lAfitAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	lAfit+AF
        GLOSS:	indicating/pointing out+[acc.indef.]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P8W9
      OFFSETS:	44-47
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to towards

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P8W10
      OFFSETS:	48-51
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	يتبع
     IS_TRANS:	ytbE
        INDEX:	P8W11
      OFFSETS:	52-56
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabaE_1]
   UNSPLITVOC:	(yitobaE)
          POS:	IV3MS+IV
          VOC:	yi+tobaE
        GLOSS:	he/it+follow/pursue/observe

 INPUT STRING:	منهج
     IS_TRANS:	mnhj
        INDEX:	P8W12
      OFFSETS:	57-61
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manohaj_1]
   UNSPLITVOC:	(manohaj)
          POS:	NOUN
          VOC:	manohaj
        GLOSS:	method/approach/program/curriculum/methods/approaches/programs/curricula

 INPUT STRING:	الرسول
     IS_TRANS:	Alrswl
        INDEX:	P8W13
      OFFSETS:	62-68
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(Alr~asuwl)
          POS:	DET+NOUN
          VOC:	Al+rasuwl
        GLOSS:	the+messenger (Muhammad)

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W14
      OFFSETS:	69-71
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P8W15
      OFFSETS:	72-78
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HayA+ap
        GLOSS:	the+life+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W16
      OFFSETS:	78-79
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	جزاك
     IS_TRANS:	jzAk
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jazay_1]
   UNSPLITVOC:	(jazAk)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2MS
          VOC:	jazaY+(null)+ak
        GLOSS:	reward/repay/requite+he/it [verb]+you [masc.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	خيرا
     IS_TRANS:	xyrA
        INDEX:	P9W3
      OFFSETS:	10-14
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayrAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xayr+AF
        GLOSS:	good+[acc.indef.]

 INPUT STRING:	أستاذى
     IS_TRANS:	>stA*Y
        INDEX:	P9W4
      OFFSETS:	15-21
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usotA*_1]
   UNSPLITVOC:	(>usotA*iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>usotA*+iy
        GLOSS:	professor+my

 INPUT STRING:	الفاضل
     IS_TRANS:	AlfADl
        INDEX:	P9W5
      OFFSETS:	22-28
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(AlfADil)
          POS:	DET+ADJ
          VOC:	Al+fADil
        GLOSS:	the+honorable/eminent

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W6
      OFFSETS:	29-30
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بارك
     IS_TRANS:	bArk
        INDEX:	P9W7
      OFFSETS:	31-35
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bArik_1]
   UNSPLITVOC:	(bArik)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	bArik+(null)
        GLOSS:	bless/approve/congratulate+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P9W8
      OFFSETS:	36-40
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	فيك
     IS_TRANS:	fyk
        INDEX:	P9W9
      OFFSETS:	41-44
       TOKENS:	P9W11-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyk)
          POS:	PREP+PRON_2MS
          VOC:	fiy+ak
        GLOSS:	in+you [masc.sg.]

 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(limA*A)
          POS:	INTERROG_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P10W2
      OFFSETS:	6-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يتم
     IS_TRANS:	ytm
        INDEX:	P10W3
      OFFSETS:	9-12
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(yatim~)
          POS:	IV3MS+IV
          VOC:	ya+tim~
        GLOSS:	he/it+conclude/take place

 INPUT STRING:	وضع
     IS_TRANS:	wDE
        INDEX:	P10W4
      OFFSETS:	13-16
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(waDoE)
          POS:	NOUN
          VOC:	waDoE
        GLOSS:	laying down/putting/placing

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P10W5
      OFFSETS:	17-20
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	pictures/photographs/illustrations/photos

 INPUT STRING:	مغطاة
     IS_TRANS:	mgTAp
        INDEX:	P10W6
      OFFSETS:	21-26
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mugaT~aY_1]
   UNSPLITVOC:	(mugaT~Ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mugaT~aY+ap
        GLOSS:	covered+[fem.sg.]

 INPUT STRING:	لنعرف
     IS_TRANS:	lnErf
        INDEX:	P10W7
      OFFSETS:	27-32
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earaf-i_1]
   UNSPLITVOC:	(linaEorifa)
          POS:	PREP+IV1P+IV+IVSUFF_MOOD:S
          VOC:	li+na+Eorif+a
        GLOSS:	for+us to+know+[sub.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W8
      OFFSETS:	33-35
       TOKENS:	P10W9-P10W9
