 INPUT STRING:	بصراحه
      COMMENT:	[]
        LEMMA:	[>ahobal_1]
   UNSPLITVOC:	(habolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	habol+ap
        GLOSS:	mad/crazy+[fem.sg.]

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P16W8
      OFFSETS:	40-46
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	Now/At this moment/ at this time/ at present

 INPUT STRING:	ههههههههه
     IS_TRANS:	hhhhhhhhh
        INDEX:	P17W1
      OFFSETS:	0-9
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	express hapiness

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ليكـــى
     IS_TRANS:	lyk___Y
        INDEX:	P18W2
      OFFSETS:	3-10
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liykiy)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	حــق
     IS_TRANS:	H__q
        INDEX:	P18W3
      OFFSETS:	11-15
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	truth/right

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	راى
     IS_TRANS:	rAY
        INDEX:	P19W2
      OFFSETS:	4-7
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	رماضن
     IS_TRANS:	rmADn
        INDEX:	P19W3
      OFFSETS:	8-13
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rmADn)
          POS:	TYPO
          VOC:	rmADn
        GLOSS:	nogloss

 INPUT STRING:	مبروك
     IS_TRANS:	mbrwk
        INDEX:	P19W4
      OFFSETS:	14-19
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboruwk_1]
   UNSPLITVOC:	(maboruwk)
          POS:	NOUN_PROP
          VOC:	maboruwk
        GLOSS:	mabrook

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P19W5
      OFFSETS:	20-23
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	العلمين
     IS_TRANS:	AlElmyn
        INDEX:	P19W6
      OFFSETS:	24-31
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ealamiyn_1]
   UNSPLITVOC:	(AlEalamiyn)
          POS:	DET+NOUN_PROP
          VOC:	Al+Ealamiyn
        GLOSS:	the+Alamayn

 INPUT STRING:	حمودة
     IS_TRANS:	Hmwdp
        INDEX:	P19W7
      OFFSETS:	32-37
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ham~uwdap_1]
   UNSPLITVOC:	(Ham~uwdap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	Ham~uwd+ap
        GLOSS:	Hammouda/Hammuda+[fem.sg.]

 INPUT STRING:	والنعمــه
     IS_TRANS:	wAlnEm__h
        INDEX:	P20W1
      OFFSETS:	0-9
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEomap_1]
   UNSPLITVOC:	(wiAlniEomap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+niEom+ap
        GLOSS:	with/by+the+Grace+[fem.sg.]

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P20W2
      OFFSETS:	10-12
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P20W3
      OFFSETS:	13-16
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	اجيب
     IS_TRANS:	Ajyb
        INDEX:	P20W4
      OFFSETS:	17-21
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(Aajiyb)
          POS:	IV1S+IV
          VOC:	Aa+jiyb
        GLOSS:	I+bring

 INPUT STRING:	البوليس
     IS_TRANS:	Albwlys
        INDEX:	P20W5
      OFFSETS:	22-29
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwliys_1]
   UNSPLITVOC:	(Albuwliys)
          POS:	DET+NOUN
          VOC:	Al+buwliys
        GLOSS:	the+police

 INPUT STRING:	هههههههههه
     IS_TRANS:	hhhhhhhhhh
        INDEX:	P20W6
      OFFSETS:	30-40
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	express hapiness

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P20W7
      OFFSETS:	41-43
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	اولياء
     IS_TRANS:	AwlyA'
        INDEX:	P20W8
      OFFSETS:	44-50
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waliy_1]
   UNSPLITVOC:	(>awliyA')
          POS:	NOUN
          VOC:	>awliyA'
        GLOSS:	responsible/guardian

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P20W9
      OFFSETS:	51-57
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(AlAumuwr)
          POS:	DET+NOUN
          VOC:	Al+Aumuwr
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	منوورة
     IS_TRANS:	mnwwrp
        INDEX:	P21W1
      OFFSETS:	0-6
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manw~ar_1]
   UNSPLITVOC:	(manw~arap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	manw~ar+ap
        GLOSS:	shining/bright+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P21W2
      OFFSETS:	7-9
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	قمـــــر
     IS_TRANS:	qm_____r
        INDEX:	P21W3
      OFFSETS:	10-18
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qamar_1]
   UNSPLITVOC:	(qamar)
          POS:	NOUN_PROP
          VOC:	qamar
        GLOSS:	qamar

 INPUT STRING:	منووووربيت
     IS_TRANS:	mnwwwwrbyt
        INDEX:	P21W4
      OFFSETS:	19-29
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mnwwwwrbyt)
          POS:	TYPO
          VOC:	mnwwwwrbyt
        GLOSS:	nogloss

 INPUT STRING:	اخوك
     IS_TRANS:	Axwk
        INDEX:	P21W5
      OFFSETS:	30-34
       TOKENS:	P21W5-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(>axuwk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	>axuw+ak
        GLOSS:	brother+your

 INPUT STRING:	يافوزى
     IS_TRANS:	yAfwzY
        INDEX:	P21W6
      OFFSETS:	35-41
       TOKENS:	P21W7-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faw~zy_1]
   UNSPLITVOC:	(yAfaw~zy)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+faw~zy
        GLOSS:	oh+fawzy

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W7
      OFFSETS:	41-42
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W8
      OFFSETS:	42-43
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P22W2
      OFFSETS:	4-7
       TOKENS:	P22W3-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P22W3
      OFFSETS:	8-12
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P22W4
      OFFSETS:	13-18
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P22W5
      OFFSETS:	19-23
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W6
      OFFSETS:	23-24
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W7
      OFFSETS:	24-25
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W8
      OFFSETS:	25-26
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W9
      OFFSETS:	26-27
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W10
      OFFSETS:	27-28
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P22W11
      OFFSETS:	29-32
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	بتتمنظر
     IS_TRANS:	bttmnZr
        INDEX:	P22W12
      OFFSETS:	33-40
       TOKENS:	P22W15-P22W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitomanoZar_1]
   UNSPLITVOC:	(bititomanoZar)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+tomanoZar
        GLOSS:	[present-tense]+it/they/she+showing

 INPUT STRING:	بفلوسها
     IS_TRANS:	bflwshA
        INDEX:	P22W13
      OFFSETS:	41-48
       TOKENS:	P22W17-P22W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(bifiluwshA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	bi+filuws+hA
        GLOSS:	with/by+money+its/their/her

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P22W14
      OFFSETS:	49-52
       TOKENS:	P22W20-P22W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P22W15
      OFFSETS:	53-58
       TOKENS:	P22W22-P22W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	تعمل
     IS_TRANS:	tEml
        INDEX:	P22W16
      OFFSETS:	59-63
       TOKENS:	P22W23-P22W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(tiEomil)
          POS:	IV3FS+IV
          VOC:	ti+Eomil
        GLOSS:	it/they/she+make/do

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P22W17
      OFFSETS:	64-68
       TOKENS:	P22W24-P22W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+she/it/they

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P22W18
      OFFSETS:	69-72
       TOKENS:	P22W26-P22W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	وناس
     IS_TRANS:	wnAs
        INDEX:	P22W19
      OFFSETS:	73-77
       TOKENS:	P22W27-P22W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(winAs)
          POS:	CONJ+NOUN
          VOC:	wi+nAs
        GLOSS:	and+people

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W20
      OFFSETS:	78-80
       TOKENS:	P22W29-P22W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قادره
     IS_TRANS:	qAdrh
        INDEX:	P22W21
      OFFSETS:	81-86
       TOKENS:	P22W30-P22W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdir_1]
   UNSPLITVOC:	(qAdorap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	qAdor+ap
        GLOSS:	capable/able+[fem.sg.]

 INPUT STRING:	تتعالج
     IS_TRANS:	ttEAlj
        INDEX:	P22W22
      OFFSETS:	89-95
       TOKENS:	P22W31-P22W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEAlij_1]
   UNSPLITVOC:	(titoEAlij)
          POS:	IV3FS+IV
          VOC:	ti+toEAlij
        GLOSS:	it/they/she+get therapy

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P22W23
      OFFSETS:	96-98
       TOKENS:	P22W32-P22W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	تاكل
     IS_TRANS:	tAkl
        INDEX:	P22W24
      OFFSETS:	99-103
       TOKENS:	P22W33-P22W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakal_1]
   UNSPLITVOC:	(tAkul)
          POS:	IV3FS+IV
          VOC:	t+Akul
        GLOSS:	it/they/she+eat

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P22W25
      OFFSETS:	104-106
       TOKENS:	P22W34-P22W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P22W26
      OFFSETS:	107-110
       TOKENS:	P22W35-P22W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	ADV
          VOC:	Hat~aY
        GLOSS:	even

 INPUT STRING:	تلاقى
     IS_TRANS:	tlAqY
        INDEX:	P22W27
      OFFSETS:	111-116
       TOKENS:	P22W36-P22W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(tilAqiy)
          POS:	IV3FS+IV
          VOC:	ti+lAqiy
        GLOSS:	it/they/she+find/meet/encounter/be met/be encountered

 INPUT STRING:	حته
     IS_TRANS:	Hth
        INDEX:	P22W28
      OFFSETS:	117-120
       TOKENS:	P22W37-P22W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hit~ap_1]
   UNSPLITVOC:	(Hit~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hit~+ap
        GLOSS:	place/morsel/piece/morsels/pieces+[fem.sg.]

 INPUT STRING:	تنام
     IS_TRANS:	tnAm
        INDEX:	P22W29
      OFFSETS:	121-125
       TOKENS:	P22W38-P22W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(tinAm)
          POS:	IV3FS+IV
          VOC:	ti+nAm
        GLOSS:	it/they/she+sleep/lie down

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P22W30
      OFFSETS:	126-130
       TOKENS:	P22W39-P22W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	اقتباس
     IS_TRANS:	AqtbAs
        INDEX:	P23W1
      OFFSETS:	0-6
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqotibAs_1]
   UNSPLITVOC:	(AiqotibAs)
          POS:	NOUN
          VOC:	AiqotibAs
        GLOSS:	quotation/acquisition/adaptation

 INPUT STRING:	المشاركة
     IS_TRANS:	Alm$Arkp
        INDEX:	P23W2
      OFFSETS:	9-17
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(Almu$Arokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$Arok+ap
        GLOSS:	the+participation+[fem.sg.]

 INPUT STRING:	الأصلية
     IS_TRANS:	Al>Slyp
        INDEX:	P23W3
      OFFSETS:	18-25
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaSoliy_1]
   UNSPLITVOC:	(AlASoliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ASoliy~+ap
        GLOSS:	the+original+[fem.sg.]

 INPUT STRING:	كتبت
     IS_TRANS:	ktbt
        INDEX:	P23W4
      OFFSETS:	26-30
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kutib_1]
   UNSPLITVOC:	(kutibat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	kutib+at
        GLOSS:	be written/ be fated+it/they/she

 INPUT STRING:	بواسطة
     IS_TRANS:	bwAsTp
        INDEX:	P23W5
      OFFSETS:	31-37
       TOKENS:	P23W5-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsoTap_1]
   UNSPLITVOC:	(biwAsoTap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wAsoT+ap
        GLOSS:	with/by+means+[fem.sg.]

 INPUT STRING:	مصريه
     IS_TRANS:	mSryh
        INDEX:	P23W6
      OFFSETS:	38-43
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maSoriy~+ap
        GLOSS:	Egyptian+[fem.sg.]

 INPUT STRING:	تخينه
