 INPUT STRING:	نحن
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+link/relation+[fem.sg.]

 INPUT STRING:	لأمن
     IS_TRANS:	l>mn
        INDEX:	P11W3
      OFFSETS:	12-16
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(li>amon)
          POS:	PREP+NOUN
          VOC:	li+>amon
        GLOSS:	for/to+security/safety

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P11W4
      OFFSETS:	17-23
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	فلا
     IS_TRANS:	flA
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(falA)
          POS:	CONNEC_PART+PSEUDO_VERB
          VOC:	fa+lA
        GLOSS:	so/then+no

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P12W3
      OFFSETS:	9-13
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	أمن
     IS_TRANS:	>mn
        INDEX:	P12W4
      OFFSETS:	14-17
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P12W5
      OFFSETS:	18-24
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P12W6
      OFFSETS:	25-29
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	PART+CONJ
          VOC:	wi+lakin
        GLOSS:	[part.]+but

 INPUT STRING:	بالمعنى
     IS_TRANS:	bAlmEnY
        INDEX:	P12W7
      OFFSETS:	30-37
       TOKENS:	P12W10-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(biAlmaEonaY)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+maEonaY
        GLOSS:	with/by+the+meaning/sense

 INPUT STRING:	الصحيح
     IS_TRANS:	AlSHyH
        INDEX:	P12W8
      OFFSETS:	38-44
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(AlS~aHiyH)
          POS:	DET+ADJ
          VOC:	Al+SaHiyH
        GLOSS:	the+true/correct

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P12W9
      OFFSETS:	45-47
       TOKENS:	P12W13-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+he

 INPUT STRING:	فهو
     IS_TRANS:	fhw
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(fahuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	fa+huw~a
        GLOSS:	so/and+he

 INPUT STRING:	أمن
     IS_TRANS:	>mn
        INDEX:	P13W2
      OFFSETS:	4-7
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P13W3
      OFFSETS:	8-12
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	وليس
     IS_TRANS:	wlys
        INDEX:	P13W4
      OFFSETS:	13-17
       TOKENS:	P13W5-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(walayosa)
          POS:	CONJ+NEG_PART
          VOC:	wa+layosa
        GLOSS:	and+not

 INPUT STRING:	أمن
     IS_TRANS:	>mn
        INDEX:	P13W5
      OFFSETS:	18-21
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	شلة
     IS_TRANS:	$lp
        INDEX:	P13W6
      OFFSETS:	22-25
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$il~ap_1]
   UNSPLITVOC:	($il~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$il~+ap
        GLOSS:	group/clique/groups/cliques+[fem.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P14W2
      OFFSETS:	3-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	جرىء
     IS_TRANS:	jrY'
        INDEX:	P14W3
      OFFSETS:	9-13
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariy'_1]
   UNSPLITVOC:	(jariy')
          POS:	ADJ
          VOC:	jariy'
        GLOSS:	bold/courageous

 INPUT STRING:	والهدف
     IS_TRANS:	wAlhdf
        INDEX:	P14W4
      OFFSETS:	14-20
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(wiAlhadaf)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+hadaf
        GLOSS:	and+the+goal/objective/intention/goals/objectives/intentions

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P14W5
      OFFSETS:	21-24
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+he/it

 INPUT STRING:	أعمق
     IS_TRANS:	>Emq
        INDEX:	P14W6
      OFFSETS:	25-29
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEomaq_1]
   UNSPLITVOC:	(>aEomaq)
          POS:	ADJ_COMP
          VOC:	>aEomaq
        GLOSS:	deepest/deeper

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W7
      OFFSETS:	30-32
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مجرد
     IS_TRANS:	mjrd
        INDEX:	P14W8
      OFFSETS:	33-37
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujar~ad_1]
   UNSPLITVOC:	(mujar~ad)
          POS:	NOUN
          VOC:	mujar~ad
        GLOSS:	nothing but/mere

 INPUT STRING:	ذكر
     IS_TRANS:	*kr
        INDEX:	P14W9
      OFFSETS:	38-41
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ikor_1]
   UNSPLITVOC:	(*ikor)
          POS:	NOUN
          VOC:	*ikor
        GLOSS:	mention/citation/memory

 INPUT STRING:	أسماء
     IS_TRANS:	>smA'
        INDEX:	P14W10
      OFFSETS:	42-47
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isom_1]
   UNSPLITVOC:	(>asomA')
          POS:	NOUN
          VOC:	>asomA'
        GLOSS:	names

 INPUT STRING:	الأغلبية
     IS_TRANS:	Al>glbyp
        INDEX:	P14W11
      OFFSETS:	48-56
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>agolabiy~ap_1]
   UNSPLITVOC:	(Al>agolabiy~ap)
          POS:	DET+NOUN_QUANT+NSUFF_FEM_SG
          VOC:	Al+>agolabiy~+ap
        GLOSS:	the+majority+[fem.sg.]

 INPUT STRING:	تكرهها
     IS_TRANS:	tkrhhA
        INDEX:	P14W12
      OFFSETS:	57-63
       TOKENS:	P14W14-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kirih_1]
   UNSPLITVOC:	(tikorah~A)
          POS:	IV3FS+IV+IVSUFF_DO:3FS
          VOC:	ti+korah+hA
        GLOSS:	it/they/she+hate+it/them/her

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but

 INPUT STRING:	حكمته
     IS_TRANS:	Hkmth
        INDEX:	P15W2
      OFFSETS:	5-10
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hikomap_1]
   UNSPLITVOC:	(Hikomatuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	Hikom+ap+uh
        GLOSS:	wisdom/maxim+[fem.sg.]+his/its

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P15W3
      OFFSETS:	11-13
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P15W4
      OFFSETS:	14-16
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	نتغيير
     IS_TRANS:	ntgyyr
        INDEX:	P15W5
      OFFSETS:	17-23
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitgay~ar_1]
   UNSPLITVOC:	(nitgay~ar)
          POS:	IV1P+IV_PASS
          VOC:	ni+tgay~ar
        GLOSS:	we+be changed/change

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P15W6
      OFFSETS:	24-27
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	وتكون
     IS_TRANS:	wtkwn
        INDEX:	P15W7
      OFFSETS:	28-33
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(witikuwn)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+kuwn
        GLOSS:	and+it/they/she+be

 INPUT STRING:	مصلحة
     IS_TRANS:	mSlHp
        INDEX:	P15W8
      OFFSETS:	34-39
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maSolaH+ap
        GLOSS:	interest/advantage/favor+[fem.sg.]

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P15W9
      OFFSETS:	40-45
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+home

 INPUT STRING:	والعامة
     IS_TRANS:	wAlEAmp
        INDEX:	P15W10
      OFFSETS:	46-53
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm~ap_1]
   UNSPLITVOC:	(wiAlEAm~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+EAm~+ap
        GLOSS:	and+the+general public/populace+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P15W11
      OFFSETS:	54-56
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	الأولى
     IS_TRANS:	Al>wlY
        INDEX:	P15W12
      OFFSETS:	57-63
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(Al>uwlaY)
          POS:	DET+ADJ_NUM
          VOC:	Al+>uwlaY
        GLOSS:	the+first

 INPUT STRING:	فلاتلوم
     IS_TRANS:	flAtlwm
        INDEX:	P16W1
      OFFSETS:	0-7
       TOKENS:	P16W1-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAm_1]
   UNSPLITVOC:	(falAtaluwm)
          POS:	CONJ+NEG_PART+IV2MS+IV
          VOC:	fa+lA+ta+luwm
        GLOSS:	and+no+you+blame

 INPUT STRING:	أحد
     IS_TRANS:	>Hd
        INDEX:	P16W2
      OFFSETS:	8-11
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one (of)/someone/anyone/no-one

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W3
      OFFSETS:	12-14
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خصومك
     IS_TRANS:	xSwmk
        INDEX:	P16W4
      OFFSETS:	15-20
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiSm_1]
   UNSPLITVOC:	(xuSuwmak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	xuSuwm+ak
        GLOSS:	adversaries+your [masc.sg.]

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P16W5
      OFFSETS:	21-23
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	وأعدائك
     IS_TRANS:	w>EdA}k
        INDEX:	P16W6
      OFFSETS:	24-31
       TOKENS:	P16W9-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eaduw_1]
   UNSPLITVOC:	(wi>aEodA}ak)
          POS:	CONJ+NOUN+POSS_PRON_2MS
          VOC:	wi+>aEodA}+ak
        GLOSS:	and+enemies+your [masc.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P16W7
      OFFSETS:	32-35
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تخريبه
     IS_TRANS:	txrybh
        INDEX:	P16W8
      OFFSETS:	36-42
       TOKENS:	P16W13-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taxoriyb_1]
   UNSPLITVOC:	(taxoriybuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	taxoriyb+uh
        GLOSS:	destruction/sabotage/terrorism+its/his

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P16W9
      OFFSETS:	43-45
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وطنك
     IS_TRANS:	wTnk
        INDEX:	P16W10
      OFFSETS:	46-50
       TOKENS:	P16W16-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(waTanak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	waTan+ak
        GLOSS:	nation/homeland+your [masc.sg.]

 INPUT STRING:	مايحدث
     IS_TRANS:	mAyHdv
        INDEX:	P17W1
      OFFSETS:	0-6
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(mA_yiHoduv)
          POS:	NEG_PART+IV3MS+IV
          VOC:	mA+yi+Hoduv
        GLOSS:	not+he/it+happen/take place

 INPUT STRING:	ماهو
     IS_TRANS:	mAhw
        INDEX:	P17W2
      OFFSETS:	7-11
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(mAhuw~a)
          POS:	PART+PRON_3MS
          VOC:	mA+huw~a
        GLOSS:	part+he

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P17W3
      OFFSETS:	12-15
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	مظاهرات
     IS_TRANS:	mZAhrAt
        INDEX:	P17W4
      OFFSETS:	16-23
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muZAhrap_1]
   UNSPLITVOC:	(muZAhrAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muZAhr+At
        GLOSS:	demonstrations/rallies+[fem.pl.]

 INPUT STRING:	فئوية
     IS_TRANS:	f}wyp
        INDEX:	P17W5
      OFFSETS:	24-29
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fi}awiy_1]
   UNSPLITVOC:	(fi}awiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fi}awiy~+ap
        GLOSS:	factional/partisan+[fem.sg.]

 INPUT STRING:	مقنعه
     IS_TRANS:	mqnEh
        INDEX:	P17W6
      OFFSETS:	30-35
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqoniE_1]
   UNSPLITVOC:	(muqoniEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muqoniE+ap
        GLOSS:	convincing/persuasive+[fem.sg.]

 INPUT STRING:	ولكنها
     IS_TRANS:	wlknhA
        INDEX:	P17W7
      OFFSETS:	36-42
       TOKENS:	P17W9-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kin_1]
   UNSPLITVOC:	(wil`kin~ahA)
          POS:	PART+PSEUDO_VERB+PRON_3FS
          VOC:	wi+l`kin~a+hA
        GLOSS:	[part.]+But, however, yet, still, nevertheless, on the other hand+it/they/she

 INPUT STRING:	ربما
     IS_TRANS:	rbmA
        INDEX:	P17W8
      OFFSETS:	43-47
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rub~amA_1]
   UNSPLITVOC:	(rub~amA)
          POS:	ADV
          VOC:	rub~amA
        GLOSS:	perhaps/maybe

 INPUT STRING:	منبعها
     IS_TRANS:	mnbEhA
        INDEX:	P17W9
      OFFSETS:	48-54
       TOKENS:	P17W13-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manobaE_1]
   UNSPLITVOC:	(manobaEhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	manobaE+hA
        GLOSS:	source/spring+its/their/her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W10
      OFFSETS:	55-57
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أناس
     IS_TRANS:	>nAs
        INDEX:	P17W11
      OFFSETS:	58-62
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(>unAs)
          POS:	NOUN
          VOC:	>unAs
        GLOSS:	human beings

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P17W12
      OFFSETS:	63-65
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P17W13
      OFFSETS:	66-70
       TOKENS:	P17W18-P17W18
