 INPUT STRING:	يعنى
   UNSPLITVOC:	(Aljamiyl)
          POS:	DET+ADJ
          VOC:	Al+jamiyl
        GLOSS:	the+beautiful/nice/fine

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P7W2
      OFFSETS:	4-8
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	desire/wish+my

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P7W3
      OFFSETS:	9-11
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يحصل
     IS_TRANS:	yHSl
        INDEX:	P7W4
      OFFSETS:	12-16
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(yiHoSal)
          POS:	IV3MS+IV
          VOC:	yi+HoSal
        GLOSS:	he/it+occur/happen/take place

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P7W5
      OFFSETS:	17-20
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wimA)
          POS:	CONJ+NEG_PART
          VOC:	wi+mA
        GLOSS:	and+not

 INPUT STRING:	كنتش
     IS_TRANS:	knt$
        INDEX:	P7W6
      OFFSETS:	21-25
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunti$)
          POS:	PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	kun+t+$
        GLOSS:	be+I+not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P7W7
      OFFSETS:	26-31
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P7W8
      OFFSETS:	32-35
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who/whom

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P7W9
      OFFSETS:	36-39
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	يقدر
     IS_TRANS:	yqdr
        INDEX:	P7W10
      OFFSETS:	40-44
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(yiqodar)
          POS:	IV3MS+IV
          VOC:	yi+qodar
        GLOSS:	he/it+be able

 INPUT STRING:	ينظم
     IS_TRANS:	ynZm
        INDEX:	P7W11
      OFFSETS:	45-49
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZ~am_1]
   UNSPLITVOC:	(yinaZ~am)
          POS:	IV3MS+IV
          VOC:	yi+naZ~am
        GLOSS:	he/it+arrange/organize/regulate/be arranged/be organized/be regulated

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P7W12
      OFFSETS:	50-54
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P7W13
      OFFSETS:	55-57
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P7W14
      OFFSETS:	58-60
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	قناة
     IS_TRANS:	qnAp
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN
          VOC:	qanAp
        GLOSS:	channel/channels

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P8W2
      OFFSETS:	5-11
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAh_1]
   UNSPLITVOC:	(AlHayAh)
          POS:	DET+NOUN
          VOC:	Al+HayAh
        GLOSS:	the+Hayat

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W3
      OFFSETS:	12-14
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P8W4
      OFFSETS:	15-18
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	NOUN_QUANT
          VOC:	kAm
        GLOSS:	some

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P8W5
      OFFSETS:	19-22
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	كسرت
     IS_TRANS:	ksrt
        INDEX:	P8W6
      OFFSETS:	23-27
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kasar_1]
   UNSPLITVOC:	(kasarit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kasar+it
        GLOSS:	shatter/smash+it/they/she

 INPUT STRING:	الحصار
     IS_TRANS:	AlHSAr
        INDEX:	P8W7
      OFFSETS:	28-34
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiSAr_1]
   UNSPLITVOC:	(AlHiSAr)
          POS:	DET+NOUN
          VOC:	Al+HiSAr
        GLOSS:	the+siege/blockade

 INPUT STRING:	وراحت
     IS_TRANS:	wrAHt
        INDEX:	P8W8
      OFFSETS:	35-40
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(wirAHit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+rAH+it
        GLOSS:	and+go+it/they/she

 INPUT STRING:	عملت
     IS_TRANS:	Emlt
        INDEX:	P8W9
      OFFSETS:	41-45
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Eamal+it
        GLOSS:	do/make/act+it/they/she

 INPUT STRING:	حلقة
     IS_TRANS:	Hlqp
        INDEX:	P8W10
      OFFSETS:	46-50
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haloqap_1]
   UNSPLITVOC:	(Haloqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Haloq+ap
        GLOSS:	episode+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W11
      OFFSETS:	51-53
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P8W12
      OFFSETS:	54-58
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	وده
     IS_TRANS:	wdh
        INDEX:	P8W13
      OFFSETS:	59-62
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+this

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P8W14
      OFFSETS:	63-67
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	بداية
     IS_TRANS:	bdAyp
        INDEX:	P8W15
      OFFSETS:	68-73
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bidAyap_1]
   UNSPLITVOC:	(bidAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bidAy+ap
        GLOSS:	beginning/start+[fem.sg.]

 INPUT STRING:	موفقة
     IS_TRANS:	mwfqp
        INDEX:	P8W16
      OFFSETS:	74-79
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwaf~aq_1]
   UNSPLITVOC:	(muwaf~aqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muwaf~aq+ap
        GLOSS:	successful/granted success+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يهدي
     IS_TRANS:	yhdy
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiy)
          POS:	IV3MS+IV
          VOC:	yi+hodiy
        GLOSS:	he/it+guide/direct/lead/be guided/be directed/be led

 INPUT STRING:	الحال
     IS_TRANS:	AlHAl
        INDEX:	P9W3
      OFFSETS:	10-15
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(AlHAl)
          POS:	DET+NOUN
          VOC:	Al+HAl
        GLOSS:	the+situation/condition/case/situations/conditions/cases

 INPUT STRING:	ويارب
     IS_TRANS:	wyArb
        INDEX:	P9W4
      OFFSETS:	16-21
       TOKENS:	P9W5-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wiyArab~)
          POS:	CONJ+VOC_PART+NOUN
          VOC:	wi+yA+rab~
        GLOSS:	and+O,oh+lord/master

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P9W5
      OFFSETS:	22-24
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	محاولات
     IS_TRANS:	mHAwlAt
        INDEX:	P9W6
      OFFSETS:	25-32
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAwalap_1]
   UNSPLITVOC:	(muHAwalAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muHAwal+At
        GLOSS:	attempts/efforts+[fem.pl.]

 INPUT STRING:	الوقيعة
     IS_TRANS:	AlwqyEp
        INDEX:	P9W7
      OFFSETS:	33-40
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqiyEap_1]
   UNSPLITVOC:	(AlwaqiyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+waqiyE+ap
        GLOSS:	the+incident/event+[fem.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P9W8
      OFFSETS:	41-43
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	تفشل
     IS_TRANS:	tf$l
        INDEX:	P9W9
      OFFSETS:	44-48
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fa$al_1]
   UNSPLITVOC:	(tifo$al)
          POS:	IV3FS+IV
          VOC:	ti+fo$al
        GLOSS:	it/they/she+fail

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	احبط
     IS_TRANS:	AHbT
        INDEX:	P10W2
      OFFSETS:	6-10
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaHobaT_1]
   UNSPLITVOC:	(AaHobiT)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	AaHobiT+(null)
        GLOSS:	make fail+you

 INPUT STRING:	أعمال
     IS_TRANS:	>EmAl
        INDEX:	P10W3
      OFFSETS:	11-16
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(>aEomAl)
          POS:	NOUN
          VOC:	>aEomAl
        GLOSS:	actions/activities/work

 INPUT STRING:	الكائدين
     IS_TRANS:	AlkA}dyn
        INDEX:	P10W4
      OFFSETS:	17-25
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kA}id_1]
   UNSPLITVOC:	(AlkA}diyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+kA}d+iyn
        GLOSS:	the+cunny+two

 INPUT STRING:	ورد
     IS_TRANS:	wrd
        INDEX:	P10W5
      OFFSETS:	26-29
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(wirud~)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+rud~+(null)
        GLOSS:	and+return+you

 INPUT STRING:	كيدهم
     IS_TRANS:	kydhm
        INDEX:	P10W6
      OFFSETS:	30-35
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kayod_1]
   UNSPLITVOC:	(kayodhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	kayod+hum
        GLOSS:	stratagem/ruse+their

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W7
      OFFSETS:	36-38
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نحورهم
     IS_TRANS:	nHwrhm
        INDEX:	P10W8
      OFFSETS:	39-45
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naHor_2]
   UNSPLITVOC:	(nuHuwrhim)
          POS:	NOUN+POSS_PRON_3P
          VOC:	nuHuwr+him
        GLOSS:	throats+their

 INPUT STRING:	واظهر
     IS_TRANS:	wAZhr
        INDEX:	P10W9
      OFFSETS:	46-51
       TOKENS:	P10W12-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aZohar_1]
   UNSPLITVOC:	(wi>aZohir)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+>aZohir+(null)
        GLOSS:	and+show/manifest/demonstrate/be shown/be manifest/be demonstrated+he/it

 INPUT STRING:	خبثهم
     IS_TRANS:	xbvhm
        INDEX:	P10W10
      OFFSETS:	52-57
       TOKENS:	P10W14-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xubov_1]
   UNSPLITVOC:	(xubovhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	xubov+hum
        GLOSS:	malice/malignancy+their

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	بيحاولوا
     IS_TRANS:	byHAwlwA
        INDEX:	P11W2
      OFFSETS:	3-11
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(biyiHAwoluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+HAwol+uwA
        GLOSS:	[present-tense]+they+try+we

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W3
      OFFSETS:	12-15
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P11W4
      OFFSETS:	16-18
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	المستويات
     IS_TRANS:	AlmstwyAt
        INDEX:	P11W5
      OFFSETS:	19-28
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaway_1]
   UNSPLITVOC:	(AlmusotawayAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+musotaway+At
        GLOSS:	the+levels/standards+[fem.pl.]

 INPUT STRING:	يعملوا
     IS_TRANS:	yEmlwA
        INDEX:	P11W6
      OFFSETS:	29-35
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomiluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eomil+uwA
        GLOSS:	they+do/make/act+we

 INPUT STRING:	وقيعة
     IS_TRANS:	wqyEp
        INDEX:	P11W7
      OFFSETS:	36-41
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqiyEap_1]
   UNSPLITVOC:	(waqiyEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	waqiyE+ap
        GLOSS:	incident/event+[fem.sg.]

 INPUT STRING:	بنظام
     IS_TRANS:	bnZAm
        INDEX:	P11W8
      OFFSETS:	42-47
       TOKENS:	P11W9-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(biniZAm)
          POS:	PREP+NOUN
          VOC:	bi+niZAm
        GLOSS:	with/by+methodology/system/order/methodologies/systems

 INPUT STRING:	فرق
     IS_TRANS:	frq
        INDEX:	P11W9
      OFFSETS:	48-51
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[far~aq_1]
   UNSPLITVOC:	(far~aq)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	far~aq+(null)
        GLOSS:	separate/differentiate+you

 INPUT STRING:	تسد
     IS_TRANS:	tsd
        INDEX:	P11W10
      OFFSETS:	52-55
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAd-u_1]
   UNSPLITVOC:	(tasudo)
          POS:	IV2MS+IV+IVSUFF_MOOD:J
          VOC:	ta+sud+o
        GLOSS:	you [masc.sg.]+prevail/be predominant/rule/govern+[jus.]

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P11W11
      OFFSETS:	56-59
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P11W12
      OFFSETS:	60-62
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P11W13
      OFFSETS:	63-66
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P11W14
      OFFSETS:	67-71
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	God/Allah

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P11W15
      OFFSETS:	72-77
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
