 INPUT STRING:	عذرا
        INDEX:	P4W20
      OFFSETS:	89-92
       TOKENS:	P4W23-P4W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(walamo)
          POS:	CONJ+NEG_PART
          VOC:	wa+lamo
        GLOSS:	and+did not

 INPUT STRING:	نستطيع
     IS_TRANS:	nstTyE
        INDEX:	P4W21
      OFFSETS:	93-99
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotaTAE_1]
   UNSPLITVOC:	(nisotaTiyE)
          POS:	IV1P+IV
          VOC:	ni+sotaTiyE
        GLOSS:	we+be able

 INPUT STRING:	منعها
     IS_TRANS:	mnEhA
        INDEX:	P4W22
      OFFSETS:	100-105
       TOKENS:	P4W26-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoE_1]
   UNSPLITVOC:	(manoEahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	manoE+hA
        GLOSS:	prevention/interdiction+its/their/her

 INPUT STRING:	وقدمنا
     IS_TRANS:	wqdmnA
        INDEX:	P4W23
      OFFSETS:	106-112
       TOKENS:	P4W28-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qad~am_1]
   UNSPLITVOC:	(waqad~amnA)
          POS:	CONJ+ADJ+PRON_1P
          VOC:	wa+qad~am+nA
        GLOSS:	and+presenting+we

 INPUT STRING:	الاعذار
     IS_TRANS:	AlAE*Ar
        INDEX:	P4W24
      OFFSETS:	113-120
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eu*or_1]
   UNSPLITVOC:	(Al>aEo*Ar)
          POS:	DET+NOUN
          VOC:	Al+>aEo*Ar
        GLOSS:	the+excuses

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+i

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealim_1]
   UNSPLITVOC:	(AaEolam)
          POS:	IV1S+IV
          VOC:	Aa+Eolam
        GLOSS:	I+know

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P5W3
      OFFSETS:	10-14
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+her

 INPUT STRING:	ليست
     IS_TRANS:	lyst
        INDEX:	P5W4
      OFFSETS:	15-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lays_1]
   UNSPLITVOC:	(laysit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	lays+it
        GLOSS:	not be+it/they/she [verb]

 INPUT STRING:	كافيه
     IS_TRANS:	kAfyh
        INDEX:	P5W5
      OFFSETS:	20-25
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAfiy_1]
   UNSPLITVOC:	(kAfiyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kAfiy+ap
        GLOSS:	sufficient/adequate/competent+[fem.sg.]

 INPUT STRING:	وليس
     IS_TRANS:	wlys
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(walayosa)
          POS:	CONJ+NEG_PART
          VOC:	wa+layosa
        GLOSS:	and+not

 INPUT STRING:	ماكنا
     IS_TRANS:	mAknA
        INDEX:	P6W2
      OFFSETS:	5-10
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kun~A)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1P
          VOC:	mA+kun+~A
        GLOSS:	not+be+we

 INPUT STRING:	نقوله
     IS_TRANS:	nqwlh
        INDEX:	P6W3
      OFFSETS:	11-16
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(nqwlh)
          POS:	NO_FUNC
          VOC:	nqwlh
        GLOSS:	nogloss

 INPUT STRING:	مبرر
     IS_TRANS:	mbrr
        INDEX:	P6W4
      OFFSETS:	17-21
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubar~ir_1]
   UNSPLITVOC:	(mubar~ir)
          POS:	NOUN
          VOC:	mubar~ir
        GLOSS:	excuse/justification

 INPUT STRING:	بان
     IS_TRANS:	bAn
        INDEX:	P6W5
      OFFSETS:	22-25
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(bi<in~)
          POS:	PREP+SUB_CONJ
          VOC:	bi+<in~
        GLOSS:	for+that

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P6W6
      OFFSETS:	26-30
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	verb/verbs+[acc.indef.]

 INPUT STRING:	وقتها
     IS_TRANS:	wqthA
        INDEX:	P6W7
      OFFSETS:	32-37
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqotahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	waqot+hA
        GLOSS:	time/moment/period of time+its/their/her

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W8
      OFFSETS:	38-40
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	يحكمنا
     IS_TRANS:	yHkmnA
        INDEX:	P6W9
      OFFSETS:	41-47
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hakam_1]
   UNSPLITVOC:	(yaHokumnA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	ya+Hokum+nA
        GLOSS:	he/it+govern+us

 INPUT STRING:	رعاع
     IS_TRANS:	rEAE
        INDEX:	P6W10
      OFFSETS:	48-52
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[riEAE_1]
   UNSPLITVOC:	(riEAE)
          POS:	ADJ
          VOC:	riEAE
        GLOSS:	mob/riffraff/hooligans

 INPUT STRING:	اندال
     IS_TRANS:	AndAl
        INDEX:	P6W11
      OFFSETS:	53-58
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nadol_1]
   UNSPLITVOC:	(AnodAl)
          POS:	ADJ
          VOC:	AnodAl
        GLOSS:	despicable

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W12
      OFFSETS:	59-60
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W13
      OFFSETS:	60-61
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وسبقكم
     IS_TRANS:	wsbqkm
        INDEX:	P6W14
      OFFSETS:	61-67
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wsbqkm)
          POS:	NO_FUNC
          VOC:	wsbqkm
        GLOSS:	nogloss

 INPUT STRING:	اهلنا
     IS_TRANS:	AhlnA
        INDEX:	P6W15
      OFFSETS:	68-73
       TOKENS:	P6W20-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>ahol+nA
        GLOSS:	family/people/people/families/folk/families/indigenous people+our

 INPUT STRING:	بفلسطين
     IS_TRANS:	bflsTyn
        INDEX:	P6W16
      OFFSETS:	74-81
       TOKENS:	P6W22-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[filasoTiyn_1]
   UNSPLITVOC:	(bifilasoTiyn)
          POS:	PREP+NOUN_PROP
          VOC:	bi+filasoTiyn
        GLOSS:	with/by+Palestine

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P6W17
      OFFSETS:	82-87
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EndmA)
          POS:	NO_FUNC
          VOC:	EndmA
        GLOSS:	nogloss

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	تمر
     IS_TRANS:	tmr
        INDEX:	P7W2
      OFFSETS:	5-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tmr)
          POS:	NO_FUNC
          VOC:	tmr
        GLOSS:	nogloss

 INPUT STRING:	المدمرات
     IS_TRANS:	AlmdmrAt
        INDEX:	P7W3
      OFFSETS:	9-17
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mudam~irap_1]
   UNSPLITVOC:	(Almudam~irAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+mudam~ir+At
        GLOSS:	the+destroyer (ship)+[fem.pl.]

 INPUT STRING:	والاسرائيليه
     IS_TRANS:	wAlAsrA}ylyh
        INDEX:	P7W4
      OFFSETS:	18-30
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al<isorA}iyliy~_1]
   UNSPLITVOC:	(waAl<isorA}iyliy~ap)
          POS:	CONJ+DET+ADJ+NSUFF_FEM_SG
          VOC:	wa+Al+<isorA}iyliy~+ap
        GLOSS:	and+the+Israeli+[fem.sg.]

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P7W5
      OFFSETS:	31-34
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all

 INPUT STRING:	الاسلحه
     IS_TRANS:	AlAslHh
        INDEX:	P7W6
      OFFSETS:	35-42
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(Al>asoliHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>asoliH+ap
        GLOSS:	the+weapons+[fem.sg.]

 INPUT STRING:	وتقتلهم
     IS_TRANS:	wtqtlhm
        INDEX:	P7W7
      OFFSETS:	43-50
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wtqtlhm)
          POS:	NO_FUNC
          VOC:	wtqtlhm
        GLOSS:	nogloss

 INPUT STRING:	عذرا
     IS_TRANS:	E*rA
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eu*or_1]
   UNSPLITVOC:	(Eu*orAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*or+AF
        GLOSS:	excuse+[acc.indef.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P8W2
      OFFSETS:	5-10
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wiAll~ah)
          POS:	PART+NOUN_PROP
          VOC:	wi+All~ah
        GLOSS:	[part.]+Allah/God

 INPUT STRING:	لقد
     IS_TRANS:	lqd
        INDEX:	P8W3
      OFFSETS:	11-14
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(laqado)
          POS:	VERB_PART
          VOC:	laqado
        GLOSS:	already

 INPUT STRING:	قمنا
     IS_TRANS:	qmnA
        INDEX:	P8W4
      OFFSETS:	15-19
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qumnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	qum+nA
        GLOSS:	be based (on)+we

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W5
      OFFSETS:	20-22
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P8W6
      OFFSETS:	23-26
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days/day

 INPUT STRING:	بثوره
     IS_TRANS:	bvwrh
        INDEX:	P8W7
      OFFSETS:	27-32
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(bivawrap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+vawr+ap
        GLOSS:	with/by+revolution/uprising+[fem.sg.]

 INPUT STRING:	لتطيح
     IS_TRANS:	ltTyH
        INDEX:	P8W8
      OFFSETS:	33-38
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ltTyH)
          POS:	NO_FUNC
          VOC:	ltTyH
        GLOSS:	nogloss

 INPUT STRING:	بالفاسدين
     IS_TRANS:	bAlfAsdyn
        INDEX:	P8W9
      OFFSETS:	39-48
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAsid_1]
   UNSPLITVOC:	(biAlfAsidiyn)
          POS:	PREP+DET+NOUN+NSUFF_MASC_PL
          VOC:	bi+Al+fAsid+iyn
        GLOSS:	with/by+the+corrupted+[masc.plur.]

 INPUT STRING:	المتحكمين
     IS_TRANS:	AlmtHkmyn
        INDEX:	P8W10
      OFFSETS:	49-58
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmutaHak~im_1]
   UNSPLITVOC:	(AlmutaHak~imiyna)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+mutaHak~im+iyna
        GLOSS:	the+controlled/controllable+[masc.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W11
      OFFSETS:	59-61
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P8W12
      OFFSETS:	62-67
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	وتقتله
     IS_TRANS:	wtqtlh
        INDEX:	P8W13
      OFFSETS:	68-74
       TOKENS:	P8W16-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(wataqotulhu)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	wa+ta+qotul+hu
        GLOSS:	and+he+kill+him

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P8W14
      OFFSETS:	75-78
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	الان
     IS_TRANS:	AlAn
        INDEX:	P8W15
      OFFSETS:	79-83
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|n_1]
   UNSPLITVOC:	(Al|n)
          POS:	DET+NOUN
          VOC:	Al+|n
        GLOSS:	the+time/moment

 INPUT STRING:	وتتحكم
     IS_TRANS:	wttHkm
        INDEX:	P8W16
      OFFSETS:	84-90
       TOKENS:	P8W21-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHakam_1]
   UNSPLITVOC:	(wititoHikim)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+toHikim
        GLOSS:	and+she/they+control

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W17
      OFFSETS:	91-93
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P8W18
      OFFSETS:	94-96
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	شيء
     IS_TRANS:	$y'
        INDEX:	P8W19
      OFFSETS:	97-100
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ay'_1]
   UNSPLITVOC:	($ay')
          POS:	NOUN
          VOC:	$ay'
        GLOSS:	something/thing/things

 INPUT STRING:	متجاهلين
     IS_TRANS:	mtjAhlyn
        INDEX:	P8W20
      OFFSETS:	101-109
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutajAhil_1]
   UNSPLITVOC:	(mutajAhiliyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	mutajAhil+iyn
        GLOSS:	be ignorant+[mas.plur.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W21
      OFFSETS:	110-112
       TOKENS:	P8W27-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	السياده
     IS_TRANS:	AlsyAdh
        INDEX:	P8W22
      OFFSETS:	113-120
       TOKENS:	P8W28-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAdap_1]
   UNSPLITVOC:	(Als~iyAdap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAd+ap
        GLOSS:	the+authority/ government+[fem.sg.]

 INPUT STRING:	المصريه
     IS_TRANS:	AlmSryh
        INDEX:	P8W23
      OFFSETS:	121-128
       TOKENS:	P8W29-P8W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	لشعب
     IS_TRANS:	l$Eb
        INDEX:	P8W24
      OFFSETS:	129-133
       TOKENS:	P8W30-P8W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(li$aEob)
          POS:	PREP+NOUN
          VOC:	li+$aEob
        GLOSS:	for/to+people/nation

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W25
      OFFSETS:	134-137
       TOKENS:	P8W32-P8W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W1
      OFFSETS:	0-1
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W2
      OFFSETS:	1-2
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	عذرا
     IS_TRANS:	E*rA
        INDEX:	P9W3
      OFFSETS:	2-6
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eu*or_1]
   UNSPLITVOC:	(Eu*orAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*or+AF
        GLOSS:	excuse+[acc.indef.]

 INPUT STRING:	فمازالت
     IS_TRANS:	fmAzAlt
        INDEX:	P9W4
      OFFSETS:	7-14
       TOKENS:	P9W4-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAl_1]
   UNSPLITVOC:	(famA_zAlit)
          POS:	SUB_CONJ+NEG_PART+PV+PVSUFF_SUBJ:3FS
          VOC:	fa+mA+zAl+it
        GLOSS:	because/therefore/as a result+not+still being+it/they/she [verb]

 INPUT STRING:	ثورتنا
     IS_TRANS:	vwrtnA
        INDEX:	P9W5
      OFFSETS:	15-21
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawritnA)
