 INPUT STRING:	اريد

 INPUT STRING:	الهوية
     IS_TRANS:	Alhwyp
        INDEX:	P6W19
      OFFSETS:	73-79
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawiy~ap_1]
   UNSPLITVOC:	(Alhawiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+hawiy~+ap
        GLOSS:	the+identity+[fem.sg.]

 INPUT STRING:	الإقليمية
     IS_TRANS:	Al<qlymyp
        INDEX:	P6W20
      OFFSETS:	80-89
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al<iqliymiy~_1]
   UNSPLITVOC:	(Al<iqliymiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<iqliymiy~+ap
        GLOSS:	the+regional/territorial+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W21
      OFFSETS:	90-92
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قرار
     IS_TRANS:	qrAr
        INDEX:	P6W22
      OFFSETS:	93-97
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(qarAr)
          POS:	NOUN
          VOC:	qarAr
        GLOSS:	decision/resolution/decisions/resolutions

 INPUT STRING:	بيتاخد
     IS_TRANS:	bytAxd
        INDEX:	P6W23
      OFFSETS:	98-104
       TOKENS:	P6W24-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~Axid_1]
   UNSPLITVOC:	(biyit~Axid)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+t~Axid
        GLOSS:	[present-tense]+he/it+begin/be taken/take

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W24
      OFFSETS:	104-105
       TOKENS:	P6W26-P6W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W25
      OFFSETS:	105-106
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P6W26
      OFFSETS:	107-110
       TOKENS:	P6W28-P6W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	Rather/even/but/yet/however/but rather

 INPUT STRING:	تحجيمه
     IS_TRANS:	tHjymh
        INDEX:	P6W27
      OFFSETS:	111-117
       TOKENS:	P6W29-P6W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHjiym_1]
   UNSPLITVOC:	(taHjiymuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	taHjiym+uh
        GLOSS:	controlling/curbing+his/its

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W28
      OFFSETS:	118-119
       TOKENS:	P6W31-P6W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	وضعه
     IS_TRANS:	wDEh
        INDEX:	P6W29
      OFFSETS:	120-124
       TOKENS:	P6W32-P6W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(waDoEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	waDoE+uh
        GLOSS:	laying down/putting/placing/situation/status/condition/conditions+his/its

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W30
      OFFSETS:	125-127
       TOKENS:	P6W34-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حجمه
     IS_TRANS:	Hjmh
        INDEX:	P6W31
      OFFSETS:	128-132
       TOKENS:	P6W35-P6W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hajom_1]
   UNSPLITVOC:	(Hajomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Hajom+uh
        GLOSS:	volume/size/volumes/sizes+his/its

 INPUT STRING:	الحقيقي
     IS_TRANS:	AlHqyqy
        INDEX:	P6W32
      OFFSETS:	133-140
       TOKENS:	P6W37-P6W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(AlHaqiyqiy)
          POS:	DET+ADJ
          VOC:	Al+Haqiyqiy
        GLOSS:	the+true/real

 INPUT STRING:	بالنسبة
     IS_TRANS:	bAlnsbp
        INDEX:	P6W33
      OFFSETS:	141-148
       TOKENS:	P6W38-P6W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+ratio/rate/percentage figure/ratios/rates/percentage figures/link/relation (concerning+[fem.sg.]

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P6W34
      OFFSETS:	149-152
       TOKENS:	P6W40-P6W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	for/to+us

 INPUT STRING:	كمصريين
     IS_TRANS:	kmSryyn
        INDEX:	P6W35
      OFFSETS:	153-160
       TOKENS:	P6W42-P6W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSriy~_1]
   UNSPLITVOC:	(kamaSriy~iyn)
          POS:	PREP+NOUN+NSUFF_MASC_PL
          VOC:	ka+maSriy~+iyn
        GLOSS:	like/such+Egyptian/Egyptians+[pl.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P6W36
      OFFSETS:	161-163
       TOKENS:	P6W44-P6W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P6W37
      OFFSETS:	164-166
       TOKENS:	P6W45-P6W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	هيكون
     IS_TRANS:	hykwn
        INDEX:	P6W38
      OFFSETS:	167-172
       TOKENS:	P6W46-P6W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hayikuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+kuwn
        GLOSS:	will+he/it+be/was/were

 INPUT STRING:	القرار
     IS_TRANS:	AlqrAr
        INDEX:	P6W39
      OFFSETS:	173-179
       TOKENS:	P6W48-P6W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(AlqarAr)
          POS:	DET+NOUN
          VOC:	Al+qarAr
        GLOSS:	the+decision/resolution/decisions/resolutions

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W40
      OFFSETS:	179-180
       TOKENS:	P6W49-P6W49
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W41
      OFFSETS:	180-181
       TOKENS:	P6W50-P6W50
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W42
      OFFSETS:	182-183
       TOKENS:	P6W51-P6W51
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تنفيذ
     IS_TRANS:	tnfy*
        INDEX:	P6W43
      OFFSETS:	184-189
       TOKENS:	P6W52-P6W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanofiy*_1]
   UNSPLITVOC:	(tanofiy*)
          POS:	NOUN
          VOC:	tanofiy*
        GLOSS:	implementation/execution/carrying out

 INPUT STRING:	القرار
     IS_TRANS:	AlqrAr
        INDEX:	P6W44
      OFFSETS:	190-196
       TOKENS:	P6W53-P6W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(AlqarAr)
          POS:	DET+NOUN
          VOC:	Al+qarAr
        GLOSS:	the+decision/resolution/decisions/resolutions

 INPUT STRING:	ببساطة
     IS_TRANS:	bbsATp
        INDEX:	P6W45
      OFFSETS:	197-203
       TOKENS:	P6W54-P6W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basATap_1]
   UNSPLITVOC:	(bibasATap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+basAT+ap
        GLOSS:	with/by+frankness/sincerity/simplicity/plainness+[fem.sg.]

 INPUT STRING:	هيكون
     IS_TRANS:	hykwn
        INDEX:	P6W46
      OFFSETS:	204-209
       TOKENS:	P6W56-P6W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hayikuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+kuwn
        GLOSS:	will+he/it+be/was/were

 INPUT STRING:	عبر
     IS_TRANS:	Ebr
        INDEX:	P6W47
      OFFSETS:	210-213
       TOKENS:	P6W58-P6W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiborap_1]
   UNSPLITVOC:	(Eibar)
          POS:	NOUN
          VOC:	Eibar
        GLOSS:	across/over/via/by means of/crossing

 INPUT STRING:	فتح
     IS_TRANS:	ftH
        INDEX:	P6W48
      OFFSETS:	214-217
       TOKENS:	P6W59-P6W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatoH_1]
   UNSPLITVOC:	(fatoH)
          POS:	NOUN
          VOC:	fatoH
        GLOSS:	opening/beginning/conquests/achievements

 INPUT STRING:	المجال
     IS_TRANS:	AlmjAl
        INDEX:	P6W49
      OFFSETS:	218-224
       TOKENS:	P6W60-P6W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majAl_1]
   UNSPLITVOC:	(AlmajAl)
          POS:	DET+NOUN
          VOC:	Al+majAl
        GLOSS:	the+area/field/arena/context/opportunity/areas/fields/arenas

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P6W50
      OFFSETS:	225-229
       TOKENS:	P6W61-P6W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more/most/majority

 INPUT STRING:	أمام
     IS_TRANS:	>mAm
        INDEX:	P6W51
      OFFSETS:	230-234
       TOKENS:	P6W62-P6W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	الهويات
     IS_TRANS:	AlhwyAt
        INDEX:	P6W52
      OFFSETS:	235-242
       TOKENS:	P6W63-P6W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hawiy~ap_1]
   UNSPLITVOC:	(Alhawiy~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+hawiy~+At
        GLOSS:	the+identity+[fem.pl.]

 INPUT STRING:	الأخرى
     IS_TRANS:	Al>xrY
        INDEX:	P6W53
      OFFSETS:	243-249
       TOKENS:	P6W64-P6W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxoray_1]
   UNSPLITVOC:	(Al>uxoraY)
          POS:	DET+ADJ
          VOC:	Al+>uxoraY
        GLOSS:	the+additional/other/another

 INPUT STRING:	الموجودة
     IS_TRANS:	Almwjwdp
        INDEX:	P6W54
      OFFSETS:	250-258
       TOKENS:	P6W65-P6W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(Almawjuwdap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+mawjuwd+ap
        GLOSS:	the+present/existing/found+[fem.sg.]

 INPUT STRING:	بالفعل
     IS_TRANS:	bAlfEl
        INDEX:	P6W55
      OFFSETS:	259-265
       TOKENS:	P6W66-P6W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(biAlfiEol)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+fiEol
        GLOSS:	with/by+the+doing/act/action/actually/in effect/(actually/in effect)/acts

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W56
      OFFSETS:	266-267
       TOKENS:	P6W68-P6W68
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بتعاني
     IS_TRANS:	btEAny
        INDEX:	P6W57
      OFFSETS:	268-274
       TOKENS:	P6W69-P6W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAnaY_1]
   UNSPLITVOC:	(bitiEAniy)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+EAniy
        GLOSS:	[present-tense]+it/they/she+suffer/be suffered

 INPUT STRING:	التهميش
     IS_TRANS:	Althmy$
        INDEX:	P6W58
      OFFSETS:	275-282
       TOKENS:	P6W71-P6W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahomiy$_1]
   UNSPLITVOC:	(Alt~ahomiy$)
          POS:	DET+NOUN
          VOC:	Al+tahomiy$
        GLOSS:	the+sidelining/marginalizing/excluding

 INPUT STRING:	التام
     IS_TRANS:	AltAm
        INDEX:	P6W59
      OFFSETS:	283-288
       TOKENS:	P6W72-P6W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAm~_1]
   UNSPLITVOC:	(Alt~Am~)
          POS:	DET+ADJ
          VOC:	Al+tAm~
        GLOSS:	the+complete/concluded

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W60
      OFFSETS:	288-289
       TOKENS:	P6W73-P6W73
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W61
      OFFSETS:	289-290
       TOKENS:	P6W74-P6W74
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W2
      OFFSETS:	4-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتضايق
     IS_TRANS:	btDAyq
        INDEX:	P7W3
      OFFSETS:	7-13
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitodAyiq_1]
   UNSPLITVOC:	(bAatoDAyiq)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+toDAyiq
        GLOSS:	[present-tense]+I+be bothered

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P7W4
      OFFSETS:	14-16
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	That/to/for

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P7W5
      OFFSETS:	17-19
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P7W6
      OFFSETS:	20-24
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	NOUN
          VOC:	maSoriy
        GLOSS:	Egyptian/Egyptians

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P7W7
      OFFSETS:	25-29
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/(for example)

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W8
      OFFSETS:	30-33
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P7W9
      OFFSETS:	34-38
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	عربي
     IS_TRANS:	Erby
        INDEX:	P7W10
      OFFSETS:	39-43
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(Earabiy)
          POS:	ADJ
          VOC:	Earabiy
        GLOSS:	Arab/Arabic/bedouins

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W11
      OFFSETS:	43-44
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W12
      OFFSETS:	44-45
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	بتضايق
     IS_TRANS:	btDAyq
        INDEX:	P8W2
      OFFSETS:	5-11
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitodAyiq_1]
   UNSPLITVOC:	(bAatoDAyiq)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+toDAyiq
        GLOSS:	[present-tense]+I+be bothered

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P8W3
      OFFSETS:	12-15
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+it/him

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P8W4
      OFFSETS:	16-18
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	That/to/for

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P8W5
      OFFSETS:	19-21
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	عربي
     IS_TRANS:	Erby
        INDEX:	P8W6
      OFFSETS:	22-26
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(Earabiy)
          POS:	NOUN
          VOC:	Earabiy
        GLOSS:	arabs/arab/Arabic

 INPUT STRING:	يصمم
     IS_TRANS:	ySmm
        INDEX:	P8W7
      OFFSETS:	27-31
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sam~am_1]
   UNSPLITVOC:	(yiSam~im)
          POS:	IV3MS+IV
          VOC:	yi+Sam~im
        GLOSS:	he/it+insist

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P8W8
      OFFSETS:	32-34
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	That/to/for

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W9
      OFFSETS:	35-38
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	عربية
     IS_TRANS:	Erbyp
        INDEX:	P8W10
      OFFSETS:	39-44
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earabiy~_1]
   UNSPLITVOC:	(Earabiy~ap)
