 INPUT STRING:	يستمر
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(wiqAmuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+qAm+uwA
        GLOSS:	and+undertake/carry out+they [verb]

 INPUT STRING:	بتوقيفه
     IS_TRANS:	btwqyfh
        INDEX:	P2W24
      OFFSETS:	135-142
       TOKENS:	P2W28-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tawoqiyf_1]
   UNSPLITVOC:	(bitawoqiyfuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+tawoqiyf+uh
        GLOSS:	with/by+detention/stopping/halting+its/his

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P2W25
      OFFSETS:	143-146
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	التهديد
     IS_TRANS:	Althdyd
        INDEX:	P2W26
      OFFSETS:	147-154
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahodiyd_1]
   UNSPLITVOC:	(Alt~ahodiyd)
          POS:	DET+NOUN
          VOC:	Al+tahodiyd
        GLOSS:	the+threatening/menacing

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P2W27
      OFFSETS:	155-157
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	قاموا
     IS_TRANS:	qAmwA
        INDEX:	P2W28
      OFFSETS:	158-163
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAmuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAm+uwA
        GLOSS:	undertake/carry out+they [verb]

 INPUT STRING:	بتوثيقه
     IS_TRANS:	btwvyqh
        INDEX:	P2W29
      OFFSETS:	164-171
       TOKENS:	P2W35-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tawoviyq_1]
   UNSPLITVOC:	(bitawoviyquh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+tawoviyq+uh
        GLOSS:	with/by+tying+its/his

 INPUT STRING:	بالحبال
     IS_TRANS:	bAlHbAl
        INDEX:	P2W30
      OFFSETS:	172-179
       TOKENS:	P2W38-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habol_1]
   UNSPLITVOC:	(biAlHibAl)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+HibAl
        GLOSS:	with/by+the+cord/cable/ropes

 INPUT STRING:	واخذوه
     IS_TRANS:	wAx*wh
        INDEX:	P2W31
      OFFSETS:	180-186
       TOKENS:	P2W40-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(wi>axa*uwh)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3MS
          VOC:	wi+>axa*+uwA+uh
        GLOSS:	and+take/begin+they [verb]+it/him

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P2W32
      OFFSETS:	187-189
       TOKENS:	P2W43-P2W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	السيارة
     IS_TRANS:	AlsyArp
        INDEX:	P2W33
      OFFSETS:	190-197
       TOKENS:	P2W44-P2W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~Arap_1]
   UNSPLITVOC:	(Als~ay~Arap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+say~Ar+ap
        GLOSS:	the+car/automobile/vehicle+[fem.sg.]

 INPUT STRING:	وفروا
     IS_TRANS:	wfrwA
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[far~_1]
   UNSPLITVOC:	(wifar~uwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+far~+uwA
        GLOSS:	and+escape/flee/defect/desert+they [verb]

 INPUT STRING:	وعندما
     IS_TRANS:	wEndmA
        INDEX:	P3W2
      OFFSETS:	6-12
       TOKENS:	P3W3-P3W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EinodamA_1]
   UNSPLITVOC:	(waEindamA)
          POS:	CONJ+NOUN+CASE_DEF_ACC+SUB_CONJ
          VOC:	wa+Einod+a+mA
        GLOSS:	and+the time when+[def.acc.]+that

 INPUT STRING:	وصلوا
     IS_TRANS:	wSlwA
        INDEX:	P3W3
      OFFSETS:	13-18
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiSil_1]
   UNSPLITVOC:	(wiSoluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	wiSol+uwA
        GLOSS:	arrive/reach+they [verb]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P3W4
      OFFSETS:	19-22
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	احد
     IS_TRANS:	AHd
        INDEX:	P3W5
      OFFSETS:	23-26
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN_NUM
          VOC:	>aHad
        GLOSS:	one

 INPUT STRING:	الاماكن
     IS_TRANS:	AlAmAkn
        INDEX:	P3W6
      OFFSETS:	27-34
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(AlAmAkin)
          POS:	DET+NOUN
          VOC:	Al+AmAkin
        GLOSS:	the+place/location/position

 INPUT STRING:	الصحراوية
     IS_TRANS:	AlSHrAwyp
        INDEX:	P3W7
      OFFSETS:	35-44
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlSaHorAwiy_1]
   UNSPLITVOC:	(AlSaHorAwiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+SaHorAwiy~+ap
        GLOSS:	the+desert/Saharan+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W8
      OFFSETS:	45-48
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طريق
     IS_TRANS:	Tryq
        INDEX:	P3W9
      OFFSETS:	49-53
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/roads/ways/means/methods

 INPUT STRING:	القسيم
     IS_TRANS:	Alqsym
        INDEX:	P3W10
      OFFSETS:	54-60
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qasiym_3]
   UNSPLITVOC:	(Alqasiym)
          POS:	DET+NOUN_PROP
          VOC:	Al+qasiym
        GLOSS:	the+Qaseem

 INPUT STRING:	اخذوا
     IS_TRANS:	Ax*wA
        INDEX:	P3W11
      OFFSETS:	61-66
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(>axa*uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>axa*+uwA
        GLOSS:	take/begin+they [verb]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P3W12
      OFFSETS:	67-69
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all/entire

 INPUT STRING:	شىء
     IS_TRANS:	$Y'
        INDEX:	P3W13
      OFFSETS:	70-73
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing/things

 INPUT STRING:	مما
     IS_TRANS:	mmA
        INDEX:	P3W14
      OFFSETS:	74-77
       TOKENS:	P3W17-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(mim~A)
          POS:	PREP+REL_PRON
          VOC:	min+mA
        GLOSS:	from+what/which

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W15
      OFFSETS:	78-81
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P3W16
      OFFSETS:	82-84
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	السائق
     IS_TRANS:	AlsA}q
        INDEX:	P3W17
      OFFSETS:	85-91
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sA}iq_1]
   UNSPLITVOC:	(Als~A}iq)
          POS:	DET+NOUN
          VOC:	Al+sA}iq
        GLOSS:	the+chauffeur/driver

 INPUT STRING:	والقوه
     IS_TRANS:	wAlqwh
        INDEX:	P3W18
      OFFSETS:	92-98
       TOKENS:	P3W22-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aloqaY_1]
   UNSPLITVOC:	(wi>aloquwh)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3MS
          VOC:	wi+>aloq+uwA+uh
        GLOSS:	and+deliver/throw/arrest/place (blame)+they [verb]+it/him

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W19
      OFFSETS:	99-101
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الصحراء
     IS_TRANS:	AlSHrA'
        INDEX:	P3W20
      OFFSETS:	102-109
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SaHorA'_1]
   UNSPLITVOC:	(AlSaHorA')
          POS:	DET+NOUN
          VOC:	Al+SaHorA'
        GLOSS:	the+desert

 INPUT STRING:	وفروا
     IS_TRANS:	wfrwA
        INDEX:	P3W21
      OFFSETS:	110-115
       TOKENS:	P3W27-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[far~_1]
   UNSPLITVOC:	(wifar~uwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+far~+uwA
        GLOSS:	and+escape/flee/defect/desert+they [verb]

 INPUT STRING:	بالسيارة
     IS_TRANS:	bAlsyArp
        INDEX:	P3W22
      OFFSETS:	116-124
       TOKENS:	P3W29-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~Arap_1]
   UNSPLITVOC:	(biAls~ay~Arap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+say~Ar+ap
        GLOSS:	with/by+the+car/automobile/vehicle+[fem.sg.]

 INPUT STRING:	سيناء
     IS_TRANS:	synA'
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynA'_1]
   UNSPLITVOC:	(siynA')
          POS:	NOUN_PROP
          VOC:	siynA'
        GLOSS:	Sinai

 INPUT STRING:	العزيزة
     IS_TRANS:	AlEzyzp
        INDEX:	P4W2
      OFFSETS:	6-13
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaziyz_1]
   UNSPLITVOC:	(AlEaziyzap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Eaziyz+ap
        GLOSS:	the+dear/precious+[fem.sg.]

 INPUT STRING:	تحتاج
     IS_TRANS:	tHtAj
        INDEX:	P4W3
      OFFSETS:	14-19
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotAj_1]
   UNSPLITVOC:	(tiHotAj)
          POS:	IV3FS+IV
          VOC:	ti+HotAj
        GLOSS:	it/they/she+need

 INPUT STRING:	نظره
     IS_TRANS:	nZrh
        INDEX:	P4W4
      OFFSETS:	20-24
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZorap_1]
   UNSPLITVOC:	(naZorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	naZor+ap
        GLOSS:	look/glance/view/looks/glances/views+[fem.sg.]

 INPUT STRING:	اكثر
     IS_TRANS:	Akvr
        INDEX:	P4W5
      OFFSETS:	25-29
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	وقبل
     IS_TRANS:	wqbl
        INDEX:	P4W6
      OFFSETS:	30-34
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(wiqabol)
          POS:	CONJ+NOUN
          VOC:	wi+qabol
        GLOSS:	and+before

 INPUT STRING:	الحل
     IS_TRANS:	AlHl
        INDEX:	P4W7
      OFFSETS:	35-39
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(AlHal~)
          POS:	DET+NOUN
          VOC:	Al+Hal~
        GLOSS:	the+solution/dissolution/cancellation

 INPUT STRING:	الامنى
     IS_TRANS:	AlAmnY
        INDEX:	P4W8
      OFFSETS:	40-46
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoniy_1]
   UNSPLITVOC:	(Al>amoniy)
          POS:	DET+ADJ
          VOC:	Al+>amoniy
        GLOSS:	the+security/safety

 INPUT STRING:	تحتاج
     IS_TRANS:	tHtAj
        INDEX:	P4W9
      OFFSETS:	47-52
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotAj_1]
   UNSPLITVOC:	(tiHotAj)
          POS:	IV3FS+IV
          VOC:	ti+HotAj
        GLOSS:	it/they/she+need

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P4W10
      OFFSETS:	53-56
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	حلول
     IS_TRANS:	Hlwl
        INDEX:	P4W11
      OFFSETS:	57-61
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huluwl_1]
   UNSPLITVOC:	(Huluwl)
          POS:	NOUN
          VOC:	Huluwl
        GLOSS:	solutions/dissolutions/cancellations

 INPUT STRING:	اخرى
     IS_TRANS:	AxrY
        INDEX:	P4W12
      OFFSETS:	62-66
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P4W13
      OFFSETS:	67-70
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	امنية
     IS_TRANS:	Amnyp
        INDEX:	P4W14
      OFFSETS:	71-76
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoniy_1]
   UNSPLITVOC:	(>amoniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>amoniy~+ap
        GLOSS:	security/safety+[fem.sg.]

 INPUT STRING:	أحسن
     IS_TRANS:	>Hsn
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	خليهم
     IS_TRANS:	xlyhm
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iyhum)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3P
          VOC:	xal~iy+(null)+hum
        GLOSS:	Allow/let+you [masc.sg.] [verb]+them

 INPUT STRING:	يسرقوا
     IS_TRANS:	ysrqwA
        INDEX:	P6W2
      OFFSETS:	6-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(yisoraquwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+soraq+uwA
        GLOSS:	they+accuse of theft/steal+[pl.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W3
      OFFSETS:	13-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all/entire

 INPUT STRING:	محافظ
     IS_TRANS:	mHAfZ
        INDEX:	P6W4
      OFFSETS:	16-21
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfiZ_1]
   UNSPLITVOC:	(muHAfiZ)
          POS:	NOUN
          VOC:	muHAfiZ
        GLOSS:	governor

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W5
      OFFSETS:	22-23
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W6
      OFFSETS:	24-26
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all/entire

 INPUT STRING:	مدير
     IS_TRANS:	mdyr
        INDEX:	P6W7
      OFFSETS:	27-31
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(mudiyr)
          POS:	NOUN
          VOC:	mudiyr
        GLOSS:	director/manager/chief

 INPUT STRING:	امن
     IS_TRANS:	Amn
        INDEX:	P6W8
      OFFSETS:	32-35
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W9
      OFFSETS:	36-37
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W10
      OFFSETS:	38-40
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all/entire

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W11
      OFFSETS:	41-45
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	لعب
     IS_TRANS:	lEb
        INDEX:	P6W12
      OFFSETS:	46-49
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(liEib)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	liEib+(null)
        GLOSS:	play+he/it [verb]

 INPUT STRING:	بالنار
     IS_TRANS:	bAlnAr
        INDEX:	P6W13
      OFFSETS:	50-56
       TOKENS:	P6W14-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAr_1]
   UNSPLITVOC:	(biAln~Ar)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+nAr
        GLOSS:	with/by+the+fire/shooting

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W14
      OFFSETS:	57-58
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	سيب
     IS_TRANS:	syb
        INDEX:	P6W15
      OFFSETS:	59-62
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~ib_1]
   UNSPLITVOC:	(say~ib)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	say~ib+(null)
        GLOSS:	set free/release+he/it [verb]

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P6W16
      OFFSETS:	63-68
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
