 INPUT STRING:	لماذا
          POS:	DET+NOUN
          VOC:	Al+diwal
        GLOSS:	the+state/country/states/countries

 INPUT STRING:	خاصه
     IS_TRANS:	xASh
        INDEX:	P10W3
      OFFSETS:	12-16
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(xAS~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xAS~+ap
        GLOSS:	elite+[fem.sg.]

 INPUT STRING:	بالخليج
     IS_TRANS:	bAlxlyj
        INDEX:	P10W4
      OFFSETS:	17-24
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaliyj_1]
   UNSPLITVOC:	(biAlxaliyj)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+xaliyj
        GLOSS:	with/by+the+gulf

 INPUT STRING:	مليئه
     IS_TRANS:	mly}h
        INDEX:	P10W5
      OFFSETS:	25-30
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maliy}_1]
   UNSPLITVOC:	(maliy}ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maliy}+ap
        GLOSS:	full+[fem.sg.]

 INPUT STRING:	بالكوراث
     IS_TRANS:	bAlkwrAv
        INDEX:	P10W6
      OFFSETS:	31-39
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bAlkwrAv)
          POS:	TYPO
          VOC:	bAlkwrAv
        GLOSS:	nogloss

 INPUT STRING:	وفظائع
     IS_TRANS:	wfZA}E
        INDEX:	P10W7
      OFFSETS:	40-46
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faZiyEap_1]
   UNSPLITVOC:	(wifaZA}iE)
          POS:	CONJ+NOUN
          VOC:	wi+faZA}iE
        GLOSS:	and+atrocities/heinous acts

 INPUT STRING:	حل
     IS_TRANS:	Hl
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(Hal~)
          POS:	NOUN
          VOC:	Hal~
        GLOSS:	solution/dissolution/cancellation

 INPUT STRING:	نشر
     IS_TRANS:	n$r
        INDEX:	P11W2
      OFFSETS:	3-6
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$or_1]
   UNSPLITVOC:	(na$or)
          POS:	NOUN
          VOC:	na$or
        GLOSS:	spreading/propagation

 INPUT STRING:	دين
     IS_TRANS:	dyn
        INDEX:	P11W3
      OFFSETS:	7-10
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diyn)
          POS:	NOUN
          VOC:	diyn
        GLOSS:	religion

 INPUT STRING:	بالحكمه
     IS_TRANS:	bAlHkmh
        INDEX:	P11W4
      OFFSETS:	11-18
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hikomap_1]
   UNSPLITVOC:	(biAlHikomap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+Hikom+ap
        GLOSS:	with/by+the+wisdom/maxim+[fem.sg.]

 INPUT STRING:	وموعظه
     IS_TRANS:	wmwEZh
        INDEX:	P11W5
      OFFSETS:	19-25
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawEiZap_1]
   UNSPLITVOC:	(wimawEiZap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+mawEiZ+ap
        GLOSS:	and+exhortation/lecture+[fem.sg.]

 INPUT STRING:	واقامه
     IS_TRANS:	wAqAmh
        INDEX:	P11W6
      OFFSETS:	26-32
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqAmap_1]
   UNSPLITVOC:	(wiAiqAmap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+AiqAm+ap
        GLOSS:	and+residency/setting up+[fem.sg.]

 INPUT STRING:	دوله
     IS_TRANS:	dwlh
        INDEX:	P11W7
      OFFSETS:	33-37
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	حدود
     IS_TRANS:	Hdwd
        INDEX:	P11W8
      OFFSETS:	38-42
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Hiduwd)
          POS:	NOUN
          VOC:	Hiduwd
        GLOSS:	extent/limit/level/border/frontier/limits

 INPUT STRING:	وواجبات
     IS_TRANS:	wwAjbAt
        INDEX:	P11W9
      OFFSETS:	43-50
       TOKENS:	P11W12-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAjib_1]
   UNSPLITVOC:	(wiwAjibAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+wAjib+At
        GLOSS:	and+duties/obligations/requirement+[fem.pl.]

 INPUT STRING:	وليس
     IS_TRANS:	wlys
        INDEX:	P11W10
      OFFSETS:	51-55
       TOKENS:	P11W14-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(walayosa)
          POS:	CONJ+NEG_PART
          VOC:	wa+layosa
        GLOSS:	and+not

 INPUT STRING:	بالقهر
     IS_TRANS:	bAlqhr
        INDEX:	P11W11
      OFFSETS:	56-62
       TOKENS:	P11W16-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qahor_1]
   UNSPLITVOC:	(biAlqahor)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+qahor
        GLOSS:	with/by+the+subjugation/coercion/forcibly/by force

 INPUT STRING:	وعنف
     IS_TRANS:	wEnf
        INDEX:	P11W12
      OFFSETS:	63-67
       TOKENS:	P11W18-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eunof_1]
   UNSPLITVOC:	(wiEunof)
          POS:	CONJ+NOUN
          VOC:	wi+Eunof
        GLOSS:	and+violence/force

 INPUT STRING:	افيققققققققققققققققوا
     IS_TRANS:	AfyqqqqqqqqqqqqqqqqwA
        INDEX:	P12W1
      OFFSETS:	0-21
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AafAq_1]
   UNSPLITVOC:	(AfiyquwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Afiyq+uwA
        GLOSS:	wake up+you [pl.]

 INPUT STRING:	نسيتم
     IS_TRANS:	nsytm
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(nisiytum)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	nisiy+tuwA
        GLOSS:	forget+you

 INPUT STRING:	قاعده
     IS_TRANS:	qAEdh
        INDEX:	P13W2
      OFFSETS:	6-11
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qAEod+ap
        GLOSS:	rule/principle/basis+[fem.sg.]

 INPUT STRING:	شرعيه
     IS_TRANS:	$rEyh
        INDEX:	P13W3
      OFFSETS:	12-17
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroEiy_1]
   UNSPLITVOC:	($aroEiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$aroEiy~+ap
        GLOSS:	legitimate/lawful/legal/legislative+[fem.sg.]

 INPUT STRING:	وامركم
     IS_TRANS:	wAmrkm
        INDEX:	P13W4
      OFFSETS:	18-24
       TOKENS:	P13W4-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(wi>amorukum)
          POS:	CONJ+NOUN+POSS_PRON_2P
          VOC:	wi+>amor+kum
        GLOSS:	and+order/command/orders/commands+your

 INPUT STRING:	شورى
     IS_TRANS:	$wrY
        INDEX:	P13W5
      OFFSETS:	25-29
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uwraY_1]
   UNSPLITVOC:	($uwraY)
          POS:	NOUN
          VOC:	$uwraY
        GLOSS:	consultation/deliberation

 INPUT STRING:	بينكم
     IS_TRANS:	bynkm
        INDEX:	P13W6
      OFFSETS:	30-35
       TOKENS:	P13W8-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(bayonkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	bayon+kum
        GLOSS:	between+your

 INPUT STRING:	فكيف
     IS_TRANS:	fkyf
        INDEX:	P13W7
      OFFSETS:	36-40
       TOKENS:	P13W10-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(fakayof)
          POS:	CONJ+INTERROG_ADV
          VOC:	fa+kayof
        GLOSS:	so/and+how

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P13W8
      OFFSETS:	41-44
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	وتكفرون
     IS_TRANS:	wtkfrwn
        INDEX:	P13W9
      OFFSETS:	45-52
       TOKENS:	P13W13-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kaf~ar_1]
   UNSPLITVOC:	(watukaf~iruwn)
          POS:	CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wa+tu+kaf~ir+uwn
        GLOSS:	and+you [pl.]+blaspheme/renege Islam+you [pl.]

 INPUT STRING:	وتهاجمون
     IS_TRANS:	wthAjmwn
        INDEX:	P13W10
      OFFSETS:	53-61
       TOKENS:	P13W15-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAjam_1]
   UNSPLITVOC:	(watuhAjimuwn)
          POS:	CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wa+tu+hAjim+uwn
        GLOSS:	and+you [pl.]+attack/assault+you [pl.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P13W11
      OFFSETS:	62-64
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W12
      OFFSETS:	65-67
       TOKENS:	P13W18-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	ينتقدكم
     IS_TRANS:	yntqdkm
        INDEX:	P13W13
      OFFSETS:	68-75
       TOKENS:	P13W19-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aintaqad_1]
   UNSPLITVOC:	(yintaqidkum)
          POS:	IV3MS+IV+IVSUFF_DO:2P
          VOC:	yi+ntaqid+kum
        GLOSS:	he/it+criticise+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W14
      OFFSETS:	76-77
       TOKENS:	P13W21-P13W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W15
      OFFSETS:	77-78
       TOKENS:	P13W22-P13W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P14W1
      OFFSETS:	0-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	نهاجم
     IS_TRANS:	nhAjm
        INDEX:	P14W2
      OFFSETS:	4-9
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(nihAjim)
          POS:	IV1P+IV
          VOC:	ni+hAjim
        GLOSS:	we+attack

 INPUT STRING:	فكر
     IS_TRANS:	fkr
        INDEX:	P14W3
      OFFSETS:	10-13
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikor_1]
   UNSPLITVOC:	(fikor)
          POS:	NOUN
          VOC:	fikor
        GLOSS:	thought/thinking

 INPUT STRING:	سياسى
     IS_TRANS:	syAsY
        INDEX:	P14W4
      OFFSETS:	14-19
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(siyAsiy)
          POS:	ADJ
          VOC:	siyAsiy
        GLOSS:	political

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P14W5
      OFFSETS:	20-22
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	نويده
     IS_TRANS:	nwydh
        INDEX:	P14W6
      OFFSETS:	23-28
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~ad_1]
   UNSPLITVOC:	(nu&y~iduh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	nu+&y~id+uh
        GLOSS:	we+support+him/it

 INPUT STRING:	زوليس
     IS_TRANS:	zwlys
        INDEX:	P14W7
      OFFSETS:	29-34
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(zwlys)
          POS:	TYPO
          VOC:	zwlys
        GLOSS:	nogloss

 INPUT STRING:	دين
     IS_TRANS:	dyn
        INDEX:	P14W8
      OFFSETS:	35-38
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diyn)
          POS:	NOUN
          VOC:	diyn
        GLOSS:	religion

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W9
      OFFSETS:	39-41
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اجل
     IS_TRANS:	Ajl
        INDEX:	P14W10
      OFFSETS:	42-45
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajal_1]
   UNSPLITVOC:	(>ajal)
          POS:	NOUN
          VOC:	>ajal
        GLOSS:	for sake of/because of

 INPUT STRING:	صالح
     IS_TRANS:	SAlH
        INDEX:	P14W11
      OFFSETS:	46-50
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAliH_1]
   UNSPLITVOC:	(SAliH)
          POS:	NOUN
          VOC:	SAliH
        GLOSS:	advantage/interest/advantages/interests

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P14W12
      OFFSETS:	51-56
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يحفظ
     IS_TRANS:	yHfZ
        INDEX:	P15W2
      OFFSETS:	5-9
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(yiHofaZ)
          POS:	IV3MS+IV
          VOC:	yi+HofaZ
        GLOSS:	he/it+protect

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P15W3
      OFFSETS:	10-13
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ويكفينا
     IS_TRANS:	wykfynA
        INDEX:	P15W4
      OFFSETS:	14-21
       TOKENS:	P15W5-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaf~aY_1]
   UNSPLITVOC:	(wiyikaf~iynA)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:1P
          VOC:	wi+yi+kaf~iy+nA
        GLOSS:	and+he/it+stop+us

 INPUT STRING:	شر
     IS_TRANS:	$r
        INDEX:	P15W5
      OFFSETS:	22-24
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ar~_1]
   UNSPLITVOC:	($ar~)
          POS:	NOUN
          VOC:	$ar~
        GLOSS:	evil/malice

 INPUT STRING:	الفتن
     IS_TRANS:	Alftn
        INDEX:	P15W6
      OFFSETS:	25-30
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faton_1]
   UNSPLITVOC:	(Alfaton)
          POS:	DET+NOUN
          VOC:	Al+faton
        GLOSS:	the+sedition/dissension/discord

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يحفظ
     IS_TRANS:	yHfZ
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(yiHofaZ)
          POS:	IV3MS+IV
          VOC:	yi+HofaZ
        GLOSS:	he/it+protect

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P16W3
      OFFSETS:	10-12
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	الشعوب
     IS_TRANS:	Al$Ewb
        INDEX:	P16W4
      OFFSETS:	13-19
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~uEuwb)
          POS:	DET+NOUN
          VOC:	Al+$uEuwb
        GLOSS:	the+peoples/nations

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P16W5
      OFFSETS:	20-27
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P16W6
      OFFSETS:	28-31
       TOKENS:	P16W7-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all, entire, every, whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W7
      OFFSETS:	32-34
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يتقى
     IS_TRANS:	ytqY
        INDEX:	P16W8
      OFFSETS:	35-39
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~aqaY_1]
   UNSPLITVOC:	(yat~qiy)
          POS:	IV3MS+IV
          VOC:	ya+t~qiy
        GLOSS:	he/it+be afraid

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P16W9
      OFFSETS:	40-44
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P16W10
      OFFSETS:	45-49
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P17W2
      OFFSETS:	5-7
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W3
      OFFSETS:	8-10
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
