 INPUT STRING:	عجبت

 INPUT STRING:	مؤقتا
     IS_TRANS:	m&qtA
        INDEX:	P12W9
      OFFSETS:	42-47
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&aq~at_1]
   UNSPLITVOC:	(mu&aq~atAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	mu&aq~at+AF
        GLOSS:	temporary/provisional+[acc.indef.]

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P12W10
      OFFSETS:	48-50
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	دائما
     IS_TRANS:	dA}mA
        INDEX:	P12W11
      OFFSETS:	51-56
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dA}im_1]
   UNSPLITVOC:	(dA}imAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	dA}im+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W12
      OFFSETS:	57-59
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	رؤيتهم
     IS_TRANS:	r&ythm
        INDEX:	P12W13
      OFFSETS:	60-66
       TOKENS:	P12W15-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ru&oyap_1]
   UNSPLITVOC:	(ru&oyithum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	ru&oy+ap+hum
        GLOSS:	view/opinion+[fem.sg.]+their

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P12W14
      OFFSETS:	67-69
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they [masc.pl]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P12W15
      OFFSETS:	69-70
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	أولى
     IS_TRANS:	>wlY
        INDEX:	P13W2
      OFFSETS:	4-8
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awolaY_2]
   UNSPLITVOC:	(>awolaY)
          POS:	ADJ
          VOC:	>awolaY
        GLOSS:	more/most appropriate/suitable/deserving

 INPUT STRING:	بنا
     IS_TRANS:	bnA
        INDEX:	P13W3
      OFFSETS:	9-12
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(binA)
          POS:	PREP+PRON_1P
          VOC:	bi+nA
        GLOSS:	with/by+us

 INPUT STRING:	ترك
     IS_TRANS:	trk
        INDEX:	P13W4
      OFFSETS:	13-16
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarok_1]
   UNSPLITVOC:	(tarok)
          POS:	NOUN
          VOC:	tarok
        GLOSS:	leaving/omission

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P13W5
      OFFSETS:	17-22
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P13W6
      OFFSETS:	23-25
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P13W7
      OFFSETS:	26-31
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+rule/government

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P13W8
      OFFSETS:	31-32
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فلقد
     IS_TRANS:	flqd
        INDEX:	P13W9
      OFFSETS:	33-37
       TOKENS:	P13W10-P13W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(falaqado)
          POS:	CONJ+VERB_PART
          VOC:	fa+laqado
        GLOSS:	so/and+already

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P13W10
      OFFSETS:	38-41
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	الأكثر
     IS_TRANS:	Al>kvr
        INDEX:	P13W11
      OFFSETS:	42-48
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>akovar_2]
   UNSPLITVOC:	(Al>akovar)
          POS:	DET+ADJ_COMP
          VOC:	Al+>akovar
        GLOSS:	the+more, most, majority

 INPUT STRING:	توافقا
     IS_TRANS:	twAfqA
        INDEX:	P13W12
      OFFSETS:	49-55
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawAfuq_1]
   UNSPLITVOC:	(tawAfuqAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	tawAfuq+AF
        GLOSS:	agreement/conformity+[acc.indef.]

 INPUT STRING:	وإرضاء
     IS_TRANS:	w<rDA'
        INDEX:	P13W13
      OFFSETS:	56-62
       TOKENS:	P13W15-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iroDA'_1]
   UNSPLITVOC:	(wi<iroDA')
          POS:	CONJ+NOUN
          VOC:	wi+<iroDA'
        GLOSS:	and+satisfaction/fulfillment

 INPUT STRING:	للغرب
     IS_TRANS:	llgrb
        INDEX:	P13W14
      OFFSETS:	63-68
       TOKENS:	P13W17-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garob_1]
   UNSPLITVOC:	(lilgarob)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+garob
        GLOSS:	for/to+the+west/West/westward/in the West

 INPUT STRING:	وأمريكا
     IS_TRANS:	w>mrykA
        INDEX:	P13W15
      OFFSETS:	69-76
       TOKENS:	P13W19-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(wi>amoriykA)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+>amoriykA
        GLOSS:	and+America

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P13W16
      OFFSETS:	76-77
       TOKENS:	P13W21-P13W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	اذا
     IS_TRANS:	A*A
        INDEX:	P14W1
      OFFSETS:	0-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	if/when

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P14W2
      OFFSETS:	4-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	محرككم
     IS_TRANS:	mHrkkm
        INDEX:	P14W3
      OFFSETS:	8-14
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHar~ik_1]
   UNSPLITVOC:	(muHar~ik~um)
          POS:	ADJ+POSS_PRON_2P
          VOC:	muHar~ik+kum
        GLOSS:	motor/engine+your [pl.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P14W4
      OFFSETS:	15-17
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	دكتور
     IS_TRANS:	dktwr
        INDEX:	P14W5
      OFFSETS:	18-23
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(dukotawr)
          POS:	NOUN
          VOC:	dukotawr
        GLOSS:	doctor/Doctor/Dr.

 INPUT STRING:	بديع
     IS_TRANS:	bdyE
        INDEX:	P14W6
      OFFSETS:	24-28
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badiyE_1]
   UNSPLITVOC:	(badiyE)
          POS:	NOUN_PROP
          VOC:	badiyE
        GLOSS:	Badie

 INPUT STRING:	الخوف
     IS_TRANS:	Alxwf
        INDEX:	P14W7
      OFFSETS:	29-34
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xawf_1]
   UNSPLITVOC:	(Alxawf)
          POS:	DET+NOUN
          VOC:	Al+xawf
        GLOSS:	the+fear

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W8
      OFFSETS:	35-37
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الغرب
     IS_TRANS:	Algrb
        INDEX:	P14W9
      OFFSETS:	38-43
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garob_1]
   UNSPLITVOC:	(Algarob)
          POS:	DET+NOUN
          VOC:	Al+garob
        GLOSS:	the+west/West/westward/in the West

 INPUT STRING:	وأمريكا
     IS_TRANS:	w>mrykA
        INDEX:	P14W10
      OFFSETS:	44-51
       TOKENS:	P14W11-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(wi>amoriykA)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+>amoriykA
        GLOSS:	and+America

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P14W11
      OFFSETS:	52-54
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تغدر
     IS_TRANS:	tgdr
        INDEX:	P14W12
      OFFSETS:	55-59
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gadar_1]
   UNSPLITVOC:	(tugodur)
          POS:	IV3FS+IV
          VOC:	tu+godur
        GLOSS:	it/theyshe+betray/double cross

 INPUT STRING:	بمصر
     IS_TRANS:	bmSr
        INDEX:	P14W13
      OFFSETS:	60-64
       TOKENS:	P14W15-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(bimaSor)
          POS:	PREP+NOUN_PROP
          VOC:	bi+maSor
        GLOSS:	with/by+Egypt

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P14W14
      OFFSETS:	64-65
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فلتهذب
     IS_TRANS:	flth*b
        INDEX:	P14W15
      OFFSETS:	66-72
       TOKENS:	P14W18-P14W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(flth*b)
          POS:	TYPO
          VOC:	flth*b
        GLOSS:	nogloss

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P14W16
      OFFSETS:	73-79
       TOKENS:	P14W19-P14W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P14W17
      OFFSETS:	80-83
       TOKENS:	P14W20-P14W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(wamano)
          POS:	CONJ+REL_PRON
          VOC:	wa+mano
        GLOSS:	and+who/whom

 INPUT STRING:	معها
     IS_TRANS:	mEhA
        INDEX:	P14W18
      OFFSETS:	84-88
       TOKENS:	P14W22-P14W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEa+hA
        GLOSS:	something with+its/their/her

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P14W19
      OFFSETS:	89-92
       TOKENS:	P14W24-P14W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	الجحيم
     IS_TRANS:	AljHym
        INDEX:	P14W20
      OFFSETS:	93-99
       TOKENS:	P14W25-P14W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaHiym_1]
   UNSPLITVOC:	(AljaHiym)
          POS:	DET+NOUN
          VOC:	Al+jaHiym
        GLOSS:	the+hell/inferno

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P14W21
      OFFSETS:	99-100
       TOKENS:	P14W26-P14W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P15W2
      OFFSETS:	6-8
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P15W3
      OFFSETS:	9-13
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	she/it/they+be

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P15W4
      OFFSETS:	14-17
       TOKENS:	P15W5-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+us (we have)

 INPUT STRING:	عزة
     IS_TRANS:	Ezp
        INDEX:	P15W5
      OFFSETS:	18-21
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiz~ap_1]
   UNSPLITVOC:	(Eiz~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eiz~+ap
        GLOSS:	power/glory/honor+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P15W6
      OFFSETS:	22-25
       TOKENS:	P15W8-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	نصر
     IS_TRANS:	nSr
        INDEX:	P15W7
      OFFSETS:	26-29
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSor_1]
   UNSPLITVOC:	(naSor)
          POS:	NOUN
          VOC:	naSor
        GLOSS:	victory/assistance

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P15W8
      OFFSETS:	30-33
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	بالتمسك
     IS_TRANS:	bAltmsk
        INDEX:	P15W9
      OFFSETS:	34-41
       TOKENS:	P15W12-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamos~uk_1]
   UNSPLITVOC:	(biAlt~amos~uk)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+tamos~uk
        GLOSS:	with/by+the+adherence/commitment

 INPUT STRING:	بدين
     IS_TRANS:	bdyn
        INDEX:	P15W10
      OFFSETS:	42-46
       TOKENS:	P15W14-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(bidiyn)
          POS:	PREP+NOUN
          VOC:	bi+diyn
        GLOSS:	with/by+religion

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P15W11
      OFFSETS:	47-51
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	والوقوف
     IS_TRANS:	wAlwqwf
        INDEX:	P15W12
      OFFSETS:	52-59
       TOKENS:	P15W17-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuquwf_1]
   UNSPLITVOC:	(wiAlwuquwf)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+wuquwf
        GLOSS:	and+the+standing/stopping/halting

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P15W13
      OFFSETS:	60-63
       TOKENS:	P15W19-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الثوابت
     IS_TRANS:	AlvwAbt
        INDEX:	P15W14
      OFFSETS:	64-71
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAbitap_1]
   UNSPLITVOC:	(Alv~awAbit)
          POS:	DET+NOUN
          VOC:	Al+vawAbit
        GLOSS:	the+principles/rules/restablished norms

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W15
      OFFSETS:	71-72
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ومساندة
     IS_TRANS:	wmsAndp
        INDEX:	P15W16
      OFFSETS:	73-80
       TOKENS:	P15W22-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musAnodap_1]
   UNSPLITVOC:	(wimusAnodap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+musAnod+ap
        GLOSS:	and+support/aid+[fem.sg.]

 INPUT STRING:	رجل
     IS_TRANS:	rjl
        INDEX:	P15W17
      OFFSETS:	81-84
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(rajul)
          POS:	NOUN
          VOC:	rajul
        GLOSS:	man

 INPUT STRING:	منا
     IS_TRANS:	mnA
        INDEX:	P15W18
      OFFSETS:	85-88
       TOKENS:	P15W25-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~A)
          POS:	PREP+PRON_1P
          VOC:	min+nA
        GLOSS:	from+us

 INPUT STRING:	يقود
     IS_TRANS:	yqwd
        INDEX:	P15W19
      OFFSETS:	89-93
       TOKENS:	P15W27-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAd_1]
   UNSPLITVOC:	(yiquwd)
          POS:	IV3MS+IV
          VOC:	yi+quwd
        GLOSS:	he/it+lead/guide

 INPUT STRING:	أمتنا
     IS_TRANS:	>mtnA
        INDEX:	P15W20
      OFFSETS:	94-99
       TOKENS:	P15W28-P15W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>um~ap_1]
   UNSPLITVOC:	(>um~itnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	>um~+ap+nA
        GLOSS:	nation/people+[fem.sg.]+our

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P15W21
      OFFSETS:	100-103
       TOKENS:	P15W30-P15W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	مبتغانا
     IS_TRANS:	mbtgAnA
        INDEX:	P15W22
      OFFSETS:	104-111
       TOKENS:	P15W31-P15W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubotagay_1]
   UNSPLITVOC:	(mubotagAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	mubotagaY+nA
