 INPUT STRING:	البحث
 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W5
      OFFSETS:	26-27
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W6
      OFFSETS:	27-28
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P4W7
      OFFSETS:	29-32
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+be necessary/be incumbent

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W8
      OFFSETS:	33-35
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	نتحرك
     IS_TRANS:	ntHrk
        INDEX:	P4W9
      OFFSETS:	36-41
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHar~ak_1]
   UNSPLITVOC:	(nitoHar~ak)
          POS:	IV1P+IV
          VOC:	ni+toHar~ak
        GLOSS:	we+move/get moving/be set in motion

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P4W10
      OFFSETS:	42-45
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+be necessary/be incumbent

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W11
      OFFSETS:	46-48
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	نلتقي
     IS_TRANS:	nltqy
        INDEX:	P4W12
      OFFSETS:	49-54
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AilotaqaY_1]
   UNSPLITVOC:	(niltiqiy)
          POS:	IV1P+IV
          VOC:	ni+ltiqiy
        GLOSS:	we+meet/encounter

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P4W13
      OFFSETS:	55-58
       TOKENS:	P4W15-P4W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lawo_1]
   UNSPLITVOC:	(walawo)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+lawo
        GLOSS:	and+if

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P4W14
      OFFSETS:	59-62
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W15
      OFFSETS:	63-65
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	طريق
     IS_TRANS:	Tryq
        INDEX:	P4W16
      OFFSETS:	66-70
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/roads/ways/means/methods

 INPUT STRING:	الإنترنت
     IS_TRANS:	Al<ntrnt
        INDEX:	P4W17
      OFFSETS:	71-79
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotaronit_1]
   UNSPLITVOC:	(Al<inotaronit)
          POS:	DET+NOUN_PROP
          VOC:	Al+<inotaronit
        GLOSS:	the+Internet

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P4W18
      OFFSETS:	80-84
       TOKENS:	P4W21-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P4W19
      OFFSETS:	85-89
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+work/function/act

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P4W20
      OFFSETS:	90-94
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P4W21
      OFFSETS:	95-97
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P4W22
      OFFSETS:	98-102
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	لسد
     IS_TRANS:	lsd
        INDEX:	P4W23
      OFFSETS:	103-106
       TOKENS:	P4W27-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sad~_1]
   UNSPLITVOC:	(lisad~)
          POS:	PREP+NOUN
          VOC:	li+sad~
        GLOSS:	for/to+obstruction

 INPUT STRING:	الحملة
     IS_TRANS:	AlHmlp
        INDEX:	P4W24
      OFFSETS:	107-113
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamolap_1]
   UNSPLITVOC:	(AlHamolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hamol+ap
        GLOSS:	the+campaign/expedition/attack/campaigns/expeditions/attacks+[fem.sg.]

 INPUT STRING:	العدوانية
     IS_TRANS:	AlEdwAnyp
        INDEX:	P4W25
      OFFSETS:	114-123
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EudowAniy_1]
   UNSPLITVOC:	(AlEudowAniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EudowAniy~+ap
        GLOSS:	the+hostile/aggressive+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W26
      OFFSETS:	124-127
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W27
      OFFSETS:	128-130
       TOKENS:	P4W32-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W28
      OFFSETS:	131-133
       TOKENS:	P4W33-P4W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	ينطق
     IS_TRANS:	ynTq
        INDEX:	P4W29
      OFFSETS:	134-138
       TOKENS:	P4W34-P4W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naTaq_1]
   UNSPLITVOC:	(yinoTaq)
          POS:	IV3MS+IV
          VOC:	yi+noTaq
        GLOSS:	he/it+speak/utter/pronounce/be spoken/be uttered/be pronounced

 INPUT STRING:	بلغة
     IS_TRANS:	blgp
        INDEX:	P4W30
      OFFSETS:	139-143
       TOKENS:	P4W35-P4W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(bilugap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+lug+ap
        GLOSS:	with/by+language/languages+[fem.sg.]

 INPUT STRING:	الضاد
     IS_TRANS:	AlDAd
        INDEX:	P4W31
      OFFSETS:	144-149
       TOKENS:	P4W37-P4W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAd_1]
   UNSPLITVOC:	(AlD~Ad)
          POS:	DET+NOUN
          VOC:	Al+DAd
        GLOSS:	the+Dad

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W32
      OFFSETS:	150-151
       TOKENS:	P4W38-P4W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وأنا
     IS_TRANS:	w>nA
        INDEX:	P5W1
      OFFSETS:	1-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W2
      OFFSETS:	6-8
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	انتظار
     IS_TRANS:	AntZAr
        INDEX:	P5W3
      OFFSETS:	9-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AintiZAr_1]
   UNSPLITVOC:	(AintiZAr)
          POS:	NOUN
          VOC:	AintiZAr
        GLOSS:	waiting/anticipating

 INPUT STRING:	ردودكم
     IS_TRANS:	rdwdkm
        INDEX:	P5W4
      OFFSETS:	16-22
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(ruduwdkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	ruduwd+kum
        GLOSS:	replies/responses+your

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W5
      OFFSETS:	23-24
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W6
      OFFSETS:	24-25
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أخوكم
     IS_TRANS:	>xwkm
        INDEX:	P6W1
      OFFSETS:	1-6
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(>axuwkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	>axuw+kum
        GLOSS:	brother+your

 INPUT STRING:	بسبوسة
     IS_TRANS:	bsbwsp
        INDEX:	P6W2
      OFFSETS:	7-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basobuwsap_1]
   UNSPLITVOC:	(basobuwsap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	basobuws+ap
        GLOSS:	basbousah (semolina cake)+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W1
      OFFSETS:	1-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاهم
     IS_TRANS:	fAhm
        INDEX:	P7W2
      OFFSETS:	4-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhim)
          POS:	ADJ
          VOC:	fAhim
        GLOSS:	understanding

 INPUT STRING:	الفكرة
     IS_TRANS:	Alfkrp
        INDEX:	P7W3
      OFFSETS:	9-15
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(Alfikorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fikor+ap
        GLOSS:	the+idea/notion/concept+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W4
      OFFSETS:	16-17
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W5
      OFFSETS:	17-18
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W6
      OFFSETS:	18-19
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ياريت
     IS_TRANS:	yAryt
        INDEX:	P7W7
      OFFSETS:	20-25
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAryt)
          POS:	NO_FUNC
          VOC:	yAryt
        GLOSS:	nogloss

 INPUT STRING:	توضيح
     IS_TRANS:	twDyH
        INDEX:	P7W8
      OFFSETS:	26-31
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawDiyH_1]
   UNSPLITVOC:	(tawDiyH)
          POS:	NOUN
          VOC:	tawDiyH
        GLOSS:	explanation/clarification

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P7W9
      OFFSETS:	32-36
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more, most, majority

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P7W10
      OFFSETS:	37-39
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P7W11
      OFFSETS:	40-44
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W1
      OFFSETS:	1-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(<ino)
          POS:	SUB_CONJ
          VOC:	<ino
        GLOSS:	Although, (even) though, even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P8W2
      OFFSETS:	4-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W3
      OFFSETS:	8-12
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P8W4
      OFFSETS:	13-15
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	ابناء
     IS_TRANS:	AbnA'
        INDEX:	P8W5
      OFFSETS:	16-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aibn_1]
   UNSPLITVOC:	(AbnA')
          POS:	NOUN
          VOC:	AbnA'
        GLOSS:	sons/children

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W6
      OFFSETS:	22-25
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	المغتربين
     IS_TRANS:	Almgtrbyn
        INDEX:	P8W7
      OFFSETS:	26-35
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mugotarib_1]
   UNSPLITVOC:	(Almugotaribiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+mugotarib+iyn
        GLOSS:	the+exiled+[masc.pl.]

 INPUT STRING:	بنضموا
     IS_TRANS:	bnDmwA
        INDEX:	P8W8
      OFFSETS:	36-42
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AinDam~_1]
   UNSPLITVOC:	(biyinDam~uwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+nDam~+uwA
        GLOSS:	will+they+join+they

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P8W9
      OFFSETS:	43-45
       TOKENS:	P8W10-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you

 INPUT STRING:	انشاء
     IS_TRANS:	An$A'
        INDEX:	P9W1
      OFFSETS:	1-6
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(An$A')
          POS:	TYPO
          VOC:	An$A'
        GLOSS:	nogloss

 INPUT STRING:	اللة
     IS_TRANS:	Allp
        INDEX:	P9W2
      OFFSETS:	7-11
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اونا
     IS_TRANS:	AwnA
        INDEX:	P9W3
      OFFSETS:	12-16
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AwnA)
          POS:	TYPO
          VOC:	AwnA
        GLOSS:	nogloss

 INPUT STRING:	معكم
     IS_TRANS:	mEkm
        INDEX:	P9W4
      OFFSETS:	17-21
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEaukum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	maEa+kum
        GLOSS:	something with+your

 INPUT STRING:	فكره
     IS_TRANS:	fkrh
        INDEX:	P10W1
      OFFSETS:	1-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	حلوه
     IS_TRANS:	Hlwh
        INDEX:	P10W2
      OFFSETS:	6-10
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	good+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P10W3
      OFFSETS:	11-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	بسبوسه
     IS_TRANS:	bsbwsh
        INDEX:	P10W4
      OFFSETS:	14-20
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basobuwsap_1]
   UNSPLITVOC:	(basobuwsap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	basobuws+ap
        GLOSS:	basbousah (semolina cake)+[fem.sg.]

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P11W1
      OFFSETS:	1-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lakino_1]
   UNSPLITVOC:	(walakino)
          POS:	CONJ+CONJ
          VOC:	wa+lakino
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P11W2
      OFFSETS:	6-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
