 INPUT STRING:	يعني

 INPUT STRING:	ودول
     IS_TRANS:	wdwl
        INDEX:	P12W14
      OFFSETS:	71-75
       TOKENS:	P12W21-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwl_1]
   UNSPLITVOC:	(widuwl)
          POS:	CONJ+DEM_PRON_P
          VOC:	wi+duwl
        GLOSS:	and+those/these

 INPUT STRING:	الباقى
     IS_TRANS:	AlbAqY
        INDEX:	P12W15
      OFFSETS:	76-82
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAqiy_1]
   UNSPLITVOC:	(AlbAqiy)
          POS:	DET+NOUN
          VOC:	Al+bAqiy
        GLOSS:	the+remaining

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P12W16
      OFFSETS:	83-87
       TOKENS:	P12W24-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uhum)
          POS:	PREP+PRON_3P
          VOC:	min~+hum
        GLOSS:	from+them

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P12W17
      OFFSETS:	88-90
       TOKENS:	P12W26-P12W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P12W18
      OFFSETS:	91-94
       TOKENS:	P12W27-P12W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P12W19
      OFFSETS:	95-99
       TOKENS:	P12W28-P12W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	هيتكنس
     IS_TRANS:	hytkns
        INDEX:	P12W20
      OFFSETS:	100-106
       TOKENS:	P12W29-P12W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokanas_1]
   UNSPLITVOC:	(Hayitokinis)
          POS:	FUT_PART+IV3MS+IV_PASS
          VOC:	Ha+yi+tokinis
        GLOSS:	will+he/it+be ruled out/be rejected

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P12W21
      OFFSETS:	107-109
       TOKENS:	P12W31-P12W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	وحدة
     IS_TRANS:	wHdp
        INDEX:	P12W22
      OFFSETS:	110-114
       TOKENS:	P12W32-P12W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waHid_1]
   UNSPLITVOC:	(waHdap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	waHd+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	وحدة
     IS_TRANS:	wHdp
        INDEX:	P12W23
      OFFSETS:	115-119
       TOKENS:	P12W33-P12W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waHid_1]
   UNSPLITVOC:	(waHdap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	waHd+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	لحد
     IS_TRANS:	lHd
        INDEX:	P12W24
      OFFSETS:	120-123
       TOKENS:	P12W34-P12W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(liHad~)
          POS:	PREP+NOUN
          VOC:	li+Had~
        GLOSS:	for/to+extent/limit/level/border/frontier/limits

 INPUT STRING:	ماتبقى
     IS_TRANS:	mAtbqY
        INDEX:	P12W25
      OFFSETS:	124-130
       TOKENS:	P12W36-P12W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(mAtibqaY)
          POS:	SUB_CONJ+IV3FS+IV
          VOC:	mA+ti+bqaY
        GLOSS:	that+it/they/she+become/remain

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P12W26
      OFFSETS:	131-134
       TOKENS:	P12W38-P12W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	افضل
     IS_TRANS:	AfDl
        INDEX:	P12W27
      OFFSETS:	135-139
       TOKENS:	P12W39-P12W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better, best

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W28
      OFFSETS:	140-142
       TOKENS:	P12W40-P12W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السعودية
     IS_TRANS:	AlsEwdyp
        INDEX:	P12W29
      OFFSETS:	143-151
       TOKENS:	P12W41-P12W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suEuwdiy~ap_1]
   UNSPLITVOC:	(Als~uEuwdiy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+suEuwdiy~+ap
        GLOSS:	the+Saudi Arabia+[fem.sg.]

 INPUT STRING:	ةولا
     IS_TRANS:	pwlA
        INDEX:	P12W30
      OFFSETS:	152-156
       TOKENS:	P12W42-P12W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(pwlA)
          POS:	TYPO
          VOC:	pwlA
        GLOSS:	nogloss

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P12W31
      OFFSETS:	157-160
       TOKENS:	P12W43-P12W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	زيها
     IS_TRANS:	zyhA
        INDEX:	P12W32
      OFFSETS:	161-165
       TOKENS:	P12W44-P12W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~ahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	zay~+hA
        GLOSS:	like/such as+its/their/her

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W33
      OFFSETS:	166-168
       TOKENS:	P12W46-P12W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W34
      OFFSETS:	169-171
       TOKENS:	P12W47-P12W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المال
     IS_TRANS:	AlmAl
        INDEX:	P12W35
      OFFSETS:	172-177
       TOKENS:	P12W48-P12W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(AlmAl)
          POS:	DET+NOUN
          VOC:	Al+mAl
        GLOSS:	the+money/capital/funds/assets/capital/funds

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P12W36
      OFFSETS:	178-181
       TOKENS:	P12W49-P12W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W37
      OFFSETS:	182-184
       TOKENS:	P12W50-P12W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P12W38
      OFFSETS:	185-189
       TOKENS:	P12W51-P12W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	methodology/system/order/methodologies/systems

 INPUT STRING:	الحاكم
     IS_TRANS:	AlHAkm
        INDEX:	P12W39
      OFFSETS:	190-196
       TOKENS:	P12W52-P12W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(AlHAkim)
          POS:	DET+NOUN
          VOC:	Al+HAkim
        GLOSS:	the+ruler/governor

 INPUT STRING:	وهيئة
     IS_TRANS:	why}p
        INDEX:	P12W40
      OFFSETS:	197-202
       TOKENS:	P12W53-P12W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hay}ap_1]
   UNSPLITVOC:	(wihay}ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+hay}+ap
        GLOSS:	and+organization/agency+[fem.sg.]

 INPUT STRING:	الامر
     IS_TRANS:	AlAmr
        INDEX:	P12W41
      OFFSETS:	203-208
       TOKENS:	P12W55-P12W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(Al>amor)
          POS:	DET+NOUN
          VOC:	Al+>amor
        GLOSS:	the+order/command/orders/commands

 INPUT STRING:	بالمعروف
     IS_TRANS:	bAlmErwf
        INDEX:	P12W42
      OFFSETS:	209-217
       TOKENS:	P12W56-P12W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(biAlmaEoruwf)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+maEoruwf
        GLOSS:	with/by+the+good

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yEny)
          POS:	NO_FUNC
          VOC:	yEny
        GLOSS:	nogloss

 INPUT STRING:	الضباط
     IS_TRANS:	AlDbAT
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_2]
   UNSPLITVOC:	(AlD~ub~AT)
          POS:	DET+NOUN
          VOC:	Al+Dub~AT
        GLOSS:	the+officers

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P13W3
      OFFSETS:	12-15
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	خلصو
     IS_TRANS:	xlSw
        INDEX:	P13W4
      OFFSETS:	16-20
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(xal~aSuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	xal~aS+uwA
        GLOSS:	finish+they

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P13W5
      OFFSETS:	21-23
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مشاكلهم
     IS_TRANS:	m$Aklhm
        INDEX:	P13W6
      OFFSETS:	24-31
       TOKENS:	P13W6-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(ma$Akilhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	ma$Akil+hum
        GLOSS:	problem/issue+their

 INPUT STRING:	وخدو
     IS_TRANS:	wxdw
        INDEX:	P13W7
      OFFSETS:	32-36
       TOKENS:	P13W8-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xad_1]
   UNSPLITVOC:	(wixaduwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+xad+uwA
        GLOSS:	and+take+they

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P13W8
      OFFSETS:	37-39
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	حقوقهم
     IS_TRANS:	Hqwqhm
        INDEX:	P13W9
      OFFSETS:	40-46
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Huquwqhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Huquwq+hum
        GLOSS:	right, prerogative, truth+their

 INPUT STRING:	وادوا
     IS_TRANS:	wAdwA
        INDEX:	P13W10
      OFFSETS:	47-52
       TOKENS:	P13W13-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ad~aY_1]
   UNSPLITVOC:	(wi>ad~uwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+>ad~+uwA
        GLOSS:	and+perform /carry out+they

 INPUT STRING:	واجبتهم
     IS_TRANS:	wAjbthm
        INDEX:	P13W11
      OFFSETS:	53-60
       TOKENS:	P13W15-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAjib_1]
   UNSPLITVOC:	(wAjibAthum)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3P
          VOC:	wAjib+At+hum
        GLOSS:	duties/obligations/requirement+[fem.pl.]+their

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P13W12
      OFFSETS:	61-65
       TOKENS:	P13W17-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all, entire, every, whole+its/their/her

 INPUT STRING:	وصلحوعلاقتهم
     IS_TRANS:	wSlHwElAqthm
        INDEX:	P13W13
      OFFSETS:	66-78
       TOKENS:	P13W19-P13W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wSlHwElAqthm)
          POS:	NO_FUNC
          VOC:	wSlHwElAqthm
        GLOSS:	nogloss

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P13W14
      OFFSETS:	79-81
       TOKENS:	P13W20-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P13W15
      OFFSETS:	82-87
       TOKENS:	P13W21-P13W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	وفيضيو
     IS_TRANS:	wfyDyw
        INDEX:	P13W16
      OFFSETS:	88-94
       TOKENS:	P13W22-P13W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiyDiy_1]
   UNSPLITVOC:	(wifiyDoyuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+fiyDoy+uwA
        GLOSS:	and+be empty/be unoccupied+they

 INPUT STRING:	للخناق
     IS_TRANS:	llxnAq
        INDEX:	P13W17
      OFFSETS:	95-101
       TOKENS:	P13W24-P13W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xinAq_1]
   UNSPLITVOC:	(lilxinAq)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+xinAq
        GLOSS:	for/to+the+noose/neck/throat/quarrel/fight

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P13W18
      OFFSETS:	102-105
       TOKENS:	P13W26-P13W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تربيه
     IS_TRANS:	trbyh
        INDEX:	P13W19
      OFFSETS:	106-111
       TOKENS:	P13W27-P13W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarobiy~ap_1]
   UNSPLITVOC:	(tarobiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tarobiy~+ap
        GLOSS:	education/pedagogy/breeding+[fem.sg.]

 INPUT STRING:	اللحيه
     IS_TRANS:	AllHyh
        INDEX:	P13W20
      OFFSETS:	112-118
       TOKENS:	P13W28-P13W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHoyap_1]
   UNSPLITVOC:	(All~iHoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+liHoy+ap
        GLOSS:	the+beard+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P13W21
      OFFSETS:	119-121
       TOKENS:	P13W29-P13W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P13W22
      OFFSETS:	122-124
       TOKENS:	P13W30-P13W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	ياجماعه
     IS_TRANS:	yAjmAEh
        INDEX:	P14W1
      OFFSETS:	0-7
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(yAjamAEap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yaA+jamAE+ap
        GLOSS:	oh+party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	تربيه
     IS_TRANS:	trbyh
        INDEX:	P14W2
      OFFSETS:	8-13
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarobiy~ap_1]
   UNSPLITVOC:	(tarobiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tarobiy~+ap
        GLOSS:	education/pedagogy/breeding+[fem.sg.]

 INPUT STRING:	اللحيه
     IS_TRANS:	AllHyh
        INDEX:	P14W3
      OFFSETS:	14-20
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHoyap_1]
   UNSPLITVOC:	(All~iHoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+liHoy+ap
        GLOSS:	the+beard+[fem.sg.]

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P14W4
      OFFSETS:	21-24
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sun~ap_1]
   UNSPLITVOC:	(sun~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	sun~+ap
        GLOSS:	customary procedure/orthodox (Sunni) Islam+[fem.sg.]

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P14W5
      OFFSETS:	25-28
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	تاديه
     IS_TRANS:	tAdyh
        INDEX:	P14W6
      OFFSETS:	29-34
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>odiyap_1]
   UNSPLITVOC:	(ta>odiyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ta>odiy+ap
        GLOSS:	accomplishment/performance+[fem.sg.]

 INPUT STRING:	العمل
     IS_TRANS:	AlEml
        INDEX:	P14W7
      OFFSETS:	35-40
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AlEamal)
          POS:	DET+NOUN
          VOC:	Al+Eamal
        GLOSS:	the+work

 INPUT STRING:	باخلاص
     IS_TRANS:	bAxlAS
        INDEX:	P14W8
      OFFSETS:	41-47
       TOKENS:	P14W9-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixolAS_1]
   UNSPLITVOC:	(biAixolAS)
          POS:	PREP+NOUN
          VOC:	bi+AixolAS
        GLOSS:	with/by+fidelity/sincerity

 INPUT STRING:	فريضه
     IS_TRANS:	fryDh
        INDEX:	P14W9
      OFFSETS:	48-53
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fariyDap_1]
   UNSPLITVOC:	(fariyDap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fariyD+ap
        GLOSS:	religious duty+[fem.sg.]

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become

 INPUT STRING:	يسيبو
     IS_TRANS:	ysybw
        INDEX:	P15W2
      OFFSETS:	5-10
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(yisiybuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+siyb+uwA
        GLOSS:	they+leave/quit+we

 INPUT STRING:	الفرائض
     IS_TRANS:	AlfrA}D
        INDEX:	P15W3
      OFFSETS:	11-18
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fariyDap_1]
   UNSPLITVOC:	(AlfarA}iD)
          POS:	DET+NOUN
          VOC:	Al+farA}iD
        GLOSS:	the+religious duties

 INPUT STRING:	ويمسكو
     IS_TRANS:	wymskw
        INDEX:	P15W4
      OFFSETS:	19-25
       TOKENS:	P15W4-P15W5
