 INPUT STRING:	اشترك
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(qAnuwn)
          POS:	NOUN
          VOC:	qAnuwn
        GLOSS:	law/statutes/regulations/laws/rules

 INPUT STRING:	التمييز
     IS_TRANS:	Altmyyz
        INDEX:	P7W2
      OFFSETS:	6-13
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamoyiyz_1]
   UNSPLITVOC:	(Alt~amoyiyz)
          POS:	DET+NOUN
          VOC:	Al+tamoyiyz
        GLOSS:	the+distinction/differentiation/discrimination/segregation

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W3
      OFFSETS:	13-14
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W4
      OFFSETS:	14-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	زيه
     IS_TRANS:	zyh
        INDEX:	P7W5
      OFFSETS:	16-19
       TOKENS:	P7W5-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	zay~+uh
        GLOSS:	like+his/its

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P7W6
      OFFSETS:	20-22
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay_1]
   UNSPLITVOC:	(zaY)
          POS:	NOUN
          VOC:	zaY
        GLOSS:	like/such as

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P7W7
      OFFSETS:	23-25
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	قانون
     IS_TRANS:	qAnwn
        INDEX:	P7W8
      OFFSETS:	26-31
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(qAnuwn)
          POS:	NOUN
          VOC:	qAnuwn
        GLOSS:	law/statutes/regulations/laws/rules

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P7W9
      OFFSETS:	32-34
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P7W10
      OFFSETS:	35-38
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W11
      OFFSETS:	38-39
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W12
      OFFSETS:	39-40
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W13
      OFFSETS:	41-43
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيطبق
     IS_TRANS:	hyTbq
        INDEX:	P7W14
      OFFSETS:	44-49
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(HayiTab~aq)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+Tab~aq
        GLOSS:	will+he/it+apply/implement/be applied/be implemented

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P7W15
      OFFSETS:	50-53
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayr_1]
   UNSPLITVOC:	(gayr)
          POS:	NOUN
          VOC:	gayr
        GLOSS:	not/other

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W16
      OFFSETS:	54-57
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الضعيف
     IS_TRANS:	AlDEyf
        INDEX:	P7W17
      OFFSETS:	58-64
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaEiyf_1]
   UNSPLITVOC:	(AlD~aEiyf)
          POS:	DET+ADJ
          VOC:	Al+DaEiyf
        GLOSS:	the+weak/deficient

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P7W18
      OFFSETS:	65-69
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	مالوش
     IS_TRANS:	mAlw$
        INDEX:	P7W19
      OFFSETS:	70-75
       TOKENS:	P7W21-P7W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(mAliuh$)
          POS:	NEG_PART+PREP+PRON_3MS+NEG_PART
          VOC:	mA+li+uh+$
        GLOSS:	not+to/for+he/it+not

 INPUT STRING:	ظهر
     IS_TRANS:	Zhr
        INDEX:	P7W20
      OFFSETS:	76-79
       TOKENS:	P7W25-P7W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahor_1]
   UNSPLITVOC:	(Zahor)
          POS:	NOUN
          VOC:	Zahor
        GLOSS:	back/spine/midst

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W21
      OFFSETS:	80-81
       TOKENS:	P7W26-P7W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W22
      OFFSETS:	81-82
       TOKENS:	P7W27-P7W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	المشكلة
     IS_TRANS:	Alm$klp
        INDEX:	P8W1
      OFFSETS:	0-7
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue/problems/issues/inconveniences+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P8W2
      OFFSETS:	8-12
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P8W3
      OFFSETS:	13-17
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mHd$)
          POS:	NO_FUNC
          VOC:	mHd$
        GLOSS:	nogloss

 INPUT STRING:	اتكلم
     IS_TRANS:	Atklm
        INDEX:	P8W4
      OFFSETS:	18-23
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(Aatokal~im)
          POS:	IV1S+IV
          VOC:	Aa+tokal~im
        GLOSS:	I+talk/speak

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P8W5
      OFFSETS:	24-28
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy_1)
          POS:	PREP
          VOC:	fiy_1
        GLOSS:	in

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W6
      OFFSETS:	29-31
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<an~_1]
   UNSPLITVOC:	(<an~)
          POS:	SUB_CONJ
          VOC:	<an~
        GLOSS:	that/to

 INPUT STRING:	القانون
     IS_TRANS:	AlqAnwn
        INDEX:	P8W7
      OFFSETS:	32-39
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAnuwn)
          POS:	DET+NOUN
          VOC:	Al+qAnuwn
        GLOSS:	the+law/statutes/regulations/laws/rules

 INPUT STRING:	سايبينه
     IS_TRANS:	sAybynh
        INDEX:	P8W8
      OFFSETS:	40-47
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAyib_1]
   UNSPLITVOC:	(sAyobiynuh)
          POS:	ADJ.VN+NSUFF_MASC_PL+PRON_3MS
          VOC:	sAyob+iyn+uh
        GLOSS:	leaving+two+him

 INPUT STRING:	عايم
     IS_TRANS:	EAym
        INDEX:	P8W9
      OFFSETS:	48-52
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyim_1]
   UNSPLITVOC:	(EAyim)
          POS:	ADJ
          VOC:	EAyim
        GLOSS:	oppressive/exorbitant/excessive/extra surplus/hanging lose

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P8W10
      OFFSETS:	53-57
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	جزئية
     IS_TRANS:	jz}yp
        INDEX:	P8W11
      OFFSETS:	58-63
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juzo}iy~ap_1]
   UNSPLITVOC:	(juzo}iy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	juzo}iy~+ap
        GLOSS:	detail/particle/parts/sections+[fem.sg.]

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P8W12
      OFFSETS:	64-69
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion/religions

 INPUT STRING:	والعقيدة
     IS_TRANS:	wAlEqydp
        INDEX:	P8W13
      OFFSETS:	70-78
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqiydap_1]
   UNSPLITVOC:	(wiAlEaqiydap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+Eaqiyd+ap
        GLOSS:	and+the+doctrine/creed/dogma/doctrines/creeds+[fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P8W14
      OFFSETS:	79-82
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV
          VOC:	kAn
        GLOSS:	be/was/were

 INPUT STRING:	مفروض
     IS_TRANS:	mfrwD
        INDEX:	P8W15
      OFFSETS:	83-88
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(maforuwD)
          POS:	NOUN
          VOC:	maforuwD
        GLOSS:	obligation/duty/obligations/duties

 INPUT STRING:	تتحدد
     IS_TRANS:	ttHdd
        INDEX:	P8W16
      OFFSETS:	89-94
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHad~id_1]
   UNSPLITVOC:	(titoHad~id)
          POS:	IV3FS+IV
          VOC:	ti+toHad~id
        GLOSS:	it/they/she+be defined/be determined/be specified

 INPUT STRING:	بالديانات
     IS_TRANS:	bAldyAnAt
        INDEX:	P8W17
      OFFSETS:	95-104
       TOKENS:	P8W19-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyAnap_1]
   UNSPLITVOC:	(biAld~iyAnAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	bi+Al+diyAn+At
        GLOSS:	with/by+the+religion/creed+[fem.pl.]

 INPUT STRING:	السماوية
     IS_TRANS:	AlsmAwyp
        INDEX:	P8W18
      OFFSETS:	105-113
       TOKENS:	P8W21-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samAwiy_1]
   UNSPLITVOC:	(Als~amAwiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+samAwiy~+ap
        GLOSS:	the+heavenly/celestial+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P8W19
      OFFSETS:	114-118
       TOKENS:	P8W22-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	منجيش
     IS_TRANS:	mnjy$
        INDEX:	P8W20
      OFFSETS:	119-124
       TOKENS:	P8W24-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jAh_1]
   UNSPLITVOC:	(mAnijiy$)
          POS:	NEG_PART+IV1P+IV+NEG_PART
          VOC:	mA+ni+jiy+$
        GLOSS:	not+we+occur/come/cime/arrive+not

 INPUT STRING:	فيوم
     IS_TRANS:	fywm
        INDEX:	P8W21
      OFFSETS:	125-129
       TOKENS:	P8W27-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(fayawm)
          POS:	CONJ+NOUN
          VOC:	fa+yawm
        GLOSS:	so/and+ever/period/day/today/some day

 INPUT STRING:	نلاقي
     IS_TRANS:	nlAqy
        INDEX:	P8W22
      OFFSETS:	130-135
       TOKENS:	P8W29-P8W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(nilAqiy)
          POS:	IV1P+IV
          VOC:	ni+lAqiy
        GLOSS:	we+find/meet/encounter

 INPUT STRING:	البهائي
     IS_TRANS:	AlbhA}y
        INDEX:	P8W23
      OFFSETS:	136-143
       TOKENS:	P8W30-P8W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bahA}iy_1]
   UNSPLITVOC:	(AlbahA}iy)
          POS:	DET+ADJ
          VOC:	Al+bahA}iy
        GLOSS:	the+Baha'i

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P8W24
      OFFSETS:	144-146
       TOKENS:	P8W31-P8W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	الشيعي
     IS_TRANS:	Al$yEy
        INDEX:	P8W25
      OFFSETS:	147-153
       TOKENS:	P8W32-P8W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iyEiy_1]
   UNSPLITVOC:	(Al$~iyEiy)
          POS:	DET+ADJ
          VOC:	Al+$iyEiy
        GLOSS:	the+Shiite

 INPUT STRING:	بيطالب
     IS_TRANS:	byTAlb
        INDEX:	P8W26
      OFFSETS:	154-160
       TOKENS:	P8W33-P8W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlab_1]
   UNSPLITVOC:	(biyiTAlib)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+TAlib
        GLOSS:	[present-tense]+he/it+demand/require

 INPUT STRING:	بحقوق
     IS_TRANS:	bHqwq
        INDEX:	P8W27
      OFFSETS:	161-166
       TOKENS:	P8W35-P8W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(biHuquwq)
          POS:	PREP+NOUN
          VOC:	bi+Huquwq
        GLOSS:	with/by+truth/right/against/towards/rights/law

 INPUT STRING:	وماخفي
     IS_TRANS:	wmAxfy
        INDEX:	P8W28
      OFFSETS:	167-173
       TOKENS:	P8W37-P8W37
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmAxfy)
          POS:	NO_FUNC
          VOC:	wmAxfy
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W29
      OFFSETS:	174-176
       TOKENS:	P8W38-P8W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ديانات
     IS_TRANS:	dyAnAt
        INDEX:	P8W30
      OFFSETS:	177-183
       TOKENS:	P8W39-P8W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyAnap_1]
   UNSPLITVOC:	(diyAnAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	diyAn+At
        GLOSS:	religion/creed+[fem.pl.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P8W31
      OFFSETS:	184-186
       TOKENS:	P8W40-P8W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	عقائد
     IS_TRANS:	EqA}d
        INDEX:	P8W32
      OFFSETS:	187-192
       TOKENS:	P8W41-P8W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qA}id_1]
   UNSPLITVOC:	(EaqA}id)
          POS:	PREP+NOUN
          VOC:	Ea+qA}id
        GLOSS:	on/above+leader/commander/leaders/commanders/driver/chauffeur/pilot/drivers

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P8W33
      OFFSETS:	193-196
       TOKENS:	P8W43-P8W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still/not yet

 INPUT STRING:	هتجد
     IS_TRANS:	htjd
        INDEX:	P8W34
      OFFSETS:	197-201
       TOKENS:	P8W44-P8W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(Hatijid)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+jid
        GLOSS:	will+you+find

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W35
      OFFSETS:	202-205
       TOKENS:	P8W46-P8W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الساحة
     IS_TRANS:	AlsAHp
        INDEX:	P8W36
      OFFSETS:	206-212
       TOKENS:	P8W47-P8W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAHap_1]
   UNSPLITVOC:	(Als~AHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAH+ap
        GLOSS:	the+scene/field/arena/scenes/fields/arenas/plaza/square+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P8W37
      OFFSETS:	213-220
       TOKENS:	P8W48-P8W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

