 INPUT STRING:	تعرض
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الموقع
     IS_TRANS:	AlmwqE
        INDEX:	P6W9
      OFFSETS:	38-44
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(AlmawqiE)
          POS:	DET+NOUN
          VOC:	Al+mawqiE
        GLOSS:	the+position/location/site

 INPUT STRING:	الاجتماعي
     IS_TRANS:	AlAjtmAEy
        INDEX:	P6W10
      OFFSETS:	45-54
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ijotimAEiy~_1]
   UNSPLITVOC:	(AlAijotimAEiy~)
          POS:	DET+ADJ
          VOC:	Al+{ijotimAEiy~
        GLOSS:	the+social

 INPUT STRING:	الفيسبوك
     IS_TRANS:	Alfysbwk
        INDEX:	P6W11
      OFFSETS:	55-63
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Alfysbwk)
          POS:	DET+FOREIGN
          VOC:	Al+fysbwk
        GLOSS:	the+facebook

 INPUT STRING:	جميع
     IS_TRANS:	jmyE
        INDEX:	P6W12
      OFFSETS:	64-68
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyE)
          POS:	NOUN
          VOC:	jamiyE
        GLOSS:	all, entire, every, whole

 INPUT STRING:	القوي
     IS_TRANS:	Alqwy
        INDEX:	P6W13
      OFFSETS:	69-74
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(AlqiwaY)
          POS:	DET+NOUN
          VOC:	Al+qiwaY
        GLOSS:	the+power/forces

 INPUT STRING:	السياسية
     IS_TRANS:	AlsyAsyp
        INDEX:	P6W14
      OFFSETS:	75-83
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(Als~iyAsiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+siyAsiy~+ap
        GLOSS:	the+political+[fem.sg.]

 INPUT STRING:	والنشطاء
     IS_TRANS:	wAln$TA'
        INDEX:	P6W15
      OFFSETS:	84-92
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$iyT_1]
   UNSPLITVOC:	(wiAlnu$aTA')
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nu$aTA'
        GLOSS:	and+the+activists

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P6W16
      OFFSETS:	93-96
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	تقديم
     IS_TRANS:	tqdym
        INDEX:	P6W17
      OFFSETS:	97-102
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqodiym_1]
   UNSPLITVOC:	(taqodiym)
          POS:	NOUN.VN
          VOC:	taqodiym
        GLOSS:	offering/presenting/submitting

 INPUT STRING:	واجب
     IS_TRANS:	wAjb
        INDEX:	P6W18
      OFFSETS:	103-107
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAjib_1]
   UNSPLITVOC:	(wAjib)
          POS:	NOUN
          VOC:	wAjib
        GLOSS:	duty/obligation/requirement

 INPUT STRING:	العزاء
     IS_TRANS:	AlEzA'
        INDEX:	P6W19
      OFFSETS:	108-114
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EazA'_1]
   UNSPLITVOC:	(AlEazA')
          POS:	DET+NOUN
          VOC:	Al+EazA'
        GLOSS:	the+consolation/mourning

 INPUT STRING:	لأسرة
     IS_TRANS:	l>srp
        INDEX:	P6W20
      OFFSETS:	115-120
       TOKENS:	P6W22-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usorap_1]
   UNSPLITVOC:	(li>usorap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+>usor+ap
        GLOSS:	for/to+family/community+[fem.sg.]

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P6W21
      OFFSETS:	121-125
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Jamal/Gamal

 INPUT STRING:	بالشرابية
     IS_TRANS:	bAl$rAbyp
        INDEX:	P6W22
      OFFSETS:	126-135
       TOKENS:	P6W25-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arAbiyap_1]
   UNSPLITVOC:	(biAl$~arAbiyap)
          POS:	PREP+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	bi+Al+$arAbiy+ap
        GLOSS:	with/by+the+sharabia+[fem.sg.]

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P6W23
      OFFSETS:	136-141
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	الأحد
     IS_TRANS:	Al>Hd
        INDEX:	P6W24
      OFFSETS:	142-147
       TOKENS:	P6W28-P6W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(Al>aHad)
          POS:	DET+NOUN
          VOC:	Al+>aHad
        GLOSS:	the+Sunday/Sundays

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W25
      OFFSETS:	148-150
       TOKENS:	P6W29-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	محاولة
     IS_TRANS:	mHAwlp
        INDEX:	P6W26
      OFFSETS:	151-157
       TOKENS:	P6W30-P6W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAwalap_1]
   UNSPLITVOC:	(muHAwalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muHAwal+ap
        GLOSS:	attempt/effort+[fem.sg.]

 INPUT STRING:	لتخفيف
     IS_TRANS:	ltxfyf
        INDEX:	P6W27
      OFFSETS:	158-164
       TOKENS:	P6W31-P6W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxofiyf_1]
   UNSPLITVOC:	(litaxofiyf)
          POS:	PREP+NOUN
          VOC:	li+taxofiyf
        GLOSS:	for/to+decrease/reduction/dilution

 INPUT STRING:	الأحزن
     IS_TRANS:	Al>Hzn
        INDEX:	P6W28
      OFFSETS:	165-171
       TOKENS:	P6W33-P6W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huzon_1]
   UNSPLITVOC:	(Al>aHozan)
          POS:	DET+NOUN
          VOC:	Al+>aHozan
        GLOSS:	the+sorrow

 INPUT STRING:	عنهم
     IS_TRANS:	Enhm
        INDEX:	P6W29
      OFFSETS:	172-176
       TOKENS:	P6W34-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Eanhum)
          POS:	PREP+PRON_3P
          VOC:	Ean+hum
        GLOSS:	(away) from, off, about, on, over+they

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W30
      OFFSETS:	176-177
       TOKENS:	P6W36-P6W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/say/(for example)+he/it

 INPUT STRING:	أصدقاؤه
     IS_TRANS:	>SdqA&h
        INDEX:	P7W2
      OFFSETS:	5-12
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sadiyq_1]
   UNSPLITVOC:	(>aSdiqA&uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>aSdiqA&+uh
        GLOSS:	friends+his/its

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P7W3
      OFFSETS:	13-16
       TOKENS:	P7W5-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P7W4
      OFFSETS:	17-20
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	يعلم
     IS_TRANS:	yElm
        INDEX:	P7W5
      OFFSETS:	21-25
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilim_1]
   UNSPLITVOC:	(yiEolam)
          POS:	IV3MS+IV
          VOC:	yi+Eolam
        GLOSS:	he/it+know

 INPUT STRING:	مسبقًا
     IS_TRANS:	msbqFA
        INDEX:	P7W6
      OFFSETS:	26-32
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musbaq_1]
   UNSPLITVOC:	(musbaqAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	musbaq+AF
        GLOSS:	before+[acc.indef.]

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P7W7
      OFFSETS:	33-36
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	سينال
     IS_TRANS:	synAl
        INDEX:	P7W8
      OFFSETS:	37-42
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAl_1]
   UNSPLITVOC:	(sayanAl)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+ya+nAl
        GLOSS:	will+he/it+get

 INPUT STRING:	الشهادة
     IS_TRANS:	Al$hAdp
        INDEX:	P7W9
      OFFSETS:	43-50
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahAdap_1]
   UNSPLITVOC:	(Al$~ahAdap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ahAd+ap
        GLOSS:	the+certificate/witness/testimony+[fem.sg.]

 INPUT STRING:	فداءً
     IS_TRANS:	fdA'F
        INDEX:	P7W10
      OFFSETS:	51-56
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fidA'_1]
   UNSPLITVOC:	(fidA'AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fidA'+AF
        GLOSS:	for the sake of+[acc.indef.]

 INPUT STRING:	لتحرير
     IS_TRANS:	ltHryr
        INDEX:	P7W11
      OFFSETS:	57-63
       TOKENS:	P7W16-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(litaHoriyr)
          POS:	PREP+NOUN
          VOC:	li+taHoriyr
        GLOSS:	for/to+liberation/liberating/editorship/editing

 INPUT STRING:	تراب
     IS_TRANS:	trAb
        INDEX:	P7W12
      OFFSETS:	64-68
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[turAb_1]
   UNSPLITVOC:	(turAb)
          POS:	NOUN
          VOC:	turAb
        GLOSS:	dirt/soil

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P7W13
      OFFSETS:	69-74
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	وكان
     IS_TRANS:	wkAn
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAn)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+kAn+(null)
        GLOSS:	and+be+he/it

 INPUT STRING:	دائماً
     IS_TRANS:	dA}mAF
        INDEX:	P8W2
      OFFSETS:	5-11
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dA}im_1]
   UNSPLITVOC:	(dA}imAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	dA}im+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P8W3
      OFFSETS:	12-16
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/say/(for example)

 INPUT STRING:	لأصدقائه
     IS_TRANS:	l>SdqA}h
        INDEX:	P8W4
      OFFSETS:	17-25
       TOKENS:	P8W5-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sadiyq_1]
   UNSPLITVOC:	(li>aSdiqA}ih)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	li+>aSdiqA}i+h
        GLOSS:	to+friends+his/its

 INPUT STRING:	متعيطوش
     IS_TRANS:	mtEyTw$
        INDEX:	P8W5
      OFFSETS:	27-34
       TOKENS:	P8W8-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eay~aT_1]
   UNSPLITVOC:	(mAtEay~aTuw$)
          POS:	NEG_PART+IV2P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	mA+t+Eay~aT+uw+$
        GLOSS:	not+you+cry+you+not

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W6
      OFFSETS:	35-38
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مينا
     IS_TRANS:	mynA
        INDEX:	P8W7
      OFFSETS:	39-43
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miynA_1]
   UNSPLITVOC:	(miynA)
          POS:	NOUN_PROP
          VOC:	miynA
        GLOSS:	Mina

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P8W8
      OFFSETS:	44-46
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P8W9
      OFFSETS:	47-50
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	الشهيد
     IS_TRANS:	Al$hyd
        INDEX:	P8W10
      OFFSETS:	51-57
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(Al$~ahiyd)
          POS:	DET+NOUN
          VOC:	Al+$ahiyd
        GLOSS:	the+martyr/martyrs

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W11
      OFFSETS:	58-62
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	جاى
     IS_TRANS:	jAY
        INDEX:	P8W12
      OFFSETS:	63-66
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy_1]
   UNSPLITVOC:	(jAy)
          POS:	ADJ
          VOC:	jAy
        GLOSS:	coming

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W13
      OFFSETS:	67-68
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	ذات
     IS_TRANS:	*At
        INDEX:	P9W2
      OFFSETS:	4-7
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*At_1]
   UNSPLITVOC:	(*At)
          POS:	NOUN
          VOC:	*At
        GLOSS:	same/self/essence/selves/beings/exactly/precisely

 INPUT STRING:	السياق
     IS_TRANS:	AlsyAq
        INDEX:	P9W3
      OFFSETS:	8-14
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAq_1]
   UNSPLITVOC:	(Als~iyAq)
          POS:	DET+NOUN
          VOC:	Al+siyAq
        GLOSS:	the+context/course

 INPUT STRING:	توفي
     IS_TRANS:	twfy
        INDEX:	P9W4
      OFFSETS:	15-19
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawaf~ay_1]
   UNSPLITVOC:	(tuwuf~iy)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	tuwuf~iy+(null)
        GLOSS:	die+he/it

 INPUT STRING:	الناشط
     IS_TRANS:	AlnA$T
        INDEX:	P9W5
      OFFSETS:	20-26
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA$iT_1]
   UNSPLITVOC:	(Aln~A$iT)
          POS:	DET+NOUN
          VOC:	Al+nA$iT
        GLOSS:	the+activist

 INPUT STRING:	السياسي
     IS_TRANS:	AlsyAsy
        INDEX:	P9W6
      OFFSETS:	27-34
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siyAsiy~_1]
   UNSPLITVOC:	(AlsiyAsiy~)
          POS:	DET+ADJ
          VOC:	Al+siyAsiy~
        GLOSS:	the+political

 INPUT STRING:	كريم
     IS_TRANS:	krym
        INDEX:	P9W7
      OFFSETS:	35-39
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kariym_1]
   UNSPLITVOC:	(kariym)
          POS:	NOUN_PROP
          VOC:	kariym
        GLOSS:	Kareem/Karim

 INPUT STRING:	أبو
     IS_TRANS:	>bw
        INDEX:	P9W8
      OFFSETS:	40-43
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	زيد
     IS_TRANS:	zyd
        INDEX:	P9W9
      OFFSETS:	44-47
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zayd_1]
   UNSPLITVOC:	(zayd)
          POS:	NOUN_PROP
          VOC:	zayd
        GLOSS:	Zaid/Zeid

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W10
      OFFSETS:	47-48
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	عضو
     IS_TRANS:	EDw
        INDEX:	P9W11
      OFFSETS:	49-52
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDow)
          POS:	NOUN
          VOC:	EuDow
        GLOSS:	member/members

 INPUT STRING:	ائتلاف
     IS_TRANS:	A}tlAf
        INDEX:	P9W12
      OFFSETS:	53-59
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai}otilAf_1]
   UNSPLITVOC:	(Ai}otilAf)
          POS:	NOUN
          VOC:	Ai}otilAf
        GLOSS:	coalition/entente

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P9W13
      OFFSETS:	60-66
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	بالغربية
     IS_TRANS:	bAlgrbyp
        INDEX:	P9W14
      OFFSETS:	67-75
       TOKENS:	P9W15-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[garobiy~_1]
   UNSPLITVOC:	(biAlgarobiy~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+garobiy~+ap
        GLOSS:	with/by+the+west/western/westerner+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W15
      OFFSETS:	75-76
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P9W16
