 INPUT STRING:	إقتباس
      OFFSETS:	0-7
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHaq_1]
   UNSPLITVOC:	(AiloHaquwnA)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:1P
          VOC:	AiloHaq+uwA+nA
        GLOSS:	help+you [pl.]+us

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P22W2
      OFFSETS:	8-10
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	خلق
     IS_TRANS:	xlq
        INDEX:	P22W3
      OFFSETS:	11-14
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaloq_1]
   UNSPLITVOC:	(xaloq)
          POS:	NOUN
          VOC:	xaloq
        GLOSS:	creature/people

 INPUT STRING:	هوووووه
     IS_TRANS:	hwwwwwh
        INDEX:	P22W4
      OFFSETS:	15-22
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwuh_1]
   UNSPLITVOC:	(huwuh)
          POS:	INTERJ
          VOC:	huwuh
        GLOSS:	oh!

 INPUT STRING:	وبكفيانى
     IS_TRANS:	wbkfyAnY
        INDEX:	P22W5
      OFFSETS:	23-31
       TOKENS:	P22W6-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(wibikifAyAniy)
          POS:	CONJ+PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	wi+bi+kifAy+ap+niy
        GLOSS:	and+with/by+sufficiency/competence+[ffem.sg.]+my

 INPUT STRING:	وبكفايا
     IS_TRANS:	wbkfAyA
        INDEX:	P22W6
      OFFSETS:	32-39
       TOKENS:	P22W10-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(wibikifAyaA)
          POS:	CONJ+PREP+NOUN+NSUFF_FEM_SG
          VOC:	wi+bi+kifAy+ap
        GLOSS:	and+with/by+sufficiency/competence+[fem.sg.]

 INPUT STRING:	أهلينا
     IS_TRANS:	>hlynA
        INDEX:	P22W7
      OFFSETS:	40-46
       TOKENS:	P22W13-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholiynA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>aholiy+nA
        GLOSS:	people+us

 INPUT STRING:	فشل
     IS_TRANS:	f$l
        INDEX:	P22W8
      OFFSETS:	47-50
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fa$al_1]
   UNSPLITVOC:	(fa$al)
          POS:	NOUN
          VOC:	fa$al
        GLOSS:	failure

 INPUT STRING:	كلوى
     IS_TRANS:	klwY
        INDEX:	P22W9
      OFFSETS:	51-55
       TOKENS:	P22W16-P22W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalawiy_1]
   UNSPLITVOC:	(kalawiy)
          POS:	ADJ
          VOC:	kalawiy
        GLOSS:	renal/kidney

 INPUT STRING:	وربنا
     IS_TRANS:	wrbnA
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wirab~inA)
          POS:	CONJ+NOUN
          VOC:	wi+rab~inA
        GLOSS:	and+lord/master

 INPUT STRING:	هيسألكم
     IS_TRANS:	hys>lkm
        INDEX:	P23W2
      OFFSETS:	6-13
       TOKENS:	P23W3-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Hayiso>alkum)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:2P
          VOC:	Ha+yi+so>al+kum
        GLOSS:	will+he/it+ask/inquire/request/be asked+you

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P23W3
      OFFSETS:	14-16
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الأمانة
     IS_TRANS:	Al>mAnp
        INDEX:	P23W4
      OFFSETS:	17-24
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAnap_1]
   UNSPLITVOC:	(Al>amAnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>amAn+ap
        GLOSS:	the+faithfulness/loyalty+[fem.sg.]

 INPUT STRING:	دية
     IS_TRANS:	dyp
        INDEX:	P23W5
      OFFSETS:	25-28
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	وهتتحاسبوا
     IS_TRANS:	whttHAsbwA
        INDEX:	P23W6
      OFFSETS:	29-39
       TOKENS:	P23W9-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHasab_1]
   UNSPLITVOC:	(wiHatitoHAsabuwA)
          POS:	CONJ+FUT_PART+IV2P+IV_PASS+IVSUFF_SUBJ:P
          VOC:	wi+Ha+ti+toHAsab+uwA
        GLOSS:	and+will+you+be held responsible+we

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P23W7
      OFFSETS:	40-45
       TOKENS:	P23W12-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/them/her

 INPUT STRING:	ابن
     IS_TRANS:	Abn
        INDEX:	P24W1
      OFFSETS:	0-3
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ibon_1]
   UNSPLITVOC:	(Aibon)
          POS:	NOUN
          VOC:	{ibon
        GLOSS:	son/junior (Jr.)

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P24W2
      OFFSETS:	4-9
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	000
     IS_TRANS:	000
        INDEX:	P24W3
      OFFSETS:	10-13
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(000)
          POS:	ADJ_NUM
          VOC:	000
        GLOSS:	000

 INPUT STRING:	سيد
     IS_TRANS:	syd
        INDEX:	P24W4
      OFFSETS:	14-17
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(say~id)
          POS:	NOUN
          VOC:	say~id
        GLOSS:	Sir/Mr./Mister

 INPUT STRING:	عزت
     IS_TRANS:	Ezt
        INDEX:	P24W5
      OFFSETS:	18-21
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiz~at_1]
   UNSPLITVOC:	(Eiz~at)
          POS:	NOUN_PROP
          VOC:	Eiz~at
        GLOSS:	Izzat/Ezzat

 INPUT STRING:	00
     IS_TRANS:	00
        INDEX:	P24W6
      OFFSETS:	22-24
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(00)
          POS:	ADJ_NUM
          VOC:	00
        GLOSS:	00

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P24W7
      OFFSETS:	25-27
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الحسينية
     IS_TRANS:	AlHsynyp
        INDEX:	P24W8
      OFFSETS:	28-36
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hisiyniy~ap_1]
   UNSPLITVOC:	(AlHisiyniy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+Hisiyniy~+ap
        GLOSS:	the+Husseiniya+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P25W1
      OFFSETS:	0-3
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P25W2
      OFFSETS:	4-6
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الزقازيق
     IS_TRANS:	AlzqAzyq
        INDEX:	P25W3
      OFFSETS:	7-15
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaqAziyq_1]
   UNSPLITVOC:	(Alz~aqAziyq)
          POS:	DET+NOUN_PROP
          VOC:	Al+zaqAziyq
        GLOSS:	the+Zagazig

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W4
      OFFSETS:	16-17
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W5
      OFFSETS:	17-18
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W6
      OFFSETS:	18-19
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W7
      OFFSETS:	19-20
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P25W8
      OFFSETS:	20-22
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	عمرى
     IS_TRANS:	EmrY
        INDEX:	P25W9
      OFFSETS:	23-27
       TOKENS:	P25W9-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eumor+iy
        GLOSS:	age/life/ages/age groups+my

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P25W10
      OFFSETS:	28-30
       TOKENS:	P25W11-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	روحت
     IS_TRANS:	rwHt
        INDEX:	P25W11
      OFFSETS:	31-35
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raw~aH_1]
   UNSPLITVOC:	(raw~aHt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	raw~aH+t
        GLOSS:	go+I

 INPUT STRING:	صان
     IS_TRANS:	SAn
        INDEX:	P25W12
      OFFSETS:	36-39
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAn_2]
   UNSPLITVOC:	(SAn)
          POS:	NOUN_PROP
          VOC:	SAn
        GLOSS:	San

 INPUT STRING:	الحجر
     IS_TRANS:	AlHjr
        INDEX:	P25W13
      OFFSETS:	40-45
       TOKENS:	P25W14-P25W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hajar_2]
   UNSPLITVOC:	(AlHajar)
          POS:	DET+NOUN_PROP
          VOC:	Al+Hajar
        GLOSS:	the+Hagar

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P25W14
      OFFSETS:	46-49
       TOKENS:	P25W15-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wami$)
          POS:	CONJ+NEG_PART
          VOC:	wa+mi$
        GLOSS:	and+not

 INPUT STRING:	شفت
     IS_TRANS:	$ft
        INDEX:	P25W15
      OFFSETS:	50-53
       TOKENS:	P25W17-P25W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uft)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	$uf+t
        GLOSS:	look+I

 INPUT STRING:	الاثار
     IS_TRANS:	AlAvAr
        INDEX:	P25W16
      OFFSETS:	54-60
       TOKENS:	P25W18-P25W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avar_1]
   UNSPLITVOC:	(Al|vAr)
          POS:	DET+NOUN
          VOC:	Al+|vAr
        GLOSS:	the+antiquities/records/traces/effects/ruins

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P25W17
      OFFSETS:	61-65
       TOKENS:	P25W19-P25W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/whose/which/that

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P25W18
      OFFSETS:	66-70
       TOKENS:	P25W20-P25W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/her/them

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P26W1
      OFFSETS:	0-2
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	المدرسة
     IS_TRANS:	Almdrsp
        INDEX:	P26W2
      OFFSETS:	3-10
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(Almadorasap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+madoras+ap
        GLOSS:	the+school+[fem.sg.]

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P26W3
      OFFSETS:	11-15
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	بتطلع
     IS_TRANS:	btTlE
        INDEX:	P26W4
      OFFSETS:	16-21
       TOKENS:	P26W4-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tal~aE_1]
   UNSPLITVOC:	(bitiTal~aE)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+Tal~aE
        GLOSS:	[present-tense]+it/they/she+organize

 INPUT STRING:	رحلات
     IS_TRANS:	rHlAt
        INDEX:	P26W5
      OFFSETS:	22-27
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riHolap_1]
   UNSPLITVOC:	(riHolAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	riHol+At
        GLOSS:	career/journey/trip+[fem.pl.]

 INPUT STRING:	لهناك
     IS_TRANS:	lhnAk
        INDEX:	P26W6
      OFFSETS:	28-33
       TOKENS:	P26W7-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(lihinAk)
          POS:	PREP+NOUN
          VOC:	li+hinAk
        GLOSS:	for/to+there

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W7
      OFFSETS:	34-35
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W8
      OFFSETS:	35-36
       TOKENS:	P26W10-P26W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W9
      OFFSETS:	36-37
       TOKENS:	P26W11-P26W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W10
      OFFSETS:	37-38
       TOKENS:	P26W12-P26W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	واصحابى
     IS_TRANS:	wASHAbY
        INDEX:	P27W1
      OFFSETS:	0-7
       TOKENS:	P27W1-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(wiASoHAbiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+ASoHAb+iy
        GLOSS:	and+friend/companion/friends/companions+my

 INPUT STRING:	بيطلعو
     IS_TRANS:	byTlEw
        INDEX:	P27W2
      OFFSETS:	8-14
       TOKENS:	P27W4-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(biyiTolaEuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+TolaE+uwA
        GLOSS:	[present-tense]+they (people)+go (on a trip)/appear/rise+[pl.]

 INPUT STRING:	الرحلة
     IS_TRANS:	AlrHlp
        INDEX:	P27W3
      OFFSETS:	15-21
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riHolap_1]
   UNSPLITVOC:	(Alr~iHolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riHol+ap
        GLOSS:	the+career/journey/trip+[fem.sg.]

 INPUT STRING:	ولما
     IS_TRANS:	wlmA
        INDEX:	P27W4
      OFFSETS:	22-26
       TOKENS:	P27W7-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(wilam~A)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+lam~A
        GLOSS:	and+as, when

 INPUT STRING:	بيرجعو
     IS_TRANS:	byrjEw
        INDEX:	P27W5
      OFFSETS:	27-33
       TOKENS:	P27W9-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(biyirojaEuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+rojaE+uwA
        GLOSS:	[present-tense]+they+go back+we

 INPUT STRING:	بلاقيهم
     IS_TRANS:	blAqyhm
        INDEX:	P27W6
      OFFSETS:	34-41
       TOKENS:	P27W11-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(biAalAqiyhum)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3P
          VOC:	bi+Aa+lAqiy+hum
        GLOSS:	[present-tense]+I+meet/encounter/be met/be encountered+them

 INPUT STRING:	جايبين
     IS_TRANS:	jAybyn
        INDEX:	P27W7
      OFFSETS:	42-48
       TOKENS:	P27W14-P27W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAyib_1]
   UNSPLITVOC:	(jAyobiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	jAyob+iyn
        GLOSS:	bringing+two

 INPUT STRING:	الدقن
     IS_TRANS:	Aldqn
        INDEX:	P27W8
      OFFSETS:	49-54
       TOKENS:	P27W15-P27W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daqon_1]
   UNSPLITVOC:	(Ald~aqon)
          POS:	DET+NOUN
          VOC:	Al+daqon
        GLOSS:	the+chin/beard

 INPUT STRING:	بتاعت
     IS_TRANS:	btAEt
        INDEX:	P27W9
      OFFSETS:	55-60
       TOKENS:	P27W16-P27W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEit)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	property/commodities/goods/belonging+[fem.sg.]

 INPUT STRING:	التماثيل
     IS_TRANS:	AltmAvyl
        INDEX:	P27W10
      OFFSETS:	61-69
       TOKENS:	P27W17-P27W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[timovAl_1]
   UNSPLITVOC:	(Alt~amAviyl)
          POS:	DET+NOUN
          VOC:	Al+tamAviyl
        GLOSS:	the+statues

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W11
      OFFSETS:	70-71
       TOKENS:	P27W18-P27W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W12
      OFFSETS:	71-72
       TOKENS:	P27W19-P27W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W13
      OFFSETS:	72-73
       TOKENS:	P27W20-P27W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
