 INPUT STRING:	اخواتي
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(madorasap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	madoras+ap
        GLOSS:	school+[fem.sg.]

 INPUT STRING:	لغات
     IS_TRANS:	lgAt
        INDEX:	P10W6
      OFFSETS:	24-28
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(lugAt)
          POS:	ADJ+NSUFF_FEM_PL
          VOC:	lug+At
        GLOSS:	language+[fem.pl.]

 INPUT STRING:	تجريبيه
     IS_TRANS:	tjrybyh
        INDEX:	P10W7
      OFFSETS:	29-36
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajoriybiy_1]
   UNSPLITVOC:	(tajoriybiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tajoriybiy~+ap
        GLOSS:	trial/experimental+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W8
      OFFSETS:	37-39
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شارع
     IS_TRANS:	$ArE
        INDEX:	P10W9
      OFFSETS:	40-44
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	($AriE)
          POS:	NOUN
          VOC:	$AriE
        GLOSS:	street/streets

 INPUT STRING:	الجلاء
     IS_TRANS:	AljlA'
        INDEX:	P10W10
      OFFSETS:	45-51
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jalA'_1]
   UNSPLITVOC:	(AljalA')
          POS:	DET+NOUN_PROP
          VOC:	Al+jalA'
        GLOSS:	the+GALAA

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W11
      OFFSETS:	52-54
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حته
     IS_TRANS:	Hth
        INDEX:	P10W12
      OFFSETS:	55-58
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hit~ap_1]
   UNSPLITVOC:	(Hit~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hit~+ap
        GLOSS:	morsel/piece/morsels/pieces/place+[fem.sg.]

 INPUT STRING:	مقطوعه
     IS_TRANS:	mqTwEh
        INDEX:	P10W13
      OFFSETS:	59-65
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqoTuwE_1]
   UNSPLITVOC:	(maqoTuwEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maqoTuwE+ap
        GLOSS:	empty+[fem.sg.]

 INPUT STRING:	وخايفه
     IS_TRANS:	wxAyfh
        INDEX:	P10W14
      OFFSETS:	67-73
       TOKENS:	P10W16-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(wixAyofap)
          POS:	CONJ+NOUN.VN+NSUFF_FEM_SG
          VOC:	wi+xAyof+ap
        GLOSS:	and+afraid+[fem.sg.]

 INPUT STRING:	اوديهم
     IS_TRANS:	Awdyhm
        INDEX:	P10W15
      OFFSETS:	74-80
       TOKENS:	P10W18-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wad~aY_1]
   UNSPLITVOC:	(Aawad~iyhum)
          POS:	IV1S+IV+IVSUFF_DO:3P
          VOC:	Aa+wad~iy+hum
        GLOSS:	I+let them go+them

 INPUT STRING:	اعمل
     IS_TRANS:	AEml
        INDEX:	P10W16
      OFFSETS:	81-85
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+do/act

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P10W17
      OFFSETS:	86-89
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	by+god

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W2
      OFFSETS:	6-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P11W3
      OFFSETS:	10-12
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تستاهلش
     IS_TRANS:	tstAhl$
        INDEX:	P11W4
      OFFSETS:	13-20
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotAhil_1]
   UNSPLITVOC:	(tisotAhil$)
          POS:	IV3FS+IV+NEG_PART
          VOC:	ti+sotAhil+$
        GLOSS:	it/they/she+deserve+not

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P11W5
      OFFSETS:	21-24
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيحصلها
     IS_TRANS:	byHSlhA
        INDEX:	P11W6
      OFFSETS:	25-32
       TOKENS:	P11W8-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHSallihA)
          POS:	PROG_PART+IV3MS+IV+PREP+PRON_3FS
          VOC:	bi+yi+HSal+li+hA
        GLOSS:	[in progress]+he/it+happen+to+she/it

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P11W7
      OFFSETS:	33-35
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/God+our

 INPUT STRING:	يزيح
     IS_TRANS:	yzyH
        INDEX:	P12W2
      OFFSETS:	5-9
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAH_1]
   UNSPLITVOC:	(yiziyH)
          POS:	IV3MS+IV
          VOC:	yi+ziyH
        GLOSS:	he/it+remove

 INPUT STRING:	الغمه
     IS_TRANS:	Algmh
        INDEX:	P12W3
      OFFSETS:	10-15
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gam~ap_1]
   UNSPLITVOC:	(Algam~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+gam~+ap
        GLOSS:	the+anxiety/sorrow+[fem.sg.]

 INPUT STRING:	ومستنياكم
     IS_TRANS:	wmstnyAkm
        INDEX:	P12W4
      OFFSETS:	16-25
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmstnyAkm)
          POS:	NO_FUNC
          VOC:	wmstnyAkm
        GLOSS:	nogloss

 INPUT STRING:	حبايبي
     IS_TRANS:	HbAyby
        INDEX:	P12W5
      OFFSETS:	26-32
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(HabAyobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	HabAyob+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	تردو
     IS_TRANS:	trdw
        INDEX:	P12W6
      OFFSETS:	33-37
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(tirud~uwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+rud~+uwA
        GLOSS:	you+reply+you[pl.]

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P12W7
      OFFSETS:	38-42
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY~a)
          POS:	PREP+PRON_1S
          VOC:	EalaY~+a
        GLOSS:	on/above+I

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P13W2
      OFFSETS:	4-6
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	حبيبتى
     IS_TRANS:	HbybtY
        INDEX:	P13W3
      OFFSETS:	7-13
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved+[fem.sg.]+my

 INPUT STRING:	المدارس
     IS_TRANS:	AlmdArs
        INDEX:	P13W4
      OFFSETS:	14-21
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(AlmadAris)
          POS:	DET+NOUN
          VOC:	Al+madAris
        GLOSS:	the+school

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P13W5
      OFFSETS:	22-25
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	مبداتش
     IS_TRANS:	mbdAt$
        INDEX:	P13W6
      OFFSETS:	26-32
       TOKENS:	P13W7-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(mA_bada>it$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	mA+bada>+it+$
        GLOSS:	not+start/begin+it/they/she+not

 INPUT STRING:	وحاولى
     IS_TRANS:	wHAwlY
        INDEX:	P14W1
      OFFSETS:	0-6
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(wiHAwoliy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+HAwol+iy
        GLOSS:	and+try+you

 INPUT STRING:	تهدى
     IS_TRANS:	thdY
        INDEX:	P14W2
      OFFSETS:	7-11
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(thdY)
          POS:	NO_FUNC
          VOC:	thdY
        GLOSS:	nogloss

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P14W3
      OFFSETS:	12-14
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P14W4
      OFFSETS:	15-18
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P14W5
      OFFSETS:	19-23
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	الامان
     IS_TRANS:	AlAmAn
        INDEX:	P14W6
      OFFSETS:	24-30
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAn_1]
   UNSPLITVOC:	(Al>amAn)
          POS:	DET+NOUN
          VOC:	Al+>amAn
        GLOSS:	the+safety/protection

 INPUT STRING:	حيرجع
     IS_TRANS:	HyrjE
        INDEX:	P14W7
      OFFSETS:	31-36
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[rajaE_1]
   UNSPLITVOC:	(HayirojaE)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+rojaE
        GLOSS:	will+he/it+be back

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P14W8
      OFFSETS:	37-41
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	NOUN
          VOC:	tAniy
        GLOSS:	again

 INPUT STRING:	متخافيش
     IS_TRANS:	mtxAfy$
        INDEX:	P14W9
      OFFSETS:	42-49
       TOKENS:	P14W11-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(mA_tixAfiy$)
          POS:	NEG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+ti+xAf+iy+$
        GLOSS:	not+you+fear for/be worried (of)+you+not

 INPUT STRING:	وصلى
     IS_TRANS:	wSlY
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(wiSal~iy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+Sal~+iy
        GLOSS:	and+pray+you

 INPUT STRING:	وادعى
     IS_TRANS:	wAdEY
        INDEX:	P15W2
      OFFSETS:	5-10
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(wiAidoEiy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+AidoE+iy
        GLOSS:	and+ask+you

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P15W3
      OFFSETS:	11-15
       TOKENS:	P15W5-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(limaSor)
          POS:	PREP+NOUN_PROP
          VOC:	li+maSor
        GLOSS:	for/to+egypt

 INPUT STRING:	واهلها
     IS_TRANS:	wAhlhA
        INDEX:	P15W4
      OFFSETS:	16-22
       TOKENS:	P15W7-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(wi>aholahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+>ahol+hA
        GLOSS:	and+family/people/people/families/folk/families/indigenous people+its/their/her

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P16W1
      OFFSETS:	0-6
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	اجازه
     IS_TRANS:	AjAzh
        INDEX:	P16W2
      OFFSETS:	7-12
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajAzap_1]
   UNSPLITVOC:	(>ajAzap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>ajAz+ap
        GLOSS:	vacation+[fem.sg.]

 INPUT STRING:	نص
     IS_TRANS:	nS
        INDEX:	P16W3
      OFFSETS:	13-15
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuS~_1]
   UNSPLITVOC:	(nuS~)
          POS:	NOUN_QUANT
          VOC:	nuS~
        GLOSS:	half

 INPUT STRING:	السنه
     IS_TRANS:	Alsnh
        INDEX:	P16W4
      OFFSETS:	16-21
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Als~anap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+san+ap
        GLOSS:	the+year/years+[fem.sg.]

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P16W5
      OFFSETS:	22-26
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfy$)
          POS:	NO_FUNC
          VOC:	mfy$
        GLOSS:	nogloss

 INPUT STRING:	مدرسه
     IS_TRANS:	mdrsh
        INDEX:	P16W6
      OFFSETS:	27-32
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(madorasap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	madoras+ap
        GLOSS:	school+[fem.sg.]

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P17W2
      OFFSETS:	6-9
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P17W3
      OFFSETS:	10-12
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القاهره
     IS_TRANS:	AlqAhrh
        INDEX:	P17W4
      OFFSETS:	13-20
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	وعادى
     IS_TRANS:	wEAdY
        INDEX:	P17W5
      OFFSETS:	21-26
       TOKENS:	P17W6-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(wiEAdiy)
          POS:	CONJ+ADJ
          VOC:	wi+EAdiy
        GLOSS:	and+ordinary/regular/normal

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التجمع
     IS_TRANS:	AltjmE
        INDEX:	P18W2
      OFFSETS:	3-9
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajam~uE_1]
   UNSPLITVOC:	(Alt~ajam~uE)
          POS:	DET+NOUN
          VOC:	Al+tajam~uE
        GLOSS:	the+gathering/assembly

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P18W3
      OFFSETS:	10-14
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P18W4
      OFFSETS:	15-19
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	تعتبر
     IS_TRANS:	tEtbr
        INDEX:	P18W5
      OFFSETS:	20-25
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEotabar_1]
   UNSPLITVOC:	(tuEotabar)
          POS:	IV3FS+IV_PASS
          VOC:	tu+Eotabar
        GLOSS:	it/they/she+be considered

 INPUT STRING:	حته
     IS_TRANS:	Hth
        INDEX:	P18W6
      OFFSETS:	26-29
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hit~ap_1]
   UNSPLITVOC:	(Hit~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hit~+ap
        GLOSS:	morsel/piece/morsels/pieces/place+[fem.sg.]

 INPUT STRING:	مقطوعه
     IS_TRANS:	mqTwEh
        INDEX:	P18W7
      OFFSETS:	30-36
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqoTuwE_1]
   UNSPLITVOC:	(maqoTuwEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maqoTuwE+ap
        GLOSS:	empty+[fem.sg.]

 INPUT STRING:	متخفيش
