 INPUT STRING:	ياجماعه
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baq+it
        GLOSS:	become+it/they/she

 INPUT STRING:	الارواح
     IS_TRANS:	AlArwAH
        INDEX:	P2W16
      OFFSETS:	74-81
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(Al>arowAH)
          POS:	DET+NOUN
          VOC:	Al+>arowAH
        GLOSS:	the+spirit/soul/spirits/souls

 INPUT STRING:	سهله
     IS_TRANS:	shlh
        INDEX:	P2W17
      OFFSETS:	82-86
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(saholap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	sahol+ap
        GLOSS:	easy/simple+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P2W18
      OFFSETS:	87-90
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like that

 INPUT STRING:	لدرجاتى
     IS_TRANS:	ldrjAtY
        INDEX:	P2W19
      OFFSETS:	91-98
       TOKENS:	P2W20-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[darajap_1]
   UNSPLITVOC:	(lidarajAtiy)
          POS:	PREP+NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	li+daraj+At+iy
        GLOSS:	for/to+degree/class/rank/grade/level/degrees/classes/ranks+[fem.pl.]+my

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W20
      OFFSETS:	99-101
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W21
      OFFSETS:	102-105
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	والدم
     IS_TRANS:	wAldm
        INDEX:	P2W22
      OFFSETS:	106-111
       TOKENS:	P2W25-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(wiAldam~)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+dam~
        GLOSS:	and+the+blood

 INPUT STRING:	اسهل
     IS_TRANS:	Ashl
        INDEX:	P2W23
      OFFSETS:	112-116
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asohal_1]
   UNSPLITVOC:	(>asohal)
          POS:	ADJ_COMP
          VOC:	>asohal
        GLOSS:	easier/easiest

 INPUT STRING:	مايمكن
     IS_TRANS:	mAymkn
        INDEX:	P2W24
      OFFSETS:	117-123
       TOKENS:	P2W28-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(mAyumokin)
          POS:	SUB_CONJ+IV3MS+IV
          VOC:	mA+yu+mokin
        GLOSS:	that+he/it+be possible/make possible for

 INPUT STRING:	صدقونى
     IS_TRANS:	SdqwnY
        INDEX:	P2W25
      OFFSETS:	124-130
       TOKENS:	P2W30-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(Sad~aquwniy)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:1S
          VOC:	Sad~aq+uwA+niy
        GLOSS:	believe/give credence to/confirm/be believed/ratify/adopt+they+me

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P2W26
      OFFSETS:	131-137
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis/councils/boards

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P2W27
      OFFSETS:	138-145
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P2W28
      OFFSETS:	146-148
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	المسئول
     IS_TRANS:	Alms}wl
        INDEX:	P2W29
      OFFSETS:	149-156
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso}uwl_1]
   UNSPLITVOC:	(Almaso}uwl)
          POS:	DET+ADJ
          VOC:	Al+maso}uwl
        GLOSS:	the+responsible/dependable

 INPUT STRING:	ازاى
     IS_TRANS:	AzAY
        INDEX:	P2W30
      OFFSETS:	157-161
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	why/how

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P2W31
      OFFSETS:	162-167
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+troops/army

 INPUT STRING:	امن
     IS_TRANS:	Amn
        INDEX:	P2W32
      OFFSETS:	168-171
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~in_1]
   UNSPLITVOC:	(>am~in)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>am~in+(null)
        GLOSS:	assure/guarantee/be safe/make secure/make safe+he/it

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P2W33
      OFFSETS:	172-182
       TOKENS:	P2W39-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<inotixAb+At
        GLOSS:	the+selection/selections/elections+[fem.pl.]

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P2W34
      OFFSETS:	183-186
       TOKENS:	P2W40-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	قادريامن
     IS_TRANS:	qAdryAmn
        INDEX:	P2W35
      OFFSETS:	187-195
       TOKENS:	P2W42-P2W42
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(qAdryAmn)
          POS:	NO_FUNC
          VOC:	qAdryAmn
        GLOSS:	nogloss

 INPUT STRING:	مبارة
     IS_TRANS:	mbArp
        INDEX:	P2W36
      OFFSETS:	196-201
       TOKENS:	P2W43-P2W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArap_1]
   UNSPLITVOC:	(mubArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mubAr+ap
        GLOSS:	game/match+[fem.sg.]

 INPUT STRING:	كرة
     IS_TRANS:	krp
        INDEX:	P2W37
      OFFSETS:	202-205
       TOKENS:	P2W44-P2W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurap_1]
   UNSPLITVOC:	(kurap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kur+ap
        GLOSS:	ball/globe/sphere/balls/globes/spheres/soccer/football+[fem.sg.]

 INPUT STRING:	قدم
     IS_TRANS:	qdm
        INDEX:	P2W38
      OFFSETS:	206-209
       TOKENS:	P2W45-P2W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadam_1]
   UNSPLITVOC:	(qadam)
          POS:	NOUN
          VOC:	qadam
        GLOSS:	foot/feet

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P3W2
      OFFSETS:	7-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	المسئول
     IS_TRANS:	Alms}wl
        INDEX:	P3W3
      OFFSETS:	10-17
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso}uwl_1]
   UNSPLITVOC:	(Almaso}uwl)
          POS:	DET+ADJ
          VOC:	Al+maso}uwl
        GLOSS:	the+responsible/dependable

 INPUT STRING:	لمجلس
     IS_TRANS:	lmjls
        INDEX:	P3W4
      OFFSETS:	18-23
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(limajolis)
          POS:	PREP+NOUN
          VOC:	li+majolis
        GLOSS:	for/to+council/board/Majlis/councils/boards

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P3W5
      OFFSETS:	24-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+be necessary/be incumbent

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W6
      OFFSETS:	28-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	ناخذ
     IS_TRANS:	nAx*
        INDEX:	P3W7
      OFFSETS:	31-35
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(nAxu*)
          POS:	IV1P+IV
          VOC:	n+Axu*
        GLOSS:	we+take/begin/be taken

 INPUT STRING:	القصاص
     IS_TRANS:	AlqSAS
        INDEX:	P3W8
      OFFSETS:	36-42
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiSAS_1]
   UNSPLITVOC:	(AlqiSAS)
          POS:	DET+NOUN
          VOC:	Al+qiSAS
        GLOSS:	the+reprisal/retaliation/punishment

 INPUT STRING:	منهما
     IS_TRANS:	mnhmA
        INDEX:	P3W9
      OFFSETS:	43-48
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[humA_1]
   UNSPLITVOC:	(minhumA)
          POS:	PREP+PRON_3P
          VOC:	min+humA
        GLOSS:	from+them (both)

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W10
      OFFSETS:	49-52
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P3W11
      OFFSETS:	53-55
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	truth/right/against/towards/rights/law

 INPUT STRING:	الشهداء
     IS_TRANS:	Al$hdA'
        INDEX:	P3W12
      OFFSETS:	56-63
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(Al$~uhadA')
          POS:	DET+NOUN
          VOC:	Al+$uhadA'
        GLOSS:	the+martyr/martyrs

 INPUT STRING:	اخواتنا
     IS_TRANS:	AxwAtnA
        INDEX:	P3W13
      OFFSETS:	64-71
       TOKENS:	P3W15-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>axawAtnA)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	>axaw+At+nA
        GLOSS:	sister/counterpart/sisters+[fem.pl.]+our

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P3W14
      OFFSETS:	72-76
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	ماته
     IS_TRANS:	mAth
        INDEX:	P3W15
      OFFSETS:	77-81
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(mAtuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	mAt+uwA
        GLOSS:	die+they

 INPUT STRING:	ونسناهما
     IS_TRANS:	wnsnAhmA
        INDEX:	P3W16
      OFFSETS:	82-90
       TOKENS:	P3W19-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(wanisnAhumA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P+PVSUFF_DO:3D
          VOC:	wa+nis+nA+humA
        GLOSS:	and+forget+we [verb]+(both of) them

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W17
      OFFSETS:	91-93
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يومين
     IS_TRANS:	ywmyn
        INDEX:	P3W18
      OFFSETS:	94-99
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yuwmayn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	yuwm+ayn
        GLOSS:	ever/period/day/today/some day+two

 INPUT STRING:	نسينا
     IS_TRANS:	nsynA
        INDEX:	P3W19
      OFFSETS:	100-105
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(nisiynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	nisiy+nA
        GLOSS:	forget+we

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P3W20
      OFFSETS:	106-109
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who/whom

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P3W21
      OFFSETS:	110-114
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	مسئول
     IS_TRANS:	ms}wl
        INDEX:	P3W22
      OFFSETS:	115-120
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso}uwl_1]
   UNSPLITVOC:	(maso}uwl)
          POS:	ADJ
          VOC:	maso}uwl
        GLOSS:	responsible/dependable

 INPUT STRING:	ونسينا
     IS_TRANS:	wnsynA
        INDEX:	P3W23
      OFFSETS:	121-127
       TOKENS:	P3W28-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(winisiynA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+nisiy+nA
        GLOSS:	and+forget+we

 INPUT STRING:	مينا
     IS_TRANS:	mynA
        INDEX:	P3W24
      OFFSETS:	128-132
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mynA)
          POS:	TYPO
          VOC:	mynA
        GLOSS:	nogloss

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P3W25
      OFFSETS:	133-137
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	قتلقال
     IS_TRANS:	qtlqAl
        INDEX:	P3W26
      OFFSETS:	138-144
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qtlqAl)
          POS:	TYPO
          VOC:	qtlqAl
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P4W2
      OFFSETS:	3-6
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	ever/period/day/today/some day

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W3
      OFFSETS:	7-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بتمر
     IS_TRANS:	btmr
        INDEX:	P4W4
      OFFSETS:	11-15
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~_1]
   UNSPLITVOC:	(bitimur~)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+mur~
        GLOSS:	[present-tense]+it/they/she+pass/go through

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P4W5
      OFFSETS:	16-20
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+her

 INPUT STRING:	مشكلة
     IS_TRANS:	m$klp
        INDEX:	P4W6
      OFFSETS:	21-26
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$okil+ap
        GLOSS:	problem/issue/problems/issues/inconveniences+[fem.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W7
      OFFSETS:	27-29
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P4W8
      OFFSETS:	30-32
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P4W9
      OFFSETS:	33-37
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first/first-place/best/top/early/beginning/ancients/first of all+[acc.indef.]

 INPUT STRING:	عدم
     IS_TRANS:	Edm
        INDEX:	P4W10
      OFFSETS:	38-41
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(Eadam)
          POS:	NOUN
          VOC:	Eadam
        GLOSS:	absence of/lack of/not/non-

 INPUT STRING:	الاستقرار
     IS_TRANS:	AlAstqrAr
        INDEX:	P4W11
      OFFSETS:	42-51
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotiqorAr_1]
   UNSPLITVOC:	(Al<isotiqorAr)
          POS:	DET+NOUN
          VOC:	Al+<isotiqorAr
        GLOSS:	the+stability

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P4W12
      OFFSETS:	52-55
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P4W13
      OFFSETS:	56-60
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	الشرطه
     IS_TRANS:	Al$rTh
        INDEX:	P4W14
      OFFSETS:	61-67
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
