 INPUT STRING:	عزة
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kaviyr_1]
   UNSPLITVOC:	(Alkaviyr)
          POS:	DET+NOUN_QUANT
          VOC:	Al+kaviyr
        GLOSS:	the+many/much/numerous

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W3
      OFFSETS:	12-14
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P7W4
      OFFSETS:	15-21
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(AlAumuwr)
          POS:	DET+NOUN
          VOC:	Al+Aumuwr
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	المتعلقة
     IS_TRANS:	AlmtElqp
        INDEX:	P7W5
      OFFSETS:	22-30
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmitEal~aq_1]
   UNSPLITVOC:	(AlmitEal~aqap)
          POS:	DET+ADJ.VN+NSUFF_FEM_SG
          VOC:	Al+mitEal~aq+ap
        GLOSS:	the+attached/connected/concerning+[fem.sg.]

 INPUT STRING:	بالأسرة
     IS_TRANS:	bAl>srp
        INDEX:	P7W6
      OFFSETS:	31-38
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usorap_1]
   UNSPLITVOC:	(biAl>usorap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+>usor+ap
        GLOSS:	with/by+the+family+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P7W7
      OFFSETS:	39-40
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	تدخلوا
     IS_TRANS:	tdxlwA
        INDEX:	P7W8
      OFFSETS:	41-47
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tadax~al_1]
   UNSPLITVOC:	(tadax~aluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	tadax~al+uwA
        GLOSS:	intervene/interfere/meddle+they [verb]

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P7W9
      OFFSETS:	48-52
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W10
      OFFSETS:	53-54
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	سنوا
     IS_TRANS:	snwA
        INDEX:	P7W11
      OFFSETS:	55-59
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[san~_1]
   UNSPLITVOC:	(san~uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	san~+uwA
        GLOSS:	prescribe/enact+they

 INPUT STRING:	قوانين
     IS_TRANS:	qwAnyn
        INDEX:	P7W12
      OFFSETS:	60-66
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(qawAniyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	qawAn+iyn
        GLOSS:	law/statutes/regulations+[pl.]

 INPUT STRING:	تتعارض
     IS_TRANS:	ttEArD
        INDEX:	P7W13
      OFFSETS:	67-73
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitEAriD_1]
   UNSPLITVOC:	(titEAriD)
          POS:	IV3FS+IV
          VOC:	ti+tEAriD
        GLOSS:	it/they/she+clash (with)/conflict (with)

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P7W14
      OFFSETS:	74-76
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	الشريعة
     IS_TRANS:	Al$ryEp
        INDEX:	P7W15
      OFFSETS:	77-84
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyEap_1]
   UNSPLITVOC:	(Al$~ariyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ariyE+ap
        GLOSS:	the+Sharia , Islamic law+[fem.sg.]

 INPUT STRING:	الإسلامية
     IS_TRANS:	Al<slAmyp
        INDEX:	P7W16
      OFFSETS:	85-94
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al<islAmiy_1]
   UNSPLITVOC:	(Al<islAmiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<islAmiy~+ap
        GLOSS:	the+Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W17
      OFFSETS:	94-95
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	الامورة
     IS_TRANS:	AlAmwrp
        INDEX:	P8W2
      OFFSETS:	3-10
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>am~uwr_1]
   UNSPLITVOC:	(Al>am~uwrap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>am~uwr+ap
        GLOSS:	the+beautiful+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P8W3
      OFFSETS:	11-13
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P8W4
      OFFSETS:	14-16
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تعرفش
     IS_TRANS:	tErf$
        INDEX:	P8W5
      OFFSETS:	17-22
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(tiEoraf$)
          POS:	IV3FS+IV+NEG_PART
          VOC:	ti+Eoraf+$
        GLOSS:	it/they/she+know/be known+not

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W6
      OFFSETS:	23-25
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	القانون
     IS_TRANS:	AlqAnwn
        INDEX:	P8W7
      OFFSETS:	26-33
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAnuwn)
          POS:	DET+NOUN
          VOC:	Al+qAnuwn
        GLOSS:	the+law/statutes/regulations

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P8W8
      OFFSETS:	34-38
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P8W9
      OFFSETS:	39-43
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P8W10
      OFFSETS:	44-47
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P8W11
      OFFSETS:	48-53
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	ست
     IS_TRANS:	st
        INDEX:	P8W12
      OFFSETS:	54-56
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(sit~)
          POS:	NOUN
          VOC:	sit~
        GLOSS:	lady/miss/ladies/misses

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W13
      OFFSETS:	57-59
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P8W14
      OFFSETS:	60-62
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	قايمه
     IS_TRANS:	qAymh
        INDEX:	P8W15
      OFFSETS:	63-68
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAyomap_1]
   UNSPLITVOC:	(qAyomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qAyom+ap
        GLOSS:	list/index+[fem.sg.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yEnY)
          POS:	NO_FUNC
          VOC:	yEnY
        GLOSS:	nogloss

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	دخلت
     IS_TRANS:	dxlt
        INDEX:	P9W3
      OFFSETS:	8-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(daxalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	daxal+it
        GLOSS:	enter/be entered+it/they/she

 INPUT STRING:	القايمه
     IS_TRANS:	AlqAymh
        INDEX:	P9W4
      OFFSETS:	13-20
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAyomap_1]
   UNSPLITVOC:	(AlqAyomap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qAyom+ap
        GLOSS:	the+list/index+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W5
      OFFSETS:	21-23
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P9W6
      OFFSETS:	24-28
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P9W7
      OFFSETS:	29-31
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	ماساء
     IS_TRANS:	mAsA'
        INDEX:	P9W8
      OFFSETS:	32-37
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mAsA')
          POS:	TYPO
          VOC:	mAsA'
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P9W9
      OFFSETS:	38-42
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ليها
     IS_TRANS:	lyhA
        INDEX:	P9W10
      OFFSETS:	43-47
       TOKENS:	P9W11-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+it/them/her (it/she has, they have)

 INPUT STRING:	دور
     IS_TRANS:	dwr
        INDEX:	P9W11
      OFFSETS:	48-51
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(duwr)
          POS:	NOUN
          VOC:	duwr
        GLOSS:	role/part/roles/parts

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P9W12
      OFFSETS:	52-55
       TOKENS:	P9W14-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P9W13
      OFFSETS:	56-60
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	موجوده
     IS_TRANS:	mwjwdh
        INDEX:	P10W2
      OFFSETS:	3-9
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwdap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mawjuwd+ap
        GLOSS:	present/existing/found+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P10W3
      OFFSETS:	10-12
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القايمه
     IS_TRANS:	AlqAymh
        INDEX:	P10W4
      OFFSETS:	13-20
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAyomap_1]
   UNSPLITVOC:	(AlqAyomap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qAyom+ap
        GLOSS:	the+list/index+[fem.sg.]

 INPUT STRING:	تكمله
     IS_TRANS:	tkmlh
        INDEX:	P10W5
      OFFSETS:	21-26
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takomilap_1]
   UNSPLITVOC:	(takomilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	takomil+ap
        GLOSS:	supplement+[fem.sg.]

 INPUT STRING:	للقايمه
     IS_TRANS:	llqAymh
        INDEX:	P10W6
      OFFSETS:	27-34
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAyomap_1]
   UNSPLITVOC:	(lilqAyomap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+qAyom+ap
        GLOSS:	for/to+the+list/index+[fem.sg.]

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P10W7
      OFFSETS:	35-38
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P10W8
      OFFSETS:	39-42
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	وللعلم
     IS_TRANS:	wllElm
        INDEX:	P11W1
      OFFSETS:	0-6
       TOKENS:	P11W1-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilom_1]
   UNSPLITVOC:	(wililEilom)
          POS:	CONJ+PREP+DET+NOUN
          VOC:	wi+li+Al+Eilom
        GLOSS:	and+for/to+the+knowledge/knowing

 INPUT STRING:	0
     IS_TRANS:	0
        INDEX:	P11W2
      OFFSETS:	7-8
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[0_1]
   UNSPLITVOC:	(0)
          POS:	NOUN_NUM
          VOC:	0
        GLOSS:	zero

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P11W3
      OFFSETS:	8-9
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P11W4
      OFFSETS:	9-12
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	سيدات
     IS_TRANS:	sydAt
        INDEX:	P11W5
      OFFSETS:	13-18
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~idap_1]
   UNSPLITVOC:	(say~idAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	say~id+At
        GLOSS:	ladies+[fem.pl.]

 INPUT STRING:	محترمات
     IS_TRANS:	mHtrmAt
        INDEX:	P11W6
      OFFSETS:	19-26
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaramAt)
          POS:	ADJ+NSUFF_FEM_PL
          VOC:	muHotaram+At
        GLOSS:	esteemed/respected+[fem.pl.]

 INPUT STRING:	اصحابى
     IS_TRANS:	ASHAbY
        INDEX:	P11W7
      OFFSETS:	27-33
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(ASoHAbiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	ASoHAb+iy
        GLOSS:	friend/companion/friends/companions+my

 INPUT STRING:	رفضن
     IS_TRANS:	rfDn
        INDEX:	P11W8
      OFFSETS:	34-38
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rafaD_1]
   UNSPLITVOC:	(rafaDona)
          POS:	PV+PVSUFF_SUBJ:3FP
          VOC:	rafaDo+na
        GLOSS:	reject/refuse+they [fem.pl.] [verb]

 INPUT STRING:	الدخول
     IS_TRANS:	Aldxwl
        INDEX:	P11W9
      OFFSETS:	39-45
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duxuwl_1]
   UNSPLITVOC:	(Ald~uxuwl)
          POS:	DET+NOUN
          VOC:	Al+duxuwl
        GLOSS:	the+entrance/penetration

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W10
      OFFSETS:	46-48
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القايمه
     IS_TRANS:	AlqAymh
        INDEX:	P11W11
      OFFSETS:	49-56
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAyomap_1]
   UNSPLITVOC:	(AlqAyomap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qAyom+ap
        GLOSS:	the+list/index+[fem.sg.]

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P11W12
      OFFSETS:	57-58
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P11W13
      OFFSETS:	58-62
       TOKENS:	P11W17-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
