 INPUT STRING:	تداول
        GLOSS:	nogloss

 INPUT STRING:	وتضمد
     IS_TRANS:	wtDmd
        INDEX:	P3W19
      OFFSETS:	106-111
       TOKENS:	P3W26-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dam~id_1]
   UNSPLITVOC:	(witiDam~id)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+Dam~id
        GLOSS:	and+it/she / they+bandage

 INPUT STRING:	جراح
     IS_TRANS:	jrAH
        INDEX:	P3W20
      OFFSETS:	112-116
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jar~AH_1]
   UNSPLITVOC:	(jar~AH)
          POS:	NOUN
          VOC:	jar~AH
        GLOSS:	wounds/injuries

 INPUT STRING:	أحد
     IS_TRANS:	>Hd
        INDEX:	P3W21
      OFFSETS:	117-120
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one of /someone/ anyone/no-one/ones

 INPUT STRING:	المصابين
     IS_TRANS:	AlmSAbyn
        INDEX:	P3W22
      OFFSETS:	121-129
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSAb_1]
   UNSPLITVOC:	(AlmuSAbiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+muSAb+iyn
        GLOSS:	the+afflicted/injured/wounded+[masc.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W23
      OFFSETS:	129-130
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وتساعد
     IS_TRANS:	wtsAEd
        INDEX:	P3W24
      OFFSETS:	131-137
       TOKENS:	P3W32-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEid_1]
   UNSPLITVOC:	(witisAEid)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+sAEid
        GLOSS:	and+it/they/she+help/assist/support/contribute

 INPUT STRING:	سيدة
     IS_TRANS:	sydp
        INDEX:	P3W25
      OFFSETS:	138-142
       TOKENS:	P3W34-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~idap_1]
   UNSPLITVOC:	(say~idap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	say~id+ap
        GLOSS:	lady/ladies+[fem.sg.]

 INPUT STRING:	عجوزا
     IS_TRANS:	EjwzA
        INDEX:	P3W26
      OFFSETS:	143-148
       TOKENS:	P3W35-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eajuwz_1]
   UNSPLITVOC:	(EajuwzAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eajuwz+AF
        GLOSS:	old person+[acc.indef]

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P3W27
      OFFSETS:	149-153
       TOKENS:	P3W36-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	موجودة
     IS_TRANS:	mwjwdp
        INDEX:	P3W28
      OFFSETS:	154-160
       TOKENS:	P3W37-P3W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwdap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mawjuwd+ap
        GLOSS:	present/existing/found+[fem.sg.]

 INPUT STRING:	بالميدان
     IS_TRANS:	bAlmydAn
        INDEX:	P3W29
      OFFSETS:	161-169
       TOKENS:	P3W38-P3W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(biAlmiydAn)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+miydAn
        GLOSS:	with/by+the+square

 INPUT STRING:	وبمنطقة
     IS_TRANS:	wbmnTqp
        INDEX:	P3W30
      OFFSETS:	170-177
       TOKENS:	P3W40-P3W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiqap_1]
   UNSPLITVOC:	(wibimanoTiqap)
          POS:	CONJ+PREP+NOUN+NSUFF_FEM_SG
          VOC:	wi+bi+manoTiq+ap
        GLOSS:	and+with/by+area/zone/territory+[fem.sg.]

 INPUT STRING:	الأحداث
     IS_TRANS:	Al>HdAv
        INDEX:	P3W31
      OFFSETS:	178-185
       TOKENS:	P3W43-P3W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Al>aHodAv)
          POS:	DET+NOUN
          VOC:	Al+>aHodAv
        GLOSS:	the+events

 INPUT STRING:	لإبعادها
     IS_TRANS:	l<bEAdhA
        INDEX:	P3W32
      OFFSETS:	186-194
       TOKENS:	P3W44-P3W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iboEAd_1]
   UNSPLITVOC:	(li<iboEAdhA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	li+<iboEAd+hA
        GLOSS:	for/to+deportation/exile/removal+its/their/her

 INPUT STRING:	لكى
     IS_TRANS:	lkY
        INDEX:	P3W33
      OFFSETS:	195-198
       TOKENS:	P3W47-P3W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kay_1]
   UNSPLITVOC:	(likay)
          POS:	PREP+SUB_CONJ
          VOC:	li+kay
        GLOSS:	in order+that

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P3W34
      OFFSETS:	199-201
       TOKENS:	P3W49-P3W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تصاب
     IS_TRANS:	tSAb
        INDEX:	P3W35
      OFFSETS:	202-206
       TOKENS:	P3W50-P3W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSAb_1]
   UNSPLITVOC:	(tuSAb)
          POS:	IV3FS+IV
          VOC:	tu+SAb
        GLOSS:	it/she/they+be hit/be struck/be afflicted

 INPUT STRING:	بأذى
     IS_TRANS:	b>*Y
        INDEX:	P3W36
      OFFSETS:	207-211
       TOKENS:	P3W51-P3W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a*ay_1]
   UNSPLITVOC:	(bi>a*aY)
          POS:	PREP+NOUN
          VOC:	bi+>a*aY
        GLOSS:	with/by+injury/damage/offense

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W37
      OFFSETS:	211-212
       TOKENS:	P3W53-P3W53
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وتساءل
     IS_TRANS:	wtsA'l
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasA'al_1]
   UNSPLITVOC:	(witasA'al)
          POS:	CONJ+PV
          VOC:	wi+tasA'al
        GLOSS:	and+ask/wonder

 INPUT STRING:	النشطاء
     IS_TRANS:	Aln$TA'
        INDEX:	P4W2
      OFFSETS:	7-14
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$iyT_1]
   UNSPLITVOC:	(Aln~u$aTA')
          POS:	DET+ADJ
          VOC:	Al+nu$aTA'
        GLOSS:	the+active/energetic

 INPUT STRING:	عاوز
     IS_TRANS:	EAwz
        INDEX:	P4W3
      OFFSETS:	16-20
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwiz)
          POS:	ADJ.VN
          VOC:	EAwiz
        GLOSS:	wanting/needing

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P4W4
      OFFSETS:	21-25
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(tiEoraf)
          POS:	IV2MS+IV
          VOC:	ti+Eoraf
        GLOSS:	you+know/be known

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P4W5
      OFFSETS:	26-28
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	نزلت
     IS_TRANS:	nzlt
        INDEX:	P4W6
      OFFSETS:	29-33
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(nazalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	nazal+it
        GLOSS:	descend/stay+she

 INPUT STRING:	الميدان
     IS_TRANS:	AlmydAn
        INDEX:	P4W7
      OFFSETS:	34-41
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(AlmiydAn)
          POS:	DET+NOUN
          VOC:	Al+miydAn
        GLOSS:	the+square

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P4W8
      OFFSETS:	42-45
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	REL_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	وقاعد
     IS_TRANS:	wqAEd
        INDEX:	P4W9
      OFFSETS:	46-51
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(wiqAEid)
          POS:	CONJ+ADJ.VN
          VOC:	wi+qAEid
        GLOSS:	and+sitting/seated/lazy/inactive/evaders (draft dodgers)

 INPUT STRING:	بتسمع
     IS_TRANS:	btsmE
        INDEX:	P4W10
      OFFSETS:	52-57
       TOKENS:	P4W12-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaE_1]
   UNSPLITVOC:	(bitisomaE)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+somaE
        GLOSS:	[present-tense]+you+listen

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P4W11
      OFFSETS:	58-61
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P4W12
      OFFSETS:	62-66
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	more

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P4W13
      OFFSETS:	67-72
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P4W14
      OFFSETS:	73-75
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P4W15
      OFFSETS:	76-79
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P4W16
      OFFSETS:	80-84
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who / which / whose

 INPUT STRING:	نزلها
     IS_TRANS:	nzlhA
        INDEX:	P4W17
      OFFSETS:	85-90
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(nazalhA)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	nazal+hA
        GLOSS:	put down/go down+it /them/ her

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W18
      OFFSETS:	90-91
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	تاااااااااااااااااااااانى
     IS_TRANS:	tAAAAAAAAAAAAAAAAAAAAAAnY
        INDEX:	P5W1
      OFFSETS:	0-25
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	NOUN
          VOC:	tAniy
        GLOSS:	second

 INPUT STRING:	ارحمونا
     IS_TRANS:	ArHmwnA
        INDEX:	P5W2
      OFFSETS:	26-33
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(AiroHamuwnA)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:1P
          VOC:	AiroHam+uwA+nA
        GLOSS:	mercy+they+us

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P5W3
      OFFSETS:	34-38
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P5W4
      OFFSETS:	39-42
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	ماصدقنا
     IS_TRANS:	mASdqnA
        INDEX:	P6W1
      OFFSETS:	0-7
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadaq_1]
   UNSPLITVOC:	(mA_Sad~aqnA)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	mA+Sad~aq+nA
        GLOSS:	that+ratify/adopt+we

 INPUT STRING:	نسينا
     IS_TRANS:	nsynA
        INDEX:	P6W2
      OFFSETS:	8-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nasay_1]
   UNSPLITVOC:	(nasiyonA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	nasiy+nA
        GLOSS:	forget+we [verb]

 INPUT STRING:	السيرة
     IS_TRANS:	Alsyrp
        INDEX:	P6W3
      OFFSETS:	14-20
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyrap_1]
   UNSPLITVOC:	(Als~iyrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyr+ap
        GLOSS:	the+biography/epic+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P6W4
      OFFSETS:	21-23
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	these

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P6W5
      OFFSETS:	24-28
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	owner/proprietor/owners/proprietors+our

 INPUT STRING:	يسترها
     IS_TRANS:	ystrhA
        INDEX:	P6W6
      OFFSETS:	29-35
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusoturhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yu+sotur+hA
        GLOSS:	he/it+cover/hide+it/them/her

 INPUT STRING:	ويهديها
     IS_TRANS:	wyhdyhA
        INDEX:	P6W7
      OFFSETS:	36-43
       TOKENS:	P6W10-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(wiyihodiyhA)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	wi+yi+hodiy+hA
        GLOSS:	and+he/it+guide/direct/lead/be guided/be directed/be led+it/them/her

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هنخلص
     IS_TRANS:	hnxlS
        INDEX:	P7W2
      OFFSETS:	3-8
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalaS_1]
   UNSPLITVOC:	(HanixolaS)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+xolaS
        GLOSS:	will+we+finish

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W3
      OFFSETS:	9-11
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الحكايه
     IS_TRANS:	AlHkAyh
        INDEX:	P7W4
      OFFSETS:	12-19
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HikAyap_1]
   UNSPLITVOC:	(AlHikAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HikAy+ap
        GLOSS:	the+story/account+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P7W5
      OFFSETS:	20-22
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P7W6
      OFFSETS:	23-26
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	الصراحه
     IS_TRANS:	AlSrAHh
        INDEX:	P7W7
      OFFSETS:	27-34
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(AlS~arAHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SarAH+ap
        GLOSS:	the+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	زهقتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتت
     IS_TRANS:	zhqtttttttttttttttttttttttttttttttttttttttttt
        INDEX:	P7W8
      OFFSETS:	35-80
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zahaq_1]
   UNSPLITVOC:	(zahaqt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	zahaq+t
        GLOSS:	weary/be sick of+i

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	الاخت
     IS_TRANS:	AlAxt
        INDEX:	P8W2
      OFFSETS:	3-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(Al>uxot)
          POS:	DET+NOUN
          VOC:	Al+>uxot
        GLOSS:	the+sister/counterpart/sisters

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P8W3
      OFFSETS:	9-12
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	whose/which/who

 INPUT STRING:	عامله
     IS_TRANS:	EAmlh
        INDEX:	P8W4
      OFFSETS:	13-18
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmolap_1]
   UNSPLITVOC:	(EAmolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	worker+[fem.sg.]

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P8W5
      OFFSETS:	19-26
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P8W6
      OFFSETS:	27-32
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P8W7
      OFFSETS:	33-36
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	REL_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	اطمنى
