 INPUT STRING:	دلوقت
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>amoriykiy~+ap
        GLOSS:	the+American+[fem.sg.]

 INPUT STRING:	معونة
     IS_TRANS:	mEwnp
        INDEX:	P8W13
      OFFSETS:	73-78
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(maEuwnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maEuwn+ap
        GLOSS:	aid/assistance/support+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W14
      OFFSETS:	78-79
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W15
      OFFSETS:	79-80
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P8W16
      OFFSETS:	81-84
       TOKENS:	P8W17-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wimA)
          POS:	CONJ+REL_PRON
          VOC:	wi+mA
        GLOSS:	and+what/which

 INPUT STRING:	يأتى
     IS_TRANS:	y>tY
        INDEX:	P8W17
      OFFSETS:	85-89
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ataY_1]
   UNSPLITVOC:	(ya>otiy)
          POS:	IV3MS+IV
          VOC:	ya+>otiy
        GLOSS:	he/it+arrive/come/reach

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W18
      OFFSETS:	90-92
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سلاح
     IS_TRANS:	slAH
        INDEX:	P8W19
      OFFSETS:	93-97
       TOKENS:	P8W21-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(silAH)
          POS:	NOUN
          VOC:	silAH
        GLOSS:	weapon

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P8W20
      OFFSETS:	98-100
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يستخدم
     IS_TRANS:	ystxdm
        INDEX:	P8W21
      OFFSETS:	101-107
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aistaxdam_1]
   UNSPLITVOC:	(yustaxdam)
          POS:	IV3MS+IV_PASS
          VOC:	yu+staxdam
        GLOSS:	he/it+be used/be utilized/be employed

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P8W22
      OFFSETS:	108-111
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P8W23
      OFFSETS:	112-114
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-

 INPUT STRING:	المتظاهرين
     IS_TRANS:	AlmtZAhryn
        INDEX:	P8W24
      OFFSETS:	115-125
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaZAhir_1]
   UNSPLITVOC:	(AlmutaZAhiriyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mutaZAhir+iyn
        GLOSS:	the+demonstrator+[masc.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P8W25
      OFFSETS:	125-126
       TOKENS:	P8W27-P8W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P8W26
      OFFSETS:	127-130
       TOKENS:	P8W28-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	بالأمارة
     IS_TRANS:	bAl>mArp
        INDEX:	P8W27
      OFFSETS:	131-139
       TOKENS:	P8W29-P8W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amArap_1]
   UNSPLITVOC:	(biAl>amArap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+>amAr+ap
        GLOSS:	with/by+the+sign/indication+[fem.sg.]

 INPUT STRING:	قتل
     IS_TRANS:	qtl
        INDEX:	P8W28
      OFFSETS:	140-143
       TOKENS:	P8W31-P8W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qutil_1]
   UNSPLITVOC:	(qutil)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	qutil+(null)
        GLOSS:	be killed+he/it [verb]

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P8W29
      OFFSETS:	144-145
       TOKENS:	P8W32-P8W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W30
      OFFSETS:	146-148
       TOKENS:	P8W33-P8W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المجندين
     IS_TRANS:	Almjndyn
        INDEX:	P8W31
      OFFSETS:	149-157
       TOKENS:	P8W34-P8W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujan~ad_1]
   UNSPLITVOC:	(Almujan~adiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mujan~ad+iyn
        GLOSS:	the+recruit/conscript/draftee+[masc.pl.]

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P8W32
      OFFSETS:	158-166
       TOKENS:	P8W35-P8W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptians+[masc.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W33
      OFFSETS:	167-170
       TOKENS:	P8W36-P8W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الحدود
     IS_TRANS:	AlHdwd
        INDEX:	P8W34
      OFFSETS:	171-177
       TOKENS:	P8W37-P8W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(AlHuduwd)
          POS:	DET+NOUN
          VOC:	Al+Huduwd
        GLOSS:	the+border/frontier/limits

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P8W35
      OFFSETS:	177-178
       TOKENS:	P8W38-P8W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولم
     IS_TRANS:	wlm
        INDEX:	P8W36
      OFFSETS:	179-182
       TOKENS:	P8W39-P8W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(wilamo)
          POS:	CONJ+NEG_PART
          VOC:	wi+lamo
        GLOSS:	and+did not

 INPUT STRING:	يحرك
     IS_TRANS:	yHrk
        INDEX:	P8W37
      OFFSETS:	183-187
       TOKENS:	P8W41-P8W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Har~ak_1]
   UNSPLITVOC:	(yiHar~ak)
          POS:	IV3MS+IV
          VOC:	yi+Har~ak
        GLOSS:	he/it+make move/activate/stimulate

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P8W38
      OFFSETS:	188-193
       TOKENS:	P8W42-P8W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P8W39
      OFFSETS:	194-200
       TOKENS:	P8W43-P8W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	ساكنا
     IS_TRANS:	sAknA
        INDEX:	P8W40
      OFFSETS:	201-206
       TOKENS:	P8W44-P8W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(sAkinAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	sAkin+AF
        GLOSS:	silent+[acc.indef.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P8W41
      OFFSETS:	206-207
       TOKENS:	P8W45-P8W45
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ويطلق
     IS_TRANS:	wyTlq
        INDEX:	P8W42
      OFFSETS:	208-213
       TOKENS:	P8W46-P8W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aTolaq_1]
   UNSPLITVOC:	(wiyiToliq)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+Toliq
        GLOSS:	and+he/it+release/fire

 INPUT STRING:	الرصاص
     IS_TRANS:	AlrSAS
        INDEX:	P8W43
      OFFSETS:	214-220
       TOKENS:	P8W48-P8W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruSASap_1]
   UNSPLITVOC:	(Alr~uSAS)
          POS:	DET+NOUN
          VOC:	Al+ruSAS
        GLOSS:	the+bullets

 INPUT STRING:	الحى
     IS_TRANS:	AlHY
        INDEX:	P8W44
      OFFSETS:	221-225
       TOKENS:	P8W49-P8W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hay~_1]
   UNSPLITVOC:	(AlHay~)
          POS:	DET+ADJ
          VOC:	Al+Hay~
        GLOSS:	the+alive/living/live/lively

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P8W45
      OFFSETS:	226-231
       TOKENS:	P8W50-P8W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	بمجرد
     IS_TRANS:	bmjrd
        INDEX:	P8W46
      OFFSETS:	232-237
       TOKENS:	P8W52-P8W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujar~ad_1]
   UNSPLITVOC:	(bimujar~ad)
          POS:	PREP+NOUN
          VOC:	bi+mujar~ad
        GLOSS:	with/by+nothing but/mere

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P8W47
      OFFSETS:	238-240
       TOKENS:	P8W54-P8W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	that

 INPUT STRING:	يرى
     IS_TRANS:	yrY
        INDEX:	P8W48
      OFFSETS:	241-244
       TOKENS:	P8W55-P8W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ra>aY_1]
   UNSPLITVOC:	(yaraY)
          POS:	IV3MS+IV
          VOC:	ya+raY
        GLOSS:	he/it+see/think/believe

 INPUT STRING:	وجوهنا
     IS_TRANS:	wjwhnA
        INDEX:	P8W49
      OFFSETS:	245-251
       TOKENS:	P8W56-P8W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajoh_1]
   UNSPLITVOC:	(wujuwhnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	wujuwh+nA
        GLOSS:	faces+our

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W50
      OFFSETS:	251-252
       TOKENS:	P8W58-P8W58
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	نقوم
     IS_TRANS:	nqwm
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(niquwm)
          POS:	IV1P+IV
          VOC:	ni+quwm
        GLOSS:	we+undertake/carry out

 INPUT STRING:	بثورة
     IS_TRANS:	bvwrp
        INDEX:	P9W3
      OFFSETS:	10-15
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(bivawrap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+vawr+ap
        GLOSS:	with/by+revolution/uprising+[fem.sg.]

 INPUT STRING:	تحسّن
     IS_TRANS:	tHs~n
        INDEX:	P9W4
      OFFSETS:	16-21
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Has~in_1]
   UNSPLITVOC:	(tiHas~in)
          POS:	IV3FS+IV
          VOC:	ti+Has~in
        GLOSS:	she/it/they+improve/decorate

 INPUT STRING:	أوضاع
     IS_TRANS:	>wDAE
        INDEX:	P9W5
      OFFSETS:	22-27
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_2]
   UNSPLITVOC:	(>awDAE)
          POS:	NOUN
          VOC:	>awDAE
        GLOSS:	conditions/situation/status

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P9W6
      OFFSETS:	28-33
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W7
      OFFSETS:	33-34
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وتنقذه
     IS_TRANS:	wtnq*h
        INDEX:	P9W8
      OFFSETS:	35-41
       TOKENS:	P9W9-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anoqa*_1]
   UNSPLITVOC:	(witinoqi*uh)
          POS:	CONJ+IV3FS+IV+IVSUFF_DO:3MS
          VOC:	wi+ti+noqi*+uh
        GLOSS:	and+she/it/they+save/rescue/salvage+him/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W9
      OFFSETS:	42-44
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سيناريو
     IS_TRANS:	synAryw
        INDEX:	P9W10
      OFFSETS:	45-52
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynAroyuw_1]
   UNSPLITVOC:	(siynAroyuw)
          POS:	NOUN
          VOC:	siynAroyuw
        GLOSS:	scenario

 INPUT STRING:	التوريث
     IS_TRANS:	Altwryv
        INDEX:	P9W11
      OFFSETS:	53-60
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawriyv_1]
   UNSPLITVOC:	(Alt~awriyv)
          POS:	DET+NOUN
          VOC:	Al+tawriyv
        GLOSS:	the+hereditary transmission

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W12
      OFFSETS:	60-61
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وترحمه
     IS_TRANS:	wtrHmh
        INDEX:	P9W13
      OFFSETS:	62-68
       TOKENS:	P9W16-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(witiroHamuh)
          POS:	CONJ+IV3FS+IV+IVSUFF_DO:3MS
          VOC:	wi+ti+roHam+uh
        GLOSS:	and+she/it/they+have mercy with+him/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W14
      OFFSETS:	69-71
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	آلاطة
     IS_TRANS:	|lATp
        INDEX:	P9W15
      OFFSETS:	72-77
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>alATap_1]
   UNSPLITVOC:	(|lATap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>alAT+ap
        GLOSS:	vanity/arrogance+[fem.sg.]

 INPUT STRING:	الهانم
     IS_TRANS:	AlhAnm
        INDEX:	P9W16
      OFFSETS:	78-84
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAnim_1]
   UNSPLITVOC:	(AlhAnim)
          POS:	DET+NOUN
          VOC:	Al+hAnim
        GLOSS:	the+lady/madame/Lady

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W17
      OFFSETS:	84-85
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وطولة
     IS_TRANS:	wTwlp
        INDEX:	P9W18
      OFFSETS:	86-91
       TOKENS:	P9W23-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwlap_1]
   UNSPLITVOC:	(wiTuwlap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+Tuwl+ap
        GLOSS:	and+length/height+[fem.sg.]

 INPUT STRING:	لسان
     IS_TRANS:	lsAn
        INDEX:	P9W19
      OFFSETS:	92-96
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lisAn_1]
   UNSPLITVOC:	(lisAn)
          POS:	NOUN
          VOC:	lisAn
        GLOSS:	tongue

 INPUT STRING:	البيه
     IS_TRANS:	Albyh
        INDEX:	P9W20
      OFFSETS:	97-102
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayh_1]
   UNSPLITVOC:	(Albayh)
          POS:	DET+NOUN
          VOC:	Al+bayh
        GLOSS:	the+bey

 INPUT STRING:	الصغير
     IS_TRANS:	AlSgyr
        INDEX:	P9W21
      OFFSETS:	103-109
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sugay~ar_1]
   UNSPLITVOC:	(AlS~ugay~ar)
          POS:	DET+ADJ
          VOC:	Al+Sugay~ar
        GLOSS:	the+little

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W22
      OFFSETS:	109-110
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وتضع
     IS_TRANS:	wtDE
        INDEX:	P9W23
      OFFSETS:	111-115
       TOKENS:	P9W29-P9W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waDaE_1]
   UNSPLITVOC:	(witaDaE)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ta+DaE
        GLOSS:	and+she/it/they+put/place

 INPUT STRING:	مجلسه
     IS_TRANS:	mjlsh
        INDEX:	P9W24
      OFFSETS:	116-121
       TOKENS:	P9W31-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolisuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	majolis+uh
        GLOSS:	council/board+his/its

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W25
      OFFSETS:	122-124
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أمَلة
     IS_TRANS:	>malp
        INDEX:	P9W26
      OFFSETS:	125-130
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amalap_1]
   UNSPLITVOC:	(>amalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>amal+ap
        GLOSS:	prosperity/comfort+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P9W27
      OFFSETS:	131-133
       TOKENS:	P9W35-P9W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
