 INPUT STRING:	الملاحظ
        GLOSS:	and+it/they/she+said/say/be said/say/(for example)+them

 INPUT STRING:	هدفعلك
     IS_TRANS:	hdfElk
        INDEX:	P13W16
      OFFSETS:	77-83
       TOKENS:	P13W22-P13W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(HaAadofaE_lak)
          POS:	FUT_PART+IV1S+IV+PREP+PRON_2MS
          VOC:	Ha+Aa+dofaE+li+ak
        GLOSS:	will+I+push/motivate/pay/be pushed/be motivated/be paid+to/for+you

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P13W17
      OFFSETS:	84-87
       TOKENS:	P13W26-P13W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P13W18
      OFFSETS:	88-90
       TOKENS:	P13W27-P13W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P13W19
      OFFSETS:	91-95
       TOKENS:	P13W28-P13W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P13W20
      OFFSETS:	96-98
       TOKENS:	P13W29-P13W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	اتجوزني
     IS_TRANS:	Atjwzny
        INDEX:	P13W21
      OFFSETS:	99-106
       TOKENS:	P13W30-P13W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojaw~iz_1]
   UNSPLITVOC:	(Aatojaw~izniy)
          POS:	IV1S+IV+IVSUFF_DO:1S
          VOC:	Aa+tojaw~iz+niy
        GLOSS:	I+marry+me

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P14W2
      OFFSETS:	3-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P14W3
      OFFSETS:	8-15
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	اكثر
     IS_TRANS:	Akvr
        INDEX:	P14W4
      OFFSETS:	16-20
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W5
      OFFSETS:	21-23
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	رائع
     IS_TRANS:	rA}E
        INDEX:	P14W6
      OFFSETS:	24-28
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rA}iE_1]
   UNSPLITVOC:	(rA}iE)
          POS:	ADJ
          VOC:	rA}iE
        GLOSS:	splendid/marvelous/magnificent

 INPUT STRING:	ومواكب
     IS_TRANS:	wmwAkb
        INDEX:	P14W7
      OFFSETS:	29-35
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miwAkib_1]
   UNSPLITVOC:	(wimiwAkib)
          POS:	CONJ+NOUN
          VOC:	wi+miwAkib
        GLOSS:	and+accompaniment/cope

 INPUT STRING:	للعصر
     IS_TRANS:	llESr
        INDEX:	P14W8
      OFFSETS:	36-41
       TOKENS:	P14W9-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSor_1]
   UNSPLITVOC:	(lilEaSor)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+EaSor
        GLOSS:	for/to+the+age/period/epoch/ages/periods/epochs

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P14W9
      OFFSETS:	42-46
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	نعيشه
     IS_TRANS:	nEy$h
        INDEX:	P14W10
      OFFSETS:	47-52
       TOKENS:	P14W12-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(niEiy$uh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	ni+Eiy$+uh
        GLOSS:	we+live/experience/long live!/be lived/be experienced+it

 INPUT STRING:	الان
     IS_TRANS:	AlAn
        INDEX:	P14W11
      OFFSETS:	53-57
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|n_1]
   UNSPLITVOC:	(Al|n)
          POS:	DET+NOUN
          VOC:	Al+|n
        GLOSS:	the+time/moment

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P15W1
      OFFSETS:	0-6
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now/at this moment

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P15W2
      OFFSETS:	7-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P15W3
      OFFSETS:	10-12
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P15W4
      OFFSETS:	13-17
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	شاف
     IS_TRANS:	$Af
        INDEX:	P15W5
      OFFSETS:	18-21
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($Af)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$Af+(null)
        GLOSS:	look+he/it

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P15W6
      OFFSETS:	22-26
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	حوليه
     IS_TRANS:	Hwlyh
        INDEX:	P15W7
      OFFSETS:	27-32
       TOKENS:	P15W7-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hawala_1]
   UNSPLITVOC:	(Hawaliy~ih)
          POS:	ADJ+PRON_3MS
          VOC:	Hawaliy~+ih
        GLOSS:	around+its/his

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W8
      OFFSETS:	33-35
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P15W9
      OFFSETS:	36-40
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيتجوزوا
     IS_TRANS:	bytjwzwA
        INDEX:	P15W10
      OFFSETS:	41-49
       TOKENS:	P15W11-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojaw~iz_1]
   UNSPLITVOC:	(biyitojaw~izuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+tojaw~iz+uwA
        GLOSS:	[present-tense]+they+marry+we

 INPUT STRING:	وكدة
     IS_TRANS:	wkdp
        INDEX:	P15W11
      OFFSETS:	50-54
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(wikidah)
          POS:	CONJ+NOUN
          VOC:	wi+kidah
        GLOSS:	and+like/such

 INPUT STRING:	هيلاقى
     IS_TRANS:	hylAqY
        INDEX:	P15W12
      OFFSETS:	55-61
       TOKENS:	P15W15-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(HayilAqiy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+lAqiy
        GLOSS:	will+he/it+meet/encounter/be met/be encountered

 INPUT STRING:	تكاليف
     IS_TRANS:	tkAlyf
        INDEX:	P15W13
      OFFSETS:	62-68
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takolifap_1]
   UNSPLITVOC:	(takAliyf)
          POS:	NOUN
          VOC:	takAliyf
        GLOSS:	cost computation

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W14
      OFFSETS:	69-71
       TOKENS:	P15W18-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P15W15
      OFFSETS:	72-74
       TOKENS:	P15W19-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P15W16
      OFFSETS:	75-79
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W17
      OFFSETS:	80-82
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الابرة
     IS_TRANS:	AlAbrp
        INDEX:	P15W18
      OFFSETS:	83-89
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iborap_1]
   UNSPLITVOC:	(Al<iborap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+<ibor+ap
        GLOSS:	the+needle/injection/needles/injections+[fem.sg.]

 INPUT STRING:	لاكبر
     IS_TRANS:	lAkbr
        INDEX:	P15W19
      OFFSETS:	90-95
       TOKENS:	P15W23-P15W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(li>akobar)
          POS:	PREP+ADJ_COMP
          VOC:	li+>akobar
        GLOSS:	for/to+larger/largest/greater/greatest

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P15W20
      OFFSETS:	96-100
       TOKENS:	P15W25-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W21
      OFFSETS:	101-103
       TOKENS:	P15W26-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشقة
     IS_TRANS:	Al$qp
        INDEX:	P15W22
      OFFSETS:	104-109
       TOKENS:	P15W27-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aq~ap_1]
   UNSPLITVOC:	(Al$~aq~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$aq~+ap
        GLOSS:	the+apartment/apartments+[fem.sg.]

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first+[acc.indef.]

 INPUT STRING:	الام
     IS_TRANS:	AlAm
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(Al>um~)
          POS:	DET+NOUN
          VOC:	Al+>um~
        GLOSS:	the+mother/maternal/mothers

 INPUT STRING:	والاب
     IS_TRANS:	wAlAb
        INDEX:	P16W3
      OFFSETS:	10-15
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab~_1]
   UNSPLITVOC:	(wiAl>ab~)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+>ab~
        GLOSS:	and+the+father/parents/fathers/ancestors

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P16W4
      OFFSETS:	16-18
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they [masc.pl]

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P16W5
      OFFSETS:	19-22
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P16W6
      OFFSETS:	23-25
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	المشاكل
     IS_TRANS:	Alm$Akl
        INDEX:	P16W7
      OFFSETS:	26-33
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Alma$Akil)
          POS:	DET+NOUN
          VOC:	Al+ma$Akil
        GLOSS:	the+problem/issue

 INPUT STRING:	وممكن
     IS_TRANS:	wmmkn
        INDEX:	P16W8
      OFFSETS:	34-39
       TOKENS:	P16W9-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(wimumokin)
          POS:	CONJ+NOUN
          VOC:	wi+mumokin
        GLOSS:	and+possibilities

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P16W9
      OFFSETS:	40-44
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P16W10
      OFFSETS:	45-50
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	راضيه
     IS_TRANS:	rADyh
        INDEX:	P16W11
      OFFSETS:	51-56
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rADiy_1]
   UNSPLITVOC:	(rADoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	rADoy+ap
        GLOSS:	pleased/accepting/consenting+[fem.sg.]

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P16W12
      OFFSETS:	57-60
       TOKENS:	P16W14-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all, entire, every, whole

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P16W13
      OFFSETS:	61-65
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P16W14
      OFFSETS:	66-69
       TOKENS:	P16W17-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hum_1]
   UNSPLITVOC:	(wahum)
          POS:	CONJ+PRON_3P
          VOC:	wa+hum
        GLOSS:	and+they [masc.pl]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P16W15
      OFFSETS:	70-72
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	راضيين
     IS_TRANS:	rADyyn
        INDEX:	P16W16
      OFFSETS:	73-79
       TOKENS:	P16W20-P16W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rADiy_1]
   UNSPLITVOC:	(rADoyiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	rADoy+iyn
        GLOSS:	pleased/accepting/consenting+[masc.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P16W17
      OFFSETS:	80-83
       TOKENS:	P16W21-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P16W18
      OFFSETS:	84-88
       TOKENS:	P16W22-P16W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	متقدم
     IS_TRANS:	mtqdm
        INDEX:	P16W19
      OFFSETS:	89-94
       TOKENS:	P16W23-P16W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoqad~im_1]
   UNSPLITVOC:	(mitoqad~im)
          POS:	NOUN
          VOC:	mitoqad~im
        GLOSS:	advanced

 INPUT STRING:	وليه
     IS_TRANS:	wlyh
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(wiliyh)
          POS:	CONJ+INTERROG_ADV
          VOC:	wi+liyh
        GLOSS:	and+why/like this

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P17W2
      OFFSETS:	5-9
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	NOUN
          VOC:	mumokin
        GLOSS:	possibilities

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P17W3
      OFFSETS:	10-12
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P17W4
      OFFSETS:	13-17
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting/needing

 INPUT STRING:	يجيب
     IS_TRANS:	yjyb
        INDEX:	P17W5
      OFFSETS:	18-22
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(yijiyb)
          POS:	IV3MS+IV
          VOC:	yi+jiyb
        GLOSS:	he/it+explore/traverse/bring

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P17W6
      OFFSETS:	23-27
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	proverbs/examples+[acc.indef.]

 INPUT STRING:	الرفاهيات
     IS_TRANS:	AlrfAhyAt
        INDEX:	P17W7
      OFFSETS:	28-37
       TOKENS:	P17W8-P17W8
