 INPUT STRING:	الطرف
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(A)
          POS:	TYPO
          VOC:	A
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W20
      OFFSETS:	105-106
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W21
      OFFSETS:	106-107
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W22
      OFFSETS:	107-108
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لزراعية
     IS_TRANS:	lzrAEyp
        INDEX:	P4W23
      OFFSETS:	109-116
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlzirAEiy_1]
   UNSPLITVOC:	(AlzirAEiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+zirAEiy~+ap
        GLOSS:	the+agricultural+[fem.sg.]

 INPUT STRING:	أحداث
     IS_TRANS:	>HdAv
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(>aHodAv)
          POS:	NOUN
          VOC:	>aHodAv
        GLOSS:	events

 INPUT STRING:	جديدة
     IS_TRANS:	jdydp
        INDEX:	P5W2
      OFFSETS:	6-11
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jidiyd+ap
        GLOSS:	modern/new+[fem.sg.]

 INPUT STRING:	تثبت
     IS_TRANS:	tvbt
        INDEX:	P5W3
      OFFSETS:	12-16
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vabat_1]
   UNSPLITVOC:	(tivobit)
          POS:	IV3FS+IV
          VOC:	ti+vobit
        GLOSS:	it/they/she+confirm/reinforce/be confirmed/be reinforced

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P5W4
      OFFSETS:	17-21
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	الطرف
     IS_TRANS:	AlTrf
        INDEX:	P5W5
      OFFSETS:	22-27
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlT~araf)
          POS:	DET+NOUN
          VOC:	Al+Taraf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

 INPUT STRING:	الثالث
     IS_TRANS:	AlvAlv
        INDEX:	P5W6
      OFFSETS:	28-34
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlvAliv_1]
   UNSPLITVOC:	(AlvAliv)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAliv
        GLOSS:	the+third

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+he

 INPUT STRING:	اللهو
     IS_TRANS:	Allhw
        INDEX:	P6W2
      OFFSETS:	4-9
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lahow_1]
   UNSPLITVOC:	(All~ahow)
          POS:	DET+NOUN
          VOC:	Al+lahow
        GLOSS:	the+entertainment/amusement

 INPUT STRING:	الخفى
     IS_TRANS:	AlxfY
        INDEX:	P6W3
      OFFSETS:	10-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xafiy_1]
   UNSPLITVOC:	(Alxafiy)
          POS:	DET+ADJ
          VOC:	Al+xafiy
        GLOSS:	the+hidden/secret/invisible

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P6W4
      OFFSETS:	16-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	يرعب
     IS_TRANS:	yrEb
        INDEX:	P6W5
      OFFSETS:	21-25
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raEab_1]
   UNSPLITVOC:	(yirEib)
          POS:	IV3MS+IV
          VOC:	yi+rEib
        GLOSS:	he/it+frighten/terrify

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P6W6
      OFFSETS:	26-29
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W7
      OFFSETS:	30-32
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P6W8
      OFFSETS:	33-36
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	قيام
     IS_TRANS:	qyAm
        INDEX:	P6W9
      OFFSETS:	37-41
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAm_1]
   UNSPLITVOC:	(qiyAm)
          POS:	NOUN
          VOC:	qiyAm
        GLOSS:	undertaking/carrying out/setting up

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P6W10
      OFFSETS:	42-48
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P6W11
      OFFSETS:	49-52
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	الآن
     IS_TRANS:	Al|n
        INDEX:	P6W12
      OFFSETS:	53-57
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|n_1]
   UNSPLITVOC:	(Al|n)
          POS:	DET+NOUN
          VOC:	Al+|n
        GLOSS:	the+time/moment

 INPUT STRING:	وقد
     IS_TRANS:	wqd
        INDEX:	P6W13
      OFFSETS:	58-61
       TOKENS:	P6W14-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qad_1]
   UNSPLITVOC:	(wiqado)
          POS:	CONJ+VERB_PART
          VOC:	wi+qado
        GLOSS:	and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	وضحت
     IS_TRANS:	wDHt
        INDEX:	P6W14
      OFFSETS:	62-66
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wiDiH_1]
   UNSPLITVOC:	(wiDiHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	wiDiH+it
        GLOSS:	become clear/become evident/appear+it/they/she [verb]

 INPUT STRING:	الرؤية
     IS_TRANS:	Alr&yp
        INDEX:	P6W15
      OFFSETS:	67-73
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ru&oyap_1]
   UNSPLITVOC:	(Alr~u&oyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ru&oy+ap
        GLOSS:	the+vision/sight/view/viewing+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_2]
   UNSPLITVOC:	(mano)
          POS:	INTERROG_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P7W2
      OFFSETS:	3-5
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	الطرف
     IS_TRANS:	AlTrf
        INDEX:	P7W3
      OFFSETS:	6-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlT~araf)
          POS:	DET+NOUN
          VOC:	Al+Taraf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

 INPUT STRING:	الثالث
     IS_TRANS:	AlvAlv
        INDEX:	P7W4
      OFFSETS:	12-18
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlvAliv_1]
   UNSPLITVOC:	(AlvAliv)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAliv
        GLOSS:	the+third

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P7W5
      OFFSETS:	19-23
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P7W6
      OFFSETS:	24-26
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يريد
     IS_TRANS:	yryd
        INDEX:	P7W7
      OFFSETS:	27-31
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(yuriyd)
          POS:	IV3MS+IV
          VOC:	yu+riyd
        GLOSS:	he/it+want/desire

 INPUT STRING:	المحاكمة
     IS_TRANS:	AlmHAkmp
        INDEX:	P7W8
      OFFSETS:	32-40
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAkomap_1]
   UNSPLITVOC:	(AlmuHAkomap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muHAkom+ap
        GLOSS:	the+judicial proceeding+[fem.sg.]

 INPUT STRING:	شبّ
     IS_TRANS:	$b~
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ab~_1]
   UNSPLITVOC:	($ab~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$ab~+(null)
        GLOSS:	grow up/burn+he/it

 INPUT STRING:	حريق
     IS_TRANS:	Hryq
        INDEX:	P8W2
      OFFSETS:	4-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hariyq_1]
   UNSPLITVOC:	(Hariyq)
          POS:	NOUN
          VOC:	Hariyq
        GLOSS:	fire/fires

 INPUT STRING:	هائل
     IS_TRANS:	hA}l
        INDEX:	P8W3
      OFFSETS:	9-13
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hA}il_1]
   UNSPLITVOC:	(hA}il)
          POS:	ADJ
          VOC:	hA}il
        GLOSS:	huge/formidable/appalling

 INPUT STRING:	عصر
     IS_TRANS:	ESr
        INDEX:	P8W4
      OFFSETS:	14-17
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSor_1]
   UNSPLITVOC:	(EaSor)
          POS:	NOUN
          VOC:	EaSor
        GLOSS:	age/period/epoch

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P8W5
      OFFSETS:	18-23
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	بمزارع
     IS_TRANS:	bmzArE
        INDEX:	P8W6
      OFFSETS:	24-30
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mazraEap_1]
   UNSPLITVOC:	(bimazAriE)
          POS:	PREP+NOUN
          VOC:	bi+mazAriE
        GLOSS:	with/by+farms/plantations

 INPUT STRING:	وحقول
     IS_TRANS:	wHqwl
        INDEX:	P8W7
      OFFSETS:	31-36
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haql_1]
   UNSPLITVOC:	(wiHuquwl)
          POS:	CONJ+NOUN
          VOC:	wi+Huquwl
        GLOSS:	and+fields

 INPUT STRING:	منطقة
     IS_TRANS:	mnTqp
        INDEX:	P8W8
      OFFSETS:	37-42
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiqap_1]
   UNSPLITVOC:	(manoTiqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	manoTiq+ap
        GLOSS:	area/zone/territory+[fem.sg.]

 INPUT STRING:	مشندت
     IS_TRANS:	m$ndt
        INDEX:	P8W9
      OFFSETS:	43-48
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mi$andat_1]
   UNSPLITVOC:	(mi$andat)
          POS:	NOUN_PROP
          VOC:	mi$andat
        GLOSS:	Mishandat

 INPUT STRING:	بقرية
     IS_TRANS:	bqryp
        INDEX:	P8W10
      OFFSETS:	49-54
       TOKENS:	P8W12-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaryap_1]
   UNSPLITVOC:	(biqaryap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+qary+ap
        GLOSS:	with/by+village+[fem.sg.]

 INPUT STRING:	المراقى
     IS_TRANS:	AlmrAqY
        INDEX:	P8W11
      OFFSETS:	55-62
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[marAqiy_1]
   UNSPLITVOC:	(AlmarAqiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+marAqiy
        GLOSS:	the+Maraqy

 INPUT STRING:	بواحة
     IS_TRANS:	bwAHp
        INDEX:	P8W12
      OFFSETS:	63-68
       TOKENS:	P8W15-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHap_1]
   UNSPLITVOC:	(biwAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wAH+ap
        GLOSS:	with/by+oasis+[fem.sg.]

 INPUT STRING:	سيوة
     IS_TRANS:	sywp
        INDEX:	P8W13
      OFFSETS:	69-73
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siywap_1]
   UNSPLITVOC:	(siywap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	siyw+ap
        GLOSS:	Siwa+[fem.sg.]

 INPUT STRING:	جنوب
     IS_TRANS:	jnwb
        INDEX:	P8W14
      OFFSETS:	74-78
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[januwb_1]
   UNSPLITVOC:	(januwb)
          POS:	NOUN
          VOC:	januwb
        GLOSS:	south

 INPUT STRING:	مرسى
     IS_TRANS:	mrsY
        INDEX:	P8W15
      OFFSETS:	79-83
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marosaY_1]
   UNSPLITVOC:	(marosaY)
          POS:	NOUN_PROP
          VOC:	marosaY
        GLOSS:	Marsa

 INPUT STRING:	مطروح
     IS_TRANS:	mTrwH
        INDEX:	P8W16
      OFFSETS:	84-89
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maToruwH_1]
   UNSPLITVOC:	(maToruwH)
          POS:	NOUN_PROP
          VOC:	maToruwH
        GLOSS:	Matrouh

 INPUT STRING:	بـ
     IS_TRANS:	b_
        INDEX:	P8W17
      OFFSETS:	90-92
       TOKENS:	P8W21-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bi)
          POS:	PREP
          VOC:	bi
        GLOSS:	with

 INPUT STRING:	306
     IS_TRANS:	306
        INDEX:	P8W18
      OFFSETS:	93-96
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[306]
   UNSPLITVOC:	(306)
          POS:	NOUN_NUM
          VOC:	306
        GLOSS:	306

 INPUT STRING:	كم
     IS_TRANS:	km
        INDEX:	P8W19
      OFFSETS:	97-99
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kamo_3]
   UNSPLITVOC:	(km)
          POS:	ABBREV
          VOC:	km
        GLOSS:	kilometer(s)

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W20
      OFFSETS:	100-103
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مساحة
     IS_TRANS:	msAHp
        INDEX:	P8W21
      OFFSETS:	104-109
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misAHap_1]
   UNSPLITVOC:	(misAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	misAH+ap
        GLOSS:	surface/space/land/terrain+[fem.sg.]

 INPUT STRING:	7
     IS_TRANS:	7
        INDEX:	P8W22
      OFFSETS:	110-111
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[7]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	كم
     IS_TRANS:	km
        INDEX:	P8W23
      OFFSETS:	112-114
       TOKENS:	P8W27-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kamo_3]
   UNSPLITVOC:	(km)
          POS:	ABBREV
          VOC:	km
        GLOSS:	kilometer(s)

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W24
      OFFSETS:	115-116
       TOKENS:	P8W28-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_2]
   UNSPLITVOC:	(mano)
          POS:	INTERROG_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P9W2
      OFFSETS:	3-5
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P9W3
      OFFSETS:	6-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	who

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P9W4
      OFFSETS:	11-13
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يريد
     IS_TRANS:	yryd
        INDEX:	P9W5
      OFFSETS:	14-18
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(yuriyd)
          POS:	IV3MS+IV
          VOC:	yu+riyd
        GLOSS:	he/it+want/desire

 INPUT STRING:	المحاكمة
     IS_TRANS:	AlmHAkmp
        INDEX:	P9W6
      OFFSETS:	19-27
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAkomap_1]
   UNSPLITVOC:	(AlmuHAkomap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muHAkom+ap
        GLOSS:	the+judicial proceeding/legal prosecution+[fem.sg.]

 INPUT STRING:	لهؤلاء
     IS_TRANS:	lh&lA'
        INDEX:	P9W7
      OFFSETS:	28-34
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha&ulA'_1]
   UNSPLITVOC:	(liha&ulA')
          POS:	PREP+DEM_PRON_P
          VOC:	li+ha&ulA'
        GLOSS:	for/to+these

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P9W8
      OFFSETS:	35-40
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al~a*iyna_1]
   UNSPLITVOC:	(Al~a*iyna)
