 INPUT STRING:	ظهرت
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(lijAn)
          POS:	NOUN
          VOC:	lijAn
        GLOSS:	councils/committees/commissions

 INPUT STRING:	تابعة
     IS_TRANS:	tAbEp
        INDEX:	P3W10
      OFFSETS:	51-56
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAbiE_1]
   UNSPLITVOC:	(tAbEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAbE+ap
        GLOSS:	subordinate/adherent/belonging (to)+[fem.sg.]

 INPUT STRING:	لمديريات
     IS_TRANS:	lmdyryAt
        INDEX:	P3W11
      OFFSETS:	57-65
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyriy~ap_1]
   UNSPLITVOC:	(limudiyriy~At)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	li+mudiyriy~+At
        GLOSS:	for/to+district/province+[fem.pl.]

 INPUT STRING:	التربية
     IS_TRANS:	Altrbyp
        INDEX:	P3W12
      OFFSETS:	66-73
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarobiyap_1]
   UNSPLITVOC:	(Alt~arobiyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+tarobiy+ap
        GLOSS:	the+education/pedagogy/breeding+[fem.sg.]

 INPUT STRING:	والتعليم
     IS_TRANS:	wAltElym
        INDEX:	P3W13
      OFFSETS:	74-82
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliym_1]
   UNSPLITVOC:	(wiAltaEoliym)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+taEoliym
        GLOSS:	and+the+education/teaching/instructions/precepts

 INPUT STRING:	بالمحافظات
     IS_TRANS:	bAlmHAfZAt
        INDEX:	P3W14
      OFFSETS:	83-93
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfoZap_1]
   UNSPLITVOC:	(biAlmuHAfoZAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	bi+Al+muHAfoZ+At
        GLOSS:	with/by+the+Governorate+[fem.pl.]

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P3W15
      OFFSETS:	94-96
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qad~_1]
   UNSPLITVOC:	(qad~)
          POS:	SUB_CONJ
          VOC:	qad~
        GLOSS:	indeed

 INPUT STRING:	شكلت
     IS_TRANS:	$klt
        INDEX:	P3W16
      OFFSETS:	97-101
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uk~il_1]
   UNSPLITVOC:	($uk~ilat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	$uk~il+at
        GLOSS:	be constituted/be formed+she/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W17
      OFFSETS:	102-104
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أجل
     IS_TRANS:	>jl
        INDEX:	P3W18
      OFFSETS:	105-108
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajal_1]
   UNSPLITVOC:	(>ajal)
          POS:	NOUN
          VOC:	>ajal
        GLOSS:	for sake of/because of

 INPUT STRING:	تقييم
     IS_TRANS:	tqyym
        INDEX:	P3W19
      OFFSETS:	109-114
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoyiym_1]
   UNSPLITVOC:	(taqoyiym)
          POS:	NOUN
          VOC:	taqoyiym
        GLOSS:	evaluation/assessment/rating

 INPUT STRING:	حجم
     IS_TRANS:	Hjm
        INDEX:	P3W20
      OFFSETS:	115-118
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hajom_1]
   UNSPLITVOC:	(Hajom)
          POS:	NOUN
          VOC:	Hajom
        GLOSS:	volume/size/volumes/sizes

 INPUT STRING:	انتشار
     IS_TRANS:	Ant$Ar
        INDEX:	P3W21
      OFFSETS:	119-125
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inoti$Ar_1]
   UNSPLITVOC:	(<inoti$Ar)
          POS:	NOUN
          VOC:	<inoti$Ar
        GLOSS:	spreading

 INPUT STRING:	الظاهرة
     IS_TRANS:	AlZAhrp
        INDEX:	P3W22
      OFFSETS:	126-133
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAhirap_1]
   UNSPLITVOC:	(AlZ~Ahirap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ZAhir+ap
        GLOSS:	the+phenomenon/phenomena+[fem.sg.]

 INPUT STRING:	ومحاسبة
     IS_TRANS:	wmHAsbp
        INDEX:	P3W23
      OFFSETS:	134-141
       TOKENS:	P3W28-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAsobap_1]
   UNSPLITVOC:	(wimuHAsobap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+muHAsob+ap
        GLOSS:	and+accounting/examination+[fem.sg.]

 INPUT STRING:	مديري
     IS_TRANS:	mdyry
        INDEX:	P3W24
      OFFSETS:	142-147
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(mudiyriy)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	mudiyr+iy
        GLOSS:	director/manager/chief+[masc.pl.]

 INPUT STRING:	المدارس
     IS_TRANS:	AlmdArs
        INDEX:	P3W25
      OFFSETS:	148-155
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(AlmadAris)
          POS:	DET+NOUN
          VOC:	Al+madAris
        GLOSS:	the+school

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P3W26
      OFFSETS:	156-160
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who

 INPUT STRING:	جاءت
     IS_TRANS:	jA't
        INDEX:	P3W27
      OFFSETS:	161-165
       TOKENS:	P3W33-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA'_1]
   UNSPLITVOC:	(jA'it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	jA'+it
        GLOSS:	arrive/come/occur+it/they/she [verb]

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P3W28
      OFFSETS:	166-170
       TOKENS:	P3W34-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+her

 INPUT STRING:	الشكاوى
     IS_TRANS:	Al$kAwY
        INDEX:	P3W29
      OFFSETS:	171-178
       TOKENS:	P3W36-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akoway_1]
   UNSPLITVOC:	(Al$~akAwaY)
          POS:	DET+NOUN
          VOC:	Al+$akAwaY
        GLOSS:	the+complaints/grievances

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W30
      OFFSETS:	178-179
       TOKENS:	P3W37-P3W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	مؤكدا
     IS_TRANS:	m&kdA
        INDEX:	P3W31
      OFFSETS:	180-185
       TOKENS:	P3W38-P3W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ak~id_1]
   UNSPLITVOC:	(mu&ak~idAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	mu&ak~id+AF
        GLOSS:	assuring/confirming+[acc.indef.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W32
      OFFSETS:	186-188
       TOKENS:	P3W39-P3W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	التعليم
     IS_TRANS:	AltElym
        INDEX:	P3W33
      OFFSETS:	189-196
       TOKENS:	P3W40-P3W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliym_1]
   UNSPLITVOC:	(Alt~aEoliym)
          POS:	DET+NOUN
          VOC:	Al+taEoliym
        GLOSS:	the+education/teaching/instructions/precepts

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P3W34
      OFFSETS:	197-199
       TOKENS:	P3W41-P3W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P3W35
      OFFSETS:	200-204
       TOKENS:	P3W42-P3W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yimokin)
          POS:	IV3MS+IV
          VOC:	yi+mokin
        GLOSS:	he/it+be possible/make possible for

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W36
      OFFSETS:	205-207
       TOKENS:	P3W43-P3W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يستخدم
     IS_TRANS:	ystxdm
        INDEX:	P3W37
      OFFSETS:	208-214
       TOKENS:	P3W44-P3W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isotaxodim_1]
   UNSPLITVOC:	(yusotaxodam)
          POS:	IV3MS+IV_PASS
          VOC:	yu+sotaxodam
        GLOSS:	he/it+be used

 INPUT STRING:	كأداة
     IS_TRANS:	k>dAp
        INDEX:	P3W38
      OFFSETS:	215-220
       TOKENS:	P3W45-P3W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>adAap_1]
   UNSPLITVOC:	(ka>adAap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	ka+>adA+ap
        GLOSS:	as/like+tool+[fem.sg.]

 INPUT STRING:	للأحزاب
     IS_TRANS:	ll>HzAb
        INDEX:	P3W39
      OFFSETS:	221-228
       TOKENS:	P3W47-P3W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(lil>aHozAb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>aHozAb
        GLOSS:	to/for+the+parties/bands

 INPUT STRING:	والسياسة
     IS_TRANS:	wAlsyAsp
        INDEX:	P3W40
      OFFSETS:	229-237
       TOKENS:	P3W49-P3W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(wiAlsiyAsap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+siyAs+ap
        GLOSS:	and+the+politics+[fem.sg.]

 INPUT STRING:	وأن
     IS_TRANS:	w>n
        INDEX:	P3W41
      OFFSETS:	238-241
       TOKENS:	P3W51-P3W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi>an~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+>an~
        GLOSS:	and+that

 INPUT STRING:	الوزارة
     IS_TRANS:	AlwzArp
        INDEX:	P3W42
      OFFSETS:	242-249
       TOKENS:	P3W53-P3W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(AlwizArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wizAr+ap
        GLOSS:	the+ministry+[fem.sg.]

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P3W43
      OFFSETS:	250-252
       TOKENS:	P3W54-P3W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	تتهاون
     IS_TRANS:	tthAwn
        INDEX:	P3W44
      OFFSETS:	253-259
       TOKENS:	P3W55-P3W55
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tthAwn)
          POS:	NO_FUNC
          VOC:	tthAwn
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W45
      OFFSETS:	260-262
       TOKENS:	P3W56-P3W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	معاقبة
     IS_TRANS:	mEAqbp
        INDEX:	P3W46
      OFFSETS:	263-269
       TOKENS:	P3W57-P3W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAqobap_1]
   UNSPLITVOC:	(muEAqobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muEAqob+ap
        GLOSS:	punishment+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W47
      OFFSETS:	270-272
       TOKENS:	P3W58-P3W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يخالف
     IS_TRANS:	yxAlf
        INDEX:	P3W48
      OFFSETS:	273-278
       TOKENS:	P3W59-P3W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlif_1]
   UNSPLITVOC:	(yixAlif)
          POS:	IV3MS+IV
          VOC:	yi+xAlif
        GLOSS:	he/it+go against/contradict

 INPUT STRING:	القواعد
     IS_TRANS:	AlqwAEd
        INDEX:	P3W49
      OFFSETS:	279-286
       TOKENS:	P3W60-P3W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEodap_1]
   UNSPLITVOC:	(AlqawAEid)
          POS:	DET+NOUN
          VOC:	Al+qawAEid
        GLOSS:	the+rules/precepts/principles

 INPUT STRING:	والقوانين
     IS_TRANS:	wAlqwAnyn
        INDEX:	P3W50
      OFFSETS:	287-296
       TOKENS:	P3W61-P3W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(wiAlqawAniyn)
          POS:	CONJ+DET+NOUN+NSUFF_MASC_PL
          VOC:	wi+Al+qawAn+iyn
        GLOSS:	and+the+law/statutes/regulations+two

 INPUT STRING:	المنظمة
     IS_TRANS:	AlmnZmp
        INDEX:	P3W51
      OFFSETS:	297-304
       TOKENS:	P3W63-P3W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(AlmunaZ~amap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+munaZ~am+ap
        GLOSS:	the+arranged/orderly+[fem.sg.]

 INPUT STRING:	للعمل
     IS_TRANS:	llEml
        INDEX:	P3W52
      OFFSETS:	305-310
       TOKENS:	P3W64-P3W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(lilEamal)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Eamal
        GLOSS:	to/for+the+work/action

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P3W53
      OFFSETS:	311-315
       TOKENS:	P3W66-P3W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	NOUN
          VOC:	dAxil
        GLOSS:	inside of/interior/inside

 INPUT STRING:	المصدر
     IS_TRANS:	AlmSdr
        INDEX:	P3W54
      OFFSETS:	316-322
       TOKENS:	P3W67-P3W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSodar_1]
   UNSPLITVOC:	(AlmaSodar)
          POS:	DET+NOUN
          VOC:	Al+maSodar
        GLOSS:	the+source

 INPUT STRING:	الفجر
     IS_TRANS:	Alfjr
        INDEX:	P3W55
      OFFSETS:	323-328
       TOKENS:	P3W68-P3W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fajor_2]
   UNSPLITVOC:	(Alfajor)
          POS:	DET+NOUN_PROP
          VOC:	Al+fajor
        GLOSS:	the+Fajr

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W56
      OFFSETS:	328-329
       TOKENS:	P3W69-P3W69
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W57
      OFFSETS:	329-330
       TOKENS:	P3W70-P3W70
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W58
      OFFSETS:	331-332
       TOKENS:	P3W71-P3W71
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	جوه
     IS_TRANS:	jwh
        INDEX:	P3W59
      OFFSETS:	333-336
       TOKENS:	P3W72-P3W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ap_1]
   UNSPLITVOC:	(juw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	juw~+ap
        GLOSS:	inside+[fem.sg.]

 INPUT STRING:	المقال
     IS_TRANS:	AlmqAl
        INDEX:	P3W60
      OFFSETS:	337-343
       TOKENS:	P3W73-P3W73
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqAl_1]
   UNSPLITVOC:	(AlmaqAl)
          POS:	DET+NOUN
          VOC:	Al+maqAl
        GLOSS:	the+article/essay

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W61
      OFFSETS:	344-346
       TOKENS:	P3W74-P3W74
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P3W62
      OFFSETS:	347-354
       TOKENS:	P3W75-P3W75
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P3W63
      OFFSETS:	355-357
       TOKENS:	P3W76-P3W76
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W64
      OFFSETS:	358-360
       TOKENS:	P3W77-P3W77
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جريدة
     IS_TRANS:	jrydp
        INDEX:	P3W65
      OFFSETS:	361-366
       TOKENS:	P3W78-P3W78
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariydap_1]
   UNSPLITVOC:	(jariydap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jariyd+ap
        GLOSS:	newspaper/journal/newspapers/journals+[fem.sg.]

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P3W66
      OFFSETS:	367-374
       TOKENS:	P3W79-P3W79
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dusotuwr_2]
   UNSPLITVOC:	(Aldusotuwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+dusotuwr
        GLOSS:	the+Dustour

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P4W2
      OFFSETS:	5-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	اسأل
     IS_TRANS:	As>l
        INDEX:	P4W3
      OFFSETS:	11-15
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aaso>al)
          POS:	IV1S+IV
          VOC:	Aa+so>al
        GLOSS:	I+ask/inquire/request/be asked

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P4W4
      OFFSETS:	16-20
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him/it

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W5
      OFFSETS:	21-23
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P4W6
      OFFSETS:	24-31
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	بجد
     IS_TRANS:	bjd
