 INPUT STRING:	-
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fyDTr)
          POS:	NO_FUNC
          VOC:	fyDTr
        GLOSS:	nogloss

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P15W2
      OFFSETS:	6-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaY)
          POS:	PREP
          VOC:	<ilaY
        GLOSS:	to/towards

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P15W3
      OFFSETS:	10-12
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يكشف
     IS_TRANS:	yk$f
        INDEX:	P15W4
      OFFSETS:	13-17
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka$af_1]
   UNSPLITVOC:	(yiko$if)
          POS:	IV3MS+IV
          VOC:	yi+ko$if
        GLOSS:	he/it+discover

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P15W5
      OFFSETS:	18-20
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P15W6
      OFFSETS:	21-23
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P15W7
      OFFSETS:	24-26
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	مستور
     IS_TRANS:	mstwr
        INDEX:	P15W8
      OFFSETS:	27-32
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masotuwr_1]
   UNSPLITVOC:	(masotuwr)
          POS:	ADJ
          VOC:	masotuwr
        GLOSS:	hidden

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as he (she, it, ..etc) is concerned, but, however, yet, on the other hand

 INPUT STRING:	أحنا
     IS_TRANS:	>HnA
        INDEX:	P16W2
      OFFSETS:	4-8
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P16W3
      OFFSETS:	9-14
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P16W4
      OFFSETS:	15-19
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيلعب
     IS_TRANS:	bylEb
        INDEX:	P16W5
      OFFSETS:	20-25
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(biyiloEab)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+loEab
        GLOSS:	[present-tense]+he/it+play

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P16W6
      OFFSETS:	26-29
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الحبال
     IS_TRANS:	AlHbAl
        INDEX:	P16W7
      OFFSETS:	30-36
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habol_1]
   UNSPLITVOC:	(AlHibAl)
          POS:	DET+NOUN
          VOC:	Al+HibAl
        GLOSS:	the+cord/cable/cords/cables

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P16W8
      OFFSETS:	37-42
       TOKENS:	P16W9-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	يعرف
     IS_TRANS:	yErf
        INDEX:	P16W9
      OFFSETS:	43-47
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(yiEoraf)
          POS:	IV3MS+IV
          VOC:	yi+Eoraf
        GLOSS:	he/it+know/be known

 INPUT STRING:	يعيش
     IS_TRANS:	yEy$
        INDEX:	P16W10
      OFFSETS:	48-52
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(yiEiy$)
          POS:	IV3MS+IV
          VOC:	yi+Eiy$
        GLOSS:	he/it+live/experience/long live!/be lived/be experienced

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P16W11
      OFFSETS:	53-55
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P16W12
      OFFSETS:	56-59
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الغلاء
     IS_TRANS:	AlglA'
        INDEX:	P16W13
      OFFSETS:	60-66
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galA'_1]
   UNSPLITVOC:	(AlgalA')
          POS:	DET+NOUN
          VOC:	Al+galA'
        GLOSS:	the+high cost/rising cost

 INPUT STRING:	فأحنا
     IS_TRANS:	f>HnA
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iHonA_1]
   UNSPLITVOC:	(fa>iHonA)
          POS:	RC_PART+PRON_1P
          VOC:	fa+>iHonA
        GLOSS:	so then+we

 INPUT STRING:	تبرعنا
     IS_TRANS:	tbrEnA
        INDEX:	P17W2
      OFFSETS:	6-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>itbar~aE_1]
   UNSPLITVOC:	(>itbar~aEnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	>itbar~aE+nA
        GLOSS:	donate+we

 INPUT STRING:	وبنتبرع
     IS_TRANS:	wbntbrE
        INDEX:	P17W3
      OFFSETS:	13-20
       TOKENS:	P17W4-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>itobar~aE_1]
   UNSPLITVOC:	(wibinitobar~aE)
          POS:	CONJ+PROG_PART+IV1P+IV
          VOC:	wi+bi+ni+tobar~aE
        GLOSS:	and+[present tense]+we+donate

 INPUT STRING:	للحساب
     IS_TRANS:	llHsAb
        INDEX:	P18W1
      OFFSETS:	0-6
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(lilHisAb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+HisAb
        GLOSS:	to/for+the+invoice/expense/account

 INPUT STRING:	الخاص
     IS_TRANS:	AlxAS
        INDEX:	P18W2
      OFFSETS:	7-12
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~_1]
   UNSPLITVOC:	(AlxAS~)
          POS:	DET+ADJ
          VOC:	Al+xAS~
        GLOSS:	the+private/exclusive

 INPUT STRING:	بالعشوائيات
     IS_TRANS:	bAlE$wA}yAt
        INDEX:	P18W3
      OFFSETS:	13-24
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$owA}iy~ap_1]
   UNSPLITVOC:	(biAlEa$owA}iy~At)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	bi+Al+Ea$owA}iy~+At
        GLOSS:	with/by+the+slums+[fem.pl.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P18W4
      OFFSETS:	25-29
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	يرأسها
     IS_TRANS:	yr>shA
        INDEX:	P18W5
      OFFSETS:	30-36
       TOKENS:	P18W7-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>as_1]
   UNSPLITVOC:	(yaro>ashA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	ya+ro>as+hA
        GLOSS:	he/it+lead/direct+her

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P18W6
      OFFSETS:	37-41
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	صبحي
     IS_TRANS:	SbHy
        INDEX:	P18W7
      OFFSETS:	42-46
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboHiy_1]
   UNSPLITVOC:	(SuboHiy)
          POS:	NOUN_PROP
          VOC:	SuboHiy
        GLOSS:	Subhi/Sobhi

 INPUT STRING:	ونتبرع
     IS_TRANS:	wntbrE
        INDEX:	P19W1
      OFFSETS:	0-6
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabar~aE_1]
   UNSPLITVOC:	(winitabar~aE)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+tabar~aE
        GLOSS:	and+we+donate

 INPUT STRING:	ايضا
     IS_TRANS:	AyDA
        INDEX:	P19W2
      OFFSETS:	7-11
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoDAF_1]
   UNSPLITVOC:	(>ayoDAF)
          POS:	ADV
          VOC:	>ayoDAF
        GLOSS:	also, too, as well (as), along with, in addition (to)

 INPUT STRING:	لانشاء
     IS_TRANS:	lAn$A'
        INDEX:	P19W3
      OFFSETS:	12-18
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ino$A'_1]
   UNSPLITVOC:	(li<ino$A')
          POS:	PREP+NOUN
          VOC:	li+<ino$A'
        GLOSS:	for/to+establishing/setting up/founding

 INPUT STRING:	جامعه
     IS_TRANS:	jAmEh
        INDEX:	P19W4
      OFFSETS:	19-24
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmoEap_1]
   UNSPLITVOC:	(jAmoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jAmoE+ap
        GLOSS:	university+[fem.sg.]

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P19W5
      OFFSETS:	25-29
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	زويل
     IS_TRANS:	zwyl
        INDEX:	P19W6
      OFFSETS:	30-34
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zuwiyl_1]
   UNSPLITVOC:	(zuwiyl)
          POS:	NOUN_PROP
          VOC:	zuwiyl
        GLOSS:	ZWIYL

 INPUT STRING:	وبنتبرع
     IS_TRANS:	wbntbrE
        INDEX:	P20W1
      OFFSETS:	0-7
       TOKENS:	P20W1-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabar~aE_1]
   UNSPLITVOC:	(wibinitobar~aE)
          POS:	CONJ+PROG_PART+IV1P+IV
          VOC:	wi+bi+ni+tobar~aE
        GLOSS:	and+[present tense]+we+donate

 INPUT STRING:	لمستشفي
     IS_TRANS:	lmst$fy
        INDEX:	P20W2
      OFFSETS:	8-15
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$ofaY_1]
   UNSPLITVOC:	(limusota$ofaY)
          POS:	PREP+NOUN
          VOC:	li+musota$ofaY
        GLOSS:	for/to+hospital

 INPUT STRING:	5757
     IS_TRANS:	5757
        INDEX:	P20W3
      OFFSETS:	16-20
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[5757_1]
   UNSPLITVOC:	(5757)
          POS:	NOUN_NUM
          VOC:	5757
        GLOSS:	5757

 INPUT STRING:	وتبرعنا
     IS_TRANS:	wtbrEnA
        INDEX:	P21W1
      OFFSETS:	0-7
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itobar~aE_1]
   UNSPLITVOC:	(witabar~aEnA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+tabar~aE+nA
        GLOSS:	and+donate+we

 INPUT STRING:	لانقاذ
     IS_TRANS:	lAnqA*
        INDEX:	P21W2
      OFFSETS:	8-14
       TOKENS:	P21W3-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inoqA*_1]
   UNSPLITVOC:	(li<inoqA*)
          POS:	PREP+NOUN
          VOC:	li+<inoqA*
        GLOSS:	for/to+save

 INPUT STRING:	البورصه
     IS_TRANS:	AlbwrSh
        INDEX:	P21W3
      OFFSETS:	15-22
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buroSap_1]
   UNSPLITVOC:	(AlbuwrSap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+buwrS+ap
        GLOSS:	the+stock exchange/bourse+[fem.sg.]

 INPUT STRING:	وبتبرع
     IS_TRANS:	wbtbrE
        INDEX:	P22W1
      OFFSETS:	0-6
       TOKENS:	P22W1-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tabar~aE_1]
   UNSPLITVOC:	(wibinitobar~aE)
          POS:	CONJ+PROG_PART+IV1P+IV
          VOC:	wi+bi+ni+tobar~aE
        GLOSS:	and+[present tense]+we+donate

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P22W2
      OFFSETS:	7-10
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مستوي
     IS_TRANS:	mstwy
        INDEX:	P22W3
      OFFSETS:	11-16
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotawaY_1]
   UNSPLITVOC:	(musotawaY)
          POS:	NOUN
          VOC:	musotawaY
        GLOSS:	level/standard

 INPUT STRING:	البيئه
     IS_TRANS:	Alby}h
        INDEX:	P22W4
      OFFSETS:	17-23
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biy}ap_1]
   UNSPLITVOC:	(Albiy}ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+biy}+ap
        GLOSS:	the+environment/milieu+[fem.sg.]

 INPUT STRING:	المحليه
     IS_TRANS:	AlmHlyh
        INDEX:	P22W5
      OFFSETS:	24-31
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHal~iy_1]
   UNSPLITVOC:	(AlmaHal~iy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maHal~iy~+ap
        GLOSS:	the+local+[fem.sg.]

 INPUT STRING:	لاصلاح
     IS_TRANS:	lASlAH
        INDEX:	P22W6
      OFFSETS:	32-38
       TOKENS:	P22W8-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iSolAH_1]
   UNSPLITVOC:	(li<iSolAH)
          POS:	PREP+NOUN
          VOC:	li+<iSolAH
        GLOSS:	for/to+reform/restoration

 INPUT STRING:	طفح
     IS_TRANS:	TfH
        INDEX:	P22W7
      OFFSETS:	39-42
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TafoH_1]
   UNSPLITVOC:	(TafoH)
          POS:	NOUN
          VOC:	TafoH
        GLOSS:	repletion/superabundance/eruption

 INPUT STRING:	الشوارع
     IS_TRANS:	Al$wArE
        INDEX:	P22W8
      OFFSETS:	43-50
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~awAriE)
          POS:	DET+NOUN
          VOC:	Al+$awAriE
        GLOSS:	the+street/streets

 INPUT STRING:	بالصرف
     IS_TRANS:	bAlSrf
        INDEX:	P22W9
      OFFSETS:	51-57
       TOKENS:	P22W12-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sarof_1]
   UNSPLITVOC:	(biAlS~arof)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Sarof
        GLOSS:	with/by+the+sanitation

 INPUT STRING:	الصحي
     IS_TRANS:	AlSHy
        INDEX:	P22W10
      OFFSETS:	58-63
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~iy_1]
   UNSPLITVOC:	(AlS~iH~iy)
          POS:	DET+ADJ
          VOC:	Al+SiH~iy
        GLOSS:	the+health/healthy/sanitary

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W1
      OFFSETS:	0-1
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W2
      OFFSETS:	2-3
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	oh+lord/God

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P24W2
      OFFSETS:	5-7
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تسلط
     IS_TRANS:	tslT
        INDEX:	P24W3
      OFFSETS:	8-12
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sal~aT_1]
   UNSPLITVOC:	(tusal~iT)
          POS:	IV2MS+IV
          VOC:	tu+sal~iT
        GLOSS:	you+impose/exert

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P24W4
      OFFSETS:	13-18
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P24W5
      OFFSETS:	19-21
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P24W6
      OFFSETS:	22-24
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يخافك
     IS_TRANS:	yxAfk
        INDEX:	P24W7
      OFFSETS:	25-30
       TOKENS:	P24W9-P24W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAf-a_1]
   UNSPLITVOC:	(yaxAfaka)
          POS:	IV3MS+IV+IVSUFF_MOOD:S+IVSUFF_DO:2MS
          VOC:	ya+xAf+a+ka
        GLOSS:	he/it+fear/be afraid (of)+[sub.]+you [masc.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P24W8
      OFFSETS:	31-34
       TOKENS:	P24W11-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	يخشاك
     IS_TRANS:	yx$Ak
        INDEX:	P24W9
      OFFSETS:	35-40
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xa$iy-a_1]
   UNSPLITVOC:	(yaxo$Ak)
          POS:	IV2MS+IV
          VOC:	ya+xo$Ak
