 INPUT STRING:	خالد
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W5
      OFFSETS:	12-13
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W6
      OFFSETS:	13-14
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W7
      OFFSETS:	14-15
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W8
      OFFSETS:	15-16
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W9
      OFFSETS:	16-17
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W10
      OFFSETS:	17-18
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W11
      OFFSETS:	18-19
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W12
      OFFSETS:	19-20
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W13
      OFFSETS:	20-21
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W14
      OFFSETS:	21-22
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W15
      OFFSETS:	22-23
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	استغفر
     IS_TRANS:	Astgfr
        INDEX:	P9W16
      OFFSETS:	24-30
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotagofar_1]
   UNSPLITVOC:	(Aasotagofar)
          POS:	IV1S+IV
          VOC:	Aa+sotagofar
        GLOSS:	I+beg forgiveness/apologize

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P9W17
      OFFSETS:	31-35
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	واتوب
     IS_TRANS:	wAtwb
        INDEX:	P9W18
      OFFSETS:	36-41
       TOKENS:	P9W19-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAb_1]
   UNSPLITVOC:	(wi>atuwb)
          POS:	CONJ+IV1S+IV
          VOC:	wi+>a+tuwb
        GLOSS:	and+I+repent

 INPUT STRING:	اليه
     IS_TRANS:	Alyh
        INDEX:	P9W19
      OFFSETS:	42-46
       TOKENS:	P9W21-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<iliyh)
          POS:	PREP+PRON_3MS
          VOC:	<iliy+uh
        GLOSS:	to/towards+it/him

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	بميت
     IS_TRANS:	bmyt
        INDEX:	P10W2
      OFFSETS:	3-7
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(bimiy~it)
          POS:	PREP+NOUN_NUM+NSUFF_FEM_SG
          VOC:	bi+miy~+ap
        GLOSS:	with/by+hundred+[fem.sg.]

 INPUT STRING:	راى
     IS_TRANS:	rAY
        INDEX:	P10W3
      OFFSETS:	8-11
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P10W4
      OFFSETS:	12-14
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	مهو
     IS_TRANS:	mhw
        INDEX:	P10W5
      OFFSETS:	15-18
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(mA_huw)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	mA+huw~a
        GLOSS:	that+he/it

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P10W6
      OFFSETS:	19-22
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	زعلان
     IS_TRANS:	zElAn
        INDEX:	P10W7
      OFFSETS:	23-28
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAn)
          POS:	ADJ
          VOC:	zaEolAn
        GLOSS:	angry/annoyed

 INPUT STRING:	وخايف
     IS_TRANS:	wxAyf
        INDEX:	P10W8
      OFFSETS:	29-34
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(wixAyif)
          POS:	CONJ+ADJ
          VOC:	wi+xAyif
        GLOSS:	and+afraid/fearful

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P10W9
      OFFSETS:	35-38
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strong/powerful

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P10W10
      OFFSETS:	39-41
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الاسلاميين
     IS_TRANS:	AlAslAmyyn
        INDEX:	P10W11
      OFFSETS:	42-52
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(Al<isolAmiy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+<isolAmiy~+iyn
        GLOSS:	the+Islamic/Islamist/Muslim+[masc.pl.]

 INPUT STRING:	يمسكوا
     IS_TRANS:	ymskwA
        INDEX:	P10W12
      OFFSETS:	53-59
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masak_1]
   UNSPLITVOC:	(yimosikuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+mosik+uwA
        GLOSS:	they (people)+seize/hold+[pl.]

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P10W13
      OFFSETS:	60-65
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P11W1
      OFFSETS:	0-6
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P11W2
      OFFSETS:	7-9
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W3
      OFFSETS:	10-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عيلتي
     IS_TRANS:	Eylty
        INDEX:	P11W4
      OFFSETS:	13-18
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaylap_1]
   UNSPLITVOC:	(Eiyltiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Eiyl+ap+iy
        GLOSS:	family+[fem.sg.]+my

 INPUT STRING:	ومكنتش
     IS_TRANS:	wmknt$
        INDEX:	P11W5
      OFFSETS:	19-25
       TOKENS:	P11W6-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wimA_kunti$)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	wi+mA+kun+t+$
        GLOSS:	and+not+be+I [verb]+not

 INPUT STRING:	بحبه
     IS_TRANS:	bHbh
        INDEX:	P11W6
      OFFSETS:	26-30
       TOKENS:	P11W10-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hab~_1]
   UNSPLITVOC:	(bAHib~uh)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	bi+>a+Hib~+uh
        GLOSS:	[present-tense]+I+love/like+him/it

 INPUT STRING:	بصراحة
     IS_TRANS:	bSrAHp
        INDEX:	P11W7
      OFFSETS:	31-37
       TOKENS:	P11W13-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	ههههههه
     IS_TRANS:	hhhhhhh
        INDEX:	P11W8
      OFFSETS:	38-45
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laughing

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	كلامه
     IS_TRANS:	klAmh
        INDEX:	P12W2
      OFFSETS:	3-8
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	kalAm+uh
        GLOSS:	speech/statement/remark/talk/saying+his/its

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P12W3
      OFFSETS:	9-12
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	sweet/pleasant

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P12W4
      OFFSETS:	13-17
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W2
      OFFSETS:	3-5
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عاجبك
     IS_TRANS:	EAjbk
        INDEX:	P13W3
      OFFSETS:	6-11
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjib_1]
   UNSPLITVOC:	(EAjibak)
          POS:	ADJ+PRON_2MS
          VOC:	EAjib+ak
        GLOSS:	delighting/pleasing+you

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P13W4
      OFFSETS:	12-18
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech

 INPUT STRING:	متشتمش
     IS_TRANS:	mt$tm$
        INDEX:	P13W5
      OFFSETS:	19-25
       TOKENS:	P13W6-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$atam_1]
   UNSPLITVOC:	(mA_ti$otim$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+ti+$otim+$
        GLOSS:	not+you+revile/curse+not

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P13W6
      OFFSETS:	26-30
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P13W7
      OFFSETS:	31-34
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	say+he/it [verb]

 INPUT STRING:	عيلتي
     IS_TRANS:	Eylty
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaylap_1]
   UNSPLITVOC:	(Eiyltiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Eiyl+ap+iy
        GLOSS:	family+[fem.sg.]+my

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P14W2
      OFFSETS:	6-8
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P14W3
      OFFSETS:	9-12
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	عمرها
     IS_TRANS:	EmrhA
        INDEX:	P14W4
      OFFSETS:	13-18
       TOKENS:	P14W5-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(EumorahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Eumor+hA
        GLOSS:	age/life+its/their/her

 INPUT STRING:	عظيمة
     IS_TRANS:	EZymp
        INDEX:	P14W5
      OFFSETS:	19-24
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(EaZiymap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EaZiym+ap
        GLOSS:	great/powerful+[fem.sg.]

 INPUT STRING:	وطبعا
     IS_TRANS:	wTbEA
        INDEX:	P14W6
      OFFSETS:	25-30
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(wiTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+TaboE+AF
        GLOSS:	and+temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	يكفي
     IS_TRANS:	ykfy
        INDEX:	P14W7
      OFFSETS:	31-35
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaf~aY_1]
   UNSPLITVOC:	(yikaf~iy)
          POS:	IV3MS+IV
          VOC:	yi+kaf~iy
        GLOSS:	he/it+be enough/suffice

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P14W8
      OFFSETS:	36-39
       TOKENS:	P14W11-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P14W9
      OFFSETS:	40-44
       TOKENS:	P14W13-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	هههههههه
     IS_TRANS:	hhhhhhhh
        INDEX:	P14W10
      OFFSETS:	45-53
       TOKENS:	P14W15-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laughing

