 INPUT STRING:	مخطوفة
 INPUT STRING:	الاختطاف
     IS_TRANS:	AlAxtTAf
        INDEX:	P8W10
      OFFSETS:	48-56
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixotiTAf_2]
   UNSPLITVOC:	(AlAixotiTAf)
          POS:	DET+NOUN
          VOC:	Al+<ixotiTAf
        GLOSS:	the+abduction/kidnapping

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W11
      OFFSETS:	56-57
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	آن
     IS_TRANS:	|n
        INDEX:	P9W2
      OFFSETS:	4-6
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|an_1]
   UNSPLITVOC:	(|an)
          POS:	NOUN
          VOC:	|an
        GLOSS:	time/moment

 INPUT STRING:	أصبحت
     IS_TRANS:	>SbHt
        INDEX:	P9W3
      OFFSETS:	7-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(>aSobaHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>aSobaH+it
        GLOSS:	become/begin/start+it/they/she [verb]

 INPUT STRING:	جرائم
     IS_TRANS:	jrA}m
        INDEX:	P9W4
      OFFSETS:	13-18
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariymap_1]
   UNSPLITVOC:	(jarA}im)
          POS:	NOUN
          VOC:	jarA}im
        GLOSS:	crimes

 INPUT STRING:	الاختطاف
     IS_TRANS:	AlAxtTAf
        INDEX:	P9W5
      OFFSETS:	19-27
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixotiTAf_1]
   UNSPLITVOC:	(AlAixotiTAf)
          POS:	DET+NOUN
          VOC:	Al+AixotiTAf
        GLOSS:	the+abduction/kidnapping

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P9W6
      OFFSETS:	28-30
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	الموضة
     IS_TRANS:	AlmwDp
        INDEX:	P9W7
      OFFSETS:	31-37
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDap_1]
   UNSPLITVOC:	(AlmawDap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mawD+ap
        GLOSS:	the+fashion/style+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W8
      OFFSETS:	37-38
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W9
      OFFSETS:	38-39
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تصور
     IS_TRANS:	tSwr
        INDEX:	P9W10
      OFFSETS:	40-44
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tSwr)
          POS:	NO_FUNC
          VOC:	tSwr
        GLOSS:	nogloss

 INPUT STRING:	نفسك
     IS_TRANS:	nfsk
        INDEX:	P9W11
      OFFSETS:	45-49
       TOKENS:	P9W11-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	nafos+ak
        GLOSS:	soul/self+your

 INPUT STRING:	مخطوفاً
     IS_TRANS:	mxTwfAF
        INDEX:	P9W12
      OFFSETS:	50-57
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maxoTuwf_2]
   UNSPLITVOC:	(maxoTuwf)
          POS:	ADJ
          VOC:	maxoTuwf
        GLOSS:	abducted/kidnapped

 INPUT STRING:	وعرفت
     IS_TRANS:	wErft
        INDEX:	P9W13
      OFFSETS:	58-63
       TOKENS:	P9W14-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(wiEirift)
          POS:	CONJ+PV+PVSUFF_SUBJ:2MS
          VOC:	wi+Eirif+t
        GLOSS:	and+know+you

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P9W14
      OFFSETS:	64-66
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that/to

 INPUT STRING:	الخاطفين
     IS_TRANS:	AlxATfyn
        INDEX:	P9W15
      OFFSETS:	67-75
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlxATif_1]
   UNSPLITVOC:	(AlxATifiyon)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+xATif+iyon
        GLOSS:	the+kidnappers+[masc.pl.]

 INPUT STRING:	طلبوا
     IS_TRANS:	TlbwA
        INDEX:	P9W16
      OFFSETS:	76-81
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(TalabuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Talab+uwA
        GLOSS:	ask/demand+they

 INPUT STRING:	فدية
     IS_TRANS:	fdyp
        INDEX:	P9W17
      OFFSETS:	82-86
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fidoyap_1]
   UNSPLITVOC:	(fidoyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fidoy+ap
        GLOSS:	ransom/ransoms+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W18
      OFFSETS:	87-89
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أهلك
     IS_TRANS:	>hlk
        INDEX:	P9W19
      OFFSETS:	90-94
       TOKENS:	P9W21-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	>ahol+ak
        GLOSS:	family/people/people/families/folk/families/indigenous people+your

 INPUT STRING:	وهددوا
     IS_TRANS:	whddwA
        INDEX:	P9W20
      OFFSETS:	95-101
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(whddwA)
          POS:	NO_FUNC
          VOC:	whddwA
        GLOSS:	nogloss

 INPUT STRING:	بقتلك
     IS_TRANS:	bqtlk
        INDEX:	P9W21
      OFFSETS:	102-107
       TOKENS:	P9W24-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(biqatolak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	bi+qatol+ak
        GLOSS:	with/by+murder/killing+your [masc.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W22
      OFFSETS:	107-108
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W23
      OFFSETS:	108-109
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P9W24
      OFFSETS:	110-112
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	ستطلب
     IS_TRANS:	stTlb
        INDEX:	P9W25
      OFFSETS:	113-118
       TOKENS:	P9W30-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tilib_1]
   UNSPLITVOC:	(satuTolub)
          POS:	FUT_PART+IV2MS+IV
          VOC:	sa+tu+Tolub
        GLOSS:	will+you+request

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W26
      OFFSETS:	119-121
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الأهل
     IS_TRANS:	Al>hl
        INDEX:	P9W27
      OFFSETS:	122-127
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(Al>ahol)
          POS:	DET+NOUN
          VOC:	Al+>ahol
        GLOSS:	the+family/people/people/families/folk/families/indigenous people

 INPUT STRING:	سداد
     IS_TRANS:	sdAd
        INDEX:	P9W28
      OFFSETS:	128-132
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sadAd_1]
   UNSPLITVOC:	(sadAd)
          POS:	NOUN
          VOC:	sadAd
        GLOSS:	payment/appropriateness

 INPUT STRING:	الفدية
     IS_TRANS:	Alfdyp
        INDEX:	P9W29
      OFFSETS:	133-139
       TOKENS:	P9W35-P9W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fidoyap_1]
   UNSPLITVOC:	(Alfidoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fidoy+ap
        GLOSS:	the+ransom/ransoms+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P9W30
      OFFSETS:	139-140
       TOKENS:	P9W36-P9W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	ستتمني
     IS_TRANS:	sttmny
        INDEX:	P10W2
      OFFSETS:	3-9
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tman~aY_1]
   UNSPLITVOC:	(satitman~aY)
          POS:	FUT_PART+IV2MS+IV
          VOC:	sa+ti+tman~aY
        GLOSS:	will+you+wish for/desire/hope

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P10W3
      OFFSETS:	10-12
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that/to

 INPUT STRING:	يقوموا
     IS_TRANS:	yqwmwA
        INDEX:	P10W4
      OFFSETS:	13-19
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(yiquwmuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+quwm+uwA
        GLOSS:	they (people)+undertake/carry out+[masc.pl.]

 INPUT STRING:	بإبلاغ
     IS_TRANS:	b<blAg
        INDEX:	P10W5
      OFFSETS:	20-26
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibolAg_1]
   UNSPLITVOC:	(biAibolAg)
          POS:	PREP+NOUN
          VOC:	bi+AibolAg
        GLOSS:	with/by+reporting/informing

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P10W6
      OFFSETS:	27-33
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W7
      OFFSETS:	33-34
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	ستستسلم
     IS_TRANS:	ststslm
        INDEX:	P11W2
      OFFSETS:	3-10
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ststslm)
          POS:	NO_FUNC
          VOC:	ststslm
        GLOSS:	nogloss

 INPUT STRING:	للأمر
     IS_TRANS:	ll>mr
        INDEX:	P11W3
      OFFSETS:	11-16
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(lil>amor)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>amor
        GLOSS:	to/for+the+matter/issue

 INPUT STRING:	الواقع
     IS_TRANS:	AlwAqE
        INDEX:	P11W4
      OFFSETS:	17-23
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqiE_1]
   UNSPLITVOC:	(AlwAqiE)
          POS:	DET+NOUN
          VOC:	Al+wAqiE
        GLOSS:	the+fact/reality/actual

 INPUT STRING:	وتنتظر
     IS_TRANS:	wtntZr
        INDEX:	P11W5
      OFFSETS:	24-30
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotaZar_1]
   UNSPLITVOC:	(witinotiZir)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+ti+notiZir
        GLOSS:	and+you+wait for/expect

 INPUT STRING:	الموت
     IS_TRANS:	Almwt
        INDEX:	P11W6
      OFFSETS:	31-36
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawt_1]
   UNSPLITVOC:	(Almawt)
          POS:	DET+NOUN
          VOC:	Al+mawt
        GLOSS:	the+death

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W7
      OFFSETS:	36-37
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	تصور
     IS_TRANS:	tSwr
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tSwr)
          POS:	NO_FUNC
          VOC:	tSwr
        GLOSS:	nogloss

 INPUT STRING:	أيضا
     IS_TRANS:	>yDA
        INDEX:	P12W2
      OFFSETS:	5-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoDAF_1]
   UNSPLITVOC:	(>ayoDAF)
          POS:	ADV
          VOC:	>ayoDAF
        GLOSS:	also, too, as well (as), along with, in addition (to)

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P12W3
      OFFSETS:	10-12
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that/to

 INPUT STRING:	أحد
     IS_TRANS:	>Hd
        INDEX:	P12W4
      OFFSETS:	13-16
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one of /someone/ anyone/no-one/ones

 INPUT STRING:	أفراد
     IS_TRANS:	>frAd
        INDEX:	P12W5
      OFFSETS:	17-22
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[farod_1]
   UNSPLITVOC:	(>aforAd)
          POS:	NOUN
          VOC:	>aforAd
        GLOSS:	individuals

 INPUT STRING:	أسرتك
     IS_TRANS:	>srtk
        INDEX:	P12W6
      OFFSETS:	23-28
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usorap_1]
   UNSPLITVOC:	(>usoritak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	>usor+ap+ak
        GLOSS:	family/community+[fem.sg.]+your [masc.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P12W7
      OFFSETS:	29-31
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	المخطوف
     IS_TRANS:	AlmxTwf
        INDEX:	P12W8
      OFFSETS:	32-39
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoTuwf_1]
   UNSPLITVOC:	(AlmaxoTuwf)
          POS:	DET+ADJ
          VOC:	Al+maxoTuwf
        GLOSS:	the+abducted/kidnapped

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W9
      OFFSETS:	39-40
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W10
      OFFSETS:	40-41
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P12W11
      OFFSETS:	42-44
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	ستدفع
     IS_TRANS:	stdfE
        INDEX:	P12W12
      OFFSETS:	45-50
       TOKENS:	P12W13-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(satidofaE)
          POS:	FUT_PART+IV2MS+IV
          VOC:	sa+ti+dofaE
        GLOSS:	will+you+pay

 INPUT STRING:	الفدية
     IS_TRANS:	Alfdyp
        INDEX:	P12W13
      OFFSETS:	51-57
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fidoyap_1]
   UNSPLITVOC:	(Alfidoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fidoy+ap
        GLOSS:	the+ransom/ransoms+[fem.sg.]

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P12W14
      OFFSETS:	58-61
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without

 INPUT STRING:	نقاش
     IS_TRANS:	nqA$
        INDEX:	P12W15
      OFFSETS:	62-66
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niqA$_1]
   UNSPLITVOC:	(niqA$)
          POS:	NOUN
          VOC:	niqA$
        GLOSS:	debate/argument/controversy

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P12W16
      OFFSETS:	66-67
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	ستقوم
     IS_TRANS:	stqwm
        INDEX:	P13W2
      OFFSETS:	3-8
       TOKENS:	P13W2-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(sataquwm)
          POS:	FUT_PART+IV2MS+IV
          VOC:	sa+ta+quwm
        GLOSS:	will+you[masc.sg]+undertake/carry out

 INPUT STRING:	بإبلاغ
     IS_TRANS:	b<blAg
        INDEX:	P13W3
      OFFSETS:	9-15
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibolAg_1]
   UNSPLITVOC:	(biAibolAg)
          POS:	PREP+NOUN
          VOC:	bi+AibolAg
        GLOSS:	with/by+reporting/informing

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P13W4
      OFFSETS:	16-22
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
