 INPUT STRING:	بســـم
      COMMENT:	[]
        LEMMA:	[miHwar_1]
   UNSPLITVOC:	(miHwar)
          POS:	NOUN
          VOC:	miHwar
        GLOSS:	axis

 INPUT STRING:	النقـاش
     IS_TRANS:	Alnq_A$
        INDEX:	P9W7
      OFFSETS:	24-31
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niqA$_1]
   UNSPLITVOC:	(Aln~iqA$)
          POS:	DET+NOUN
          VOC:	Al+niqA$
        GLOSS:	the+discussion

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P10W1
      OFFSETS:	0-1
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P10W2
      OFFSETS:	1-2
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	لمـا
     IS_TRANS:	lm_A
        INDEX:	P10W3
      OFFSETS:	4-8
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_3]
   UNSPLITVOC:	(limA)
          POS:	PREP+INTERROG_PRON
          VOC:	li+mA
        GLOSS:	to/for+why

 INPUT STRING:	دائمـا
     IS_TRANS:	dA}m_A
        INDEX:	P10W4
      OFFSETS:	9-15
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dA}im_1]
   UNSPLITVOC:	(dA}imAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	dA}im+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	الولد
     IS_TRANS:	Alwld
        INDEX:	P10W5
      OFFSETS:	16-21
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(Alwalad)
          POS:	DET+NOUN
          VOC:	Al+walad
        GLOSS:	the+child/son/children

 INPUT STRING:	هـو
     IS_TRANS:	h_w
        INDEX:	P10W6
      OFFSETS:	22-25
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	المذنب
     IS_TRANS:	Alm*nb
        INDEX:	P10W7
      OFFSETS:	26-32
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*onib_1]
   UNSPLITVOC:	(Almu*onib)
          POS:	DET+ADJ
          VOC:	Al+mu*onib
        GLOSS:	the+guilty/delinquent

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W8
      OFFSETS:	33-34
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P11W1
      OFFSETS:	0-1
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P11W2
      OFFSETS:	1-2
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	نعـامـل
     IS_TRANS:	nE_Am_l
        INDEX:	P11W3
      OFFSETS:	4-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(niEAmil)
          POS:	IV1P+IV
          VOC:	ni+EAmil
        GLOSS:	we+treat/deal with

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P11W4
      OFFSETS:	12-17
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	عـلى
     IS_TRANS:	E_lY
        INDEX:	P11W5
      OFFSETS:	18-22
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أنهـا
     IS_TRANS:	>nh_A
        INDEX:	P11W6
      OFFSETS:	23-28
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~a_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	PSEUDO_VERB+PRON_3FS
          VOC:	<in~a+hA
        GLOSS:	indeed+she/it

 INPUT STRING:	الملاك
     IS_TRANS:	AlmlAk
        INDEX:	P11W7
      OFFSETS:	29-35
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malAk_1]
   UNSPLITVOC:	(AlmalAk)
          POS:	DET+NOUN
          VOC:	Al+malAk
        GLOSS:	the+angel

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W8
      OFFSETS:	36-37
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P12W1
      OFFSETS:	0-1
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P12W2
      OFFSETS:	1-2
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	نخـاف
     IS_TRANS:	nx_Af
        INDEX:	P12W3
      OFFSETS:	4-9
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(nixAf)
          POS:	IV1P+IV
          VOC:	ni+xAf
        GLOSS:	we+fear

 INPUT STRING:	عـلى
     IS_TRANS:	E_lY
        INDEX:	P12W4
      OFFSETS:	10-14
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	البنات
     IS_TRANS:	AlbnAt
        INDEX:	P12W5
      OFFSETS:	15-21
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(AlbanAt)
          POS:	DET+NOUN
          VOC:	Al+banAt
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W6
      OFFSETS:	22-24
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الشبـاب
     IS_TRANS:	Al$b_Ab
        INDEX:	P12W7
      OFFSETS:	25-32
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$Ab_1]
   UNSPLITVOC:	(Al$abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+youth/young men

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P12W8
      OFFSETS:	33-34
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	كلهـا
     IS_TRANS:	klh_A
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~a+hA
        GLOSS:	all/every/entire+it/she

 INPUT STRING:	اسئلـة
     IS_TRANS:	As}l_p
        INDEX:	P13W2
      OFFSETS:	6-12
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(>aso}ilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>aso}il+ap
        GLOSS:	questions+[fem.sg.]

 INPUT STRING:	منبعـهـا
     IS_TRANS:	mnbE_h_A
        INDEX:	P13W3
      OFFSETS:	13-21
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manbaE_1]
   UNSPLITVOC:	(manbaEhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	manbaE+hA
        GLOSS:	origin/source+it/she

 INPUT STRING:	لمـا
     IS_TRANS:	lm_A
        INDEX:	P14W1
      OFFSETS:	1-5
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_3]
   UNSPLITVOC:	(limA)
          POS:	PREP+INTERROG_PRON
          VOC:	li+mA
        GLOSS:	to/for+why

 INPUT STRING:	الولد
     IS_TRANS:	Alwld
        INDEX:	P14W2
      OFFSETS:	6-11
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(Alwalad)
          POS:	DET+NOUN
          VOC:	Al+walad
        GLOSS:	the+child/son/children

 INPUT STRING:	هـو
     IS_TRANS:	h_w
        INDEX:	P14W3
      OFFSETS:	12-15
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	الآفـة
     IS_TRANS:	Al|f_p
        INDEX:	P14W4
      OFFSETS:	16-22
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|afap_1]
   UNSPLITVOC:	(Al|afap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+|af+ap
        GLOSS:	the+vice/plague+[fem.sg.]

 INPUT STRING:	الضارة
     IS_TRANS:	AlDArp
        INDEX:	P14W5
      OFFSETS:	23-29
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAr~_1]
   UNSPLITVOC:	(AlD~Ar~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+DAr~+ap
        GLOSS:	the+harmful/injurious/noxious+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W6
      OFFSETS:	30-31
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W7
      OFFSETS:	31-32
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P15W1
      OFFSETS:	0-2
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aah_1]
   UNSPLITVOC:	(Aah)
          POS:	INTERJ
          VOC:	Aah
        GLOSS:	express the realization of something

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P15W2
      OFFSETS:	3-5
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P15W3
      OFFSETS:	6-9
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	هتقول
     IS_TRANS:	htqwl
        INDEX:	P15W4
      OFFSETS:	10-15
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Hatiquwl)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+quwl
        GLOSS:	will+you+said/say/be said/(for example)

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P15W5
      OFFSETS:	16-19
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyoh_1]
   UNSPLITVOC:	(Aiyoh)
          POS:	INTERROG_PRON
          VOC:	Aiyoh
        GLOSS:	what

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	يشهد
     IS_TRANS:	y$hd
        INDEX:	P16W2
      OFFSETS:	4-8
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahad_1]
   UNSPLITVOC:	(yi$ohad)
          POS:	IV3MS+IV
          VOC:	yi+$ohad
        GLOSS:	he/it+witness/be witness/observe

 INPUT STRING:	للعريس
     IS_TRANS:	llErys
        INDEX:	P16W3
      OFFSETS:	9-15
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eariys_1]
   UNSPLITVOC:	(lilEariys)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Eariys
        GLOSS:	for/to+the+bridegroom/newlywed/bridegrooms/newlyweds

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	ok/so

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P17W3
      OFFSETS:	8-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	كلاهما
     IS_TRANS:	klAhmA
        INDEX:	P17W4
      OFFSETS:	13-19
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kilA_1]
   UNSPLITVOC:	(kilAhumA)
          POS:	NOUN_QUANT+POSS_PRON_3D
          VOC:	kilA+humA
        GLOSS:	both of+them

 INPUT STRING:	مذنب
     IS_TRANS:	m*nb
        INDEX:	P17W5
      OFFSETS:	20-24
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*onib_1]
   UNSPLITVOC:	(mu*onib)
          POS:	ADJ
          VOC:	mu*onib
        GLOSS:	guilty/delinquent

 INPUT STRING:	فالولد
     IS_TRANS:	fAlwld
        INDEX:	P18W1
      OFFSETS:	0-6
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(faAlwalad)
          POS:	CONJ+DET+NOUN
          VOC:	fa+Al+walad
        GLOSS:	so/and+the+child/son/children

 INPUT STRING:	مسؤل
     IS_TRANS:	ms&l
        INDEX:	P18W2
      OFFSETS:	7-11
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso&ul_1]
   UNSPLITVOC:	(maso&ul)
          POS:	ADJ
          VOC:	maso&ul
        GLOSS:	dependable/responsible

 INPUT STRING:	وكذلك
     IS_TRANS:	wk*lk
        INDEX:	P18W3
      OFFSETS:	12-17
       TOKENS:	P18W4-P18W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(waka*`lika)
          POS:	CONJ+PREP+DEM_PRON_MS
          VOC:	wa+ka+*`lika
        GLOSS:	and+like/such as+that

 INPUT STRING:	الفتاه
     IS_TRANS:	AlftAh
        INDEX:	P18W4
      OFFSETS:	18-24
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatAp_1]
   UNSPLITVOC:	(AlfatAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fatA+ap
        GLOSS:	the+young girl+[fem.sg.]

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P19W2
      OFFSETS:	4-8
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	خلقها
     IS_TRANS:	xlqhA
        INDEX:	P19W3
      OFFSETS:	9-14
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalaq_1]
   UNSPLITVOC:	(xalaqhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	xalaq+(null)+hA
        GLOSS:	create/shape/mold/be created+he/it+it/them/her

 INPUT STRING:	بعقل
     IS_TRANS:	bEql
        INDEX:	P19W4
      OFFSETS:	15-19
       TOKENS:	P19W6-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqol_1]
   UNSPLITVOC:	(biEaqol)
          POS:	PREP+NOUN
          VOC:	bi+Eaqol
        GLOSS:	with/by+mind/intellect/brain/senses/intellects/brains/intellectually/mentally

 INPUT STRING:	ليقل
     IS_TRANS:	lyql
        INDEX:	P19W5
      OFFSETS:	20-24
       TOKENS:	P19W8-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qal~_1]
   UNSPLITVOC:	(layiqil~)
          POS:	EMPHATIC_PART+IV3MS+IV
          VOC:	la+yi+qil~
        GLOSS:	indeed/truly+he/it+be less/decrease/diminish/decreased

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P19W6
      OFFSETS:	25-27
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	الرجل
     IS_TRANS:	Alrjl
        INDEX:	P19W7
      OFFSETS:	28-33
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(Alr~ijol)
          POS:	DET+NOUN
          VOC:	Al+rijol
        GLOSS:	the+man/men/people/leading men/prominent men

 INPUT STRING:	زرة
     IS_TRANS:	zrp
        INDEX:	P19W8
      OFFSETS:	34-37
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zar~ap_1]
   UNSPLITVOC:	(zar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	zar~+ap
        GLOSS:	atom/particle/atoms/particles+[fem.sg.]

 INPUT STRING:	فلماذا
     IS_TRANS:	flmA*A
        INDEX:	P20W1
      OFFSETS:	0-6
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(falimA*A)
          POS:	CONJ+INTERROG_ADV
          VOC:	fa+limA*A
        GLOSS:	so/and+why

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P20W2
      OFFSETS:	7-10
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<i*AF_1]
   UNSPLITVOC:	(<i*AF)
          POS:	ADV
          VOC:	<i*AF
        GLOSS:	Therefore, hence, then, so, in that case, thus, consequently, accordingly

 INPUT STRING:	تهرب
     IS_TRANS:	thrb
        INDEX:	P20W3
      OFFSETS:	11-15
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hirib_1]
   UNSPLITVOC:	(tihorab)
          POS:	IV2MS+IV
          VOC:	ti+horab
        GLOSS:	you+run away/escape

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W4
      OFFSETS:	16-18
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مواجهة
     IS_TRANS:	mwAjhp
        INDEX:	P20W5
      OFFSETS:	19-25
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwAjohap_1]
   UNSPLITVOC:	(muwAjohap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muwAjoh+ap
        GLOSS:	confrontation/encounter/confronting/encountering/confrontations/encounters+[fem.sg.]

 INPUT STRING:	الموقف
