 INPUT STRING:	متى
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	gayor+iy
        GLOSS:	not/other+my

 INPUT STRING:	وهل
     IS_TRANS:	whl
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(wihal)
          POS:	CONJ+INTERROG_PART
          VOC:	wi+hal
        GLOSS:	and+do?/is?

 INPUT STRING:	صادفك
     IS_TRANS:	SAdfk
        INDEX:	P10W2
      OFFSETS:	4-9
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAdif_1]
   UNSPLITVOC:	(SAdifak)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2MS
          VOC:	SAdif+(null)+ak
        GLOSS:	coincide/concur/encounter+he/it [verb]+you [masc.sg.]

 INPUT STRING:	موقف
     IS_TRANS:	mwqf
        INDEX:	P10W3
      OFFSETS:	10-14
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(mawqif)
          POS:	NOUN
          VOC:	mawqif
        GLOSS:	position/situation

 INPUT STRING:	وكذبت
     IS_TRANS:	wk*bt
        INDEX:	P10W4
      OFFSETS:	15-20
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ki*ib_1]
   UNSPLITVOC:	(wiki*ibt)
          POS:	CONJ+PV+PVSUFF_SUBJ:2MS
          VOC:	wi+ki*ib+t
        GLOSS:	and+lie/deceive+you [masc.sg.] [verb]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P10W5
      OFFSETS:	21-24
       TOKENS:	P10W8-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W6
      OFFSETS:	24-25
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEam_1]
   UNSPLITVOC:	(naEam)
          POS:	INTERJ
          VOC:	naEam
        GLOSS:	yes

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P11W2
      OFFSETS:	4-6
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بسيط
     IS_TRANS:	bsyT
        INDEX:	P11W3
      OFFSETS:	7-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(basiyT)
          POS:	ADJ
          VOC:	basiyT
        GLOSS:	simple/plain/okay/no problem

 INPUT STRING:	وفى
     IS_TRANS:	wfY
        INDEX:	P11W4
      OFFSETS:	12-15
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	الاخر
     IS_TRANS:	AlAxr
        INDEX:	P11W5
      OFFSETS:	16-21
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al|xir_1]
   UNSPLITVOC:	(Al|xir)
          POS:	DET+ADJ_COMP
          VOC:	Al+|xir
        GLOSS:	the+last/end

 INPUT STRING:	اعترفت
     IS_TRANS:	AEtrft
        INDEX:	P11W6
      OFFSETS:	22-28
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaraf_1]
   UNSPLITVOC:	(AiEotarafit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	AiEotaraf+it
        GLOSS:	acknowledge/recognize/admit/confess+I [verb]

 INPUT STRING:	بيه
     IS_TRANS:	byh
        INDEX:	P11W7
      OFFSETS:	29-32
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+him/it

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P11W8
      OFFSETS:	33-36
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P11W9
      OFFSETS:	37-39
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P11W10
      OFFSETS:	40-47
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	هدى
     IS_TRANS:	hdY
        INDEX:	P11W11
      OFFSETS:	48-51
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hidiy_1]
   UNSPLITVOC:	(hidiy)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	hidiy+(null)
        GLOSS:	be quite/be calm+he/it [verb]

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P11W12
      OFFSETS:	52-56
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uwayap_1]
   UNSPLITVOC:	($uwayap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$uway+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	والعصبية
     IS_TRANS:	wAlESbyp
        INDEX:	P11W13
      OFFSETS:	57-65
       TOKENS:	P11W15-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSabiy~ap_1]
   UNSPLITVOC:	(wiAlEaSabiy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+EaSabiy~+ap
        GLOSS:	and+the+chauvinism/fanaticism/nervousness+[fem.sg.]

 INPUT STRING:	راحت
     IS_TRANS:	rAHt
        INDEX:	P11W14
      OFFSETS:	66-70
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	rAH+it
        GLOSS:	go+it/they/she [verb]

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P11W15
      OFFSETS:	71-73
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	حاجت
     IS_TRANS:	HAjt
        INDEX:	P11W16
      OFFSETS:	74-78
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAjaY_1]
   UNSPLITVOC:	(HAjat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	HAj+at
        GLOSS:	speak in riddles/be enigmatic+it/they/she [verb]

 INPUT STRING:	كسرتها
     IS_TRANS:	ksrthA
        INDEX:	P11W17
      OFFSETS:	79-85
       TOKENS:	P11W20-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kisir_1]
   UNSPLITVOC:	(kisiritahA)
          POS:	PV+PVSUFF_SUBJ:2MS+PVSUFF_DO:3FS
          VOC:	kisir+it+hA
        GLOSS:	shatter/smash/break+you [masc.sg.] [verb]+it/them/her

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P11W18
      OFFSETS:	86-88
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	بوظتها
     IS_TRANS:	bwZthA
        INDEX:	P11W19
      OFFSETS:	89-95
       TOKENS:	P11W23-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baw~aZ_1]
   UNSPLITVOC:	(baw~aZithA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3FS
          VOC:	baw~aZ+it+hA
        GLOSS:	damage+you [masc.sg.] [verb]+it/them/her

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P11W20
      OFFSETS:	96-99
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like that

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P11W21
      OFFSETS:	100-104
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	للكذب
     IS_TRANS:	llk*b
        INDEX:	P12W2
      OFFSETS:	3-8
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(lilki*ob)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+ki*ob
        GLOSS:	to/for+the+lying/falsehood

 INPUT STRING:	ايجابيات
     IS_TRANS:	AyjAbyAt
        INDEX:	P12W3
      OFFSETS:	9-17
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyjAbiy_1]
   UNSPLITVOC:	(<iyjAbiy~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	<iyjAbiy~+At
        GLOSS:	positive aspects/good points+[fem.pl.]

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P12W4
      OFFSETS:	18-20
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amo_1]
   UNSPLITVOC:	(>amo)
          POS:	CONJ
          VOC:	>amo
        GLOSS:	or

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P12W5
      OFFSETS:	21-25
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all/every/entire/whole+its/their/her

 INPUT STRING:	سلبيات
     IS_TRANS:	slbyAt
        INDEX:	P12W6
      OFFSETS:	26-32
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salobiy_1]
   UNSPLITVOC:	(salobiy~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	salobiy~+At
        GLOSS:	negative points+[fem.pl.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P12W7
      OFFSETS:	32-33
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	كثيره
     IS_TRANS:	kvyrh
        INDEX:	P13W2
      OFFSETS:	6-11
       TOKENS:	P13W2-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kiviyruh)
          POS:	ADJ+POSS_PRON_3MS
          VOC:	kiviyr+uh
        GLOSS:	many/much/numerous+his/her

 INPUT STRING:	سلبيات
     IS_TRANS:	slbyAt
        INDEX:	P13W3
      OFFSETS:	12-18
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salobiy_1]
   UNSPLITVOC:	(salobiy~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	salobiy~+At
        GLOSS:	negative points+[fem.pl.]

 INPUT STRING:	ونادرا
     IS_TRANS:	wnAdrA
        INDEX:	P13W4
      OFFSETS:	19-25
       TOKENS:	P13W5-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdir_1]
   UNSPLITVOC:	(winAdirAF)
          POS:	CONJ+ADJ+CASE_INDEF_ACC
          VOC:	wi+nAdir+AF
        GLOSS:	and+rarely/seldom+[acc.indef.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P13W5
      OFFSETS:	26-28
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	PART
          VOC:	mA
        GLOSS:	that

 INPUT STRING:	ينجى
     IS_TRANS:	ynjY
        INDEX:	P13W6
      OFFSETS:	29-33
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naj~aY_1]
   UNSPLITVOC:	(yinaj~iy)
          POS:	IV3MS+IV
          VOC:	yi+naj~iy
        GLOSS:	he/it+rescue

 INPUT STRING:	تعالو
     IS_TRANS:	tEAlw
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEAlaY_1]
   UNSPLITVOC:	(taEAluwA)
          POS:	PSEUDO_VERB+PRON_2MS
          VOC:	taEAl+uwA
        GLOSS:	let's/come+you [pl.]

 INPUT STRING:	نتحاور
     IS_TRANS:	ntHAwr
        INDEX:	P14W2
      OFFSETS:	6-12
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[toHAwir_1]
   UNSPLITVOC:	(nitoHAwir)
          POS:	IV1P+IV
          VOC:	ni+toHAwir
        GLOSS:	we+discuss

 INPUT STRING:	بصدق
     IS_TRANS:	bSdq
        INDEX:	P14W3
      OFFSETS:	13-17
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sidoq_1]
   UNSPLITVOC:	(biSidoq)
          POS:	PREP+NOUN
          VOC:	bi+Sidoq
        GLOSS:	with/by+sincerity/candor

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P15W1
      OFFSETS:	0-2
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W2
      OFFSETS:	3-5
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الضروري
     IS_TRANS:	AlDrwry
        INDEX:	P15W3
      OFFSETS:	6-13
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daruwriy_1]
   UNSPLITVOC:	(AlD~aruwriy)
          POS:	DET+ADJ
          VOC:	Al+Daruwriy
        GLOSS:	the+necessary/requisite

 INPUT STRING:	احيانا
     IS_TRANS:	AHyAnA
        INDEX:	P15W4
      OFFSETS:	14-20
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(AHoyAnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	AHoyAn+AF
        GLOSS:	sometimes+[acc.indef.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P15W5
      OFFSETS:	21-23
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	نكذب
     IS_TRANS:	nk*b
        INDEX:	P15W6
      OFFSETS:	24-28
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ib_1]
   UNSPLITVOC:	(niko*ib)
          POS:	IV1P+IV
          VOC:	ni+ko*ib
        GLOSS:	we+lie/deceive

 INPUT STRING:	وهناك
     IS_TRANS:	whnAk
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(wihinAk)
          POS:	CONJ+ADV
          VOC:	wi+hinAk
        GLOSS:	and+there

 INPUT STRING:	مقوله
     IS_TRANS:	mqwlh
        INDEX:	P16W2
      OFFSETS:	6-11
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqawlap_1]
   UNSPLITVOC:	(muqawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muqawl+ap
        GLOSS:	statement/pronouncement/proposition+[fem.sg.]

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P16W3
      OFFSETS:	12-16
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV3FS+IV
          VOC:	ti+quwl
        GLOSS:	it/they/she+say

 INPUT STRING:	النجاة
     IS_TRANS:	AlnjAp
        INDEX:	P17W1
      OFFSETS:	0-6
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[najAp_1]
   UNSPLITVOC:	(AlnajAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+najA+ap
        GLOSS:	the+rescue/survival/escape/salvation+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W2
      OFFSETS:	7-9
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الصدق
     IS_TRANS:	AlSdq
        INDEX:	P17W3
      OFFSETS:	10-15
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sidoq_1]
   UNSPLITVOC:	(AlS~idoq)
          POS:	DET+NOUN
          VOC:	Al+Sidoq
        GLOSS:	the+sincerity/candor

 INPUT STRING:	حبل
     IS_TRANS:	Hbl
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habol_1]
   UNSPLITVOC:	(Habol)
          POS:	NOUN
          VOC:	Habol
        GLOSS:	cord/cable/cords/cables

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P18W2
      OFFSETS:	4-9
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	قصير
     IS_TRANS:	qSyr
        INDEX:	P18W3
      OFFSETS:	10-14
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSiyr_1]
   UNSPLITVOC:	(qaSiyr)
          POS:	ADJ
          VOC:	qaSiyr
        GLOSS:	short/small

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you/thanks+[acc.indef.]

 INPUT STRING:	استاذه
     IS_TRANS:	AstA*h
        INDEX:	P19W2
      OFFSETS:	5-11
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usotA*_1]
   UNSPLITVOC:	(>usotA*ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>usotA*+ap
        GLOSS:	professor+[fem.sg.]

 INPUT STRING:	نغم
     IS_TRANS:	ngm
        INDEX:	P19W3
      OFFSETS:	12-15
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nagam_1]
   UNSPLITVOC:	(nagam)
          POS:	NOUN_PROP
          VOC:	nagam
        GLOSS:	Nagham

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P20W1
      OFFSETS:	0-5
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P20W2
      OFFSETS:	6-10
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine

 INPUT STRING:	مشكورة
     IS_TRANS:	m$kwrp
        INDEX:	P20W3
      OFFSETS:	11-17
