 INPUT STRING:	وبدات
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~nA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all/entire / every/ whole+our

 INPUT STRING:	ايد
     IS_TRANS:	Ayd
        INDEX:	P13W2
      OFFSETS:	5-8
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iyd)
          POS:	NOUN
          VOC:	<iyd
        GLOSS:	hand

 INPUT STRING:	واحـــدة
     IS_TRANS:	wAH___dp
        INDEX:	P13W3
      OFFSETS:	9-17
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHidap)
          POS:	ADJ_NUM+NSUFF_FEM_SG
          VOC:	wAHid+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P13W4
      OFFSETS:	18-21
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	النصـــر
     IS_TRANS:	AlnS___r
        INDEX:	P13W5
      OFFSETS:	22-30
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSor_1]
   UNSPLITVOC:	(Aln~aSor)
          POS:	DET+NOUN
          VOC:	Al+naSor
        GLOSS:	the+victory/assistance

 INPUT STRING:	متـــــــــابعة
     IS_TRANS:	mt_________AbEp
        INDEX:	P14W1
      OFFSETS:	0-15
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutAbaEap_1]
   UNSPLITVOC:	(mutAbaEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mutAbaE+ap
        GLOSS:	pursuit/continuation+[fem.sg.]

 INPUT STRING:	مستمرة
     IS_TRANS:	mstmrp
        INDEX:	P14W2
      OFFSETS:	16-22
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotamir~_1]
   UNSPLITVOC:	(musotamir~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musotamir~+ap
        GLOSS:	continuing/continuous/incessant+[fem.sg.]

 INPUT STRING:	لكـــــــل
     IS_TRANS:	lk_______l
        INDEX:	P14W3
      OFFSETS:	23-33
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for+all

 INPUT STRING:	الاخبـــــار
     IS_TRANS:	AlAxb_____Ar
        INDEX:	P14W4
      OFFSETS:	34-46
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axobAr_1]
   UNSPLITVOC:	(Al>axobAr)
          POS:	DET+NOUN
          VOC:	Al+>axobAr
        GLOSS:	the+news/reports

 INPUT STRING:	يوميا
     IS_TRANS:	ywmyA
        INDEX:	P14W5
      OFFSETS:	47-52
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yawmay~_1]
   UNSPLITVOC:	(yawmay~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	yawmay~+AF
        GLOSS:	daily+[acc.indef.]

 INPUT STRING:	حبيباتى
     IS_TRANS:	HbybAtY
        INDEX:	P15W1
      OFFSETS:	0-7
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(HabiybAtiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	Habiyb+At+iy
        GLOSS:	dear/beloved/sweetheart+[fem.pl.]+my

 INPUT STRING:	خدوا
     IS_TRANS:	xdwA
        INDEX:	P15W2
      OFFSETS:	8-12
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(xuduwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	xud+uwA
        GLOSS:	take care+you

 INPUT STRING:	بالكم
     IS_TRANS:	bAlkm
        INDEX:	P15W3
      OFFSETS:	13-18
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	bAl+kum
        GLOSS:	mind/attention+your

 INPUT STRING:	ممنوع
     IS_TRANS:	mmnwE
        INDEX:	P15W4
      OFFSETS:	19-24
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamonuwE_1]
   UNSPLITVOC:	(mamonuwE)
          POS:	NOUN
          VOC:	mamonuwE
        GLOSS:	prohibited

 INPUT STRING:	النقل
     IS_TRANS:	Alnql
        INDEX:	P15W5
      OFFSETS:	25-30
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqol_1]
   UNSPLITVOC:	(Aln~aqol)
          POS:	DET+NOUN
          VOC:	Al+naqol
        GLOSS:	the+transportation/transfer/transmission/relaying/quoting

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W6
      OFFSETS:	31-33
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الفيسبوك
     IS_TRANS:	Alfysbwk
        INDEX:	P15W7
      OFFSETS:	34-42
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alfysbwk)
          POS:	FOREIGN
          VOC:	Alfysbwk
        GLOSS:	nogloss

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P15W8
      OFFSETS:	43-46
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W9
      OFFSETS:	47-49
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	صفحة
     IS_TRANS:	SfHp
        INDEX:	P15W10
      OFFSETS:	50-54
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(SafoHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SafoH+ap
        GLOSS:	page/leaf/pages/leaves+[fem.sg.]

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P15W11
      OFFSETS:	55-59
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~nA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all/entire / every/ whole+our

 INPUT STRING:	خالد
     IS_TRANS:	xAld
        INDEX:	P15W12
      OFFSETS:	60-64
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlid_1]
   UNSPLITVOC:	(xAlid)
          POS:	NOUN_PROP
          VOC:	xAlid
        GLOSS:	Khalid

 INPUT STRING:	سعيد
     IS_TRANS:	sEyd
        INDEX:	P15W13
      OFFSETS:	65-69
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEiyd_1]
   UNSPLITVOC:	(saEiyd)
          POS:	NOUN_PROP
          VOC:	saEiyd
        GLOSS:	Said/Saeed

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W2
      OFFSETS:	3-5
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	صفحة
     IS_TRANS:	SfHp
        INDEX:	P16W3
      OFFSETS:	6-10
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(SafoHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SafoH+ap
        GLOSS:	page/leaf/pages/leaves+[fem.sg.]

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P16W4
      OFFSETS:	11-14
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|axir_1]
   UNSPLITVOC:	(|axir)
          POS:	ADJ_COMP
          VOC:	|axir
        GLOSS:	last/end

 INPUT STRING:	اخبار
     IS_TRANS:	AxbAr
        INDEX:	P16W5
      OFFSETS:	15-20
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AxobAr)
          POS:	NOUN
          VOC:	AxobAr
        GLOSS:	news/report

 INPUT STRING:	ميدان
     IS_TRANS:	mydAn
        INDEX:	P16W6
      OFFSETS:	21-26
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(miydAn)
          POS:	NOUN
          VOC:	miydAn
        GLOSS:	square

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P16W7
      OFFSETS:	27-34
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+tahrir

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P16W8
      OFFSETS:	35-37
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W9
      OFFSETS:	38-40
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	صفحـة
     IS_TRANS:	SfH_p
        INDEX:	P16W10
      OFFSETS:	41-46
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(SafoHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SafoH+ap
        GLOSS:	page/lea+[fem.sg.]

 INPUT STRING:	سلفى
     IS_TRANS:	slfY
        INDEX:	P16W11
      OFFSETS:	47-51
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(salafiy)
          POS:	ADJ
          VOC:	salafiy
        GLOSS:	Salafi/Salafist

 INPUT STRING:	المسموح
     IS_TRANS:	AlmsmwH
        INDEX:	P17W1
      OFFSETS:	0-7
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masomuwH_1]
   UNSPLITVOC:	(AlmasomuwH)
          POS:	DET+ADJ
          VOC:	Al+masomuwH
        GLOSS:	the+permissible/permitted

 INPUT STRING:	فقــــــط
     IS_TRANS:	fq______T
        INDEX:	P17W2
      OFFSETS:	8-17
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W3
      OFFSETS:	18-20
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الفيسبوك
     IS_TRANS:	Alfysbwk
        INDEX:	P17W4
      OFFSETS:	21-29
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alfysbwk)
          POS:	FOREIGN
          VOC:	Alfysbwk
        GLOSS:	nogloss

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P17W5
      OFFSETS:	30-32
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	رصـــــــد
     IS_TRANS:	rS_______d
        INDEX:	P17W6
      OFFSETS:	33-43
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raSod_1]
   UNSPLITVOC:	(raSod)
          POS:	NOUN
          VOC:	raSod
        GLOSS:	observation/survey/following/tracking

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P17W7
      OFFSETS:	44-47
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wami$)
          POS:	CONJ+NEG_PART
          VOC:	wa+mi$
        GLOSS:	and+not

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P17W8
      OFFSETS:	48-50
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الاخبار
     IS_TRANS:	AlAxbAr
        INDEX:	P17W9
      OFFSETS:	51-58
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AlAxobAr)
          POS:	DET+NOUN
          VOC:	Al+AxobAr
        GLOSS:	the+news/report

 INPUT STRING:	الاخبار
     IS_TRANS:	AlAxbAr
        INDEX:	P17W10
      OFFSETS:	59-66
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AlAxobAr)
          POS:	DET+NOUN
          VOC:	Al+AxobAr
        GLOSS:	the+news/report

 INPUT STRING:	المؤكدة
     IS_TRANS:	Alm&kdp
        INDEX:	P17W11
      OFFSETS:	67-74
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ak~ad_1]
   UNSPLITVOC:	(Almu&ak~adap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+mu&ak~ad+ap
        GLOSS:	the+certain/guaranteed+[fem.sg.]

 INPUT STRING:	فقـــط
     IS_TRANS:	fq___T
        INDEX:	P17W12
      OFFSETS:	75-81
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	والى
     IS_TRANS:	wAlY
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~iy_1]
   UNSPLITVOC:	(waAll~iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+All~iy
        GLOSS:	and+who/whose/which

 INPUT STRING:	بتنقل
     IS_TRANS:	btnql
        INDEX:	P18W2
      OFFSETS:	5-10
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqal_1]
   UNSPLITVOC:	(bitinoqil)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+noqil
        GLOSS:	[present-tense]+it/they/she+move/displace

 INPUT STRING:	بتتحظــــــــــر
     IS_TRANS:	bttHZ__________r
        INDEX:	P18W3
      OFFSETS:	11-27
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHaZar_1]
   UNSPLITVOC:	(bititaHaZar)
          POS:	PROG_PART+IV3FS+IV_PASS
          VOC:	bi+ti+taHaZar
        GLOSS:	[present.tense]+she/it/they+be warned

 INPUT STRING:	خدوا
     IS_TRANS:	xdwA
        INDEX:	P18W4
      OFFSETS:	28-32
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(xuduwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	xud+uwA
        GLOSS:	take care+you

 INPUT STRING:	بالكم
     IS_TRANS:	bAlkm
        INDEX:	P18W5
      OFFSETS:	33-38
       TOKENS:	P18W8-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	bAl+kum
        GLOSS:	mind/attention+your

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	تنبيهات
     IS_TRANS:	tnbyhAt
        INDEX:	P19W2
      OFFSETS:	3-10
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanobiyh_1]
   UNSPLITVOC:	(tanobiyhAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tanobiyh+At
        GLOSS:	warning/alerting/alarm+[fem.pl.]

 INPUT STRING:	الادارة
     IS_TRANS:	AlAdArp
        INDEX:	P19W3
      OFFSETS:	11-18
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AidArap_1]
   UNSPLITVOC:	(AlAidArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AidAr+ap
        GLOSS:	the+administration/management/bureau+[fem.sg.]

 INPUT STRING:	بالنسبة
     IS_TRANS:	bAlnsbp
        INDEX:	P20W1
      OFFSETS:	0-7
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+link/relation (concerning/regarding)+[fem.sg.]

 INPUT STRING:	لموضوع
     IS_TRANS:	lmwDwE
        INDEX:	P20W2
      OFFSETS:	8-14
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(limawDuwE)
          POS:	PREP+NOUN
          VOC:	li+mawDuwE
        GLOSS:	for/to+subject/theme/issue

 INPUT STRING:	فتح
     IS_TRANS:	ftH
        INDEX:	P20W3
      OFFSETS:	15-18
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatoH_1]
   UNSPLITVOC:	(fatoH)
          POS:	NOUN
          VOC:	fatoH
        GLOSS:	opening

 INPUT STRING:	الاجزاء
     IS_TRANS:	AlAjzA'
        INDEX:	P20W4
      OFFSETS:	19-26
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juz'_1]
   UNSPLITVOC:	(Al>ajozA')
          POS:	DET+NOUN
          VOC:	Al+>ajozA'
        GLOSS:	the+sections/pieces/portions/parts/fractions

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P20W5
      OFFSETS:	27-32
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P20W6
      OFFSETS:	33-36
       TOKENS:	P20W8-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	to/for+Allah/God

 INPUT STRING:	الادارة
     IS_TRANS:	AlAdArp
        INDEX:	P20W7
      OFFSETS:	37-44
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AidArap_1]
   UNSPLITVOC:	(AlAidArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AidAr+ap
        GLOSS:	the+administration/management/bureau+[fem.sg.]

 INPUT STRING:	وافقت
     IS_TRANS:	wAfqt
        INDEX:	P20W8
      OFFSETS:	45-50
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAfiq_1]
   UNSPLITVOC:	(wAfoqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	wAfoq+it
        GLOSS:	agree/be in conformity+it/they/she [verb]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P20W9
      OFFSETS:	51-53
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P20W10
      OFFSETS:	54-56
       TOKENS:	P20W13-P20W13
