 INPUT STRING:	لما
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party

 INPUT STRING:	الحرية
     IS_TRANS:	AlHryp
        INDEX:	P4W3
      OFFSETS:	8-14
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Huriy~ap_1]
   UNSPLITVOC:	(AlHuriy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+Huriy~+ap
        GLOSS:	the+Horiya+[fem.sg.]

 INPUT STRING:	والعدالة
     IS_TRANS:	wAlEdAlp
        INDEX:	P4W4
      OFFSETS:	15-23
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EadAlap_1]
   UNSPLITVOC:	(wiAlEadAlap)
          POS:	CONJ+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+Al+EadAl+ap
        GLOSS:	and+the+Adalah+[fem.sg.]

 INPUT STRING:	ينظم
     IS_TRANS:	ynZm
        INDEX:	P4W5
      OFFSETS:	24-28
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZ~am_1]
   UNSPLITVOC:	(yinaZ~am)
          POS:	IV3MS+IV
          VOC:	yi+naZ~am
        GLOSS:	he/it+arrange/organize/regulate/be arranged/be organized/be regulated

 INPUT STRING:	مسيرة
     IS_TRANS:	msyrp
        INDEX:	P4W6
      OFFSETS:	29-34
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masiyrap_1]
   UNSPLITVOC:	(masiyrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	masiyr+ap
        GLOSS:	march/parade+[fem.sg.]

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P4W7
      OFFSETS:	35-38
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	السبت
     IS_TRANS:	Alsbt
        INDEX:	P4W8
      OFFSETS:	39-44
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sabot_1]
   UNSPLITVOC:	(Alsabot)
          POS:	DET+NOUN_PROP
          VOC:	Al+sabot
        GLOSS:	the+satuday

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P4W9
      OFFSETS:	45-49
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	فات
     IS_TRANS:	fAt
        INDEX:	P4W10
      OFFSETS:	50-53
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAt_1]
   UNSPLITVOC:	(fAt)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	fAt+(null)
        GLOSS:	expire/go by+he/it [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W11
      OFFSETS:	54-56
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دمياط
     IS_TRANS:	dmyAT
        INDEX:	P4W12
      OFFSETS:	57-62
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dumoyAT_1]
   UNSPLITVOC:	(dumoyAT)
          POS:	NOUN_PROP
          VOC:	dumoyAT
        GLOSS:	Damiet

 INPUT STRING:	بمشاركة
     IS_TRANS:	bm$Arkp
        INDEX:	P4W13
      OFFSETS:	63-70
       TOKENS:	P4W14-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(bimu$Arokap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+mu$Arok+ap
        GLOSS:	with/by+participant/associate+[fem.sg]

 INPUT STRING:	150
     IS_TRANS:	150
        INDEX:	P4W14
      OFFSETS:	71-74
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[150_1]
   UNSPLITVOC:	(150)
          POS:	NOUN_NUM
          VOC:	150
        GLOSS:	150

 INPUT STRING:	عربية
     IS_TRANS:	Erbyp
        INDEX:	P4W15
      OFFSETS:	75-80
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(Earabiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Earabiy~+ap
        GLOSS:	car+[fem.sg.]

 INPUT STRING:	لبورسعيد
     IS_TRANS:	lbwrsEyd
        INDEX:	P4W16
      OFFSETS:	81-89
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(libuwrsaEiyd)
          POS:	PREP+NOUN_PROP
          VOC:	li+buwrsaEiyd
        GLOSS:	for/to+Port Said

 INPUT STRING:	لرفع
     IS_TRANS:	lrfE
        INDEX:	P4W17
      OFFSETS:	90-94
       TOKENS:	P4W20-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoE_1]
   UNSPLITVOC:	(lirafoE)
          POS:	PREP+NOUN
          VOC:	li+rafoE
        GLOSS:	for/to+raising/lifting/elevating

 INPUT STRING:	الروح
     IS_TRANS:	AlrwH
        INDEX:	P4W18
      OFFSETS:	95-100
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(Alr~awH)
          POS:	DET+NOUN
          VOC:	Al+rawH
        GLOSS:	the+soul or spirit

 INPUT STRING:	المعنوية
     IS_TRANS:	AlmEnwyp
        INDEX:	P4W19
      OFFSETS:	101-109
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonawiy_1]
   UNSPLITVOC:	(AlmaEonawiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maEonawiy~+ap
        GLOSS:	the+moral/spiritual+[fem.sg.]

 INPUT STRING:	للأهالي
     IS_TRANS:	ll>hAly
        INDEX:	P4W20
      OFFSETS:	110-117
       TOKENS:	P4W24-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(lilAhAliy)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+AhAliy
        GLOSS:	for/to+the+family/people/people/families/folk/families/indigenous people

 INPUT STRING:	وكسر
     IS_TRANS:	wksr
        INDEX:	P4W21
      OFFSETS:	118-122
       TOKENS:	P4W26-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kasor_1]
   UNSPLITVOC:	(wikasor)
          POS:	CONJ+NOUN
          VOC:	wi+kasor
        GLOSS:	and+break/breaking

 INPUT STRING:	حالة
     IS_TRANS:	HAlp
        INDEX:	P4W22
      OFFSETS:	123-127
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(HAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAl+ap
        GLOSS:	condition/case/situation/cases/situations/instances+[fem.sg.]

 INPUT STRING:	الجمود
     IS_TRANS:	Aljmwd
        INDEX:	P4W23
      OFFSETS:	128-134
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumuwd_1]
   UNSPLITVOC:	(Aljumuwd)
          POS:	DET+NOUN
          VOC:	Al+jumuwd
        GLOSS:	the+freezing/inertia/deadlock

 INPUT STRING:	التجاري
     IS_TRANS:	AltjAry
        INDEX:	P4W24
      OFFSETS:	135-142
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tujAriy_1]
   UNSPLITVOC:	(Alt~ujAriy)
          POS:	DET+ADJ
          VOC:	Al+tujAriy
        GLOSS:	the+commercial

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W25
      OFFSETS:	143-145
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المدينة
     IS_TRANS:	Almdynp
        INDEX:	P4W26
      OFFSETS:	146-153
       TOKENS:	P4W32-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(Almadiynap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+madiyn+ap
        GLOSS:	the+city+[fem.sg.]

 INPUT STRING:	وبرضه
     IS_TRANS:	wbrDh
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(wibaroDuh)
          POS:	CONJ+ADV
          VOC:	wi+baroDuh
        GLOSS:	and+also/too

 INPUT STRING:	الاعلام
     IS_TRANS:	AlAElAm
        INDEX:	P5W2
      OFFSETS:	6-13
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(Al<iEolAm)
          POS:	DET+NOUN
          VOC:	Al+<iEolAm
        GLOSS:	the+information/media

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P5W3
      OFFSETS:	14-18
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	acting as

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P5W4
      OFFSETS:	19-23
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves+his/its

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W5
      OFFSETS:	24-26
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الهند
     IS_TRANS:	Alhnd
        INDEX:	P5W6
      OFFSETS:	27-32
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinod_1]
   UNSPLITVOC:	(Alhinod)
          POS:	DET+NOUN_PROP
          VOC:	Al+hinod
        GLOSS:	the+India

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W7
      OFFSETS:	32-33
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W8
      OFFSETS:	33-34
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W9
      OFFSETS:	34-35
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W10
      OFFSETS:	35-36
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W11
      OFFSETS:	36-37
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W12
      OFFSETS:	37-38
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W13
      OFFSETS:	38-39
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اعرف
     IS_TRANS:	AErf
        INDEX:	P5W14
      OFFSETS:	40-44
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(<iEoraf)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	<iEoraf+(null)
        GLOSS:	know+you

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P5W15
      OFFSETS:	45-48
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ak)
          POS:	SUB_CONJ+PRON_2MS
          VOC:	<in~+ak
        GLOSS:	that+you [masc.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W16
      OFFSETS:	49-51
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W17
      OFFSETS:	52-55
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	تلاقي
     IS_TRANS:	tlAqy
        INDEX:	P6W2
      OFFSETS:	4-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(tilAqiy)
          POS:	IV2MS+IV
          VOC:	ti+lAqiy
        GLOSS:	you+find

 INPUT STRING:	النهارده
     IS_TRANS:	AlnhArdh
        INDEX:	P6W3
      OFFSETS:	10-18
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlnhArdh)
          POS:	NO_FUNC
          VOC:	AlnhArdh
        GLOSS:	nogloss

 INPUT STRING:	قافلة
     IS_TRANS:	qAflp
        INDEX:	P6W4
      OFFSETS:	19-24
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAfilap_1]
   UNSPLITVOC:	(qAfilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qAfil+ap
        GLOSS:	convoy/column+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W5
      OFFSETS:	25-27
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الحرية
     IS_TRANS:	AlHryp
        INDEX:	P6W6
      OFFSETS:	28-34
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Huriy~ap_1]
   UNSPLITVOC:	(AlHuriy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+Huriy~+ap
        GLOSS:	the+Horiya+[fem.sg.]

 INPUT STRING:	والعدالة
     IS_TRANS:	wAlEdAlp
        INDEX:	P6W7
      OFFSETS:	35-43
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EadAlap_1]
   UNSPLITVOC:	(wiAlEadAlap)
          POS:	CONJ+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+Al+EadAl+ap
        GLOSS:	and+the+Adalah+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W8
      OFFSETS:	44-46
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الدقهلية
     IS_TRANS:	Aldqhlyp
        INDEX:	P6W9
      OFFSETS:	47-55
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daqahliyap_1]
   UNSPLITVOC:	(Alda>ahliyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+daqahliy+ap
        GLOSS:	the+Daqahliyah+[fem.sg.]

 INPUT STRING:	بمشاركة
     IS_TRANS:	bm$Arkp
        INDEX:	P6W10
      OFFSETS:	56-63
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(bimu$Arokap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+mu$Arok+ap
        GLOSS:	with/by+participation/association+[fem.sg.]

 INPUT STRING:	300
     IS_TRANS:	300
        INDEX:	P6W11
      OFFSETS:	64-67
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[300_1]
   UNSPLITVOC:	(300)
          POS:	NOUN_NUM
          VOC:	300
        GLOSS:	300

 INPUT STRING:	عربية
     IS_TRANS:	Erbyp
        INDEX:	P6W12
      OFFSETS:	68-73
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(Earabiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Earabiy~+ap
        GLOSS:	car+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W13
      OFFSETS:	74-75
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	25
     IS_TRANS:	25
        INDEX:	P6W14
      OFFSETS:	75-77
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[25_1]
   UNSPLITVOC:	(25)
          POS:	NOUN_NUM
          VOC:	25
        GLOSS:	25

 INPUT STRING:	نائب
     IS_TRANS:	nA}b
        INDEX:	P6W15
      OFFSETS:	78-82
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(nA}ib)
          POS:	NOUN
          VOC:	nA}ib
        GLOSS:	deputy/delegate/vice-

 INPUT STRING:	بمجلس
     IS_TRANS:	bmjls
        INDEX:	P6W16
      OFFSETS:	83-88
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(bimajolis)
          POS:	PREP+NOUN
          VOC:	bi+majolis
        GLOSS:	with/by+council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P6W17
      OFFSETS:	89-94
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	متجهة
     IS_TRANS:	mtjhp
        INDEX:	P6W18
      OFFSETS:	95-100
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutajih_1]
   UNSPLITVOC:	(mutajihap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mutajih+ap
        GLOSS:	aiming+[fem.sg.]

 INPUT STRING:	لبورسعيد
     IS_TRANS:	lbwrsEyd
        INDEX:	P6W19
      OFFSETS:	101-109
       TOKENS:	P6W22-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(libuwrsaEiyd)
          POS:	PREP+NOUN_PROP
          VOC:	li+buwrsaEiyd
        GLOSS:	for/to+Port Said

 INPUT STRING:	لكسر
     IS_TRANS:	lksr
        INDEX:	P6W20
      OFFSETS:	110-114
       TOKENS:	P6W24-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kasor_1]
   UNSPLITVOC:	(likasor)
          POS:	PREP+NOUN
          VOC:	li+kasor
        GLOSS:	for/to+break/breaking

 INPUT STRING:	الحصار
     IS_TRANS:	AlHSAr
        INDEX:	P6W21
      OFFSETS:	115-121
       TOKENS:	P6W26-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiSAr_1]
   UNSPLITVOC:	(AlHiSAr)
          POS:	DET+NOUN
          VOC:	Al+HiSAr
        GLOSS:	the+siege/blockade

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P6W22
      OFFSETS:	122-124
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	المدينة
     IS_TRANS:	Almdynp
        INDEX:	P6W23
      OFFSETS:	125-132
       TOKENS:	P6W28-P6W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(Almadiynap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+madiyn+ap
        GLOSS:	the+city+[fem.sg.]

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P6W24
      OFFSETS:	133-136
       TOKENS:	P6W29-P6W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
