 INPUT STRING:	اقصد
       TOKENS:	P12W36-P12W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	فلاح
     IS_TRANS:	flAH
        INDEX:	P12W27
      OFFSETS:	152-156
       TOKENS:	P12W37-P12W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fal~AH_1]
   UNSPLITVOC:	(fal~AH)
          POS:	NOUN
          VOC:	fal~AH
        GLOSS:	peasant/farmer

 INPUT STRING:	فيكي
     IS_TRANS:	fyky
        INDEX:	P12W28
      OFFSETS:	157-161
       TOKENS:	P12W38-P12W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiykiy)
          POS:	PREP+PRON_2FS
          VOC:	fiy+ik
        GLOSS:	in+you

 INPUT STRING:	يامصر
     IS_TRANS:	yAmSr
        INDEX:	P12W29
      OFFSETS:	162-167
       TOKENS:	P12W40-P12W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSr_1]
   UNSPLITVOC:	(yAmaSor)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yaA+maSor
        GLOSS:	oh+Egypt

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P12W30
      OFFSETS:	168-172
       TOKENS:	P12W42-P12W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nifos+uh
        GLOSS:	wish+his/its

 INPUT STRING:	يعلم
     IS_TRANS:	yElm
        INDEX:	P12W31
      OFFSETS:	173-177
       TOKENS:	P12W44-P12W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eal~im_1]
   UNSPLITVOC:	(yiEal~im)
          POS:	IV3MS+IV
          VOC:	yi+Eal~im
        GLOSS:	he/it+teach/instruct

 INPUT STRING:	ابنه
     IS_TRANS:	Abnh
        INDEX:	P12W32
      OFFSETS:	178-182
       TOKENS:	P12W45-P12W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(Aibonuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Aibon+uh
        GLOSS:	son+his/its

 INPUT STRING:	ويدخله
     IS_TRANS:	wydxlh
        INDEX:	P12W33
      OFFSETS:	183-189
       TOKENS:	P12W47-P12W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dax~al_1]
   UNSPLITVOC:	(wiyidax~aluh)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	wi+yi+dax~al+uh
        GLOSS:	and+he/it+enter/include/insert+them

 INPUT STRING:	الجامعه
     IS_TRANS:	AljAmEh
        INDEX:	P12W34
      OFFSETS:	190-197
       TOKENS:	P12W50-P12W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmoEap_1]
   UNSPLITVOC:	(AljAmoEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jAmoE+ap
        GLOSS:	the+university+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P12W35
      OFFSETS:	198-200
       TOKENS:	P12W51-P12W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ياواد
     IS_TRANS:	yAwAd
        INDEX:	P12W36
      OFFSETS:	201-206
       TOKENS:	P12W52-P12W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAd_1]
   UNSPLITVOC:	(yAwAd)
          POS:	VOC_PART+NOUN
          VOC:	yaA+wAd
        GLOSS:	oh+boy

 INPUT STRING:	هتوسخ
     IS_TRANS:	htwsx
        INDEX:	P12W37
      OFFSETS:	207-212
       TOKENS:	P12W54-P12W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[was~ax_1]
   UNSPLITVOC:	(Hatwas~ax)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+t+was~ax
        GLOSS:	will+you+pollute/soil

 INPUT STRING:	كوخ
     IS_TRANS:	kwx
        INDEX:	P12W38
      OFFSETS:	213-216
       TOKENS:	P12W56-P12W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwx~_1]
   UNSPLITVOC:	(kuwx~)
          POS:	INTERJ
          VOC:	kuwx~
        GLOSS:	dirty

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P12W39
      OFFSETS:	217-220
       TOKENS:	P12W57-P12W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

 INPUT STRING:	متلعبش
     IS_TRANS:	mtlEb$
        INDEX:	P12W40
      OFFSETS:	221-227
       TOKENS:	P12W58-P12W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(mA_tiloEab$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+ti+loEab+$
        GLOSS:	not+you+play+not

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W41
      OFFSETS:	228-230
       TOKENS:	P12W61-P12W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الطين
     IS_TRANS:	AlTyn
        INDEX:	P12W42
      OFFSETS:	231-236
       TOKENS:	P12W62-P12W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tiyn_1]
   UNSPLITVOC:	(AlT~iyn)
          POS:	DET+NOUN
          VOC:	Al+Tiyn
        GLOSS:	the+clay

 INPUT STRING:	سيب
     IS_TRANS:	syb
        INDEX:	P12W43
      OFFSETS:	238-241
       TOKENS:	P12W63-P12W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_2]
   UNSPLITVOC:	(siyb)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	siyb+(null)
        GLOSS:	leave/quit+you

 INPUT STRING:	الزراعه
     IS_TRANS:	AlzrAEh
        INDEX:	P12W44
      OFFSETS:	242-249
       TOKENS:	P12W64-P12W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zirAEap_1]
   UNSPLITVOC:	(Alz~irAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+zirAE+ap
        GLOSS:	the+agriculture/cultivation+[fem.sg.]

 INPUT STRING:	والهم
     IS_TRANS:	wAlhm
        INDEX:	P12W45
      OFFSETS:	250-255
       TOKENS:	P12W65-P12W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(wiAlham~)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+ham~
        GLOSS:	and+the+concern/interest/concerns/interests

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P12W46
      OFFSETS:	256-258
       TOKENS:	P12W67-P12W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	لناسه
     IS_TRANS:	lnAsh
        INDEX:	P12W47
      OFFSETS:	259-264
       TOKENS:	P12W68-P12W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(linAsuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	li+nAs+uh
        GLOSS:	for/to+people+his/its

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P12W48
      OFFSETS:	265-268
       TOKENS:	P12W71-P12W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	عاوزك
     IS_TRANS:	EAwzk
        INDEX:	P12W49
      OFFSETS:	269-274
       TOKENS:	P12W72-P12W73
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozak)
          POS:	ADJ+PRON_2MS
          VOC:	EAwoz+ak
        GLOSS:	wanting/needing+you

 INPUT STRING:	افندي
     IS_TRANS:	Afndy
        INDEX:	P12W50
      OFFSETS:	275-280
       TOKENS:	P12W74-P12W74
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Afandiy_1]
   UNSPLITVOC:	(Afandiy)
          POS:	NOUN
          VOC:	Afandiy
        GLOSS:	Effendi/gentleman

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W51
      OFFSETS:	281-283
       TOKENS:	P12W75-P12W75
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حين
     IS_TRANS:	Hyn
        INDEX:	P12W52
      OFFSETS:	284-287
       TOKENS:	P12W76-P12W76
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(Hiyn)
          POS:	NOUN
          VOC:	Hiyn
        GLOSS:	time/moment/opportunity/times/opportunities/sometimes/occasionally

 INPUT STRING:	قالها
     IS_TRANS:	qAlhA
        INDEX:	P12W53
      OFFSETS:	288-293
       TOKENS:	P12W77-P12W78
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	qAl+(null)+hA
        GLOSS:	said/say/be said/say/(for example)+he/it+it/them/her

 INPUT STRING:	الاخرون
     IS_TRANS:	AlAxrwn
        INDEX:	P12W54
      OFFSETS:	294-301
       TOKENS:	P12W79-P12W79
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlAxar_1]
   UNSPLITVOC:	(AlAxaruwn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+Axar+uwn
        GLOSS:	the+other/another+[pl.]

 INPUT STRING:	علمني
     IS_TRANS:	Elmny
        INDEX:	P12W55
      OFFSETS:	302-307
       TOKENS:	P12W80-P12W81
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eal~im_1]
   UNSPLITVOC:	(Eal~imniy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1S
          VOC:	Eal~im+(null)+niy
        GLOSS:	teach+you+me

 INPUT STRING:	الصيد
     IS_TRANS:	AlSyd
        INDEX:	P12W56
      OFFSETS:	308-313
       TOKENS:	P12W82-P12W82
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Siyd_1]
   UNSPLITVOC:	(AlSiyd)
          POS:	DET+NOUN
          VOC:	Al+Siyd
        GLOSS:	the+hunting/fishing/trapping

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P12W57
      OFFSETS:	314-317
       TOKENS:	P12W83-P12W84
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	تعطيني
     IS_TRANS:	tETyny
        INDEX:	P12W58
      OFFSETS:	318-324
       TOKENS:	P12W85-P12W86
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEoTaY_1]
   UNSPLITVOC:	(tuETiyniy)
          POS:	IV2MS+IV+IVSUFF_DO:1S
          VOC:	tu+ETiy+niy
        GLOSS:	you+give/provide+me

 INPUT STRING:	سمكه
     IS_TRANS:	smkh
        INDEX:	P12W59
      OFFSETS:	325-329
       TOKENS:	P12W87-P12W87
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samakap_1]
   UNSPLITVOC:	(samakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	samak+ap
        GLOSS:	fish+[fem.sg.]

 INPUT STRING:	يالا
     IS_TRANS:	yAlA
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yAl~A_1]
   UNSPLITVOC:	(yAl~A)
          POS:	INTERJ
          VOC:	yAl~A
        GLOSS:	let's

 INPUT STRING:	اكملكم
     IS_TRANS:	Akmlkm
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W2-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(Aakam~illikum)
          POS:	IV1S+IV+PREP+PRON_2P
          VOC:	Aa+kam~il+li+kum
        GLOSS:	I+complete/finish+to/for+you

 INPUT STRING:	تيجي
     IS_TRANS:	tyjy
        INDEX:	P13W3
      OFFSETS:	12-16
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[gih_1]
   UNSPLITVOC:	(tiyojiy)
          POS:	IV3FS+IV
          VOC:	ti+yojiy
        GLOSS:	it/they/she+come

 INPUT STRING:	العصابه
     IS_TRANS:	AlESAbh
        INDEX:	P13W4
      OFFSETS:	17-24
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiSAbap_1]
   UNSPLITVOC:	(AlEiSAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EiSAb+ap
        GLOSS:	the+gang/group/band/gangs/groups/bands+[fem.sg.]

 INPUT STRING:	تكمل
     IS_TRANS:	tkml
        INDEX:	P13W5
      OFFSETS:	25-29
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(tikam~il)
          POS:	IV3FS+IV
          VOC:	ti+kam~il
        GLOSS:	it/they/she+complete/finish

 INPUT STRING:	شغلها
     IS_TRANS:	$glhA
        INDEX:	P13W6
      OFFSETS:	30-35
       TOKENS:	P13W8-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugolahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	$ugol+hA
        GLOSS:	work/activity/occupation/work/labor/business+its/their/her

 INPUT STRING:	ياسياده
     IS_TRANS:	yAsyAdh
        INDEX:	P13W7
      OFFSETS:	36-43
       TOKENS:	P13W10-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siyAdap_1]
   UNSPLITVOC:	(yAsiyAdap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yaA+siyAd+ap
        GLOSS:	oh+His/Her Excellency+[fem.sg.]

 INPUT STRING:	الريس
     IS_TRANS:	Alrys
        INDEX:	P13W8
      OFFSETS:	44-49
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~is_1]
   UNSPLITVOC:	(Alr~ay~is)
          POS:	DET+NOUN
          VOC:	Al+ray~is
        GLOSS:	the+captain/chief/boss

 INPUT STRING:	هتسيب
     IS_TRANS:	htsyb
        INDEX:	P13W9
      OFFSETS:	50-55
       TOKENS:	P13W13-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(Hatisiyb)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+siyb
        GLOSS:	will+you+leave

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P13W10
      OFFSETS:	56-61
       TOKENS:	P13W15-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+rule/government

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P13W11
      OFFSETS:	62-65
       TOKENS:	P13W16-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	REL_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	يقولهم
     IS_TRANS:	yqwlhm
        INDEX:	P13W12
      OFFSETS:	66-72
       TOKENS:	P13W17-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl~uhum)
          POS:	IV3MS+IV+PREP+PRON_3P
          VOC:	yi+quwl+li+hum
        GLOSS:	he/it+say+to/for+them

 INPUT STRING:	اصلي
     IS_TRANS:	ASly
        INDEX:	P13W13
      OFFSETS:	73-77
       TOKENS:	P13W20-P13W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSoliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>aSol+iy
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital+my

 INPUT STRING:	تعبت
     IS_TRANS:	tEbt
        INDEX:	P13W14
      OFFSETS:	78-82
       TOKENS:	P13W22-P13W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiEib_1]
   UNSPLITVOC:	(tiEibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	tiEib+t
        GLOSS:	be tired/work hard+I

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P13W15
      OFFSETS:	83-86
       TOKENS:	P13W23-P13W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	okay

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P13W16
      OFFSETS:	87-91
       TOKENS:	P13W24-P13W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	كتر
     IS_TRANS:	ktr
        INDEX:	P13W17
      OFFSETS:	92-95
       TOKENS:	P13W25-P13W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kat~ar_1]
   UNSPLITVOC:	(kat~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kat~ar+(null)
        GLOSS:	increase+he/it

 INPUT STRING:	خيرك
     IS_TRANS:	xyrk
        INDEX:	P13W18
      OFFSETS:	96-100
       TOKENS:	P13W26-P13W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xiyrak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	xiyr+ak
        GLOSS:	wealth, affluence+your

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P13W19
      OFFSETS:	101-104
       TOKENS:	P13W28-P13W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	okay

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P13W20
      OFFSETS:	105-108
       TOKENS:	P13W29-P13W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	REL_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	رايك
     IS_TRANS:	rAyk
        INDEX:	P13W21
      OFFSETS:	109-113
       TOKENS:	P13W30-P13W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rAyk)
          POS:	TYPO
          VOC:	rAyk
        GLOSS:	nogloss

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P13W22
      OFFSETS:	114-118
       TOKENS:	P13W31-P13W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Jamal/Gamal

 INPUT STRING:	ننوسه
     IS_TRANS:	nnwsh
        INDEX:	P13W23
      OFFSETS:	119-124
       TOKENS:	P13W32-P13W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nan~uws_1]
   UNSPLITVOC:	(nan~uwsap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nan~uws+ap
        GLOSS:	pampered/spoiled+[fem.sg.]

 INPUT STRING:	عين
     IS_TRANS:	Eyn
        INDEX:	P13W24
      OFFSETS:	125-128
       TOKENS:	P13W33-P13W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eayn)
          POS:	NOUN
          VOC:	Eayn
        GLOSS:	eye/eyes/water spring/water source/water springs/water sources/notables/VIP's/Aain

 INPUT STRING:	امه
     IS_TRANS:	Amh
        INDEX:	P13W25
      OFFSETS:	129-132
       TOKENS:	P13W34-P13W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>um~+uh
        GLOSS:	mother/maternal/mothers+his/its

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P13W26
      OFFSETS:	133-138
       TOKENS:	P13W36-P13W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	انتو
     IS_TRANS:	Antw
        INDEX:	P13W27
      OFFSETS:	139-143
       TOKENS:	P13W37-P13W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	شايفين
     IS_TRANS:	$Ayfyn
        INDEX:	P13W28
      OFFSETS:	144-150
       TOKENS:	P13W38-P13W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	$Ayof+iyn
        GLOSS:	viewer/observer/onlooker+[pl.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P13W29
      OFFSETS:	151-154
       TOKENS:	P13W39-P13W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W30
      OFFSETS:	154-155
       TOKENS:	P13W40-P13W40
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
