 INPUT STRING:	سلاموا
          VOC:	wi+yi+roquS+uwA
        GLOSS:	and+they (people)+dance+[pl.]

 INPUT STRING:	ويقولوا
     IS_TRANS:	wyqwlwA
        INDEX:	P13W1
      OFFSETS:	0-7
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiyiquwluwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+quwl+uwA
        GLOSS:	and+they+say+[pl.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P13W2
      OFFSETS:	8-10
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	CONJ
          VOC:	yA
        GLOSS:	either...or

 INPUT STRING:	ينجح
     IS_TRANS:	ynjH
        INDEX:	P13W3
      OFFSETS:	11-15
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nijiH_1]
   UNSPLITVOC:	(yinojaH)
          POS:	IV3MS+IV
          VOC:	yi+nojaH
        GLOSS:	he/it+succeed

 INPUT STRING:	يانولع
     IS_TRANS:	yAnwlE
        INDEX:	P13W4
      OFFSETS:	16-22
       TOKENS:	P13W5-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~aE_1]
   UNSPLITVOC:	(yA_niwal~aE)
          POS:	CONJ+IV1P+IV
          VOC:	yA+ni+wal~aE
        GLOSS:	either.....or+we+kindle/light/set fire to

 INPUT STRING:	وقاعدين
     IS_TRANS:	wqAEdyn
        INDEX:	P14W1
      OFFSETS:	0-7
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(wiqAEodiyn)
          POS:	CONJ+ADJ.VN+NSUFF_MASC_PL
          VOC:	wi+qAEod+iyn
        GLOSS:	and+sitting/seated+[masc.pl.]

 INPUT STRING:	يستفزوا
     IS_TRANS:	ystfzwA
        INDEX:	P14W2
      OFFSETS:	8-15
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotafaz~_1]
   UNSPLITVOC:	(yisotafiz~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+sotafiz~+uwA
        GLOSS:	they (people)+provoke/harass+[pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P14W3
      OFFSETS:	16-18
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ثوار
     IS_TRANS:	vwAr
        INDEX:	P14W4
      OFFSETS:	19-23
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vA}ir_2]
   UNSPLITVOC:	(vuw~Ar)
          POS:	NOUN
          VOC:	vuw~Ar
        GLOSS:	insurgents/revolutionaries

 INPUT STRING:	الشرقيه
     IS_TRANS:	Al$rqyh
        INDEX:	P14W5
      OFFSETS:	24-31
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroqiy~ap_1]
   UNSPLITVOC:	(Al$~aroqiy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+$aroqiy~+ap
        GLOSS:	the+Al_Sharkia+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P14W6
      OFFSETS:	31-32
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وأول
     IS_TRANS:	w>wl
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_2]
   UNSPLITVOC:	(wi>aw~il)
          POS:	CONJ+ADJ_NUM
          VOC:	wi+>aw~il
        GLOSS:	and+first

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P15W2
      OFFSETS:	5-8
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P15W3
      OFFSETS:	9-15
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ab~_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+youth/youths

 INPUT STRING:	هتفوا
     IS_TRANS:	htfwA
        INDEX:	P15W4
      OFFSETS:	16-21
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hataf_1]
   UNSPLITVOC:	(hatafuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	hataf+uwA
        GLOSS:	call/shout/cheer+they [verb]

 INPUT STRING:	يسقط
     IS_TRANS:	ysqT
        INDEX:	P15W5
      OFFSETS:	22-26
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siqiT_1]
   UNSPLITVOC:	(yasoqaT)
          POS:	IV3MS+IV
          VOC:	ya+soqaT
        GLOSS:	he/it+fall/drop

 INPUT STRING:	حكم
     IS_TRANS:	Hkm
        INDEX:	P15W6
      OFFSETS:	27-30
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Hukom)
          POS:	NOUN
          VOC:	Hukom
        GLOSS:	rule/government

 INPUT STRING:	العسكر
     IS_TRANS:	AlEskr
        INDEX:	P15W7
      OFFSETS:	31-37
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokar_1]
   UNSPLITVOC:	(AlEasokar)
          POS:	DET+NOUN
          VOC:	Al+Easokar
        GLOSS:	the+army/troops

 INPUT STRING:	بدء
     IS_TRANS:	bd'
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(bada>())
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	bada>+(null)
        GLOSS:	start/begin+he/it [verb]

 INPUT STRING:	بلطجيه
     IS_TRANS:	blTjyh
        INDEX:	P16W2
      OFFSETS:	4-10
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	gangsters/ruffians+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W3
      OFFSETS:	11-13
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الإسماعيليه
     IS_TRANS:	Al<smAEylyh
        INDEX:	P16W4
      OFFSETS:	14-25
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisomAEiyliy~ap_1]
   UNSPLITVOC:	(AlAisomAEiyliy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+AisomAEiyliy~+ap
        GLOSS:	the+Ismailia+[fem.sg.]

 INPUT STRING:	بضرب
     IS_TRANS:	bDrb
        INDEX:	P16W5
      OFFSETS:	26-30
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(biDarob)
          POS:	PREP+NOUN
          VOC:	bi+Darob
        GLOSS:	with/by+strike/attack/bombardment

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P16W6
      OFFSETS:	31-37
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ab~_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+youth/youths

 INPUT STRING:	بتوع
     IS_TRANS:	btwE
        INDEX:	P16W7
      OFFSETS:	38-42
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bituwE)
          POS:	NOUN
          VOC:	bituwE
        GLOSS:	something/owned by

 INPUT STRING:	الشرقيه
     IS_TRANS:	Al$rqyh
        INDEX:	P16W8
      OFFSETS:	43-50
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroqiy~ap_1]
   UNSPLITVOC:	(Al$~aroqiy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+$aroqiy~+ap
        GLOSS:	the+Sharkia+[fem.sg.]

 INPUT STRING:	وهنا
     IS_TRANS:	whnA
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(wihinA)
          POS:	CONJ+ADV
          VOC:	wi+hinA
        GLOSS:	and+here

 INPUT STRING:	إتقلبت
     IS_TRANS:	<tqlbt
        INDEX:	P17W2
      OFFSETS:	5-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itoqalab_1]
   UNSPLITVOC:	(<itoqalabit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	<itoqalab+it
        GLOSS:	turn around/be reversed/be inverted+she/it/they [verb]

 INPUT STRING:	القاعه
     IS_TRANS:	AlqAEh
        INDEX:	P17W3
      OFFSETS:	12-18
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEap_1]
   UNSPLITVOC:	(AlqAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qAE+ap
        GLOSS:	the+hall/corridor/large room+[fem.sg.]

 INPUT STRING:	ضرب
     IS_TRANS:	Drb
        INDEX:	P17W4
      OFFSETS:	19-22
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(Darob)
          POS:	NOUN
          VOC:	Darob
        GLOSS:	strike/attack/bombardment

 INPUT STRING:	وهرجله
     IS_TRANS:	whrjlh
        INDEX:	P17W5
      OFFSETS:	23-29
       TOKENS:	P17W6-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[harojalap_1]
   UNSPLITVOC:	(wiharojalap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+harojal+ap
        GLOSS:	and+chaos/confusion/muddle+[fem.sg.]

 INPUT STRING:	وكراسى
     IS_TRANS:	wkrAsY
        INDEX:	P17W6
      OFFSETS:	30-36
       TOKENS:	P17W8-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurosiy_1]
   UNSPLITVOC:	(wikarAsiy)
          POS:	CONJ+NOUN
          VOC:	wi+karAsiy
        GLOSS:	and+chairs/seats

 INPUT STRING:	بتتحدف
     IS_TRANS:	bttHdf
        INDEX:	P17W7
      OFFSETS:	37-43
       TOKENS:	P17W10-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHadaf_1]
   UNSPLITVOC:	(bititoHadaf)
          POS:	PROG_PART+IV3FS+IV_PASS
          VOC:	bi+ti+toHadaf
        GLOSS:	[present-tense]+she/it/they+be thrown/be flung/be shooted

 INPUT STRING:	والمؤتمر
     IS_TRANS:	wAlm&tmr
        INDEX:	P18W1
      OFFSETS:	0-8
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&otamar_1]
   UNSPLITVOC:	(wiAlmu&otamar)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+mu&otamar
        GLOSS:	and+the+conference/convention

 INPUT STRING:	إتلغى
     IS_TRANS:	<tlgY
        INDEX:	P18W2
      OFFSETS:	9-14
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AitolagaY_1]
   UNSPLITVOC:	(AitolagaY())
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	AitolagaY+(null)
        GLOSS:	be cancelled/be abrogated/be terminated+he/it [verb]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W3
      OFFSETS:	14-15
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	والمعركه
     IS_TRANS:	wAlmErkh
        INDEX:	P19W1
      OFFSETS:	0-8
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEorakap_1]
   UNSPLITVOC:	(wiAlmaEorakap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+maEorak+ap
        GLOSS:	and+the+battle/campaign+[fem.sg.]

 INPUT STRING:	امتدت
     IS_TRANS:	Amtdt
        INDEX:	P19W2
      OFFSETS:	9-14
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aimotad~_1]
   UNSPLITVOC:	(Aimotad~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Aimotad~+it
        GLOSS:	extend/reach/spread+it/they/she [verb]

 INPUT STRING:	للخارج
     IS_TRANS:	llxArj
        INDEX:	P19W3
      OFFSETS:	15-21
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(lilxArij)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+xArij
        GLOSS:	to/for+the+outside/outer part

 INPUT STRING:	وتم
     IS_TRANS:	wtm
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(witam~)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+tam~+(null)
        GLOSS:	and+conclude/take place+he/it [verb]

 INPUT STRING:	تكسير
     IS_TRANS:	tksyr
        INDEX:	P20W2
      OFFSETS:	4-9
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takosiyr_1]
   UNSPLITVOC:	(takosiyr)
          POS:	NOUN
          VOC:	takosiyr
        GLOSS:	fragmentation/fracturing

 INPUT STRING:	أتوبيسات
     IS_TRANS:	>twbysAt
        INDEX:	P20W3
      OFFSETS:	10-18
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uwtuwbiys_1]
   UNSPLITVOC:	(>utuwbiysAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	>utuwbiys+At
        GLOSS:	buses+[fem.pl.]

 INPUT STRING:	الإسماعيليه
     IS_TRANS:	Al<smAEylyh
        INDEX:	P20W4
      OFFSETS:	19-30
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisomAEiyliy~ap_1]
   UNSPLITVOC:	(AlAisomAEiyliy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+AisomAEiyliy~+ap
        GLOSS:	the+Ismailia+[fem.sg.]

 INPUT STRING:	لأنهم
     IS_TRANS:	l>nhm
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(la<in~uhum)
          POS:	PREP+SUB_CONJ+PRON_3P
          VOC:	li+<in~+hum
        GLOSS:	for+that+they

 INPUT STRING:	ضربوا
     IS_TRANS:	DrbwA
        INDEX:	P21W2
      OFFSETS:	6-11
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(DarabuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Darab+uwA
        GLOSS:	strike/hit+they [verb]

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P21W3
      OFFSETS:	12-15
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	ماشيه
     IS_TRANS:	mA$yh
        INDEX:	P21W4
      OFFSETS:	16-21
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$oyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mA$oy+ap
        GLOSS:	going/walking+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P21W5
      OFFSETS:	22-24
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P21W6
      OFFSETS:	25-31
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street

 INPUT STRING:	راح
     IS_TRANS:	rAH
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_2]
   UNSPLITVOC:	(rAH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rAH+(null)
        GLOSS:	begin/go+he/it

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P22W2
      OFFSETS:	4-10
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street

 INPUT STRING:	منضم
     IS_TRANS:	mnDm
        INDEX:	P22W3
      OFFSETS:	11-15
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minoDam~_1]
   UNSPLITVOC:	(minoDam~)
          POS:	ADJ
          VOC:	minoDam~
        GLOSS:	affiliated/annexed/comprising

 INPUT STRING:	ومكسر
     IS_TRANS:	wmksr
        INDEX:	P22W4
      OFFSETS:	16-21
       TOKENS:	P22W4-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mikas~ar_1]
   UNSPLITVOC:	(wimikas~ar)
          POS:	CONJ+ADJ
          VOC:	wi+mikas~ar
        GLOSS:	and+fragmenting/breaking

 INPUT STRING:	آلاتوبيسات
     IS_TRANS:	|lAtwbysAt
        INDEX:	P22W5
      OFFSETS:	22-32
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwtuwbiys_1]
   UNSPLITVOC:	(Al>utuwbiysAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+>utuwbiys+At
        GLOSS:	the+bus+[fem.pl.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P23W2
      OFFSETS:	3-5
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	thid

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P23W3
      OFFSETS:	6-9
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_2]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	occur/happen/take place+he/it [verb]

 INPUT STRING:	وظباط
     IS_TRANS:	wZbAT
        INDEX:	P23W4
      OFFSETS:	10-15
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAbiT_1]
   UNSPLITVOC:	(wiZub~AT)
          POS:	CONJ+NOUN
          VOC:	wi+Zub~AT
        GLOSS:	and+officers

 INPUT STRING:	الشرطه
     IS_TRANS:	Al$rTh
        INDEX:	P23W5
      OFFSETS:	16-22
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	واقفين
     IS_TRANS:	wAqfyn
        INDEX:	P23W6
      OFFSETS:	23-29
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(wAqofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	wAqof+iyn
        GLOSS:	standing+[masc.pl.]

 INPUT STRING:	بيتفرجوا
     IS_TRANS:	bytfrjwA
        INDEX:	P23W7
      OFFSETS:	30-38
       TOKENS:	P23W8-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitfar~aj_1]
   UNSPLITVOC:	(biyitfar~ajuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+tfar~aj+uwA
        GLOSS:	[present-tense]+they (people)+observe/watch+[pl.]

 INPUT STRING:	وعمرو
     IS_TRANS:	wEmrw
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(wiEamorw)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+Eamorw
        GLOSS:	and+Amr

 INPUT STRING:	موسى
     IS_TRANS:	mwsY
        INDEX:	P24W2
      OFFSETS:	6-10
       TOKENS:	P24W3-P24W3
