 INPUT STRING:	ستار
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+daEobas+ap
        GLOSS:	the+search/grobing around+[fem.sg.]

 INPUT STRING:	لقيت
     IS_TRANS:	lqyt
        INDEX:	P10W3
      OFFSETS:	14-18
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(laqayt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	laq+ayt
        GLOSS:	find+I

 INPUT STRING:	قرار
     IS_TRANS:	qrAr
        INDEX:	P10W4
      OFFSETS:	19-23
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(qarAr)
          POS:	NOUN
          VOC:	qarAr
        GLOSS:	decision/resolution

 INPUT STRING:	بتنحيه
     IS_TRANS:	btnHyh
        INDEX:	P10W5
      OFFSETS:	24-30
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanoHiyap_1]
   UNSPLITVOC:	(bitanoHiyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+tanoHiy+ap
        GLOSS:	with/by+elimination/removal+[fem.sg.]

 INPUT STRING:	ايناس
     IS_TRANS:	AynAs
        INDEX:	P10W6
      OFFSETS:	31-36
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iynAs_2]
   UNSPLITVOC:	(<iynAs)
          POS:	NOUN_PROP
          VOC:	<iynAs
        GLOSS:	Inas/Enas

 INPUT STRING:	الدغيدي
     IS_TRANS:	Aldgydy
        INDEX:	P10W7
      OFFSETS:	37-44
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[digiydiy_1]
   UNSPLITVOC:	(Ald~igiydiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+digiydiy
        GLOSS:	the+Dguidy

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P10W8
      OFFSETS:	45-48
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P10W9
      OFFSETS:	49-52
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	الدول
     IS_TRANS:	Aldwl
        INDEX:	P10W10
      OFFSETS:	53-58
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~iwal)
          POS:	DET+NOUN
          VOC:	Al+diwal
        GLOSS:	the+state/country/states/countries

 INPUT STRING:	العربيه
     IS_TRANS:	AlErbyh
        INDEX:	P10W11
      OFFSETS:	59-66
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	رفضت
     IS_TRANS:	rfDt
        INDEX:	P10W12
      OFFSETS:	67-71
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaD_1]
   UNSPLITVOC:	(rafaDit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	rafaD+it
        GLOSS:	reject/refuse/be rejected/be refused+it/they/she

 INPUT STRING:	مشاركه
     IS_TRANS:	m$Arkh
        INDEX:	P10W13
      OFFSETS:	72-78
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(mu$Arokap)
          POS:	NOUN.VN+NSUFF_FEM_SG
          VOC:	mu$Arok+ap
        GLOSS:	participation/association+[fem.sg.]

 INPUT STRING:	شبابها
     IS_TRANS:	$bAbhA
        INDEX:	P10W14
      OFFSETS:	79-85
       TOKENS:	P10W17-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abAb_1]
   UNSPLITVOC:	($abAbhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	$abAb+hA
        GLOSS:	Jeunesse+its/their/her

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W15
      OFFSETS:	86-88
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البرنامج
     IS_TRANS:	AlbrnAmj
        INDEX:	P10W16
      OFFSETS:	89-97
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baronAmaj_1]
   UNSPLITVOC:	(AlbaronAmaj)
          POS:	DET+NOUN
          VOC:	Al+baronAmaj
        GLOSS:	the+program

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P10W17
      OFFSETS:	98-101
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	عرفوا
     IS_TRANS:	ErfwA
        INDEX:	P10W18
      OFFSETS:	102-107
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(EirofuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Eirof+uwA
        GLOSS:	know+they

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P10W19
      OFFSETS:	108-110
       TOKENS:	P10W23-P10W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الست
     IS_TRANS:	Alst
        INDEX:	P10W20
      OFFSETS:	111-115
       TOKENS:	P10W24-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(Als~it~)
          POS:	DET+NOUN
          VOC:	Al+sit~
        GLOSS:	the+lady/miss/ladies/misses

 INPUT STRING:	ايناس
     IS_TRANS:	AynAs
        INDEX:	P10W21
      OFFSETS:	116-121
       TOKENS:	P10W25-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iynAs_2]
   UNSPLITVOC:	(<iynAs)
          POS:	NOUN_PROP
          VOC:	<iynAs
        GLOSS:	Inas/Enas

 INPUT STRING:	حتكون
     IS_TRANS:	Htkwn
        INDEX:	P10W22
      OFFSETS:	122-127
       TOKENS:	P10W26-P10W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hatikuwn)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+kuwn
        GLOSS:	will+it/they/she+be

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W23
      OFFSETS:	128-130
       TOKENS:	P10W28-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الحكام
     IS_TRANS:	AlHkAm
        INDEX:	P10W24
      OFFSETS:	131-137
       TOKENS:	P10W29-P10W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(AlHuk~Am)
          POS:	DET+NOUN
          VOC:	Al+Huk~Am
        GLOSS:	the+rulers/governors

 INPUT STRING:	وها
     IS_TRANS:	whA
        INDEX:	P11W1
      OFFSETS:	1-4
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hA_1]
   UNSPLITVOC:	(wahA)
          POS:	CONJ+DEM_PRON
          VOC:	wa+hA
        GLOSS:	and+this

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P11W2
      OFFSETS:	5-7
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	خيبه
     IS_TRANS:	xybh
        INDEX:	P11W3
      OFFSETS:	8-12
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaybap_1]
   UNSPLITVOC:	(xaybap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xayb+ap
        GLOSS:	disappointment/failure+[fem.sg.]

 INPUT STRING:	تقيله
     IS_TRANS:	tqylh
        INDEX:	P11W4
      OFFSETS:	13-18
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiqiyl_1]
   UNSPLITVOC:	(tiqiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tiqiyl+ap
        GLOSS:	heavy+[fem.sg.]

 INPUT STRING:	تضاف
     IS_TRANS:	tDAf
        INDEX:	P11W5
      OFFSETS:	19-23
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aDAf_1]
   UNSPLITVOC:	(tiDAf)
          POS:	IV3FS+IV_PASS
          VOC:	ti+DAf
        GLOSS:	it/they/she+be added

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P11W6
      OFFSETS:	24-27
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	خيباتنا
     IS_TRANS:	xybAtnA
        INDEX:	P11W7
      OFFSETS:	28-35
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiybap_1]
   UNSPLITVOC:	(xiybAtnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	xiybAt+nA
        GLOSS:	disappontment+our

 INPUT STRING:	ونبدأ
     IS_TRANS:	wnbd>
        INDEX:	P11W8
      OFFSETS:	36-41
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(winiboda>)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+boda>
        GLOSS:	and+we+start/begin

 INPUT STRING:	عصر
     IS_TRANS:	ESr
        INDEX:	P11W9
      OFFSETS:	42-45
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSor_1]
   UNSPLITVOC:	(EaSor)
          POS:	NOUN
          VOC:	EaSor
        GLOSS:	age/period/epoch/ages/periods/epochs

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P11W10
      OFFSETS:	46-50
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadiyd_1]
   UNSPLITVOC:	(jadiyd)
          POS:	ADJ
          VOC:	jadiyd
        GLOSS:	new/modern

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W11
      OFFSETS:	51-53
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الانحلال
     IS_TRANS:	AlAnHlAl
        INDEX:	P11W12
      OFFSETS:	54-62
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoHilAl_1]
   UNSPLITVOC:	(AlAinoHilAl)
          POS:	DET+NOUN
          VOC:	Al+AinoHilAl
        GLOSS:	the+dissolution/breakup

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W13
      OFFSETS:	63-65
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W14
      OFFSETS:	66-69
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P11W15
      OFFSETS:	70-74
       TOKENS:	P11W18-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(waEalaY)
          POS:	CONJ+PREP
          VOC:	wa+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	ارض
     IS_TRANS:	ArD
        INDEX:	P11W16
      OFFSETS:	75-78
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(>aroD)
          POS:	NOUN
          VOC:	>aroD
        GLOSS:	earth/territory/land/territories/land/earth/lands/territories

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W17
      OFFSETS:	79-82
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	وبأيدي
     IS_TRANS:	wb>ydy
        INDEX:	P11W18
      OFFSETS:	83-89
       TOKENS:	P11W22-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(wibi>aydiy)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+bi+>aydiy
        GLOSS:	and+with/by+hands

 INPUT STRING:	مصريين
     IS_TRANS:	mSryyn
        INDEX:	P11W19
      OFFSETS:	90-96
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	maSoriy~+iyn
        GLOSS:	Egyptian+[pl.]

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P12W1
      OFFSETS:	1-6
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al~iy_1]
   UNSPLITVOC:	(waAl~iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Al~iy
        GLOSS:	and+which/who/whom

 INPUT STRING:	يغيظ
     IS_TRANS:	ygyZ
        INDEX:	P12W2
      OFFSETS:	7-11
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAZ_1]
   UNSPLITVOC:	(yigiyZ)
          POS:	IV3MS+IV
          VOC:	yi+giyZ
        GLOSS:	he/it+enrage/irritate

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W3
      OFFSETS:	12-14
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التعليقات
     IS_TRANS:	AltElyqAt
        INDEX:	P12W4
      OFFSETS:	15-24
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliyq_1]
   UNSPLITVOC:	(Alt~aEoliyqAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+taEoliyq+At
        GLOSS:	the+comments/remarks+[fem.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W5
      OFFSETS:	25-27
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المواقع
     IS_TRANS:	AlmwAqE
        INDEX:	P12W6
      OFFSETS:	28-35
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mawoqiE_1]
   UNSPLITVOC:	(AlmawAqiE)
          POS:	DET+NOUN
          VOC:	Al+mawAqiE
        GLOSS:	the+positions/locations/sites

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P12W7
      OFFSETS:	36-40
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	جبت
     IS_TRANS:	jbt
        INDEX:	P12W8
      OFFSETS:	41-44
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	jib+t
        GLOSS:	explore/traverse/bring+I

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P12W9
      OFFSETS:	45-49
       TOKENS:	P12W10-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+it/them/her

 INPUT STRING:	الاخبار
     IS_TRANS:	AlAxbAr
        INDEX:	P12W10
      OFFSETS:	50-57
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Al>axobAr)
          POS:	DET+NOUN
          VOC:	Al+>axobAr
        GLOSS:	the+news/reports

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P12W11
      OFFSETS:	58-60
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W12
      OFFSETS:	61-63
       TOKENS:	P12W14-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P12W13
      OFFSETS:	64-67
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P12W14
      OFFSETS:	68-72
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	مقتنعين
     IS_TRANS:	mqtnEyn
        INDEX:	P12W15
      OFFSETS:	73-80
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mqtnEyn)
          POS:	NO_FUNC
          VOC:	mqtnEyn
        GLOSS:	nogloss

 INPUT STRING:	وحيطيروا
     IS_TRANS:	wHyTyrwA
        INDEX:	P12W16
      OFFSETS:	81-89
       TOKENS:	P12W19-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAr_1]
   UNSPLITVOC:	(wiHayiTiyruwA)
          POS:	CONJ+FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+Ha+yi+Tiyr+uwA
        GLOSS:	and+will+they+fly+[pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W17
      OFFSETS:	90-92
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الفرحه
     IS_TRANS:	AlfrHh
        INDEX:	P12W18
      OFFSETS:	93-99
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHap_1]
   UNSPLITVOC:	(AlfaroHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+faroH+ap
        GLOSS:	the+joy/joys+[fem.sg.]

 INPUT STRING:	لدرجه
     IS_TRANS:	ldrjh
        INDEX:	P12W19
      OFFSETS:	100-105
       TOKENS:	P12W24-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[darajap_1]
   UNSPLITVOC:	(lidarajap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+daraj+ap
        GLOSS:	for/to+degree/class/rank/grade/level/degrees/classes/ranks/grades/levels+[fem.sg.]

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P12W20
      OFFSETS:	106-110
       TOKENS:	P12W26-P12W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	سجلوا
     IS_TRANS:	sjlwA
        INDEX:	P12W21
      OFFSETS:	111-116
       TOKENS:	P12W28-P12W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saj~al_1]
   UNSPLITVOC:	(saj~aluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	saj~al+uwA
        GLOSS:	register/record/inscribe+they

 INPUT STRING:	اساميهم
     IS_TRANS:	AsAmyhm
        INDEX:	P12W22
      OFFSETS:	117-124
       TOKENS:	P12W29-P12W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(>asAmiyhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	>asAmiy+hum
        GLOSS:	names+their

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P12W23
      OFFSETS:	125-128
       TOKENS:	P12W31-P12W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above
