 INPUT STRING:	ثقافه
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>ay_1]
   UNSPLITVOC:	(fara>uwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	fa+ra>+uwA
        GLOSS:	and+see/find+they

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P16W5
      OFFSETS:	25-27
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P16W6
      OFFSETS:	28-31
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P16W7
      OFFSETS:	32-34
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	الحال
     IS_TRANS:	AlHAl
        INDEX:	P16W8
      OFFSETS:	35-40
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(AlHAl)
          POS:	DET+NOUN
          VOC:	Al+HAl
        GLOSS:	the+situation/condition/case/situations/conditions/cases

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but

 INPUT STRING:	ارجع
     IS_TRANS:	ArjE
        INDEX:	P17W2
      OFFSETS:	5-9
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(AarojaE)
          POS:	IV1S+IV
          VOC:	Aa+rojaE
        GLOSS:	I+return

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P17W3
      OFFSETS:	10-14
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/say/(for example)

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P17W4
      OFFSETS:	15-17
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P17W5
      OFFSETS:	18-20
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	المبدا
     IS_TRANS:	AlmbdA
        INDEX:	P17W6
      OFFSETS:	21-27
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboda>_1]
   UNSPLITVOC:	(Almaboda>)
          POS:	DET+NOUN
          VOC:	Al+maboda>
        GLOSS:	the+principle/basis

 INPUT STRING:	والتعميم
     IS_TRANS:	wAltEmym
        INDEX:	P17W7
      OFFSETS:	28-36
       TOKENS:	P17W8-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEomiym_1]
   UNSPLITVOC:	(wiAltaEomiym)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+taEomiym
        GLOSS:	and+the+generalization/diffusion/spreading

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P17W8
      OFFSETS:	37-39
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P17W9
      OFFSETS:	40-43
       TOKENS:	P17W11-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P17W10
      OFFSETS:	44-47
       TOKENS:	P17W13-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	قاعدة
     IS_TRANS:	qAEdp
        INDEX:	P17W11
      OFFSETS:	48-53
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qAEod+ap
        GLOSS:	rule/principle/basis+[fem.sg.]

 INPUT STRING:	شواذا
     IS_TRANS:	$wA*A
        INDEX:	P17W12
      OFFSETS:	54-59
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A*~_1]
   UNSPLITVOC:	($awA*AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$awA*+AF
        GLOSS:	davient+[acc.indef.]

 INPUT STRING:	والتافهين
     IS_TRANS:	wAltAfhyn
        INDEX:	P17W13
      OFFSETS:	60-69
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wAltAfhyn)
          POS:	NO_FUNC
          VOC:	wAltAfhyn
        GLOSS:	nogloss

 INPUT STRING:	وعديمى
     IS_TRANS:	wEdymY
        INDEX:	P17W14
      OFFSETS:	70-76
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wEdymY)
          POS:	NO_FUNC
          VOC:	wEdymY
        GLOSS:	nogloss

 INPUT STRING:	الاحساس
     IS_TRANS:	AlAHsAs
        INDEX:	P17W15
      OFFSETS:	77-84
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHosAs_1]
   UNSPLITVOC:	(AlAiHosAs)
          POS:	DET+NOUN
          VOC:	Al+AiHosAs
        GLOSS:	the+feeling

 INPUT STRING:	بالمسئولية
     IS_TRANS:	bAlms}wlyp
        INDEX:	P17W16
      OFFSETS:	85-95
       TOKENS:	P17W20-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso&uliy~ap_1]
   UNSPLITVOC:	(biAlmaso}uwliy~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+maso}uwliy~+ap
        GLOSS:	with/by+the+responsibility+[fem.sg.]

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P17W17
      OFFSETS:	96-98
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	شواذ
     IS_TRANS:	$wA*
        INDEX:	P17W18
      OFFSETS:	99-103
       TOKENS:	P17W23-P17W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A*~_1]
   UNSPLITVOC:	($awA*)
          POS:	NOUN
          VOC:	$awA*
        GLOSS:	deviant

 INPUT STRING:	القاعدة
     IS_TRANS:	AlqAEdp
        INDEX:	P17W19
      OFFSETS:	104-111
       TOKENS:	P17W24-P17W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(AlqAEodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qAEod+ap
        GLOSS:	the+rule/principle/basis+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P17W20
      OFFSETS:	112-115
       TOKENS:	P17W25-P17W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+not

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P17W21
      OFFSETS:	116-119
       TOKENS:	P17W27-P17W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV+IVSUFF_MOOD:S
          VOC:	ya+jib+a
        GLOSS:	he/it+be necessary/be incumbent+[sub.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P17W22
      OFFSETS:	120-122
       TOKENS:	P17W28-P17W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يكونوا
     IS_TRANS:	ykwnwA
        INDEX:	P17W23
      OFFSETS:	123-129
       TOKENS:	P17W29-P17W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwnuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+kuwn+uwA
        GLOSS:	they+be+we

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P17W24
      OFFSETS:	130-132
       TOKENS:	P17W30-P17W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	رمز
     IS_TRANS:	rmz
        INDEX:	P17W25
      OFFSETS:	133-136
       TOKENS:	P17W31-P17W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramoz_1]
   UNSPLITVOC:	(ramoz)
          POS:	NOUN
          VOC:	ramoz
        GLOSS:	sign/symbol/emblem

 INPUT STRING:	الجيل
     IS_TRANS:	Aljyl
        INDEX:	P17W26
      OFFSETS:	137-142
       TOKENS:	P17W32-P17W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(Aljiyl)
          POS:	DET+NOUN
          VOC:	Al+jiyl
        GLOSS:	the+generation/epoch/generations/epochs

 INPUT STRING:	وياخذ
     IS_TRANS:	wyAx*
        INDEX:	P17W27
      OFFSETS:	143-148
       TOKENS:	P17W33-P17W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axad_1]
   UNSPLITVOC:	(wiyAxu*)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+y+Axu*
        GLOSS:	and+he/it+take

 INPUT STRING:	الاشخاص
     IS_TRANS:	AlA$xAS
        INDEX:	P17W28
      OFFSETS:	149-156
       TOKENS:	P17W35-P17W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	(Al>a$oxAS)
          POS:	DET+NOUN
          VOC:	Al+>a$oxAS
        GLOSS:	the+individuals/persons

 INPUT STRING:	الاسوياء
     IS_TRANS:	AlAswyA'
        INDEX:	P17W29
      OFFSETS:	157-165
       TOKENS:	P17W36-P17W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sawiy_1]
   UNSPLITVOC:	(Al>asowiyA')
          POS:	DET+ADJ
          VOC:	Al+>asowiyA'
        GLOSS:	the+straight/correct

 INPUT STRING:	بذنوبهم
     IS_TRANS:	b*nwbhm
        INDEX:	P17W30
      OFFSETS:	166-173
       TOKENS:	P17W37-P17W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[*anb_1]
   UNSPLITVOC:	(bi*unuwbhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+*unuwb+hum
        GLOSS:	with/by+misdeeds/offenses/faults+their

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P17W31
      OFFSETS:	174-178
       TOKENS:	P17W40-P17W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	that

 INPUT STRING:	اقترفوها
     IS_TRANS:	AqtrfwhA
        INDEX:	P17W32
      OFFSETS:	179-187
       TOKENS:	P17W41-P17W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiqotaraf_1]
   UNSPLITVOC:	(AiqotarafuwhA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3FS
          VOC:	Aiqotaraf+uw+hA
        GLOSS:	commit/perpetrate+they [verb]+it/them/her

 INPUT STRING:	وكما
     IS_TRANS:	wkmA
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(wakamA)
          POS:	CONJ+PREP+REL_PRON
          VOC:	wa+ka+mA
        GLOSS:	and+like/such as+what/which

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P18W2
      OFFSETS:	5-8
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	باشا
     IS_TRANS:	bA$A
        INDEX:	P18W3
      OFFSETS:	12-16
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bA$A_1]
   UNSPLITVOC:	(bA$A)
          POS:	NOUN_PROP
          VOC:	bA$A
        GLOSS:	Basha

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P18W4
      OFFSETS:	19-21
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all/entire

 INPUT STRING:	جيل
     IS_TRANS:	jyl
        INDEX:	P18W5
      OFFSETS:	22-25
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(jiyl)
          POS:	NOUN
          VOC:	jiyl
        GLOSS:	generation/epoch/generations/epochs

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P18W6
      OFFSETS:	26-29
       TOKENS:	P18W8-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(kamA)
          POS:	PREP+REL_PRON
          VOC:	ka+mA
        GLOSS:	like/such as+what/which

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P18W7
      OFFSETS:	30-32
       TOKENS:	P18W10-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/for+he/it

 INPUT STRING:	عيوبة
     IS_TRANS:	Eywbp
        INDEX:	P18W8
      OFFSETS:	33-38
       TOKENS:	P18W12-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euyuwb_1]
   UNSPLITVOC:	(Euyuwbuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Euyuwb+uh
        GLOSS:	faults/weaknesses+its/his

 INPUT STRING:	فله
     IS_TRANS:	flh
        INDEX:	P18W9
      OFFSETS:	39-42
       TOKENS:	P18W14-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(faluh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	fa+li+uh
        GLOSS:	so/and+to/for+it/him

 INPUT STRING:	مميزات
     IS_TRANS:	mmyzAt
        INDEX:	P18W10
      OFFSETS:	43-49
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumay~iz_1]
   UNSPLITVOC:	(mumay~izAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	mumay~iz+At
        GLOSS:	advantage+[fem.pl.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P18W11
      OFFSETS:	50-52
       TOKENS:	P18W18-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	CONJ
          VOC:	lA
        GLOSS:	nor, neither

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P18W12
      OFFSETS:	53-56
       TOKENS:	P18W19-P18W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+be necessary

 INPUT STRING:	ابدا
     IS_TRANS:	AbdA
        INDEX:	P18W13
      OFFSETS:	57-61
       TOKENS:	P18W20-P18W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aabad_1]
   UNSPLITVOC:	(AbadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Abad+AF
        GLOSS:	never+[acc.indef.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P18W14
      OFFSETS:	62-64
       TOKENS:	P18W21-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	نتغاضى
     IS_TRANS:	ntgADY
        INDEX:	P18W15
      OFFSETS:	65-71
       TOKENS:	P18W22-P18W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tagADaY_1]
   UNSPLITVOC:	(natagADaY)
          POS:	IV1P+IV+IVSUFF_MOOD:I
          VOC:	na+tagADaY+(null)
        GLOSS:	we+disregard/be lenient+[ind.]

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P18W16
      OFFSETS:	72-76
       TOKENS:	P18W23-P18W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(EanhA)
          POS:	PREP+PRON_3FS
          VOC:	Ean+hA
        GLOSS:	(away) from, off, about, on, over+she/it

 INPUT STRING:	وننكرها
     IS_TRANS:	wnnkrhA
        INDEX:	P18W17
      OFFSETS:	77-84
       TOKENS:	P18W25-P18W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nakar_1]
   UNSPLITVOC:	(wininokirhA)
          POS:	CONJ+IV1P+IV+IVSUFF_DO:3FS
          VOC:	wi+ni+nokir+hA
        GLOSS:	and+we+deny+it/them/her

 INPUT STRING:	بهذا
     IS_TRANS:	bh*A
        INDEX:	P18W18
      OFFSETS:	85-89
       TOKENS:	P18W28-P18W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(biha*A)
          POS:	PREP+DEM_PRON_MS
          VOC:	bi+ha*A
        GLOSS:	with/by+this [masc.sg.]

 INPUT STRING:	الشكل
     IS_TRANS:	Al$kl
        INDEX:	P18W19
      OFFSETS:	90-95
       TOKENS:	P18W30-P18W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(Al$~akol)
          POS:	DET+NOUN
          VOC:	Al+$akol
        GLOSS:	the+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	تحياتى
     IS_TRANS:	tHyAtY
        INDEX:	P19W1
      OFFSETS:	0-6
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	taHiy~+At+iy
        GLOSS:	greeting/salute+[fem.pl.]+my

 INPUT STRING:	بقايا
     IS_TRANS:	bqAyA
        INDEX:	P20W1
      OFFSETS:	0-5
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqiy~ap_1]
   UNSPLITVOC:	(baqAyA)
          POS:	NOUN
          VOC:	baqAyA
        GLOSS:	remainders/remnants

 INPUT STRING:	انسانة
     IS_TRANS:	AnsAnp
        INDEX:	P20W2
      OFFSETS:	6-12
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(<inosAnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<inosAn+ap
        GLOSS:	human being+[fem.sg.]

 INPUT STRING:	اهلا
     IS_TRANS:	AhlA
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AholAF_1]
   UNSPLITVOC:	(AholAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Ahol+AF
        GLOSS:	welcome!+[acc.indef.]

 INPUT STRING:	بيكى
     IS_TRANS:	bykY
        INDEX:	P21W2
      OFFSETS:	5-9
       TOKENS:	P21W2-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biykiy)
          POS:	PREP+PRON_2FS
          VOC:	bi+ik
        GLOSS:	by/with+you [fem. sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P21W3
      OFFSETS:	10-12
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مروه
     IS_TRANS:	mrwh
        INDEX:	P21W4
      OFFSETS:	13-17
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[marowap_1]
   UNSPLITVOC:	(marowap)
          POS:	NOUN_PROP
          VOC:	marowap
        GLOSS:	Marwa

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+every

 INPUT STRING:	جيل
     IS_TRANS:	jyl
        INDEX:	P22W2
